cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,4,0,1960.55,-0.01902,12.1464,11.1117,93.5871,0.03429,-18.3032,500,3.46296,-1.05745,9.00849,-2.15028,-1.19248,-695.861,5428.99,52.1031,1059.11,4414.04,7.84461,3.3242,17.7718,2.23137,3.18917,0.482794,6405,124.4,2035.12,0.793307,0.967128,0.101206,8073.8 
1,2.6,1,5559.91,0.00550946,15.9303,11.3388,93.4067,-0.0205019,0.226317,500,5.83653,1.6171,3.45926,0.904571,3.09239,-500.941,2868.9,58.4071,5721.37,5880.27,8.99082,4.77139,9.76785,4.05886,6.24669,0.711315,3571.52,110.453,6423.99,0.404055,0.948658,0.0307004,8839.19 
2,1.2,2,7702.27,-0.304879,16.5844,12.1728,92.6545,-0.0474504,70.9403,223.394,1.56127,4.28582,1.21394,-3.10769,-0.684799,-163.144,31.6418,53.5727,9254.79,6681.4,2.58854,5.31309,3.26848,-2.08041,0.342473,0.653475,260.466,70.5226,9483.61,0.0324083,0.678508,0.0135133,8037.03 
3,2.1,3,5801.32,-0.0813943,14.7853,11.6796,92.6294,-0.820582,609.115,500,2.64433,3.525,0.64431,-4.25894,-2.8266,-360.751,1360.89,28.7327,6816.81,21892.6,4.91588,5.79655,5.18741,-1.98739,-0.555045,0.611645,1866.88,66.2133,7322.79,0.237167,0.941559,0.0163836,7871.57 
4,3.5,4,1722.47,-0.879309,11.5517,11.871,93.1924,-0.568974,2607.52,430.993,-0.545681,4.71694,-4.42372,2.92524,-0.525302,-676.182,4092.33,22.9266,1563.68,52760.6,3.71206,8.97467,4.09176,7.18297,3.73244,0.852251,5040.74,93.1793,2512.09,0.709898,0.968665,0.0639578,7100.66 
5,0,5,6150.19,-0.292487,13.2719,12.5649,92.4239,0.0949231,19.5174,499.991,-3.50853,-4.40822,-3.86781,-1.07957,3.93069,-219.092,-68.2021,30.9264,7558.89,5488.9,-2.12896,-3.02865,-1.10868,0.299991,5.31026,-0.689951,239.096,53.6892,7866.19,0.0357427,0.717894,0.0124168,6689.37 
6,2.2,6,5581.78,-0.0473861,15.2875,11.4874,92.8014,-0.307809,187.582,500,-2.9559,-1.4228,7.77926,1.46738,0.0608492,-436.508,1666.91,32.1572,6723.78,7596.4,-0.20732,1.32578,13.2764,4.21596,2.80943,0.380194,2279.16,77.5088,7336.03,0.274773,0.94383,0.0190912,8294.7 
7,1.65,7,5031.23,-0.00604212,11.7078,11.956,92.5247,0.0498026,12.6059,500,-3.08208,1.19223,4.14632,-6.97256,0.443201,-241.943,275.664,42.593,6513.82,4577.2,-1.55862,2.71569,7.19322,-5.44911,1.96665,-0.477707,615.013,67.73,6853.17,0.098645,0.838417,0.01788,6234.61 
8,1.55,8,3654.26,-0.263279,9.18179,12.1541,92.874,0.35694,378.068,0.0833749,-2.76768,3.94602,5.06779,2.1555,-4.4889,-285.591,106.322,37.1806,5130.75,8025.81,-0.969397,5.74431,8.66436,3.95379,-2.69061,0.410686,506.891,66.8524,5531.32,0.100522,0.812478,0.0217791,5042.57 
9,1.35,9,4276.79,-0.00309083,10.0072,12.0661,92.3491,0.00175276,-35.8834,359.581,2.78587,-1.96017,0.723956,2.02214,-3.62124,-215.98,-7.75911,38.3413,5917.28,3932.81,4.14583,-0.600208,3.44389,3.3821,-2.26127,0.575371,295.173,60.7808,6220.21,0.0547048,0.735104,0.0176818,5395.75 
10,2.4,10,5228.07,-0.00667417,15.475,11.2781,93.0091,0.100855,-75.4472,500,2.76083,1.13243,2.50915,-0.455758,1.19166,-410.79,2326.65,57.8818,5981.01,5929.19,5.34747,3.71907,7.68242,2.13088,3.77829,0.660942,2902.83,100.561,6557.19,0.350595,0.942841,0.0274744,8279.72 
11,3,11,5512.27,-0.891641,18.5674,11.8945,93.4079,1.98073,-422.641,157.931,1.3134,3.96359,4.48743,1.93999,0.720544,-713.99,4873.59,95.2239,4555.43,34441,5.80921,8.45939,13.479,6.43579,5.21635,0.657891,5875.03,169.405,5556.87,0.563192,0.951963,0.0531717,10431.7 
12,5,12,766.738,-0.104136,-11.6021,10.63,93.7378,0.0589341,221.587,1.09488e-08,5.75671,-0.572374,4.21632,1.3262,2.56651,-839.537,5380.1,2.52872,455.385,4439.92,11.0431,4.71397,14.789,6.61254,7.85285,0.671439,6557.64,89.7534,1632.92,0.830435,0.976608,0.0919421,7896.63 
13,1.45,13,5591.77,-0.32222,12.7668,12.3684,92.4805,-1.98004,280.204,310.471,3.04265,-4.45398,-0.749893,-1.42425,2.68676,-321.603,11.3534,13.1381,7168.66,23201.4,5.06769,-2.42893,3.3002,0.600798,4.71181,0.70669,462.432,46.5513,7619.74,0.0689105,0.85022,0.0111287,6710.62 
14,1.4,14,4056.83,-0.291434,10.0298,12.1483,92.6122,0.3395,691.215,342.073,-1.71646,-2.96221,-2.85587,-0.162922,0.145272,-269.271,-33.0637,27.7844,5662.41,11605.7,-0.0209394,-1.26668,0.535179,1.5326,1.8408,0.795808,344.615,55.7606,6040.09,0.0650524,0.779326,0.0167215,5297.49 
15,1.75,15,7495.39,-0.0133525,16.8383,11.7729,92.663,0.0113073,11.9804,500,-1.54176,-2.64632,-0.253352,-3.785,-1.4131,-271.73,524.899,34.8196,8949.13,6457.6,0.169249,-0.93531,3.16867,-2.07399,0.297908,-4.05753,906.026,63.0513,9330.26,0.105883,0.891437,0.0122954,8556.84 
16,1.3,16,7606.4,-0.0284055,15.9454,11.9769,92.6846,-0.122178,-26.1846,331.026,-2.40307,-1.35215,-10.2401,-0.935684,-1.62605,-297.539,132.693,51.3528,8990.5,6321.03,-0.529549,0.521373,-6.49306,0.937838,0.247474,-0.221436,550.02,82.2659,9407.83,0.0665526,0.792553,0.0158528,8264.44 
17,2.8,17,2909.32,0.00370695,11.1741,11.0057,93.4937,-0.000606993,-1.16419,3.33683e-11,4.30219,-0.0200559,3.0919,0.833008,-5.88218,-511.349,2569.28,46.2661,3435.03,4003.39,7.52202,3.19977,9.53156,4.05284,-2.66235,0.559618,3286.49,99.3933,4152.25,0.491156,0.949735,0.0422326,6691.34 
18,1.8,18,7232.77,-0.00481567,16.3256,11.7874,92.6774,-0.0238462,25.5668,500,-2.03118,2.56675,-0.303703,1.66017,0.326662,-367.498,661.042,65.4778,8488.82,6284.28,0.282864,4.88079,4.32438,3.97421,2.6407,0.731454,1176.49,103.659,9004.27,0.137441,0.866408,0.0207664,8560 
19,1.6,19,4728.73,-0.0590589,10.8374,11.9096,92.9292,0.334249,-244.586,1.16059e-07,2.19399,3.35158,-4.44204,-0.0821412,2.07917,-268.825,70.2333,28.0887,6197.58,6862.96,3.88671,5.04431,-1.0566,1.61058,3.77189,1.0797,447.287,56.0185,6574.63,0.0766101,0.820229,0.0154529,5838.49 
20,2,20,7505.73,-0.00883762,17.426,11.7497,92.7007,-0.0123418,1.1552,500,0.453427,-3.59969,-0.628071,5.45125,-2.92869,-338.182,1072.02,44.9742,8519.53,6665.76,2.58287,-1.47025,3.63081,7.58069,-0.799249,0.684959,1546.35,80.11,8993.86,0.173332,0.916876,0.0161431,8921.32 
21,4,21,1641.93,-0.694771,13.169,11.602,94.0942,0.853396,2209.6,0.034443,6.36458,-0.596529,12.7542,-1.86691,-1.73961,-853.395,5524.95,3.20232,951.461,66358.4,11.7382,4.77707,23.5014,3.50669,3.634,0.501638,6721.92,91.8668,2148.43,0.79234,0.976642,0.0730169,8483.63 
