cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
10,2.1,10,9881.93,-0.089687,24.4716,11.0241,92.8563,0.181505,774.59,0.840973,3.50251,-3.56036,-0.42931,-1.71879,-3.08941,-418.564,1420.06,59.5786,10994.1,13358.9,6.13809,-0.924772,4.84186,0.916789,-0.45383,0.539666,2007.14,103.066,11581.2,0.174477,0.917548,0.0161292,11503.7 
11,3,11,6311.5,-1.04829,23.0512,11.1046,93.5209,-1.90647,2145.47,436.091,4.12643,7.48421,7.74635,2.66102,-3.90138,-720.564,5141.26,30.3197,5732.91,141485,8.66363,12.0214,16.8207,7.19822,0.635822,0.629007,6151.92,105.183,6743.57,0.526631,0.970948,0.0279299,11681.6 
12,10,12,11615.8,-0.0388725,25.8806,11.0716,92.6423,-0.0417152,148.385,500,3.425,0.639944,2.47418,3.81104,2.95109,-332.261,63.6907,61.1965,13381.3,9529.35,5.51716,2.7321,6.6585,5.9032,5.04325,0.74246,529.719,95.7171,13847.3,0.0445722,0.759754,0.0125731,11884.5 
13,5,13,2999.01,-1.68115,22.761,11.238,93.8176,1.3425,-86.8009,497.188,5.99358,2.02921,12.2495,3.81001,-1.72439,-1066.83,9984.4,1.60744,122.701,12120.2,12.7111,8.74673,25.6845,10.5275,4.99313,0.590117,11480.7,112.447,1619.03,0.896348,0.983149,0.113428,12808.3 
14,0,14,11800.3,-0.349635,25.6902,11.5217,92.4653,0.662861,-769.872,459.906,0.804305,-0.626168,-3.14535,-5.73869,-1.95742,-282.857,9.31898,76.21,13403.6,26248.2,2.58538,1.1549,0.416795,-3.95761,-0.17635,-17.0345,406.053,105.598,13800.3,0.0346394,0.687236,0.0138996,11722.3 
15,2,15,10437.9,-0.0015207,25.1392,10.9718,92.7892,-0.0145115,6.97752,2.65106e-11,0.601184,-1.39204,3.26472,-5.28862,-2.4787,-411.901,1350,35.5284,11678.4,8982.19,3.19481,1.20159,8.45198,-2.69499,0.114931,0.176888,1927.73,78.3234,12256.2,0.160942,0.933618,0.0116351,11977.8 
16,4,16,3664.83,-0.23011,20.878,10.1643,93.7028,-0.0475493,356.232,499.997,8.58943,8.079,16.0878,6.38293,0.928723,-921.78,8184.1,14.872,1411.56,7459.56,14.3936,13.8832,27.6962,12.1871,6.73292,0.63019,9476.99,110.641,2704.45,0.810371,0.979978,0.0700807,11694.6 
17,1.4,17,12166.1,-0.363544,26.8758,11.3668,92.6518,-2.79619,-1381.62,256.164,3.94515,0.753689,-1.65475,2.35244,-0.694807,-205.073,-12.5659,46.1685,13923.8,135707,5.23644,2.04498,0.927835,3.64373,0.596485,0.925472,275.069,67.4748,14211.5,0.0230599,0.699654,0.00867032,11928.5 
18,1.6,18,12119.4,-0.425399,26.9409,11.5621,92.3314,0.0753778,-196.644,265.066,2.93709,1.96146,5.60224,2.39823,1.17288,-365.884,385.677,65.2153,13611,10622.7,5.24097,4.26533,10.21,4.7021,3.47676,0.633987,898.865,103.229,14124.2,0.0720204,0.832655,0.0132845,12480.7 
19,2.4,19,7688.88,-0.0275952,21.9282,-10.6326,93.0327,0.00674941,-9.9634,500,2.27726,-1.28049,4.89149,1.02777,4.45593,-506.584,2285.58,25.5624,8725.38,7592.08,5.46709,1.90933,11.2711,4.21759,7.64576,0.630587,2996.11,78.1945,9435.91,0.279135,0.956322,0.0150358,10733.6 
20,6,20,2953.91,-0.100005,19.434,10.5783,93.494,-0.312263,15.435,474.09,9.72639,4.90996,10.6579,3.07511,0.511077,-944.578,8239.91,-11.7604,1063.51,6849.13,15.6741,10.8577,22.5534,9.02286,6.45883,0.650697,9564.77,86.3776,2388.37,0.830042,0.984442,0.0624603,11523.2 
21,8,21,7493.95,-0.885752,23.5505,11.1771,92.8533,5.00015,-5328.77,473.4,-2.55682,1.6364,4.93881,4.67872,-0.749877,-596.22,3331.47,-19.5959,7997.85,875939,1.19742,5.39064,12.4473,8.43295,3.00436,0.591526,4167.73,42.349,8834.11,0.365216,0.982529,0.00875339,11411.7 
22,2.8,22,6950.81,-0.494456,23.0562,10.8164,93.2656,0.729103,79.2509,9.8547e-08,0.154208,2.37562,4.98512,3.3982,1.8261,-681.331,4471.17,49.6418,6746.81,9999.33,4.44437,6.66578,13.5654,7.68836,6.11626,0.64747,5426.81,120.429,7702.44,0.462139,0.962617,0.0279954,11742.8 
23,7,23,5657.2,-0.021366,22.8104,10.4981,93.3751,-0.00979206,43.0279,500,6.37358,2.2776,5.98667,4.09911,6.43181,-886.598,6559.73,10.8195,4461.16,7809.12,11.9562,7.86027,17.152,9.68178,12.0145,0.707627,7803.27,102.934,5704.7,0.625206,0.977436,0.032169,12481.1 
