cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.2227,0,0,8471.73,-0.386846,17.8741,12.8466,80.3259,0.555274,-463.745,396.338,0.35804,-3.4217,-7.37841,-1.41714,-7.43623,-175.914,507.905,80.1141,9646.72,15857.6,1.46573,-2.31402,-5.16304,-0.309455,-6.32854,0.591833,754.642,98.3909,9893.46,0.0851042,0.814222,0.0179902,8867.28 
1,47.2617,1.36,1,8492.66,-0.0868832,17.2973,12.7594,80.9296,0.320227,-211.496,1.8629e-06,-3.97128,-2.15619,-5.89398,-2.72628,-3.49487,-222.682,672.163,74.7492,9439.45,9389.34,-2.56911,-0.754021,-3.08964,-1.32411,-2.0927,0.68568,984.496,97.885,9751.78,0.10962,0.851791,0.0181547,8980.96 
2,47.2227,0,2,9165.93,-0.0505183,19.1489,12.5959,80.8402,0.0689883,2.67994,0.00611639,1.01909,1.9913,-3.48288,-1.96394,-4.15049,-200.238,356.96,103.931,10828.7,7857.82,2.27993,3.25214,-0.961194,-0.703101,-2.88965,1.98269,637.813,124.735,11109.6,0.0654324,0.745022,0.0202635,9747.66 
3,47.2417,1.3,3,7896.47,-0.43145,16.5622,13.3105,80.6618,0.506094,272.735,499.975,3.53906,2.35814,-4.09229,-4.30215,-5.76211,-239.855,699.84,97.8305,9102.09,11669.7,5.04936,3.86844,-1.07169,-2.79185,-4.2518,2.3355,1036.26,122.75,9438.51,0.118081,0.828297,0.0233966,8775.83 
4,47.2437,1.36,4,8650.63,-0.427581,17.9158,13.1949,81.0617,0.0870498,1211.61,489.612,-3.12412,-7.26874,-3.99762,-2.88101,-6.7364,-177.616,1286.77,82.1974,9211.68,11128.9,-2.00572,-6.15034,-1.76082,-1.76261,-5.618,0.898204,1535.89,100.651,9460.8,0.165261,0.897117,0.019221,9293.75 
5,47.2277,1.2,5,9496.65,-0.176185,19.1558,12.8988,80.9424,0.0416446,-179.134,3.04291,0.192576,-4.83693,-1.4292,-1.99325,-3.7765,-220.124,715.967,138.183,10660,8286.34,1.57864,-3.45087,1.34291,-0.607186,-2.39044,1.38076,1024.71,161.053,10968.7,0.102276,0.784285,0.0263352,10019 
6,47.2247,1.2,6,7881.57,-0.479857,17.2761,13.0594,81.0875,-0.149534,341.357,227.918,-0.706495,-0.474895,-5.76126,0.998381,-7.03593,-230.68,675.755,95.208,9280.68,9006.22,0.746035,0.977634,-2.8562,2.45091,-5.5834,0.33032,999.306,119.175,9604.23,0.112601,0.827335,0.0223471,8874.78 
7,47.2557,1.36,7,7867.54,-0.477594,17.6071,12.782,80.7951,-0.206098,602.952,322.636,4.6189,1.49097,-3.05288,-3.66773,-10.624,-112.645,751.736,104.492,9124.47,11371.6,5.3282,2.20026,-1.6343,-2.95844,-9.91467,0.765825,909.731,116.195,9282.47,0.106759,0.817315,0.0225393,8521.35 
9,47.2587,1.36,9,7805.71,-0.219785,16.8998,12.7602,80.4046,-1.75594,911.321,0.00268511,0.680241,4.01149,-2.50082,-4.62702,-5.58531,-131.757,700.1,57.9496,9036.55,59112.4,1.50988,4.84113,-0.841534,-3.79738,-4.75567,0.723504,884.903,71.6387,9221.36,0.104767,0.875907,0.014109,8446.41 
10,47.2017,1.36,10,7960.56,-0.115048,16.9831,12.8544,80.7781,0.11615,-915.762,8.58217e-06,1.67945,-4.48786,1.34354,1.1236,2.56849,-165.289,388.689,82.601,9590.72,10569.2,2.72023,-3.44707,3.42511,2.16438,3.60927,0.59571,620.523,99.7739,9822.56,0.0715299,0.780407,0.0183677,8675.02 
11,47.2147,1.2,11,9477.91,-0.282652,19.7599,12.7204,80.8102,-0.0937404,606.696,500,2.16353,-1.69813,-1.59311,-3.68389,-4.58772,-155.642,420.93,105.032,11008.7,10033.7,3.14357,-0.718089,0.366965,-2.70385,-3.60768,1.10428,639.234,121.203,11227,0.0649272,0.750857,0.0194989,9845.4 
12,47.2257,1.2,12,8103.68,-0.431747,17.5209,12.8409,80.5437,0.502616,469.261,476.201,0.519603,-3.51434,-5.68284,-2.86689,-6.77877,-186.749,685.757,104.441,9432.47,15002,1.69551,-2.33843,-3.33103,-1.69098,-5.60287,0.704376,947.69,123.843,9694.4,0.106517,0.813876,0.0229914,8897.1 
13,47.1987,1.36,13,8656.26,-0.463123,18.0734,13.3094,80.9483,0.276018,125.886,340.731,2.76575,-5.94843,-6.57432,-3.76713,-5.30883,-131.151,238.769,83.0348,10625,8961.69,3.59157,-5.12261,-4.92267,-2.94131,-4.483,0.64529,422.721,96.6609,10809,0.045522,0.714204,0.0162063,9286.08 
14,47.2167,1.2,14,7765.73,-0.172022,16.4322,12.8729,80.6004,-0.114296,229.267,4.37718e-09,-0.848665,1.29065,-4.89883,1.61569,-5.41627,-199.064,380.974,84.307,9413.76,7739.08,0.404789,2.5441,-2.39192,2.86914,-4.16282,-2.24677,660.181,104.989,9692.97,0.0766902,0.782287,0.0195624,8608.42 
15,47.2217,1.1,15,9165.95,0.0658076,18.9507,12.3891,80.9431,-0.0234148,13.4603,7.26137e-08,-1.69276,0.00321786,-7.45156,-3.92277,-6.71878,-181.678,267.275,106.069,10912.1,7653.21,-0.548786,1.1472,-5.1636,-2.77879,-5.5748,0.600303,522.096,124.945,11166.9,0.0539412,0.704821,0.0201948,9678.98 
16,47.2497,1.36,16,8069.33,-0.434646,17.7005,12.6869,80.9153,0.626717,253.697,423.336,-4.63218,-11.1143,-11.54,-7.47953,-6.04216,-229.827,1066.18,46.6785,9074.19,12486.2,-3.18502,-9.66712,-8.64564,-6.03237,-4.595,0.730876,1388.53,70.5565,9396.54,0.152692,0.918338,0.0136433,9093.7 
17,47.2237,1.2,17,9132.11,-0.0347243,18.6005,12.6962,80.6665,0.0211663,-17.7959,500,2.28869,4.87833,-4.78344,-3.4693,-8.11076,-223.77,1145.35,74.4281,9837.95,7699.92,3.69771,6.28735,-1.9654,-2.06028,-6.70174,-1.6475,1459.21,97.6769,10151.8,0.149147,0.895142,0.0174154,9783.7 
18,47.2227,0,18,9413.34,-0.376329,19.755,12.5107,81.0067,-0.0206008,346.1,58.8471,-0.0504324,-2.37996,2.87727,-0.968064,-4.09336,-186.919,247.54,55.3898,11082,8277.6,1.12655,-1.20298,5.23123,0.208918,-2.91638,-1.13752,509.712,74.81,11344.2,0.0519483,0.795643,0.0120021,9811.92 
19,47.2467,1.36,19,8636.74,-0.374604,18.3229,12.5572,80.7788,0.304875,-222.56,204,-0.371224,-1.55427,-6.56408,-4.7947,-9.14244,-210.614,1427.9,83.4392,8840.23,9698.83,0.954958,-0.228092,-3.91172,-3.46852,-7.81625,0.72966,1723.31,105.321,9135.63,0.187021,0.903381,0.0207953,9214.53 
20,47.2187,1.2,20,9466.2,-0.187977,19.5228,12.7021,80.966,0.0904223,-201.991,0.000169751,0.450229,-1.96072,-2.78089,2.19479,-4.29822,-148.668,777.855,92.9397,10522.8,8667.15,1.38635,-1.0246,-0.908648,3.13091,-3.3621,-0.167809,986.376,108.386,10731.4,0.100794,0.838719,0.0182653,9786.09 
21,47.2357,1.3,21,8422.75,-0.023701,17.2299,12.6347,80.8106,0.00683557,-17.7395,500,0.29812,-1.59414,-1.7754,-0.344432,1.716,-141.93,1081.04,66.66,9058.37,7090.61,1.19181,-0.70045,0.0119847,0.549262,2.60969,0.996728,1280.11,81.4059,9257.44,0.1443,0.899857,0.0159405,8871.21 
22,47.2317,1.2,22,8516.93,-0.340584,18.195,12.6651,81.0673,0.176572,-908.88,500,2.37062,0.140538,-2.25699,0.79594,-8.45511,-49.4755,403.327,57.9998,10009.9,12725.9,2.68215,0.452072,-1.63392,1.10747,-8.14358,0.704845,472.721,63.1401,10079.3,0.0541009,0.810541,0.0114079,8737.76 
23,47.2077,1.36,23,8090.21,-0.15987,17.2177,12.6075,80.5949,0.185964,8.40046,500,-0.571161,-2.68878,-2.04677,-0.971717,-5.27719,-156.823,554.1,66.0971,9462.66,7117.27,0.416309,-1.70131,-0.0718322,0.0157529,-4.28972,0.987243,774.059,82.3904,9682.62,0.0888313,0.842979,0.0154328,8713.81 
24,47.2337,1.3,24,8292.95,-0.410436,17.7812,12.7768,80.7651,0.207287,314.428,46.32,-1.09731,-0.936192,-5.5154,-1.65553,3.44749,-138.127,1407.69,93.5428,8846.93,9517.42,-0.227557,-0.0664429,-3.7759,-0.785777,4.31724,-6.01264,1601.43,107.894,9040.67,0.177645,0.894532,0.0215113,9014.78 
25,47.2297,1.2,25,9152.33,-0.0898531,19.3308,12.2762,80.8515,0.0848066,-14.4015,1.13644e-09,1.13897,0.165206,-5.13331,5.0523,-3.074,-164.997,615.974,81.5267,10362.1,7764.95,2.17791,1.20415,-3.05542,6.09125,-2.03506,1.69713,847.399,98.6693,10593.5,0.0888814,0.830726,0.0168682,9534.05 
26,47.2377,1.3,26,8960.68,-0.0468182,18.7399,12.6219,80.8346,0.0159905,-1.19518,1.62726e-05,2.71658,2.75564,-4.14385,-1.31805,-3.96903,-98.0904,978.674,87.7107,10129.9,7700.57,3.33423,3.37328,-2.90855,-0.7004,-3.35138,-10.5045,1116.26,97.9019,10267.5,0.117062,0.866938,0.0172616,9535.57 
27,47.2527,1.36,27,8647.54,-0.428124,18.5662,12.7322,80.8061,0.0692646,-4.57064,364.566,3.03374,1.80587,-3.54328,-2.117,-3.25793,-160.16,940.566,91.2169,9650.13,7705.51,4.04223,2.81435,-1.52631,-1.10852,-2.24944,1.77387,1165.21,107.857,9874.77,0.125798,0.860594,0.0197235,9262.52 
28,47.2227,1.1,28,9135.36,-0.124313,18.916,12.4256,80.7389,0.194291,64.3115,0.0382252,5.69375,2.24846,7.36001,-3.14466,-2.9679,-176.007,426.493,87.7521,10426.1,8058.13,6.80202,3.35672,9.57654,-2.03639,-1.85963,0.395392,673.36,106.038,10673,0.0714424,0.783954,0.0179728,9425.21 
29,47.2107,1.3,29,8198.72,-0.41801,17.6279,12.7917,80.7457,-0.792401,399.794,171.625,3.03013,0.803249,3.78218,-1.26981,-4.89245,-89.8016,461.027,66.1886,9483.2,17653.3,3.59558,1.36871,4.91309,-0.704357,-4.327,-0.0138391,586.983,75.5187,9609.16,0.0693301,0.816228,0.0142706,8466.49 
30,47.2397,1.3,30,8114.99,-0.438146,17.0176,13.2778,80.5935,-0.197841,-363.876,328.906,2.0061,-3.42737,0.214969,-1.34185,-10.2772,-153.378,768.295,93.729,9064.56,9699.13,2.97188,-2.46159,2.14652,-0.376068,-9.31142,1.30531,983.422,109.664,9279.68,0.114448,0.836717,0.0213056,8592.76 
31,47.2197,1.2,31,9191.27,-0.397266,19.4703,12.5678,81.3149,0.225423,1000.96,242.562,-2.88087,-0.304385,-8.55739,-1.5964,0.600598,-169.02,1390.72,74.6454,9577.38,15311.1,-1.8166,0.75989,-6.42884,-0.53212,1.66487,-0.0119702,1627.79,92.2059,9814.44,0.168236,0.909812,0.017012,9675.63 
32,47.2127,1.3,32,8659.76,-0.0425883,17.6915,12.5165,80.8587,0.0056772,8.19711,500,0.720591,-5.56709,-0.307667,-1.69052,-6.21945,-152.402,711.507,68.1361,9729.81,7209.98,1.68022,-4.60746,1.6116,-0.730881,-5.25981,1.22058,925.265,83.9701,9943.57,0.101913,0.862949,0.0153177,9078.99 
33,47.2267,1.2,33,8132.04,-0.40114,17.6564,12.5807,80.6164,0.185681,272.822,474.883,0.0210291,-2.6625,0.420076,-0.883211,-1.99133,-85.7132,747.59,59.2999,9196.46,8880.16,0.560742,-2.12279,1.4995,-0.343498,-1.45162,1.8072,867.812,68.2051,9316.68,0.102006,0.87909,0.0133062,8507.49 
34,47.2047,1.36,34,9036.99,-0.409722,19.0943,12.7138,80.9017,0.15566,112.438,434.003,3.45308,1.42068,-7.5263,-0.179368,-2.70908,-126.511,399.112,85.3704,10554.6,8472.41,4.24969,2.21729,-5.93308,0.61724,-1.91247,-6.79299,576.557,98.5145,10732,0.0614876,0.769813,0.0166284,9376.8 
35,47.2227,0,35,8734.46,-0.0716287,18.4151,12.3006,80.7362,0.0576991,-22.1085,500,1.75977,-2.06348,-4.64888,-5.13664,-7.22644,-181.732,296.73,87.7327,10273,7415.41,2.90409,-0.919159,-2.36024,-3.99232,-6.08212,0.774134,551.628,106.614,10527.9,0.0600608,0.747258,0.0183131,9184.49 
36,47.2617,1.36,36,8442.01,-0.445447,17.6758,13.2321,80.804,2.18137,669.528,450.271,2.0234,1.82599,-1.66375,-3.84399,1.82099,-143.412,716.046,82.8307,9797.67,55157.6,2.92643,2.72901,0.142302,-2.94096,2.72402,0.974501,917.195,97.7306,9998.82,0.100611,0.842837,0.0176867,9116.23 
37,47.2227,0,37,9012.39,-0.399606,18.4229,13.0859,80.5165,0.310182,295.503,241.783,2.53656,-3.95999,-2.44034,-1.28341,-1.59203,-157.306,489.604,57.7347,10387,10831.7,3.52708,-2.96948,-0.459319,-0.292901,-0.601522,0.423071,710.24,74.0781,10607.7,0.0754891,0.845648,0.0127009,9408.52 
38,47.2417,1.3,38,9117.35,-0.422574,18.7849,13.0936,80.6541,-0.0725302,731.399,0.206988,1.64587,0.969278,-4.15707,-3.4005,-4.5086,-141.09,971.683,95.2988,10039,9733.83,2.53428,1.85769,-2.38025,-2.51209,-3.62019,0.422349,1169.58,109.957,10236.9,0.122291,0.858719,0.0194026,9563.85 
39,47.2437,1.36,39,8874.86,-0.0717793,17.9864,12.9402,80.7841,-0.284301,755.124,500,-1.08947,0.660555,-3.48763,-2.14209,-4.11485,-178.813,1279.23,89.1364,9519.89,14565.3,0.0364702,1.78649,-1.23576,-1.01616,-2.98892,0.638442,1530.03,107.714,9770.7,0.160347,0.890313,0.0199036,9542 
40,47.2277,1.2,40,8768.94,-0.164117,18.1751,12.6957,80.5939,0.0679545,-7.42137,8.53585e-07,-3.35083,0.93095,-4.5568,-2.3838,-0.930732,-190.728,681.721,78.7754,9976.79,7527.98,-2.14986,2.13192,-2.15487,-1.18283,0.270233,0.301595,949.236,98.5913,10244.3,0.101527,0.846194,0.0174196,9349.57 
41,47.2247,1.2,41,8884.98,-0.372909,18.7059,12.5781,80.5733,0.262825,123.5,19.2801,0.314337,-3.43543,-7.15187,0.482183,-8.1811,-166.284,945.003,89.3806,9819.14,8715.92,1.36138,-2.38838,-5.05778,1.52923,-7.13405,0.567327,1178.23,106.657,10052.4,0.125062,0.863249,0.0191703,9421.18 
42,47.2557,1.36,42,9730.17,-0.33319,19.9134,13.0657,80.7643,0.0164407,211.767,0.000873415,-1.41415,-4.48371,-2.36572,-4.98059,-3.09752,-144.653,892.591,92.0973,10830.2,8583.14,-0.503306,-3.57287,-0.544034,-4.06975,-2.18667,0.949981,1095.48,107.126,11033.1,0.108007,0.853875,0.0175716,10142.6 
