cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
1,47.2232,1.15,1,8892.11,-0.172933,18.9833,12.575,80.0983,0.16421,-16.0023,500,-2.4539,0.400248,-12.9041,-2.00819,-4.83223,-143.9,576.259,62.5903,10422.4,7856.49,-1.54779,1.30635,-11.0919,-1.10209,-3.92612,0.322076,778.093,77.541,10624.2,0.0819913,0.851501,0.0132663,9489.94 
2,47.2202,1.15,2,9321.01,-0.416666,19.2515,12.9713,80.2013,0.177108,174.685,275.45,3.53348,-5.25631,2.29328,-2.55887,2.05895,-168.056,511.942,78.1166,10599.8,9136.25,4.59168,-4.19811,4.40968,-1.50067,3.11715,0.313105,747.656,95.5769,10835.5,0.0776162,0.817186,0.0159889,9632.74 
3,47.2237,1.15,3,9000.86,-0.0750918,18.3338,12.8457,80.1538,0.0253271,88.135,500,0.112641,-3.69896,-8.01856,-1.95797,-0.228573,-189.114,512.406,84.3121,10374.9,7739.31,1.30344,-2.50816,-5.63696,-0.767173,0.962226,0.151906,777.657,103.96,10640.2,0.081836,0.810408,0.0176801,9502.62 
4,47.2222,1.15,4,9136.97,-0.0576311,18.5963,12.6927,80.6677,0.0463164,-45.2729,6.29091,-2.03904,-0.909938,-3.70401,-0.189334,-3.97523,-147.556,470.912,68.3581,10584.5,7752.05,-1.10992,0.0191837,-1.84577,0.739787,-3.04611,0.647944,677.873,83.6886,10791.5,0.0711539,0.822334,0.0140845,9526.87 
5,47.2217,1.15,5,10482.9,-0.45263,21.7254,12.8437,80.593,0.401948,-83.6176,391.885,1.0386,-4.87394,-9.96003,-1.84821,-2.72105,-165.142,1045.8,76.6863,11383.3,10177.6,2.07845,-3.83408,-7.88032,-0.808356,-1.68119,0.350104,1277.43,93.8439,11614.9,0.118263,0.886085,0.0146653,10801.6 
6,47.2242,1.15,6,9623.75,-0.0174193,20.0753,12.1295,80.2642,-0.0216719,-20.8309,500,-0.262667,-6.95774,-4.96808,-0.329338,-1.39754,-186.856,547.056,63.9504,10907.3,7941.58,0.913918,-5.78115,-2.61491,0.847247,-0.220953,0.618587,809.14,83.364,11169.4,0.0811736,0.847243,0.0135623,9968.02 
7,47.2227,0,7,9487.74,-0.169064,19.4265,12.7752,80.3678,0.200789,99.3202,499.999,-1.39111,-1.99891,-9.00367,-1.12152,-5.57242,-185.415,327.145,76.6893,11003,8728.15,-0.223595,-0.831396,-6.66865,0.0459884,-4.4049,0.448076,587.208,95.9532,11263.1,0.0597793,0.777629,0.0154509,9822.94 
8,47.2207,1.15,8,8266.21,-0.0525961,17.6891,12.161,80.3066,-0.0160621,24.0481,1.1635e-10,-2.08029,-1.59674,1.98111,-3.44426,-6.05081,-122.178,952.872,81.1118,9120.54,7015.36,-1.31096,-0.827419,3.51976,-2.67493,-5.28149,1.53532,1124.24,93.8056,9291.91,0.128578,0.872586,0.0182573,8743.6 
9,47.2227,1.15,9,8650.34,-0.417502,18.9046,12.4438,80.3532,0.140269,107.722,26.3435,-1.37961,-1.76598,2.11233,-2.57557,-4.56683,-138.132,786.795,54.1169,9787.87,8149.85,-0.509831,-0.896203,3.85189,-1.70579,-3.69706,2.30264,980.538,68.4682,9981.61,0.106982,0.891109,0.0124781,9165.46 
10,47.2212,1.15,10,9738.71,-0.404532,19.7982,13.0019,80.4644,0.415912,1.98758,110.27,-0.589761,1.63754,-12.6846,-4.13408,-5.13233,-123.41,687.076,46.9201,10923.4,8406.59,0.187321,2.41463,-11.1305,-3.35699,-4.35525,0.314659,860.171,59.742,11096.5,0.0863689,0.891628,0.00982027,9959.27 
11,47.2197,1.15,11,9874,-0.45794,20.8825,12.7576,80.3858,-4.61083,4195.19,14.7974,-1.42464,5.32577,1.79753,-0.860581,-4.30439,-161.909,734.717,56.9232,11211.3,638362,-0.405139,6.34526,3.83653,0.158917,-3.2849,0.423137,961.81,73.7449,11438.4,0.0930069,0.881696,0.0117369,10341.3 
12,47.2247,1.15,12,8406.84,-0.116241,17.6173,12.6162,80.4559,-1.28213,-30.0636,500,-2.54331,-4.48154,2.61814,-6.0455,-5.1524,-151.764,472.761,63.9735,9846.82,8490.18,-1.5877,-3.52592,4.52937,-5.08989,-4.19678,1.45886,685.625,79.7412,10059.7,0.0767384,0.830887,0.0143919,8934.57 
13,47.2232,1.15,13,9574.79,-0.465539,20.6741,12.6134,80.3655,-0.898456,-151.877,324.592,0.959049,-0.0539962,-3.28064,1.7046,-2.82478,-186.802,531.916,75.9841,11142.9,12931,2.13529,1.12225,-0.928158,2.88084,-1.64854,1.2606,793.924,95.3921,11404.9,0.0782503,0.826264,0.0151738,10145.9 
14,47.2202,1.15,14,9836.64,-0.153629,20.09,12.7384,80.4184,0.714039,-947.233,499.295,1.39423,-1.46936,-7.07532,-2.03482,-3.26864,-204.005,523.476,60.8479,11265.5,30348.7,2.67879,-0.184796,-4.50618,-0.750251,-1.98408,0.0506338,809.613,82.0433,11551.6,0.0787412,0.849373,0.0129142,10281.9 
15,47.2237,1.15,15,9226.82,-0.403197,18.9445,12.9929,80.4818,0.147625,-371.14,357.661,-0.868353,2.29173,0.568041,-2.44334,-4.42122,-165.797,874.672,60.9016,10065.1,9796.39,0.175626,3.33571,2.656,-1.39936,-3.37724,-0.909772,1107.22,78.1273,10297.7,0.115923,0.890089,0.0137832,9551.32 
