cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,9,0,9676.46,-0.429389,22.4211,11.5463,91.5123,1.9434,-1651.36,466.726,-3.52127,2.67256,-4.09038,-3.22682,-0.638796,-276.287,988.523,39.6906,10975.6,112900,-1.78156,4.41226,-0.610976,-1.48712,1.10091,1.37403,1376.04,68.3958,11363.2,0.128676,0.919977,0.0109662,10693.8 
1,2.8,1,8628.43,-0.425956,19.7314,11.8913,91.7781,0.691798,-227.915,338.054,-1.01778,2.71206,-1.8179,0.203736,-2.30075,-299.475,3949.07,67.5648,6821.7,12770.8,0.867939,4.59778,1.95354,2.08945,-0.415034,0.785176,4369.11,98.6792,7241.74,0.423883,0.961978,0.0244867,10307.3 
2,1.35,2,11900,-0.435933,25.8779,11.8993,91.0028,-0.270828,917.366,460.487,-3.05452,0.157346,-5.77804,-2.42773,-1.92012,-248.083,-13.0432,11.3709,14037.1,18111.9,-1.49241,1.71946,-2.65381,-0.865622,-0.358004,0.273006,334.917,37.1457,14385,0.0276092,0.837456,0.00473426,12130.6 
3,1.2,3,12073.2,-0.110331,26.728,11.2556,91.1266,0.274623,-202.182,500,-0.883282,0.0862026,-1.89011,4.19481,-3.13963,-293.915,-168.826,6.82232,14294.4,11600.8,0.96742,1.9369,1.81129,6.04551,-1.28893,0.808778,243.418,37.3589,14706.7,0.0197854,0.788281,0.00465764,12302.9 
4,1.4,4,12585.2,-0.387416,28.3923,11.2982,91.1224,-1.14904,-208.429,6.77205e-05,-1.20676,-2.56971,-4.44143,-2.699,-1.99866,-269.245,-39.5308,16.4284,14693.6,18238.8,0.488602,-0.874346,-1.0507,-1.00363,-0.303292,0.617003,338.112,44.402,15071.3,0.0266302,0.81313,0.00539779,12696.6 
5,1.45,5,12375.7,-0.166797,27.4009,11.4251,90.9398,-0.266489,82.9258,1.87668e-12,-1.45546,-3.06858,-6.7847,-0.979881,-2.36272,-280.657,132.224,48.0139,14367.8,10910.5,0.311762,-1.30135,-3.25025,0.787344,-0.595495,0.197071,525.874,77.1731,14761.4,0.041636,0.795661,0.00953871,12630.3 
6,8,6,8094.89,-0.430608,19.3399,11.6166,91.8518,1.3902,-196.145,238.988,-0.0263752,-0.653395,-7.01566,2.63881,0.398562,-227.162,3137.86,45.0229,7216.74,16190.2,1.404,0.776984,-4.1549,4.06918,1.82894,2.05879,3456.48,68.6242,7535.36,0.358724,0.966422,0.0164992,9635.47 
7,2,7,11244.5,-0.186117,25.5253,11.0271,91.3645,-9.65786,9913.36,242.346,-1.47755,3.04139,-5.65052,3.14344,2.49648,-305.069,1324.15,30.2351,12020.4,3.12588e+06,0.443387,4.96232,-1.80864,5.06438,4.41741,1.13829,1752.04,61.9306,12448.3,0.146497,0.941745,0.00908132,11959.6 
8,1.3,8,10644.5,-0.114416,25.849,10.8046,90.7989,0.474683,-211.879,500,0.183876,-2.58869,1.90633,-1.16996,-2.2877,-338.246,-25.6562,-10.9768,13092,12365.8,2.31372,-0.458847,6.16601,0.959881,-0.157854,0.301136,448.766,24.1656,13566.4,0.0387764,0.91388,0.00327059,11573.2 
9,1.75,9,11551.7,-0.00836689,25.084,11.5131,91.3622,-0.0076833,10.439,1.00734e-11,-4.42953,0.850177,-10.0253,-1.31721,-1.72713,-338.438,497.168,33.5991,13051.8,9403.81,-2.29847,2.98123,-5.76322,0.81385,0.403929,-0.492028,971.861,68.7615,13526.4,0.0805618,0.889825,0.00927745,12063.5 
10,1.6,10,8000.75,-0.280376,15.5903,14.0105,90.7779,-0.918216,155.833,500,-2.38696,-3.48127,-2.20919,2.56066,0.493418,-205.085,128.498,-4.04374,9876.57,11768.5,-1.09559,-2.1899,0.37354,3.85202,1.78478,0.862913,416.149,17.2638,10164.2,0.0475555,0.932316,0.00311903,8750.81 
11,4,11,6525.54,-0.479721,17.1227,11.4553,92.3164,1.80926,-1212.26,435.008,-3.74943,-1.14913,6.07677,0.830978,-0.58208,-295.431,7553.17,114.027,1443.01,77784.6,-1.88919,0.711123,9.79726,2.69123,1.27817,0.221735,7967.54,144.721,1857.38,0.83952,0.969193,0.125516,9490.59 
12,6,12,7047.65,-0.464188,17.8092,11.5517,92.3914,0.182513,163.049,345.752,2.06971,2.72839,4.56943,-1.62861,-0.768108,-347.642,7902.42,121.857,1475.26,7665.78,4.25872,4.9174,8.94745,0.560403,1.4209,0.554961,8390.02,157.976,1962.86,0.839039,0.9681,0.129115,9999.56 
13,10,13,11243,-0.16202,25.5202,11.085,91.1913,-0.0604926,104.281,500,0.00549235,-3.26096,-0.659156,-2.3863,0.117134,-333.144,-52.7039,44.6124,13243.3,9414.42,2.10321,-1.16324,3.53629,-0.288581,2.21486,0.447674,414.564,79.2248,13710.6,0.0355627,0.749382,0.0105322,11657.3 
14,0,14,10118.3,-0.420793,24.2972,11.0097,91.3374,0.570238,-730.934,277.838,-3.84189,-2.14942,-1.95737,-1.48545,-0.942961,-272.528,-34.0942,-4.04515,12233.5,22276.6,-2.12585,-0.433386,1.4747,0.230586,0.773074,19.2331,348.153,24.2694,12615.7,0.0325588,0.891273,0.00353122,10693.1 
15,3.5,15,8110.75,-0.451798,19.6271,11.5867,92.1815,0.1018,209.634,498.671,-1.25929,-3.47737,-3.85311,-0.298423,2.07416,-335.001,6996.8,129.421,3401.72,8097.74,0.850119,-1.36796,0.365718,1.81099,4.18357,0.937403,7466.68,164.227,3871.59,0.701664,0.962936,0.072476,10641.4 
16,7,16,8212.74,-0.39998,19.5623,11.4379,92.185,0.260694,141.686,298.734,-0.180323,3.66731,6.85973,-1.74034,-5.66884,-275.539,5661.78,112.061,4524.97,8486.27,1.55467,5.4023,10.3297,-0.00534478,-3.93384,0.226094,6048.25,140.688,4911.44,0.600285,0.960886,0.0501223,10075.6 
17,1.55,17,11101.5,-0.143048,25.391,11.1103,91.4452,0.432037,-396.056,0.74109,0.337426,0.794767,-3.54087,0.158005,-1.32418,-234.271,116.959,14.7415,13152,14753.5,1.81257,2.26991,-0.590589,1.63314,0.150957,1.11194,445.546,39.0813,13480.6,0.0387444,0.866925,0.00531205,11499.6 
18,5,18,6926.58,-0.40492,17.2998,11.3512,92.7967,-0.0393545,267.772,482.409,2.62472,3.18226,5.04269,4.90996,-2.67377,-376.173,8594.73,150.708,402.61,6735.68,4.99338,5.55092,9.78001,7.27862,-0.305113,0.641729,9122.35,189.791,930.229,0.922835,0.96487,0.27317,9885.14 
19,2.4,19,10217.7,-0.4337,23.0244,11.7756,91.7809,0.59335,-516.592,49.5896,1.34555,2.39751,-2.03573,-0.904467,-4.33859,-267.815,2576.69,65.9768,9833.04,18804.3,3.03191,4.08388,1.337,0.781894,-2.65223,0.796885,2952.33,93.8017,10208.7,0.260727,0.947327,0.0166443,11323.4 
20,3,20,8190.45,0.00428537,19.5636,11.1077,91.9218,-0.00804698,3.17707,2.75769e-12,0.373457,0.0939932,1.85137,2.29626,0.292633,-286.867,4617.19,92.1903,5850.46,7074.9,2.17978,1.90032,5.46402,4.10258,2.09896,0.652982,5019.55,121.995,6252.82,0.49469,0.959203,0.0346932,10146.9 
21,1.65,21,10911.4,-0.396625,25.4018,11.4123,91.4099,-0.222386,68.6842,0.068128,-3.95368,6.2837,3.0108,2.88023,-3.61429,-343.398,365.401,35.99,12734.9,9934.2,-1.7914,8.44599,7.33537,5.04251,-1.452,0.582755,847.05,71.6677,13216.6,0.0724925,0.871031,0.00989013,11684.7 
22,2.6,22,8739.86,-0.0817282,19.8663,11.4512,91.9577,-0.043073,175.689,1.28381e-08,-2.99426,1.88506,-3.89575,0.400602,-0.624373,-302.702,3401.8,60.0392,7360.63,7652,-1.08822,3.79109,-0.0836841,2.30663,1.28166,1.01348,3826.37,91.4887,7785.2,0.374758,0.959838,0.021189,10210.2 
23,2.1,23,10353.3,-0.386124,23.5933,11.3878,91.5769,0.479408,-229.927,482.283,-0.12335,-4.51964,-3.49857,-0.999065,2.59921,-284.965,1576.47,57.259,10718.4,12334.6,1.671,-2.7253,0.0901208,0.795281,4.39356,0.978668,1976.16,86.8657,11118.1,0.178145,0.92857,0.0141882,11093 
24,2.2,24,9724.08,-0.030535,22.8996,11.0907,91.7895,0.0599511,-310.656,495.995,-4.84295,-1.49698,-1.65421,0.842789,-2.18929,-323.857,1939.19,54.9982,10080.8,8873.9,-2.80372,0.542255,2.42426,2.88203,-0.150054,0.162539,2393.43,88.6456,10535.1,0.21695,0.93913,0.0152635,11032.2 
25,1.8,25,10648.4,-0.147045,24.254,11.2082,91.4999,-0.0557525,217.132,5.72171e-05,-1.25549,-1.53299,-3.78737,0.667733,0.652203,-285.382,508.978,26.7095,12215.8,9243.47,0.541485,0.263983,-0.193421,2.46471,2.44918,1.035,909.254,56.3595,12616.1,0.0807907,0.902142,0.00816203,11254.4 
26,9,26,11926.7,-0.431914,27.0462,11.3896,91.4061,0.0375728,691.243,253.269,-2.92929,-0.606795,1.9658,-1.84983,-0.046837,-309.014,1008.81,37.1,13042.7,10873.4,-0.983517,1.33898,5.85735,0.0959496,1.89894,0.286359,1442.23,69.2053,13476.1,0.115446,0.922532,0.00937129,12492.7 
27,2.8,27,9258.4,-0.0704947,21.6503,11.3805,92.0836,0.0231013,-1.11628,500,-1.12042,1.34265,-8.89014,0.530776,-0.150442,-322.623,4544.47,87.93,6941.9,8021.65,0.911057,3.37412,-4.8272,2.56225,1.88103,2.23734,4996.98,121.449,7394.41,0.45179,0.959202,0.0293671,11060.4 
28,1.35,28,13307.8,-0.0541828,29.2907,11.2985,91.3535,0.253461,-80.0298,1.94403,0.674723,-2.05792,-0.47122,-0.605411,-3.66676,-324.705,-96.6677,15.5147,15556.2,11433.6,2.7193,-0.0133413,3.61794,1.43917,-1.62218,0.410844,358.762,49.2503,16011.6,0.0265981,0.806298,0.00563422,13488.3 
29,1.2,29,11024.6,-0.515809,26.5757,11.4113,91.0919,-0.337379,-414.975,499.999,-9.24556,-6.30987,0.614389,-2.61429,-0.409165,-252.118,148.144,23.5769,13435.8,14429.8,-7.65804,-4.72235,3.78943,-1.02677,1.17836,1.44902,501.764,49.771,13789.4,0.0424896,0.852089,0.0066049,11809.1 
30,1.4,30,12019.8,-0.466389,26.3133,11.9323,90.9374,0.193587,658.807,112.846,-2.52616,-4.58853,-0.380002,-6.35828,-1.88891,-284.692,127.524,34.2978,14108.7,14372.8,-0.733532,-2.7959,3.20525,-4.56566,-0.0962858,1.64284,526.832,63.8762,14508,0.0424064,0.82496,0.00804522,12423.4 
31,1.45,31,10302.1,-0.292747,23.4868,11.3647,91.1594,1.05085,-436.61,488.618,4.66505,-1.02363,-2.99231,3.22245,0.927341,-276.477,15.4985,11.4173,12450.7,23624.9,6.40595,0.717268,0.489487,4.96335,2.66824,0.96789,403.284,40.1422,12838.4,0.0368943,0.851649,0.00572676,10930.8 
32,8,32,9317.36,-0.0713646,21.3438,11.2977,91.6536,-0.0199502,41.5653,500,-5.44405,-1.35918,3.39808,3.74928,-2.85786,-323.556,3338.08,49.5903,8059.7,7876.78,-3.40671,0.678167,7.47277,5.78662,-0.820511,0.230432,3791.9,83.2065,8513.52,0.351982,0.963019,0.0176853,10773 
33,2,33,10669,-0.0395195,25.3872,10.6779,92.1393,-0.0917346,-29.3901,5.66481e-05,2.90169,-2.01292,6.19362,-0.738456,0.134461,-280.823,1134.28,37.4218,11581.6,8912.41,4.66996,-0.244648,9.73016,1.02981,1.90273,0.430586,1528.17,66.5982,11975.5,0.134663,0.929138,0.0101404,11348.1 
34,1.3,34,12102.9,-0.470789,26.3148,12.0191,91.0349,0.896923,-735.891,174.973,5.00432,-0.603679,-1.50737,-4.26823,-2.98509,-308.281,78.0345,39.4297,14082.6,31782.4,6.94548,1.33748,2.37495,-2.32707,-1.04393,0.67408,510.428,71.4588,14515,0.0411215,0.803215,0.00898739,12412.7 
