cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,2.4,0,15634.2,-1.37143,41.578,11.9084,93.0979,-3.61798,4541.56,169.101,5.05316,9.41805,11.3761,-1.32616,-0.24653,-940.382,5972.64,-10.7008,15284.9,551010,10.9745,15.3394,23.2187,4.59517,5.6748,0.611744,7291.61,87.0013,16603.9,0.348767,0.979547,0.00955999,20906.8 
1,6,1,9990.1,-0.428503,42.4503,11.488,93.8402,-0.129103,-593.398,500,13.0338,12.4783,16.7069,2.93075,4.84064,-1888.04,20212.2,-58.4408,1350.87,18369.1,24.9223,24.3667,40.4838,14.8192,16.7291,0.666309,22860.3,137.719,3999.03,0.87455,0.989567,0.0596542,26139.5 
2,8,2,15441.2,-0.042792,41.464,11.333,93.1919,-0.0255299,58.2423,1.67993e-10,6.37818,10.2113,17.6481,2.56282,3.55617,-1151.79,7270.19,-14.4823,14195.4,15345.6,13.6307,17.4638,32.1531,9.81531,10.8087,0.616639,8885.69,105.184,15810.9,0.406656,0.979705,0.0121065,21850.6 
3,2.8,3,13774.1,-0.767152,42.9396,11.5815,93.2114,0.10089,-493.957,500,6.81957,5.57926,15.1478,6.94534,5.36765,-1389.47,10198.4,-19.5686,11702.2,17811.2,15.5687,14.3284,32.646,15.6945,14.1168,0.646513,12147.3,124.792,13651,0.520424,0.982339,0.0165609,23341.1 
4,7,4,12559.7,-0.0288164,43.2342,11.2327,93.3506,-0.0441789,-48.2726,500,7.48462,12.5602,16.2318,6.03663,5.11058,-1662.47,15137.9,7.51856,7061.07,15878.6,17.9528,23.0283,37.168,16.5048,15.5787,0.662822,17469.6,180.243,9392.85,0.694017,0.982265,0.034142,25171.8 
5,3.5,5,9433.69,-0.111628,39.2531,11.0531,93.4205,-1.02344,804.083,3.53277e-06,7.27645,10.7098,23.3877,5.92504,7.81954,-1699.45,15647.6,-34.6326,4013.12,40912.8,17.9774,21.4108,44.7897,16.626,18.5205,0.624639,18031.3,141.934,6396.77,0.774652,0.986412,0.0392683,23276.6 
6,2.6,6,14664.8,-0.262041,41.0471,11.2208,92.9743,0.492119,16.3803,499.996,3.5344,6.31689,9.8182,6.12898,3.55654,-1075.34,7408.87,-10.5452,13447.5,15255.9,10.3055,13.088,23.3604,12.9001,10.3277,0.666192,8917.13,101.178,14955.8,0.421,0.98053,0.0123088,21180.9 
7,2.2,7,18034.1,-0.0222214,42.0626,11.4865,93.1297,0.00706925,-14.0666,500,-1.55537,4.70671,6.04084,2.52198,2.89712,-777.304,3965.3,6.68757,18226.7,15731.5,3.3391,9.60119,15.8298,7.41646,7.7916,0.640053,5055.54,87.4465,19317,0.241944,0.970619,0.0082701,20895.5 
8,1.8,8,20951.2,-0.0230228,43.3137,11.8193,92.7901,-0.0247294,33.9388,500,3.85504,4.13984,-5.20969,1.6982,5.24146,-499.994,1196.19,-18.0742,22295.1,16692.6,7.00337,7.28817,1.08698,4.84653,8.38979,0.962013,1897.48,33.8732,22996.4,0.091425,0.969706,0.00270604,20754.5 
9,9,9,18824.8,-0.0649058,41.4685,11.6166,92.8109,0.00848473,-114.502,499.949,1.50301,4.94635,9.58729,-0.984436,3.35855,-554.333,2075.24,-16.0693,20075.6,15713.3,4.9935,8.43684,16.5683,2.50605,6.84904,0.578991,2852.75,41.5237,20853.1,0.142979,0.97516,0.00365469,19952.3 
10,2.1,10,17424.7,-0.02678,40.2876,11.4415,93.0086,0.0250366,-1.72738,500,3.10399,6.78372,-0.49605,0.76891,3.93473,-612.117,2625.9,-1.08947,18718.1,15006.9,6.95833,10.6381,7.21263,4.62325,7.78907,0.806223,3484.46,62.5071,19576.7,0.178349,0.969563,0.00584734,19537.3 
