cyc,pulse time (ms),wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,0.24,0.57,17,15205.8,-1.12618,38.9728,11.7521,94.6713,0.0856821,-636.882,17.8291,-16.6842,-10.9373,-34.6765,-12.1556,-13.7666,-484.675,1696.83,31.8552,19014.5,16686.2,-13.6323,-7.88542,-28.5727,-9.10369,-10.7147,0.591286,2376.63,82.211,19694.3,0.128286,0.94292,0.00763091,18526 
18,0.01,0.8,18,16666.4,-0.415321,41.1211,11.5758,94.9771,0.686584,408.342,1.018e-07,-12.3782,-17.3145,-37.127,-26.5884,-9.18602,-484.063,2206.05,11.6644,20502.9,24622.4,-9.33022,-14.2665,-31.031,-23.5404,-6.138,0.631925,2885,61.9567,21181.9,0.14244,0.963779,0.00535926,20254.1 
19,0.2,0.61,19,16487,-1.04556,39.6099,12.0347,95.7712,0.964814,-7.81832,462.123,-12.9707,-23.147,-25.8262,-20.5756,-8.457,-395.96,19927.9,80.8962,2064.29,15763.4,-10.4774,-20.6538,-20.8397,-18.0824,-5.96374,0.725855,20483.3,122.035,2619.66,0.905082,0.989681,0.0790312,22631.4 
20,0.21,0.6,20,16891.9,-0.126426,39.2264,11.8939,95.7239,0.141864,-83.879,1.78652e-10,-17.6216,-11.1803,-25.9393,-15.7543,-7.20611,-416.769,21256,70.0511,1091.59,15575.3,-14.9973,-8.55605,-20.6907,-13.13,-4.58182,0.666041,21840.6,113.352,1676.15,0.940795,0.990999,0.110775,23215 
21,0.11,0.7,21,13318.6,-0.898265,35.4247,11.3849,95.3929,-2.23822,731.56,0.00361904,-15.7796,-15.4464,-31.3101,-14.064,-15.7032,-466.672,14098.5,55.4659,4614.88,66431.4,-12.8411,-12.5079,-25.4331,-11.1255,-12.7647,0.659404,14753,103.951,5269.44,0.773464,0.98782,0.0350653,19074 
22,0.07,0.74,22,15890.7,-0.0191652,38.939,11.2135,95.088,0.0374706,-39.3917,500,-7.28265,-14.912,-30.6422,-17.5338,-14.7689,-406.787,4126.01,50.9158,17064.9,14262.3,-4.72121,-12.3506,-25.5193,-14.9724,-12.2075,0.634242,4696.57,93.1794,17635.5,0.245154,0.966445,0.00963919,19157.7 
23,0.09,0.72,23,18342.6,-0.0356865,42.25,11.7988,94.7761,0.00909207,27.9887,500,-13.1462,-6.84484,-31.831,-10.4079,-14.2958,-476.413,1241.06,3.55612,22874.8,16236.1,-10.1464,-3.84499,-25.8313,-7.40809,-11.2959,0.55864,1909.27,53.0536,23543,0.0899983,0.953627,0.00413398,21214.6 
24,0.06,0.75,24,15808.3,-0.988863,39.7246,11.4669,95.1726,-1.02513,3539.91,401.543,-10.4594,-18.7377,-28.0663,-7.63052,-15.1104,-435.515,9777.03,72.2895,11265.5,132960,-7.71708,-15.9954,-22.5817,-4.8882,-12.368,0.644665,10387.9,117.538,11876.4,0.516129,0.980583,0.0179045,20126.5 
25,0.14,0.67,25,15374.5,-1.08792,39.9611,11.4444,95.2126,-3.31701,-574.507,497.12,-7.90251,-20.2311,-34.875,-7.62296,-8.40475,-479.027,14037.4,61.3782,7192.88,76922.7,-4.88621,-17.2148,-28.8424,-4.60665,-5.38845,0.526696,14709.3,111.147,7864.77,0.695199,0.986949,0.0253727,21158.4 
26,0.27,0.54,26,16398.9,-0.0549188,40.1192,11.1382,94.99,0.015437,-28.6487,499.187,-13.4765,-21.5706,-21.9996,-11.2925,-6.18096,-467.881,11587.9,69.8816,10269.1,14561,-10.5304,-18.6245,-16.1073,-8.34634,-3.23484,0.716637,12244.2,118.493,10925.4,0.577474,0.983346,0.0195875,21203 
27,0.18,0.63,27,16651.7,0.00833703,41.0567,11.1167,94.8843,-0.00337485,-14.8872,1.25552e-12,-17.9874,-17.1153,-25.4585,-16.0347,-4.6115,-366.274,5569.09,55.4061,16709.6,14859.4,-15.681,-14.809,-20.8458,-13.7283,-2.30517,0.690574,6082.82,93.4605,17223.3,0.301041,0.973816,0.00989705,20205.9 
