cyc,freq(MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
73,44.17,73,3491.23,-0.0328542,-5.67036,16.5401,119.827,0.0340098,-16.127,2.28755e-12,-4.41676,-3.52286,-5.03822,0.110471,-4.1628,-46.4903,1797.61,28.7529,2329.27,3070.97,-4.12402,-3.23012,-4.45274,0.403208,-3.87006,0.708471,1856.4,31.0583,2388.05,0.564387,0.971555,0.0233973,3289.23 
74,43.95,74,8351.81,-0.168571,14.274,14.0478,119.853,0.118398,-12.2515,154.13,-4.57203,-5.03745,-4.17018,-2.23686,-1.63224,0.550256,3652.95,55.911,5061.93,6574.73,-4.57549,-5.04091,-4.17711,-2.24032,-1.6357,0.763598,3652.25,55.8837,5061.24,0.546009,0.973921,0.0199342,6688.99 
75,43.97,75,9169.79,-0.0127019,14.8056,14.3346,119.05,0.00313542,-4.26562,500,-2.15757,-2.95645,-2.41229,-0.553866,-1.14135,-19.6313,3799.57,59.7781,5699.03,6909.33,-2.03396,-2.83284,-2.16506,-0.430254,-1.01774,0.744682,3824.4,60.7515,5723.85,0.52687,0.972953,0.0191767,7258.71 
76,43.945,76,8682.61,-0.174371,13.4553,15.4863,116.271,-1.04667,2596.9,286.283,-3.11661,-1.04279,-5.55623,-1.80753,0.713926,-53.9531,3776.95,54.1466,5220.19,95266.6,-2.77688,-0.703059,-4.87677,-1.4678,1.05365,0.44398,3845.17,56.8219,5288.41,0.547884,0.974791,0.0194086,7018.22 
77,43.86,77,8845.82,-0.169391,14.6066,14.4697,119.466,0.0580871,323.287,460.843,-4.62169,-2.51117,-2.08921,-5.13583,-1.81712,0.645167,3955.45,52.5003,5373.99,7491.57,-4.62575,-2.51524,-2.09734,-5.13989,-1.82119,0.87053,3954.63,52.4683,5373.18,0.550896,0.977309,0.0176701,7178.54 
78,44.25,78,5303.24,-0.107462,9.20273,14.9128,119.151,0.103832,37.5673,14.1726,-2.23462,-4.28585,-2.0641,-1.22259,-1.51823,-73.2163,2459.33,34.4382,3498.02,4594.55,-1.7736,-3.82482,-1.14206,-0.761562,-1.05721,0.86657,2551.91,38.0688,3590.6,0.542237,0.974558,0.0191565,4706.27 
79,44.02,79,9476.04,-0.153118,14.5019,15.3909,120.771,-0.274542,195.618,487.171,-2.6183,-1.16917,-4.87639,-1.83768,-2.3427,-66.8627,4096.54,51.3063,5652.15,9014.11,-2.19729,-0.748156,-4.03436,-1.41666,-1.92168,0.609004,4181.09,54.6218,5736.69,0.548476,0.977649,0.0172372,7623.1 
80,43.93,80,9092.66,-0.192288,14.2846,15.3533,118.434,0.220841,-399.508,64.4008,-3.02355,-2.40428,-3.31127,-1.1231,-2.49705,-76.9933,4270.27,71.9947,5244.58,10011.6,-2.53874,-1.91948,-2.34166,-0.638297,-2.01224,0.752216,4367.63,75.8126,5341.94,0.576753,0.970519,0.025477,7572.79 
81,43.88,81,9696.95,-0.177022,16.6237,13.998,118.624,-0.346838,-24.6256,5.1833e-05,-4.38417,-2.94598,-4.06776,-1.79909,-1.50919,-35.0093,4218.81,54.2818,5891.99,7853.12,-4.16372,-2.72554,-3.62688,-1.57864,-1.28874,0.729004,4263.08,56.0178,5936.26,0.544814,0.977522,0.0170861,7824.84 
82,43.955,82,9949.44,-0.0161969,16.1179,14.301,119.215,0.00358485,2.7999,500,-1.40192,-3.01316,-6.89241,-2.63564,-2.26502,-49.2089,4128.05,53.2232,6290.09,7503.92,-1.09207,-2.7033,-6.2727,-2.32579,-1.95516,0.562848,4190.28,55.6633,6352.31,0.523676,0.977281,0.0158854,8001.66 
83,44.23,83,6758.27,-0.140583,11.1879,14.5462,119.523,-0.14911,330.259,242.932,-0.641293,-2.22423,-2.35735,-2.1008,-1.6,-32.1497,3239.97,49.5193,3776.45,6900.88,-0.438855,-2.02179,-1.95247,-1.89836,-1.39756,0.74673,3280.62,51.1135,3817.1,0.588887,0.973458,0.0240732,5570.88 
84,44.06,84,9579.46,-0.122043,15.3524,14.7576,119.975,0.0565622,75.9578,477.844,-3.51186,-3.28749,-5.17759,-3.48474,-4.18473,-158.929,4033.57,57.6958,5978.89,7515.27,-2.51112,-2.28675,-3.17612,-2.48401,-3.184,0.767181,4234.53,65.5766,6179.85,0.533152,0.973614,0.0191725,7942.44 
85,43.9,85,10219.3,-0.103796,15.4552,15.5268,119.666,0.151622,208.925,0.00518764,-3.2654,-4.03977,-1.50559,0.372167,-2.17374,-51.3888,4412.81,62.5913,6157.81,8843.03,-2.94182,-3.71619,-0.858423,0.695748,-1.85016,0.900999,4477.79,65.1396,6222.79,0.54531,0.975174,0.0189182,8211.47 
86,43.925,86,9099.62,-0.0158398,15.0872,14.0513,120.454,0.00271037,12.8318,500,-3.09556,-3.16208,-5.90426,-3.65005,-2.12047,-7.07738,4008.37,53.7402,5416.15,6902.29,-3.051,-3.11751,-5.81513,-3.60549,-2.07591,0.670811,4017.32,54.0912,5425.1,0.552407,0.97698,0.0180355,7272.38 
87,44.31,87,7871.91,-0.199479,12.4916,15.4802,119.373,-0.318854,466.984,485.85,-4.5513,-1.39428,-3.46098,-0.020327,-2.18998,-62.1334,2884.5,47.3949,5470.57,11142.1,-4.16006,-1.00305,-2.6785,0.37091,-1.79874,0.711039,2963.07,50.4758,5549.14,0.470885,0.971052,0.0164799,6292.55 
88,43.82,88,9587.94,-0.20526,15.1378,15.2955,120.529,0.470552,521.058,65.5082,-0.0812882,-1.38162,-6.70001,0.855354,-4.03621,0.411379,3883.47,61.55,6114.81,15519,-0.0838785,-1.38421,-6.70519,0.852763,-4.0388,0.409719,3882.95,61.5296,6114.29,0.514194,0.973018,0.0182002,7551.53 
89,43.935,89,9228.88,-0.204119,15.3754,14.5436,118.122,0.596932,128.295,466.588,-1.72317,0.55105,-0.634829,-1.32239,-2.79661,-75.5644,4261.65,57.6668,5520.46,9772.37,-1.24736,1.02686,0.31679,-0.846577,-2.3208,1.10315,4357.2,61.4138,5616.01,0.563907,0.975928,0.0197465,7726.81 
90,44.13,90,7591.69,-0.169989,13.3851,13.7601,121.197,0.188033,263.769,210.545,-1.12369,-0.561554,-4.34974,0.169911,-2.74788,-62.512,3221.62,47.8154,4917.66,7610.23,-0.730065,-0.167932,-3.5625,0.563533,-2.35426,0.430111,3300.67,50.9152,4996.71,0.524024,0.973715,0.0184247,6298.69 
91,43.84,91,9728.89,-0.204166,14.9628,15.6708,119.08,-1.44676,-1209.55,459.306,-2.89998,-2.014,-1.1955,-0.640484,-3.03156,-67.0306,3973.06,66.7796,6106.6,64599,-2.4779,-1.59193,-0.351352,-0.21841,-2.60949,0.951531,4057.81,70.1034,6191.36,0.522065,0.970654,0.0204316,7772.63 
92,44.27,92,6543.91,-0.0985714,10.4461,15.7019,120.399,0.0103303,37.2243,500,-2.81265,-3.41738,-1.84047,-0.0981965,2.00763,-65.0523,2191.84,48.146,4989.5,5352.04,-2.40303,-3.00776,-1.02123,0.311421,2.41724,0.724242,2274.1,51.3717,5071.76,0.427691,0.961971,0.0183169,5317.15 
93,44.21,93,6630.01,-0.206223,10.8583,15.4168,119.34,-0.221417,593.182,326.187,-0.929305,-3.44949,-1.22729,-0.0992233,-1.66543,-22.2512,2909.81,37.5171,4226.9,9724.99,-0.789195,-3.30938,-0.947074,0.0408863,-1.52532,0.854968,2937.94,38.6205,4255.03,0.535051,0.977513,0.0164448,5490.96 
94,43.91,94,8632.13,-0.117335,13.5776,15.2354,118.447,-0.17934,1513.03,10.1182,0.0122881,-1.86391,1.26599,-0.133257,-2.62018,-35.7702,3960.24,63.5602,5126.51,15567.2,0.237524,-1.63868,1.71646,0.0919789,-2.39494,1.86356,4005.47,65.334,5171.74,0.563475,0.972248,0.0227419,7108.52 
95,43.99,95,8735.97,-0.202018,15.0761,14.1063,118.161,-1.08677,4316.74,427.218,-4.92687,-2.2336,-1.58224,-4.8394,-3.63163,-65.8813,3706.85,40.7928,5478.47,159640,-4.51203,-1.81877,-0.752566,-4.42456,-3.21679,0.948891,3790.16,44.0597,5561.78,0.531786,0.980062,0.014383,7127.22 
96,44.1,96,8302.24,-0.00665543,14.3245,13.3829,118.8,-0.0233977,9.148,500,-2.46983,-1.27076,-5.09394,-1.89507,-3.2943,-22.7271,3225,43.1844,5417.01,6247.54,-2.32673,-1.12765,-4.80772,-1.75196,-3.15119,0.634817,3253.74,44.3113,5445.74,0.498949,0.976722,0.0147676,6521.19 
97,44.29,97,7297.31,-0.233352,12.1035,15.2825,120.117,-0.0881599,1357.45,268.027,-2.731,-3.79569,-3.19236,0.0833871,-1.76963,15.8437,2691.5,35.3455,5171.27,9917.18,-2.83077,-3.89545,-3.39189,-0.0163761,-1.8694,0.717434,2671.47,34.5599,5151.24,0.463619,0.977862,0.0122079,5762.21 
98,43.92,98,7742.24,-0.0571306,12.5456,14.8383,120.088,0.0176414,10.1117,3.27867e-12,1.09399,-2.84792,-10.0831,-4.43281,-2.42032,3.72772,3543.46,47.3547,4662.41,6065.75,1.07052,-2.8714,-10.1301,-4.45628,-2.44379,0.462054,3538.75,47.1698,4657.7,0.558747,0.977205,0.0183139,6333.37 
99,43.94,99,7833.66,-0.013014,12.7563,14.7199,121.118,-0.00389434,-7.00553,500,-5.54022,-2.57931,-3.34305,-1.90449,-1.26952,-80.23,3415.86,38.9793,4903.81,6113.46,-5.03503,-2.07413,-2.33268,-1.3993,-0.76433,0.799002,3517.3,42.9577,5005.25,0.539426,0.979074,0.0155638,6520.46 
100,44.19,100,2755.61,-0.05068,-4.4659,16.7205,118.647,-0.188544,-45.2123,500,-1.3011,-1.46272,-5.47588,-2.31979,0.186613,-70.1374,1517.49,21.9414,1760.45,2708.33,-0.859462,-1.02108,-4.5926,-1.87816,0.628249,0.405339,1606.18,25.4192,1849.14,0.59145,0.973051,0.0246972,2715.66 
101,43.96,101,7717.13,-0.0313108,12.6313,14.8004,118.986,0.0295318,20.0877,0.862896,-3.64261,-1.89911,-3.20677,2.97869,-0.275477,2.17586,3378.91,44.7336,4947.27,6105.09,-3.65631,-1.91281,-3.23417,2.96499,-0.289178,0.472186,3376.16,44.6257,4944.52,0.532276,0.977392,0.0163536,6342.87 
102,44.17,102,2668.11,-0.0614192,-4.89917,14.6158,116.25,0.0642746,19.5503,0.0185488,-1.00595,-2.74315,2.80191,-4.16676,-0.928455,-85.7866,1512.79,24.5926,1757.59,2371.89,-0.465775,-2.20298,3.88226,-3.62659,-0.388279,2.38585,1621.27,28.8465,1866.06,0.591508,0.969803,0.0276878,2740.9 
103,43.95,103,9531.47,-0.24588,15.2858,15.3686,117.638,0.148017,75.9933,448.847,-3.63067,-0.471806,-3.05111,2.16749,-2.65566,-15.5158,4222.84,51.164,5830.07,8013.63,-3.53297,-0.374107,-2.85571,2.26519,-2.55796,0.595253,4242.45,51.9334,5849.69,0.547253,0.979027,0.016091,7752.27 
104,43.97,104,8439.14,-0.190343,15.7796,12.9848,118.034,-0.0989732,154.13,345.582,-0.612489,-0.083274,0.681396,0.783133,-0.91491,47.1295,3472.86,38.2305,5574.25,7166.61,-0.90925,-0.380036,0.0878718,0.486371,-1.21167,1.04561,3413.26,35.8935,5514.65,0.507771,0.98193,0.0118478,6722.05 
105,43.945,105,8357.62,-0.0648728,12.9107,15.136,122.809,0.0442111,221.045,5.20544e-10,-1.85454,0.0485861,-4.57638,0.147072,-1.22365,-94.6253,3696.83,50.7096,5188.93,6679.56,-1.25871,0.644417,-3.38471,0.742902,-0.627818,0.128532,3816.48,55.4017,5308.58,0.545084,0.975226,0.0188621,7001.63 
106,43.86,106,8609.28,-0.190764,14.4367,14.4164,119.943,-0.91795,1295.91,150.318,0.265111,-1.90818,-2.12231,-1.76918,0.589619,-34.2327,3727.36,50.1562,5406.31,45500.1,0.480666,-1.69263,-1.6912,-1.55363,0.805173,0.536862,3770.65,51.8536,5449.6,0.535573,0.9765,0.0172259,7040.41 
107,44.25,107,6089.9,-0.224704,10.3937,15.1787,119.296,0.199836,-25.2552,211.918,-1.20087,-0.146396,-2.55258,-0.956174,-0.823021,-41.4416,2593.88,31.2743,4158.48,5300.02,-0.939923,0.114551,-2.03069,-0.695228,-0.562074,0.506319,2646.28,33.3293,4210.88,0.511575,0.978434,0.0143708,5172.81 
108,44.02,108,9091.11,-0.214648,15.4463,14.3604,119.263,0.108467,159.228,359.248,-1.11286,-3.30775,-5.80573,-4.1071,-3.07841,-28.4367,3829.26,57.7196,5875.06,7783.01,-0.9338,-3.1287,-5.44761,-3.92805,-2.89935,0.666558,3865.22,59.1297,5911.02,0.521493,0.973927,0.0180937,7411.83 
109,43.93,109,8094.19,-0.190377,13.6601,14.4514,118.543,0.972386,1106.83,283.742,-3.8354,-0.42652,-3.00446,-1.48366,-2.79721,-63.1159,3523.84,51.5169,5088.98,41462.3,-3.43798,-0.0290961,-2.20961,-1.08624,-2.39978,0.758847,3603.65,54.6467,5168.79,0.537463,0.974149,0.0191035,6704.92 
110,43.88,110,8451.22,-0.166761,13.1821,15.3608,120.327,0.266458,83.7654,462.227,-3.34776,0.325457,-2.07591,-1.07856,-2.65125,-48.0875,3523.91,35.5445,5396.25,7318.22,-3.04497,0.628251,-1.47032,-0.775768,-2.34845,0.790291,3584.72,37.929,5457.06,0.522633,0.98182,0.0126416,6858.95 
111,43.955,111,8662.32,-0.0431707,14.1172,14.7052,120.339,0.070663,-35.1017,8.98751e-10,-0.0304854,-2.46482,-1.92921,0.458858,-2.59073,-91.4471,3818.32,51.3987,5463.78,6838.72,0.545333,-1.889,-0.777571,1.03468,-2.01491,0.74929,3933.95,55.9333,5579.41,0.54026,0.975722,0.0181322,7281.6 
112,44.23,112,6335.15,-0.063514,11.2551,13.6029,116.37,0.199877,-156.359,500,-1.27309,-0.0732065,-4.16781,0.477513,-0.319963,-50.6162,3003.21,38.2548,3859.62,6001.36,-0.954371,0.24551,-3.53037,0.796229,-0.001246,-0.0250048,3067.21,40.7647,3923.62,0.565761,0.97727,0.0187792,5421.39 
113,44.06,113,8812.88,-0.0520153,14.4157,14.5342,121.274,0.101325,8.62556,1.4745e-07,-2.70942,-3.98793,-4.72542,-1.19897,-1.64957,-59.4732,3390.35,49.8613,5922.35,6849.06,-2.33494,-3.61345,-3.97645,-0.824484,-1.27508,0.669302,3465.55,52.8104,5997.55,0.490588,0.974025,0.0159614,7064.09 
114,43.9,114,8348.36,-0.027697,13.7247,14.5175,117.533,0.0297738,2.56493,500,-3.91593,-2.01135,-1.50074,-0.378215,-1.84125,-21.0487,3605.49,53.9414,5165.46,6488.65,-3.78339,-1.87881,-1.23566,-0.245678,-1.70871,0.860413,3632.1,54.9851,5192.08,0.538301,0.974191,0.019135,6747.35 
115,43.925,115,8980.81,-0.00674529,14.7118,14.3108,117.32,-0.051168,33.7085,500,-1.88334,-2.59195,-4.63536,-0.767716,2.83826,-49.9833,4045.8,55.0895,5455.9,6909.86,-1.5686,-2.27722,-4.00589,-0.452984,3.153,0.222414,4109,57.568,5519.1,0.553739,0.976069,0.0188522,7420.46 
116,43.925,116,9228.06,-0.226623,14.5744,15.5167,120.293,0.277383,354.263,4.10485,-1.23068,0.194022,-6.38539,-1.80035,-1.5756,-75.7306,4315.5,61.5148,5424.82,10560.7,-0.753822,0.670878,-5.43168,-1.32349,-1.09875,0.315639,4411.26,65.2701,5520.58,0.57114,0.97476,0.0213151,7723.61 
117,43.925,117,7508.25,-0.0745636,11.8413,15.4558,119.395,0.123161,-92.4671,8.25953e-07,-5.88161,-1.65407,-4.34654,-2.30324,-2.40942,-27.218,3427.94,43.3773,4620.17,6328.52,-5.71022,-1.48269,-4.00378,-2.13185,-2.23803,0.742797,3462.36,44.727,4654.59,0.553525,0.977893,0.0173933,6255.11 
118,43.925,118,8871.8,-0.118658,14.1982,14.895,118.193,0.768863,756.424,3.56064e-10,-2.81976,-3.98049,-4.51263,1.718,-0.718885,-58.772,3888.04,53.6057,5362.11,25817,-2.44969,-3.61041,-3.77248,2.08807,-0.348814,0.533877,3962.35,56.52,5436.43,0.548482,0.975646,0.0187916,7224.21 
119,43.925,119,9319.09,-0.0158522,14.2207,15.6502,120.819,0.00389165,-12.5622,500,-4.06012,-4.14472,-4.73721,-0.139612,-2.34773,-46.6722,4184.34,58.2717,5546.68,7246.56,-3.76624,-3.85084,-4.14945,0.154271,-2.05385,0.696369,4243.35,60.586,5605.7,0.557839,0.975623,0.0195207,7606.77 
120,43.925,120,7979.08,-0.177165,12.5609,15.3976,119.076,0.128903,115.236,96.6216,-3.91748,-2.29668,-0.942665,-1.11659,-0.481644,-39.4383,3560.82,46.2716,4796.4,6779.64,-3.66915,-2.04835,-0.446,-0.868258,-0.233312,0.93861,3610.69,48.2273,4846.27,0.553919,0.97716,0.0180016,6518.45 
121,43.925,121,8522.75,-0.0397818,13.899,14.5566,118.188,0.0370233,13.7872,500,-0.72086,-2.10287,-5.06507,-1.44167,-2.16497,-65.2155,3651.92,38.4531,5291.68,6602.88,-0.310215,-1.69223,-4.24378,-1.03102,-1.75432,0.530117,3734.38,41.6869,5374.14,0.536636,0.980839,0.0140878,6958.86 
122,43.925,122,7219.52,-0.0605187,11.8696,14.6457,118.972,0.152319,-80.3324,4.5624e-09,1.53845,-2.63397,-4.36151,-1.40796,-4.0778,-33.6513,3381.58,52.2137,4226.86,6057.35,1.75034,-2.42207,-3.93772,-1.19607,-3.86591,0.59285,3424.13,53.8824,4269.41,0.572044,0.9732,0.0227202,5985.77 
123,43.925,123,8906.53,-0.175297,13.9294,15.316,120.826,0.124591,146.288,9.13972,-6.33624,-5.34633,-5.84365,-2.70013,-4.24832,-126.669,4055.1,54.4251,5277.67,7538.32,-5.53864,-4.54873,-4.24845,-1.90253,-3.45072,0.784223,4215.27,60.7062,5437.84,0.563691,0.975417,0.0201503,7477.97 
124,43.925,124,9095.72,-0.210502,14.8966,14.9733,118.556,0.292091,-12.9962,0.000742435,-1.6152,-1.98225,-2.66568,-2.91178,-2.8891,-25.592,4110.58,61.4678,5460.13,7384.63,-1.45405,-1.8211,-2.34339,-2.75064,-2.72795,0.788829,4142.94,62.7369,5492.49,0.556964,0.974184,0.0206075,7438.44 
125,43.925,125,8436.76,-0.171078,14.5088,13.9681,119.177,0.0293148,-517.118,307.244,0.692573,-1.84902,-7.692,-2.27856,-1.4122,-66.9917,3921.37,51.3941,4887.55,7090.73,1.1144,-1.42719,-6.84834,-1.85673,-0.990371,0.315729,4006.08,54.716,4972.26,0.573162,0.976656,0.0198683,6989.44 
126,43.925,126,8240.05,-0.247808,12.7443,16.2494,120.617,0.276507,127.13,245.182,-0.857723,-4.58405,-3.12586,-0.497024,-0.905823,-86.7307,3625.45,57.2206,5164.07,7885.73,-0.311603,-4.03793,-2.03362,0.0490958,-0.359703,0.696191,3735.11,61.5213,5273.74,0.541371,0.971983,0.0210372,6899.36 
127,43.925,127,8872.8,-0.211313,12.9425,16.7428,120.973,0.360006,-499.956,21.411,-1.6851,-3.0872,-4.58936,-0.704779,-1.35066,-88.9184,3815.65,55.9523,5425.55,12913.3,-1.12521,-2.5273,-3.46957,-0.144883,-0.790765,0.569411,3928.08,60.3615,5537.99,0.541739,0.973813,0.0196829,7250.87 
128,43.925,128,9200.7,-0.0409728,14.907,14.4619,116.163,-0.0267646,79.5319,0.0124952,-3.73493,-4.5393,-4.45739,-1.0973,-2.23166,-61.4083,4005.68,54.4703,5613.68,7087.24,-3.34826,-4.15263,-3.68404,-0.710625,-1.84499,0.731885,4083.33,57.5154,5691.33,0.54458,0.975943,0.0182757,7498.13 
129,43.925,129,8060.59,-0.00622585,12.6656,15.1732,120.568,-0.0115698,-20.6007,500,-2.01949,-3.79108,-1.21039,-3.35736,-1.52595,-88.0298,3378.31,61.8278,5154.7,6263.79,-1.46519,-3.23678,-0.101792,-2.80306,-0.971651,0.988134,3489.62,66.1929,5266.01,0.524816,0.967872,0.0226309,6649.22 
130,43.925,130,7688.77,-0.021596,13.8182,13.1316,117.527,0.00613271,-2.51564,500,-5.489,-2.87763,-0.765591,-2.28546,-3.77446,-49.1691,3643.36,42.4036,4560.21,5907.46,-5.17939,-2.56803,-0.146383,-1.97586,-3.46486,0.989022,3705.53,44.8417,4622.38,0.571933,0.979262,0.0175565,6478.96 
131,43.925,131,7563.33,-0.0808272,12.2985,15.2006,118.892,0.0602505,-18.5653,1.25644,-2.91014,-3.97294,-2.74353,-1.75429,-0.434096,-8.38057,3256.68,46.6889,4876.23,6122.09,-2.85737,-3.92017,-2.63799,-1.70152,-0.381326,0.770578,3267.28,47.1045,4886.83,0.527033,0.975391,0.0174464,6199.37 
132,43.925,132,9065.82,-0.217871,15.1026,14.5358,119.666,-0.748006,595.803,473.433,-1.32089,-1.24203,-4.45913,-1.96582,-0.84012,-71.7514,4017.21,56.3281,5418.37,21654.2,-0.869094,-0.790231,-3.55553,-1.51402,-0.38832,0.500431,4107.94,59.886,5509.09,0.554124,0.975123,0.0196313,7413.4 
133,43.925,133,8507.28,-0.0806294,13.6864,14.6591,120.449,0.207829,129.842,456.965,-2.07758,-2.35384,1.51739,-0.0196964,-0.734231,-60.4563,3721.73,64.2561,5145.1,7409.63,-1.6969,-1.97317,2.27875,0.360981,-0.353554,2.64662,3798.18,67.2539,5221.55,0.54799,0.969944,0.0231766,6931.11 
134,43.925,134,8554.12,-0.185848,13.8064,14.9864,120.336,0.210207,249.799,485.904,-1.20866,-2.78037,-6.1292,-0.953911,-3.23019,-50.2374,3703.03,57.1763,5227.21,8444.9,-0.89233,-2.46404,-5.49654,-0.637579,-2.91386,0.556886,3766.55,59.6674,5290.73,0.542653,0.973025,0.020352,6940.99 
135,43.925,135,8959.93,-0.0275072,14.5541,14.4303,117.798,0.0276947,12.5477,499.985,2.08865,-0.364714,-0.947869,-1.91765,2.06441,-69.3921,3999.67,57.0751,5387.15,6848.16,2.5256,0.0722298,-0.0739823,-1.48071,2.50135,1.02087,4087.42,60.516,5474.9,0.554425,0.974745,0.0199551,7372.36 
136,43.925,136,7187.84,-0.0181363,12.0352,14.5394,120.595,-0.00909992,17.0601,500,-1.30052,0.858401,-2.52027,-1.80443,-1.72589,-47.4605,3319.69,43.8186,4556.24,5701.36,-1.00167,1.15725,-1.92258,-1.50558,-1.42704,0.590909,3379.7,46.172,4616.25,0.549594,0.97665,0.0180915,6149.45 
137,43.925,137,7964.4,-0.13208,13.1956,14.6599,119.059,0.0658919,184.657,500,-2.85618,0.346391,-1.27843,0.959057,0.277776,-11.311,3521.65,45.5165,4884.34,6693.43,-2.78496,0.417613,-1.13599,1.03028,0.348998,0.465181,3535.95,46.0774,4898.64,0.546082,0.977704,0.017032,6475.14 
138,43.925,138,8591.87,-0.214204,12.5314,16.8313,120.85,0.488348,139.042,492.475,0.152349,-0.242307,-3.46731,-3.31489,1.63973,-43.7518,3972.26,55.0326,4973.68,9076.53,0.427843,0.0331867,-2.91632,-3.0394,1.91522,0.185264,4027.59,57.2021,5029,0.571695,0.975748,0.0205229,7044.99 
139,43.925,139,8388.88,-0.236213,13.5418,15.4279,116.981,0.13077,347.966,62.065,-3.23066,-1.89781,-1.88983,-3.60544,-1.26299,-89.2556,3662.89,63.622,5241.12,8282.38,-2.66865,-1.33579,-0.765798,-3.04342,-0.700973,0.910061,3775.75,68.0478,5353.98,0.540308,0.969425,0.0228771,6988.13 
140,43.925,140,8765.04,-0.0301384,13.8558,15.0287,118.542,-0.0270549,45.515,500,-0.286236,-0.71739,-1.13639,-1.28802,1.59915,-34.59,3948.8,53.468,5205.76,6818.85,-0.0684326,-0.499586,-0.700784,-1.07021,1.81695,-0.342337,3992.54,55.1832,5249.5,0.559004,0.976383,0.0189965,7142.24 
141,43.925,141,7810.71,-0.128246,13.6728,13.9356,119.655,0.162886,-504.096,0.000227578,-1.80665,-2.03397,-5.37741,-0.434282,-0.617221,-48.6731,3487.12,56.7324,4856.5,8875.63,-1.50017,-1.72749,-4.76444,-0.127801,-0.31074,0.434866,3548.67,59.146,4918.04,0.545991,0.971659,0.0216736,6499.49 
142,43.925,142,8096.62,-0.0525418,13.4741,14.4196,119.409,0.0819633,134.35,500,-1.29577,-1.87589,-5.17112,-3.19873,1.00726,-88.2714,3595.58,46.2528,5057.59,6683.31,-0.739952,-1.32007,-4.05948,-2.6429,1.56309,0.43613,3707.2,50.6299,5169.21,0.544478,0.976658,0.0177228,6808.72 
143,43.925,143,8483.11,-0.216783,12.56,16.6281,119.615,0.486926,77.622,343.318,-1.39679,-3.46537,0.221123,-1.78282,2.24305,-87.2469,3867.81,57.3977,5066.93,8029.13,-0.84742,-2.916,1.31986,-1.23345,2.79242,2.49205,3978.13,61.724,5177.25,0.561527,0.973565,0.0214899,7084.48 
144,43.925,144,8368.63,-0.0292021,13.3859,14.8781,118.417,-0.00359258,58.2071,500,-1.70097,-3.77079,1.30417,-2.44911,0.0799703,-92.9525,3481.89,48.1342,5392.7,6490.02,-1.11568,-3.18549,2.47477,-1.86382,0.665268,1.81812,3599.43,52.7434,5510.24,0.521235,0.974998,0.0173269,6905.57 
145,43.925,145,8159.23,-0.106389,11.8754,16.664,119.627,0.0331662,-128.973,2.33609e-05,-1.65147,-4.47522,-3.60439,-1.9237,-1.62175,-56.8909,3783.35,61.7693,4877.56,6581.28,-1.29324,-4.117,-2.88794,-1.56547,-1.26352,0.740461,3855.29,64.5903,4949.5,0.564879,0.971516,0.0234749,6824.99 
146,43.925,146,8415.31,-0.182365,13.2384,15.37,118.621,0.535003,217.792,374.148,-1.33252,-5.7672,-3.35833,-3.80911,0.19919,-48.7162,3812.89,55.0329,5003.4,10416.8,-1.02577,-5.46045,-2.74482,-3.50236,0.505943,0.77552,3874.49,57.4486,5065,0.560425,0.974708,0.020466,6913.49 
147,43.925,147,9106.78,-0.279865,12.512,18.3465,118.075,0.748495,746.23,7.88922,-3.901,-6.53217,-4.18312,-0.802356,-0.624901,-51.0157,4208.93,58.9825,5346.71,25655.3,-3.57976,-6.21094,-3.54066,-0.481124,-0.303669,0.749177,4273.44,61.5122,5411.22,0.568264,0.975429,0.0205107,7520.16 
148,43.925,148,7832.19,-0.152224,12.6587,14.8032,120.732,0.535535,636.314,186.755,-5.54175,-4.99667,-8.06492,-2.83302,-1.95333,-68.2478,3668.24,40.7172,4646.15,17193.3,-5.11201,-4.56694,-7.20544,-2.40328,-1.5236,0.653772,3754.54,44.1014,4732.45,0.569386,0.979858,0.0168768,6594.01 
149,43.925,149,7992.61,-0.171066,12.4093,15.5537,118.738,0.0872479,130.711,302.611,-0.492561,-4.66914,-1.67211,-0.454034,-0.0434074,-44.8,3628.54,58.651,4750.58,6654.38,-0.210467,-4.38705,-1.10792,-0.17194,0.238686,0.803515,3685.18,60.8725,4807.22,0.560952,0.971905,0.0227943,6569.52 
150,43.925,150,7896.91,-0.202368,12.7773,15.2207,119.874,0.227845,4462.43,320.2,-4.48937,-2.82402,-4.5404,-2.20242,-2.84684,-62.9562,3692.13,46.4946,4662.59,39429.3,-4.09295,-2.4276,-3.74756,-1.806,-2.45042,0.741984,3771.73,49.6164,4742.19,0.570002,0.977497,0.0189091,6617.05 
151,43.925,151,9180.42,-0.198718,15.0655,14.7322,119.078,0.0443252,128.871,418.863,-2.54727,-2.34184,-1.6964,-1.43326,-2.16237,-27.8851,3800.64,54.0816,5773.42,7411.08,-2.37168,-2.16625,-1.34523,-1.25768,-1.98679,0.85262,3835.9,55.4644,5808.68,0.523951,0.975321,0.0172854,7321.11 
