cyc,freq(MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
10,44.29,10,8011.62,-0.0285744,13.0884,14.7407,120.943,0.00234792,2.30488,500,-3.76615,-1.20123,-5.71886,-4.45425,1.0764,-45.6964,2881.69,37.0907,5637.71,6280.78,-3.47841,-0.91349,-5.14338,-4.16651,1.36413,0.583115,2939.47,39.3566,5695.5,0.462416,0.977106,0.0125692,6356.77 
11,43.92,11,8408.63,-0.0094638,12.4039,15.7712,121.503,-0.00659081,-14.7872,500,-3.91204,-2.74143,-5.11376,-0.98385,-3.13896,12.6476,3778.86,48.3452,4981.3,6371.4,-3.99168,-2.82107,-5.27304,-1.06349,-3.2186,0.677842,3762.87,47.7181,4965.3,0.558119,0.97829,0.0173952,6742.05 
12,43.94,12,8754.75,-0.238375,12.2621,17.713,121,-1.26675,-485.824,471.95,-1.40599,-1.06886,-5.24157,-0.79039,-1.41247,-36.4966,4203.83,57.0262,4891.25,27104.5,-1.17618,-0.839051,-4.78195,-0.560581,-1.18266,0.44008,4249.98,58.836,4937.4,0.589259,0.976346,0.0214797,7212.42 
13,44.19,13,2921.06,-0.197253,-4.64182,18.4881,117.83,0.307461,-291.83,344.829,-2.48887,-3.09204,-2.60418,-0.242062,-1.30016,-59.9142,1624.28,31.7448,1893.86,5714.57,-2.11161,-2.71477,-1.84965,0.135202,-0.922895,0.752181,1700.04,34.7157,1969.62,0.589921,0.965497,0.0314472,2881.81 
14,43.96,14,9810.9,-0.200982,16.1229,14.6326,120.403,-0.143376,-795.966,333.228,-5.09993,-4.30162,-5.57075,-1.20932,-4.74985,-79.4927,4495.26,51.6437,5797.05,11395.1,-4.59939,-3.80108,-4.56966,-0.708778,-4.2493,0.745113,4595.78,55.5854,5897.56,0.564986,0.979273,0.0170658,8134.32 
15,44.17,15,3908.94,-0.195245,5.9182,18.0882,119.852,0.363123,121.178,472.297,-5.09151,-2.19394,-1.57118,-3.10216,-2.17066,-37.1349,2148.08,37.0283,2227.21,4917.24,-4.85768,-1.96012,-1.10352,-2.86834,-1.93683,0.913289,2195.03,38.8697,2274.16,0.616663,0.969942,0.030524,3559.53 
16,43.95,16,9325.15,-0.00320881,14.1361,15.3941,119.889,-0.00468406,-42.8969,0.0308815,-1.60857,-0.132148,-3.44721,0.342422,-0.727705,-14.8245,4136.89,59.4188,5669.34,7090.52,-1.51523,-0.038802,-3.26052,0.435768,-0.634359,0.349605,4155.63,60.1539,5688.09,0.549071,0.975294,0.0191088,7568.48 
17,43.97,17,9799.6,-0.0190497,15.8321,14.4025,120.002,0.0116388,4.3292,500,-3.43226,-1.5533,-5.14142,-1.08864,-3.45808,-2.65429,4179.09,56.1203,5997.19,7424.46,-3.41555,-1.53658,-5.10799,-1.07193,-3.44136,0.649499,4182.45,56.2519,6000.55,0.537398,0.977005,0.0169756,7782.78 
18,43.945,18,9463.94,-0.22865,13.5243,17.1174,119.645,-0.0715299,53.6891,386.852,-4.59409,-2.02846,-2.62505,-2.90758,0.509954,-80.1635,4165.13,59.1741,5706.42,7661.12,-4.08932,-1.52369,-1.61551,-2.40281,1.01472,0.812512,4266.49,63.1492,5807.78,0.550433,0.974752,0.0196363,7751.16 
19,43.86,19,11204.8,-0.202547,17.5816,15.1497,120.471,0.117795,-61.9202,26.0035,-1.86873,-0.507107,-9.12142,0.0308495,-1.03496,-27.9132,4794.42,67.6281,6727.86,8908.18,-1.69297,-0.331345,-8.7699,0.206611,-0.859195,0.233856,4829.71,69.0123,6763.16,0.543421,0.975604,0.0184503,8887.61 
20,44.25,20,5965.49,-0.138329,10.251,14.1811,117.633,-0.680687,1349.31,288.551,-3.4101,-2.27072,-6.33825,-0.173924,-0.6928,-17.9776,2650.65,28.3892,3751.46,34631.1,-3.2969,-2.15752,-6.11185,-0.0607241,-0.5796,0.499299,2673.38,29.2807,3774.19,0.541401,0.981193,0.0140899,4937.9 
21,44.02,21,10302,-0.186573,17.2302,14.2152,118.883,0.00496736,-250.891,450.542,-2.48849,-0.207098,-3.30817,-1.89963,1.23708,-17.0692,4373.2,58.1581,6285.07,8013.92,-2.38101,-0.0996177,-3.09321,-1.79215,1.34456,0.486299,4394.79,59.0045,6306.65,0.53734,0.977044,0.0169426,8178.78 
22,43.93,22,7885.33,-0.202996,12.2872,15.9275,120.563,-0.0541623,509.424,1.08118e-11,-5.01704,-1.67026,-5.42822,-4.08107,0.841672,-100.475,3470.68,38.4166,4965.15,7269.06,-4.38437,-1.0376,-4.16289,-3.4484,1.47434,0.639855,3597.73,43.3989,5092.19,0.540764,0.979326,0.0154569,6653.04 
