cyc,det,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
10,-140,44.1113,10,12230.5,0.514408,20.696,10.0178,117.321,-0.964847,872.098,3.36375,5.11716,0.00568201,14.5289,5.15872,-0.120703,-2.97305,3775.6,5.4236,6029.59,34140.9,5.13588,0.0244025,14.5664,5.17744,-0.101983,0.412697,3778.81,5.55465,6032.8,0.328569,0.997434,0.00169323,11500.8 
11,-110,44.1413,11,18284.4,0.0393567,35.0524,9.96878,117.323,-0.074026,59.3818,500,2.48379,4.2368,3.50533,-6.00413,0.443954,13.7099,6473.37,28.2864,9418.39,11518.2,2.39746,4.15047,3.33267,-6.09046,0.357627,0.196514,6458.56,27.6821,9403.58,0.349203,0.992555,0.00539351,18495.1 
12,-70,44.1813,12,12256.1,0.402405,21.5694,10.2269,117.288,0.0289034,-404.238,107.034,-2.35762,-0.965297,3.04965,0.639653,-1.71619,2.75769,4601.39,5.52474,5742.04,7561.22,-2.37499,-0.982661,3.01492,0.622288,-1.73356,3.07355,4598.41,5.40319,5739.06,0.384984,0.997948,0.0017313,11944.4 
13,-225,44.0263,13,19014.3,0.404221,35.9746,9.93474,117.341,-1.52575,-622.497,470.087,-0.362839,-0.471036,-1.34716,-1.30901,-4.17084,47.4822,7003.44,37.4044,9669.2,42552.9,-0.661822,-0.770018,-1.94513,-1.60799,-4.46982,0.79427,6952.16,35.3115,9617.93,0.360906,0.99119,0.00671772,19263.1 
14,-165,44.0863,14,16031.4,0.537713,29.6191,9.69811,117.32,3.032,-1326.63,130.519,3.34225,-0.125349,10.1173,0.343549,-3.43943,-13.3971,5506.87,44.5236,8142.57,140292,3.42661,-0.0409908,10.286,0.427907,-3.35507,0.0426692,5521.34,45.1141,8157.04,0.345897,0.985903,0.0100854,15962.3 
15,-210,44.0413,15,18019.7,-0.0596154,34.8055,10.0113,117.318,0.0137291,-7.83117,4.358e-11,-0.729099,-4.70023,7.38016,3.171,0.33314,17.5439,6547.3,31.2706,9200.88,11346.6,-0.839568,-4.8107,7.15922,3.06053,0.222671,-0.493948,6528.36,30.4973,9181.93,0.357107,0.991891,0.00608125,18281.2 
16,-145,44.1063,16,11669,0.556444,19.5122,9.75624,117.295,-0.0316366,-533.648,19.3333,3.23864,2.0634,0.973673,-1.99438,4.43761,-10.9327,3569.94,11.0923,5582.77,6746.62,3.30748,2.13224,1.11135,-1.92554,4.50645,0.878301,3581.75,11.5742,5594.57,0.333409,0.994377,0.00379653,10742.8 
17,-215,44.0363,17,18740,0.244681,36.4192,-9.9936,117.324,0.0528744,-296.097,8.08481e-08,-3.07555,-2.7328,-2.54518,-4.67058,-5.95182,17.569,7022.93,36.1061,9698.45,12357.7,-3.18618,-2.84343,-2.76644,-4.78121,-6.06245,0.859141,7003.96,35.3318,9679.47,0.361146,0.991249,0.00667909,19393.7 
18,-235,44.0163,18,19351.5,0.498672,37.3079,9.7511,116.995,-0.433085,522.128,420.531,4.95406,-4.35787,3.05038,-4.94168,-2.47911,-5.42885,7001.03,29.3298,9949.56,19203.8,4.98824,-4.32369,3.11874,-4.90749,-2.44493,1.87381,7006.89,29.5691,9955.42,0.354782,0.992669,0.00544155,19749.8 
19,-55,44.1963,19,9478.61,-0.00512269,15.1493,10.8322,117.093,0.0207375,3.48461,500,-2.59413,1.51403,8.82187,2.23799,-0.292011,-36.4792,2820.99,4.35354,4542.68,5344.33,-2.36443,1.74373,9.28127,2.46769,-0.0623113,0.161277,2860.38,5.96144,4582.07,0.327821,0.996366,0.00239092,8725.43 
20,-125,44.1263,20,18268.8,0.491101,33.9774,10.04,117.236,-0.334297,105.201,165.174,-0.878453,4.17436,5.33254,-0.857045,2.08871,5.96676,6800.15,48.4605,9102.66,12249.9,-0.916024,4.13679,5.2574,-0.894616,2.05114,0.454326,6793.7,48.1975,9096.22,0.368485,0.987737,0.00966628,18436.9 
21,-240,44.0113,21,16641.7,0.463464,32.4504,9.51988,117.171,0.928079,-295.486,368.605,-0.358204,3.93274,5.28281,4.3499,-4.94578,-76.1648,5652.06,33.3061,8852.84,18983.7,0.121385,4.41233,6.24198,4.82949,-4.46619,0.439628,5734.31,36.6633,8935.09,0.333949,0.988935,0.00750198,17171.2 
