cyc,det,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
78,-177.5,44.0738,78,14478.7,0.510398,27.2895,9.40357,116.866,0.373449,-524.484,141.972,-1.287,1.67307,-1.98005,1.52525,0.440291,-30.9024,5221.8,17.8711,6633.43,14730,-1.09241,1.86765,-1.59088,1.71983,0.634875,2.03367,5255.17,19.2332,6666.8,0.381122,0.993636,0.00528623,13788.7 
79,-182.5,44.0688,79,13783.5,0.112568,26.7833,9.3328,116.814,1.04397,-1558.1,0.000348091,-0.559791,-4.49768,-1.5684,-2.87474,-1.49244,-15.5626,4807.84,24.6312,6415.81,61089,-0.461798,-4.39969,-1.37242,-2.77674,-1.39445,0.868101,4824.65,25.3171,6432.62,0.369467,0.990901,0.00719787,13058.4 
80,-187.5,44.0638,80,15893.7,-0.0443992,31.812,9.65643,116.772,-0.0277699,35.0521,0.414761,2.93,2.30603,4.04043,3.65417,-1.97158,-27.0346,5732.43,13.9567,8010.8,10031.8,3.10023,2.47626,4.38089,3.8244,-1.80135,0.634329,5761.63,15.1483,8039.99,0.358917,0.99542,0.00345874,16052.8 
81,-192.5,44.0588,81,14683.1,0.466093,28.1592,9.44923,116.729,-0.242959,-442.015,82.5093,4.28486,-6.7025,-3.7902,-5.22527,-3.97338,-2.44093,5107.29,23.0792,7160.42,12157.8,4.30023,-6.68713,-3.75946,-5.2099,-3.95801,0.754513,5109.92,23.1868,7163.06,0.357872,0.992122,0.00592754,14278.6 
82,-197.5,44.0538,82,15396.4,0.0460914,30.4479,-9.70571,116.963,-0.0863565,-101.601,500,-4.63304,-2.88981,3.46253,1.27267,-6.8768,-40.2494,5604.39,15.8147,7640.93,9905.74,-4.3796,-2.63637,3.96941,1.52611,-6.62336,1.48741,5647.85,17.5888,7684.4,0.364757,0.99458,0.00419868,15483.9 
83,-45,44.2063,83,8325.42,0.224673,12.1861,10.6772,116.403,0.11899,-244.489,500,0.0383721,2.04106,4.6175,2.50433,-1.91945,-39.7606,1950.85,-5.62574,4045.4,5182.67,0.288734,2.29142,5.11822,2.75469,-1.66909,0.417323,1993.79,-3.8732,4088.34,0.275886,1.00341,-0.00174822,7226.86 
84,-25,44.2263,84,14160.4,0.135891,26.4826,10.0204,116.946,-0.517526,211.652,500,5.14032,-2.49546,3.0933,0.453551,1.45099,-5.50958,5993.45,12.7745,6033.97,12204.3,5.17501,-2.46077,3.16268,0.488243,1.48568,0.597154,5999.4,13.0174,6039.92,0.43694,0.996217,0.00395445,13730.5 
85,-30,44.2213,85,14276.7,0.502965,25.8473,9.78035,117.015,-0.291853,-31.0405,423.361,-1.22536,1.46088,0.26789,3.58603,0.246646,14.308,5254.99,21.7746,6527.87,8524.23,-1.31546,1.37078,0.0877018,3.49593,0.156553,0.976893,5239.54,21.144,6512.42,0.385957,0.992987,0.00594523,13575.4 
86,-75,44.1763,86,14102.5,0.00621093,25.5317,10.1599,116.781,-0.0402135,-0.879925,499.568,3.91415,1.2986,4.44055,-0.908941,0.83432,35.8907,5064.73,0.991014,6469.33,8445.43,3.68816,1.0726,3.98857,-1.13494,0.608325,0.514933,5025.97,-0.590946,6430.57,0.379116,1.00021,-0.000169311,13257.1 
87,-135,44.1163,87,13169.5,0.498757,23.9084,9.59921,116.684,0.850084,-481.077,1.36944,-0.429419,-1.8939,0.160979,4.00277,2.96791,28.7713,4231.74,7.34417,6346.04,20783.9,-0.610584,-2.07506,-0.201351,3.8216,2.78675,1.05411,4200.67,6.07601,6314.97,0.341967,0.997475,0.00176926,12283.8 
88,-175,44.0763,88,17286,0.450921,33.3059,9.73828,116.769,0.0626725,-248.62,498.571,1.50446,2.3672,10.9828,1.27061,0.0432801,11.0334,5710.03,23.2379,9145.39,11065.6,1.43499,2.29772,10.8438,1.20114,-0.0261945,0.311568,5698.12,22.7516,9133.47,0.327686,0.993061,0.00456775,17389 
89,-65,44.1863,89,12446.7,0.392632,19.4655,10.6018,116.622,0.125034,-372.951,500,4.36895,1.69688,6.63681,-1.64478,0.306207,-18.9888,4316.54,6.14925,5304.85,8235.99,4.48852,1.81644,6.87595,-1.52522,0.425774,0.430868,4337.05,6.98622,5325.35,0.388851,0.997189,0.00241079,11153.5 
90,-230,44.0213,90,14501.8,0.49654,27.9617,9.25165,116.861,-0.796015,50.1079,43.7432,1.03574,1.13496,0.986949,4.02683,1.56748,-26.1169,5042.37,13.4616,7052.75,9719.73,1.20019,1.29941,1.31585,4.19128,1.73193,0.864884,5070.57,14.6127,7080.95,0.358745,0.994982,0.0037871,14134.2 
91,-115,44.1363,91,17258.9,0.53508,32.2783,-9.73436,116.759,-0.360342,-219.896,57.3795,1.36964,-2.92378,-3.96778,0.612076,-1.85351,-8.88786,6152.4,27.5486,8489.54,12808,1.4256,-2.86782,-3.85585,0.66804,-1.79755,0.400108,6161.99,27.9403,8499.14,0.3616,0.992127,0.00601934,17040.9 
92,-195,44.0563,92,14478.9,-0.00811967,26.7614,-9.78873,116.806,-0.0231595,1.92792,0.00676445,8.86114,-0.603312,-2.5464,1.6151,1.56784,5.29178,5056.36,21.3053,6739.66,8529.11,8.82782,-0.636633,-2.61304,1.58178,1.53452,1.30054,5050.65,21.072,6733.94,0.369467,0.992752,0.00573132,13670.1 
93,-120,44.1313,93,18468.7,0.0142649,35.3223,9.96796,116.619,-0.0326828,29.2847,500,1.07598,4.7784,8.91542,1.10317,1.6708,-40.6306,6614.42,36.5135,9498.55,11492.9,1.33182,5.03424,9.4271,1.35901,1.92664,0.505886,6658.29,38.3044,9542.43,0.352802,0.990033,0.00734015,18872.6 
94,-140,44.1113,94,13660.7,0.56062,22.867,10.196,116.482,-0.501935,-208.135,484.337,5.76049,3.66194,9.08615,3.0342,5.42601,-6.16175,4254.67,28.4504,6698.22,10990.7,5.79929,3.70074,9.16375,3.073,5.46481,0.663117,4261.32,28.722,6704.88,0.331786,0.988342,0.00782932,12843.6 
95,-110,44.1413,95,18147.2,0.498655,35.132,9.61054,116.856,0.275958,-377.301,122.07,5.04746,2.47519,5.23131,2.00166,4.62314,-66.8499,6265.24,25.2965,9362.63,14380.6,5.4684,2.89612,6.07318,2.4226,5.04408,0.722741,6337.43,28.2431,9434.82,0.344164,0.992261,0.00548409,18414 
96,-70,44.1813,96,13843.2,0.0118581,22.8174,10.8297,116.532,-0.0189206,48.1759,1.79418e-11,4.43254,2.32774,0.00646125,1.4058,2.273,20.6209,4700.54,14.5505,6343.57,8073.78,4.3027,2.1979,-0.253228,1.27595,2.14316,1.0262,4678.27,13.6416,6321.3,0.366362,0.994923,0.0039596,12769.5 
97,-225,44.0263,97,15704.4,0.0635665,30.5219,9.56793,116.984,0.114467,96.3949,439.839,5.54818,6.9746,4.4907,0.965476,-0.0651606,-21.2713,5537.16,21.4816,7813.49,9865.79,5.68212,7.10854,4.75858,1.09942,0.0687792,0.745768,5560.13,22.4191,7836.46,0.356629,0.992993,0.00524241,15590.8 
98,-165,44.0863,98,15140.4,0.0166817,29.264,9.86177,116.641,0.330242,198.766,19.0856,1.61888,1.78347,-1.66923,2.38085,4.17597,13.3557,5269.28,11.4688,7663.16,11531.5,1.53479,1.69937,-1.83742,2.29675,4.09187,1.23601,5254.86,10.8801,7648.74,0.349271,0.99639,0.00261349,15045.2 
99,-210,44.0413,99,14345.6,0.528202,26.9353,9.34498,116.794,0.588206,-559.614,112.37,1.58699,7.64269,0.895859,4.10898,1.52711,-16.3235,4997.59,27.3289,6740.78,18909.5,1.68977,7.74547,1.10143,4.21176,1.62989,0.932751,5015.22,28.0484,6758.4,0.366986,0.990308,0.00758702,13666 
100,-145,44.1063,100,11677.4,0.498103,19.7493,9.74722,116.65,-0.084106,-278.121,500,1.70792,2.29235,5.40669,2.33598,4.01033,-30.6397,3783.89,6.56027,5292.2,7028,1.90085,2.48528,5.79255,2.52891,4.20326,0.657466,3816.97,7.91078,5325.29,0.358963,0.996386,0.002729,10633.3 
101,-215,44.0363,101,14391.7,0.517104,27.2586,9.31694,116.749,0.163391,-383.164,447.538,-0.749476,-0.303919,4.3697,4.76243,-0.834969,-27.2692,5115.53,9.04229,6795.81,10305.5,-0.577769,-0.132212,4.71312,4.93413,-0.663263,0.430371,5144.97,10.2442,6825.26,0.37064,0.996528,0.00275725,13881.3 
102,-235,44.0163,102,16363,0.274497,31.4621,9.67281,116.699,0.861977,-2995.64,500,2.5164,-1.68129,5.32462,2.76231,4.1006,-25.5448,5559.48,24.3399,8347.49,93965.1,2.67725,-1.52044,5.64632,2.92316,4.26145,0.596338,5587.06,25.4658,8375.08,0.342614,0.992087,0.00557003,16307.2 
103,-55,44.1963,103,8976.44,0.120048,12.7958,11.3593,116.445,-0.819758,-264.584,4.41577e-06,1.9949,1.9279,3.68246,-0.0598422,3.00304,36.5821,2513.92,13.1145,3686.33,11792.3,1.76455,1.69755,3.22177,-0.29019,2.77269,0.648523,2474.42,11.5021,3646.82,0.346443,0.991931,0.00577645,7142.35 
104,-125,44.1263,104,17055.5,0.480053,33.2971,9.49128,116.862,-0.0192758,-335.102,0.0123217,-2.16048,-3.97439,-1.92867,1.14403,-0.0577262,4.52244,6087,5.34532,8570.59,10498.2,-2.18896,-4.00286,-1.98562,1.11555,-0.0862027,0.722217,6082.12,5.14599,8565.7,0.356802,0.998522,0.00110545,17046.2 
105,-240,44.0113,105,14767.9,0.43826,28.6321,9.46771,116.844,0.0539847,-238.207,52.9027,-0.779427,-0.487504,-4.60557,-2.38498,-1.42043,-16.1133,5115.09,13.9866,7502.76,9243.18,-0.677966,-0.386043,-4.40265,-2.28352,-1.31897,0.514546,5132.49,14.6969,7520.16,0.34777,0.995014,0.00358716,14758.3 
106,-170,44.0813,106,15808.5,0.401251,30.8322,9.66139,116.441,-1.3843,718.379,53.2494,-1.663,-0.270004,-2.70237,-0.025087,2.20022,9.48154,5271.7,24.428,8498.85,42069.8,-1.7227,-0.329706,-2.82177,-0.0847897,2.14052,-0.00117826,5261.46,24.0101,8488.61,0.326254,0.992077,0.0051834,16126.9 
107,-205,44.0463,107,17505.4,0.138871,33.8652,9.79817,116.784,-0.143616,138.596,0.0168382,6.3809,-0.172734,0.912921,-0.63232,3.82358,13.4474,6274.95,34.2312,8798.73,11449.7,6.29622,-0.257409,0.743572,-0.716995,3.7389,0.924159,6260.43,33.6385,8784.21,0.357652,0.990684,0.0070048,17504.2 
108,-180,44.0713,108,13026.3,-0.00644992,25.1504,9.47536,116.65,0.00154349,-6.59747,6.96596e-12,0.154138,3.06248,-0.0116986,1.16059,1.45609,-29.0534,4448.55,14.9016,6186.13,7758.07,0.337079,3.24542,0.354184,1.34353,1.63903,0.948812,4479.92,16.1822,6217.51,0.360171,0.993718,0.00477155,12438.3 
109,-200,44.0513,109,13158.1,0.220963,25.5413,9.47556,116.999,0.204419,0.212332,500,1.08055,-2.5129,-2.58576,1.31118,-0.151069,18.0134,4800.02,5.85799,6258.09,7879.9,0.967126,-2.62632,-2.81261,1.19775,-0.264495,0.205153,4780.57,5.06401,6238.64,0.374476,0.99815,0.00149304,12766 
110,-130,44.1213,110,16992.8,0.00369474,33.0543,10.0533,116.741,-0.00969963,-14.9047,1.39336e-10,8.02684,-3.09495,-2.25205,4.6428,4.69131,-24.2305,6088.56,33.2839,8940.29,10822.3,8.17942,-2.94238,-1.9469,4.79537,4.84388,1.15058,6114.73,34.352,8966.46,0.34759,0.990264,0.00700795,17591.8 
111,-150,44.1013,111,10762,0.0612631,18.7693,10.2137,116.609,-0.040167,-48.291,498.716,0.943028,-0.741526,-1.31541,-0.0859593,2.53656,-40.0205,3769.08,4.96978,4909.1,6303.73,1.19503,-0.489528,-0.811416,0.166039,2.78856,1.28484,3812.3,6.73376,4952.32,0.375549,0.996918,0.00249849,10151.3 
112,-40,44.2113,112,8932.14,0.340908,14.5457,-10.0114,116.423,-9.82996,91.2999,500,3.72951,6.42892,8.93458,-0.928337,2.5955,22.5777,2552.28,3.64903,4209.45,33956.3,3.58735,6.28676,8.65024,-1.0705,2.45334,0.565471,2527.9,2.65387,4185.06,0.320605,0.998166,0.00116677,7884.79 
113,-185,44.0663,113,13635.2,0.37808,27.0924,9.34953,116.553,0.2599,-464.553,473.737,0.132088,-0.95128,4.37171,-1.38567,-6.74039,-38.296,5137.86,17.9781,6647.13,12176.2,0.373227,-0.71014,4.85399,-1.14453,-6.49925,2.55243,5179.22,19.666,6688.49,0.376931,0.993399,0.00538713,13740.5 
114,-35,44.2163,114,10797.8,0.4266,18.5733,10.0234,116.717,-0.148541,-168.085,57.7175,4.77622,-3.29214,-6.44882,-1.51535,-1.20655,-23.5377,3474.8,6.85149,5095.03,6873.13,4.92443,-3.14393,-6.1524,-1.36714,-1.05834,0.0948861,3500.22,7.88897,5120.45,0.348128,0.996071,0.00283006,10054.4 
115,-160,44.0913,115,13973.7,-0.0199954,27.2577,9.7984,116.74,0.0116257,-6.05266,6.40018e-11,1.54056,0.317075,-2.90761,2.04684,5.23666,-62.6479,4789.86,17.4051,7200.58,8696.69,1.93504,0.711552,-2.11866,2.44131,5.63114,1.24634,4857.51,20.1665,7268.23,0.343024,0.992787,0.00508513,14160.8 
116,-45,44.2063,116,8517.12,0.503464,12.2922,10.4059,116.095,0.661459,-3775.39,23.3117,5.0188,0.0636077,4.25981,3.98548,3.00628,-66.7961,2137.5,5.75633,3959.61,85458.2,5.4394,0.484205,5.10101,4.40607,3.42688,0.729498,2209.63,8.70051,4031.74,0.299804,0.993156,0.00395953,7370.25 
117,-50,44.2013,117,7904.97,0.591376,10.0051,10.4591,116.32,0.182704,-457.426,6.42426,-1.09414,-2.02273,-2.74932,5.46093,-3.6778,16.2299,1902.43,-4.94953,3106.03,6127.12,-1.19634,-2.12492,-2.95371,5.35874,-3.78,0.371047,1884.9,-5.6649,3088.5,0.322858,1.00529,-0.00339023,5838.18 
118,-220,44.0313,118,14107,0.674013,24.1305,9.53106,116.433,1.51301,-644.707,392.93,2.6024,0.372774,5.45505,0.180385,1.48122,15.9443,4741.2,3.93838,6187.7,39241.1,2.502,0.272377,5.25426,0.0799878,1.38082,0.446305,4723.98,3.2356,6170.48,0.37426,0.998803,0.000965008,12622.2 
119,-80,44.1713,119,15330.2,0.420162,28.1688,10.1299,116.668,0.414475,-1319.89,119.618,4.20259,-2.702,-2.22722,-3.00954,2.52538,16.4912,5983.72,14.9281,7219.8,27097.7,4.09875,-2.80584,-2.4349,-3.11338,2.42154,-0.32777,5965.92,14.2013,7201.99,0.392896,0.995852,0.00361921,15184.5 
120,-60,44.1913,120,10138.1,0.43074,17.3839,9.85788,116.397,0.178335,-166.799,229.235,4.58665,1.53709,1.36674,-0.658298,-0.609931,18.5111,3039.04,0.947388,4951.12,6546.95,4.47009,1.42053,1.13362,-0.774858,-0.72649,0.794741,3019.05,0.131471,4931.13,0.323554,0.999924,4.91108e-05,9330.9 
121,-190,44.0613,121,12979.9,0.379031,26.1238,9.14718,116.634,-0.33104,-131.105,475.916,5.386,-1.52318,-2.46713,0.791101,-1.42618,1.6676,4754.57,13.0874,6351.98,9191.76,5.37549,-1.53368,-2.48813,0.7806,-1.43668,4.56671,4752.77,13.0139,6350.18,0.368975,0.995231,0.00376095,12881 
122,-155,44.0963,122,11932.8,0.451863,22.083,9.41709,116.674,-0.102575,-433.526,67.1859,-0.324975,-2.3825,-6.07766,5.33564,-1.66103,20.178,3903.83,9.79064,5798.13,8217.3,-0.45203,-2.50955,-6.33177,5.20859,-1.78809,-0.0781416,3882.04,8.90126,5776.34,0.344282,0.996003,0.00283062,11275.7 
123,-25,44.2263,123,15294.1,0.419401,28.8266,9.87454,116.85,-0.11973,-630.032,37.9399,1.42215,1.32174,-2.94985,-3.70311,2.04691,22.2045,6099.67,11.8708,6966.11,11721.9,1.28233,1.18193,-3.22948,-3.84293,1.90709,-0.195634,6075.69,10.8921,6942.13,0.406085,0.996873,0.0028819,14961.6 
124,-30,44.2213,124,14336.5,0.430402,26.6177,9.86534,116.542,-0.167601,-221.109,499.728,-0.17872,-2.29922,-4.73958,4.34777,-2.39879,-40.6267,5696.76,22.6418,6672.81,9754.63,0.0770955,-2.04341,-4.22795,4.60359,-2.14298,-0.132391,5740.63,24.4325,6716.68,0.400379,0.992607,0.0066562,14338 
125,-75,44.1763,125,14376.1,0.0831626,27.313,10.0929,116.553,3.80752,-3052.71,500,1.52942,-2.14587,-4.43663,1.73302,-0.731545,4.33844,5601.67,14.0864,6899.16,387350,1.5021,-2.17318,-4.49127,1.7057,-0.758863,-0.0654139,5596.98,13.8952,6894.48,0.388089,0.995674,0.00369887,14421.9 
126,-135,44.1163,126,14108.3,0.386142,26.7799,9.80821,116.765,-0.352478,-13.674,62.1397,-2.51045,-0.423627,-1.4325,-3.20416,0.903353,2.1256,5111.12,5.73787,7093.19,8707.46,-2.52383,-0.437011,-1.45927,-3.21754,0.889969,0.783738,5108.82,5.64418,7090.89,0.360152,0.99807,0.00146413,14185.2 
127,-175,44.0763,127,15322.6,0.30173,31.28,9.54603,116.567,-0.215926,-473.399,373.173,0.0324564,1.59696,0.0284499,-0.323266,-0.88233,40.3778,5449.36,13.312,8212.57,13048,-0.221792,1.34272,-0.480047,-0.577515,-1.13658,0.552702,5405.76,11.5323,8168.97,0.340798,0.996281,0.00259379,15862 
128,-65,44.1863,128,12125.9,0.37284,21.4538,10.3508,116.662,0.0651905,357.493,197.011,1.5971,-0.289503,0.868961,-0.340862,3.42714,16.1886,4611.62,2.58521,5739.1,7987.58,1.49516,-0.391438,0.66509,-0.442797,3.3252,0.857007,4594.14,1.87166,5721.61,0.385485,0.999288,0.000602228,11917.8 
129,-230,44.0213,129,17318.9,0.367793,34.8798,9.58962,116.65,-0.0253135,-187.355,202.745,4.34193,-2.02298,2.83355,0.443155,1.12278,-28.4164,6353.75,25.6098,9148,11042.9,4.52086,-1.84405,3.19141,0.622085,1.30171,0.590426,6384.44,26.8623,9178.68,0.352086,0.992691,0.00536219,18133.1 
130,-115,44.1363,130,17077.9,0.0325218,34.8495,9.71864,116.644,-0.00876206,-13.3968,500,-1.39582,-0.739539,0.945884,2.81238,-0.504019,-6.01511,6277.87,22.6993,8960.06,11029.3,-1.35794,-0.701663,1.02163,2.85026,-0.466143,0.241067,6284.36,22.9644,8966.55,0.353818,0.993646,0.00469569,17761.5 
131,-195,44.0563,131,12732.2,0.119395,25.2243,9.42708,116.635,-0.118645,-85.5111,310.33,6.96577,-0.574896,1.85961,-1.28147,2.89068,-13.1772,4502.43,16.6455,6442.44,8071.18,7.04874,-0.491922,2.02556,-1.1985,2.97365,0.804436,4516.66,17.2263,6456.67,0.353383,0.99337,0.00489068,12781.2 
132,-120,44.1313,132,15623.2,0.339205,31.1957,9.64537,116.785,-0.239293,156.323,208.813,4.23694,6.12685,-0.399074,-4.04492,2.49485,-42.0374,5898.15,18.273,8084.7,11012.8,4.50163,6.39155,0.130323,-3.78022,2.75955,0.986971,5943.55,20.1259,8130.1,0.363518,0.994109,0.00453939,16350.1 
133,-140,44.1113,133,12267.2,0.187259,23.3794,9.91504,116.518,-0.0073928,-292.899,2.99613e-06,2.43802,0.0788615,7.59634,-1.05657,2.46097,12.2211,4395.44,12.4804,6313.57,7616.58,2.36107,0.00190875,7.44243,-1.13353,2.38402,0.326836,4382.24,11.9417,6300.37,0.35208,0.995254,0.00347937,12446.7 
134,-110,44.1413,134,17818.4,0.34202,35.9481,-9.60418,116.672,0.479969,-209.969,0.00196949,0.810763,-0.559889,-3.7349,0.868814,-1.82805,-1.52685,6655.16,25.7632,9284.47,14519.8,0.820377,-0.550275,-3.71567,0.878428,-1.81843,0.152751,6656.81,25.8305,9286.12,0.358992,0.993255,0.00509793,18543 
135,-70,44.1813,135,12267.7,0.376996,22.2099,10.0731,116.386,0.0119988,-173.045,22.1616,0.329926,-2.71091,4.06173,8.32601,-0.407289,-57.9257,4751.6,12.161,5698.44,7350.47,0.694669,-2.34617,4.79122,8.69075,-0.0425464,0.593549,4814.15,14.7142,5761,0.394984,0.99468,0.00468289,12188.2 
136,-225,44.0263,136,17686.3,0.414211,35.1827,9.58564,116.778,-2.98096,614.462,317.392,4.48397,2.61628,10.6691,-0.09589,1.59798,-21.7634,6726.36,22.8908,9045.42,70606.1,4.62101,2.75332,10.9432,0.0411483,1.73502,0.455392,6749.87,23.85,9068.92,0.367678,0.993855,0.00482113,18358.1 
137,-165,44.0863,137,15546.7,0.355608,29.938,9.94521,116.339,4.34777,-527.365,219.861,0.298618,1.42569,-4.86185,-1.67489,0.166141,36.4589,5210.08,12.9308,8471.94,84332.8,0.069046,1.19612,-5.321,-1.90446,-0.0634307,0.11666,5170.71,11.3238,8432.57,0.32389,0.996182,0.00246759,15964.4 
138,-210,44.0413,138,18856.7,0.00640505,39.1253,-9.72375,116.405,-0.000638091,53.3284,500,-0.0503315,-2.2982,-2.24609,0.808925,-2.92157,-16.7933,6581.52,24.2373,10657.3,12385.8,0.0554116,-2.19245,-2.03461,0.914668,-2.81583,0.664964,6599.65,24.9775,10675.4,0.325681,0.99342,0.00429151,20264.2 
139,-145,44.1063,139,12109.3,0.0897287,22.3971,10.0708,116.453,-0.0310183,-2033.93,3.34136,4.67581,-1.54824,-0.180599,1.2842,5.61384,-38.1614,4218.54,10.869,5867.5,9396.39,4.9161,-1.30795,0.299985,1.52449,5.85413,0.973422,4259.75,12.551,5908.71,0.360297,0.99487,0.00389768,11822.9 
140,-215,44.0363,140,16328.7,0.395058,32.4969,9.54227,116.664,-0.158597,-117.963,493.008,-1.73769,-3.08695,2.34967,-1.47649,-0.578512,-18.355,5957.67,22.003,8423.25,10703.6,-1.62212,-2.97137,2.58083,-1.36092,-0.462936,1.6727,5977.49,22.812,8443.07,0.356129,0.993366,0.00495247,16784.6 
141,-235,44.0163,141,18138,0.338101,36.721,-9.68902,116.783,-0.35956,-54.5726,391.625,0.175564,-4.14967,-1.18291,2.98228,3.67146,-37.3633,6737.3,29.6619,9680.68,12220.9,0.41083,-3.9144,-0.712374,3.21755,3.90673,1.24494,6777.65,31.3088,9721.03,0.352625,0.991981,0.00589793,19220.6 
142,-55,44.1963,142,9012.06,0.0814505,14.5897,10.7328,116.209,-0.0199938,0.629721,499.976,3.2642,0.371724,-0.407568,-2.15188,-1.6993,-32.9368,2563.56,9.38264,4510.14,5097.89,3.4716,0.579118,0.00721973,-1.94448,-1.4919,0.988384,2599.13,10.8344,4545.7,0.308772,0.992758,0.00437135,8417.63 
143,-125,44.1263,143,16857.1,0.246231,34.3173,-9.5786,116.538,-0.640835,9.75964,500,3.53333,2.77497,5.52232,2.739,4.29972,-40.6164,6207.83,14.5477,8849.87,10904.3,3.78908,3.03072,6.03382,2.99475,4.55547,0.70428,6251.69,16.338,8893.73,0.354491,0.995447,0.00337257,17635.7 
144,-240,44.0113,144,18222.7,-0.0216948,37.5474,-9.66483,116.501,-0.0343547,-1.1093,1.12711e-11,3.13334,-0.798254,0.178618,0.0373728,-1.77689,-15.8228,6186.07,17.9378,10155.5,11814.5,3.23297,-0.698622,0.377882,0.137005,-1.67725,0.724573,6203.15,18.6352,10172.6,0.322677,0.99477,0.00336321,19224.1 
145,-170,44.0813,145,16712,0.0142554,33.8494,-9.84399,116.526,-0.0414731,-8.51292,500,0.35792,0.670341,-2.15428,-0.88105,-1.66952,-1.74028,5880.96,26.877,9090.06,10858.7,0.368878,0.681299,-2.13236,-0.870091,-1.65857,0.409456,5882.84,26.9537,9091.94,0.335768,0.992046,0.00543139,17520.5 
146,-205,44.0463,146,17961.9,0.345878,36.9113,9.50757,116.628,0.0174353,-331.593,8.16275,2.13833,-1.29997,5.32231,1.56543,2.57467,32.902,6407.04,13.78,9729.94,11612.4,1.93116,-1.50715,4.90796,1.35826,2.3675,0.458146,6371.51,12.3298,9694.41,0.339265,0.996625,0.0023374,18780.4 
147,-180,44.0713,147,14467.3,0.393488,29.5982,9.10962,116.693,0.0631863,-706.012,301.177,7.25831,2.95881,-0.85064,2.13467,0.854729,5.21543,4741.04,11.8954,7724.71,10229.5,7.22547,2.92597,-0.91632,2.10183,0.821889,1.07536,4735.41,11.6655,7719.08,0.323992,0.995707,0.00277616,14615.8 
148,-200,44.0513,148,18745.1,0.00707967,39.1652,9.68052,116.508,-0.0341595,36.0339,500,2.66469,-0.620431,-4.12342,-0.0551807,-0.991111,41.495,6651.09,3.26164,10471.3,12382.3,2.40341,-0.881714,-4.64599,-0.316464,-1.25239,0.0100494,6606.28,1.43265,10426.5,0.331106,0.999621,0.000253051,19952.2 
149,-130,44.1213,149,17475.8,0.299737,36.0174,9.59563,116.594,-0.0805069,80.1269,41.6788,1.7307,-2.83379,4.82289,1.08969,-1.63199,-2.57382,6341.23,7.40035,9523.52,11460.7,1.74691,-2.81758,4.8553,1.1059,-1.61578,-0.482652,6344.01,7.51379,9526.3,0.342222,0.997932,0.00145084,18537.7 
150,-150,44.1013,150,12141.1,0.222674,23.1884,9.83808,116.444,-0.092758,-124.84,499.872,2.85218,2.86766,2.03674,0.845086,5.56579,-24.9608,4330.43,13.6942,6280.08,7803.33,3.00935,3.02483,2.35108,1.00226,5.72296,0.844407,4357.39,14.7944,6307.03,0.350543,0.994093,0.00430244,12430.4 
151,-40,44.2113,151,9175.02,0.00702847,16.0913,10.3455,116.334,0.0144631,-1.87836,1.16415,-0.206454,-3.20753,-0.0346755,1.4883,-1.31632,7.51416,2867.35,-1.24745,4713.67,5420.09,-0.253768,-3.25485,-0.129305,1.44099,-1.36364,0.963684,2859.24,-1.57865,4705.55,0.321901,1.00097,-0.000618386,8882.34 
152,-185,44.0663,152,17394.7,0.0706728,36.9367,9.51634,116.587,-0.192105,-95.5851,499.635,2.40032,3.97579,4.36351,-0.174313,-1.78631,-34.9993,6196.96,27.0718,9943.05,12040.3,2.6207,4.19617,4.80428,0.0460679,-1.56592,0.52439,6234.75,28.6145,9980.84,0.327968,0.992032,0.00525346,19010.2 
153,-35,44.2163,153,12937.9,0.0552889,25.3093,9.7848,116.562,0.038264,-34.8128,480.145,-2.23629,0.155447,5.62645,-2.0372,-5.97974,-43.643,5118.93,15.4882,6239.56,8105.09,-1.96148,0.430255,6.17607,-1.76239,-5.70493,3.18817,5166.06,17.4118,6286.69,0.390983,0.994136,0.00507606,13213 
154,-160,44.0913,154,15492.8,0.0153641,30.8532,-9.82514,116.587,-0.0850283,39.088,2.33666e-12,-4.45172,1.25753,10.5187,1.53313,2.96969,-28.9651,5236.47,21.5052,8507.73,9976.31,-4.26933,1.43991,10.8835,1.71552,3.15208,0.157733,5267.75,22.7819,8539.01,0.325216,0.992488,0.00489067,16197.7 
155,-45,44.2063,155,7880.74,0.00686819,13.0393,10.6982,116.074,0.00646177,-18.1049,500,1.09228,1.78549,6.303,-0.163235,1.05033,5.81687,2346.82,-7.15134,3938.01,4544.89,1.05566,1.74887,6.22974,-0.199862,1.0137,0.367417,2340.54,-7.40773,3931.73,0.31744,1.00557,-0.00348278,7373.15 
156,-50,44.2013,156,7393.93,-0.0202031,11.7697,11.0371,116.133,0.0140472,-1.30389,4.67776e-11,-2.97034,0.885886,6.1399,4.21089,1.6262,-33.3949,2010.15,1.98261,3759.48,4229.36,-2.76007,1.09616,6.56046,4.42117,1.83648,0.41184,2046.22,3.45456,3795.54,0.29636,0.997054,0.00167381,6904.51 
