cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44,0,5417.08,0.00449301,12.9122,11.7143,119.325,0.0674391,-57.8984,500,-1.98367,-2.23809,-8.93471,-4.57913,-0.932668,-4.9668,3846.37,-1.81439,3282.48,5051.05,-1.95239,-2.20681,-8.87216,-4.54785,-0.901393,0.519921,3851.51,-1.59546,3287.63,0.562819,1.00073,-0.000894762,6843.25 
1,44.9,1,5044.32,-0.100379,12.2534,11.797,119.964,-0.0989767,26.196,500,-2.14199,-3.83134,-3.08474,-3.97225,-1.60222,-3.98352,3745.17,-4.1434,2948.35,4790.09,-2.11691,-3.80626,-3.03458,-3.94717,-1.57713,0.79046,3749.3,-3.96782,2952.48,0.582546,1.00186,-0.00248174,6436.05 
2,44.321,2,4710.88,-0.0983571,11.5854,11.9552,119.655,0.0435242,-125.796,500,-0.31785,-3.05774,-5.56535,-1.20844,-3.65449,21.3478,3411.71,-3.71859,3049.08,4687.07,-0.452271,-3.19216,-5.83419,-1.34286,-3.78891,0.600682,3389.6,-4.65954,3026.97,0.55168,1.00241,-0.0028437,6144.14 
3,44.386,3,3591.92,0.0172081,-9.52238,11.7864,119.54,0.0171151,22.6702,4.0657e-13,0.0221952,1.67854,-6.29243,-4.09488,-4.98046,-9.85227,2553.17,-12.8459,2882.48,3666.25,0.0842323,1.74058,-6.16836,-4.03285,-4.91843,0.536033,2563.37,-12.4116,2892.68,0.493363,1.00855,-0.00796689,5195.72 
4,44.442,4,3230.91,-0.377988,-9.40409,12.0208,119.649,-0.0620853,243.729,499.98,-0.512952,0.0502746,-1.92316,0.876596,-2.73796,7.39014,3587.94,8.0469,1382.19,4172.58,-0.559486,0.00374086,-2.01623,0.830063,-2.78449,0.554562,3580.29,7.72116,1374.54,0.741089,0.99624,0.0102416,4831.11 
5,44.324,5,3764.15,-0.00719545,10.2945,11.4912,119.496,0.0401999,-12.1337,499.992,-0.222571,0.557543,-4.54096,-3.26837,1.59997,-18.0004,2952.2,-10.0621,2730.88,3866.83,-0.109227,0.670886,-4.31427,-3.15502,1.71331,0.169425,2970.84,-9.2687,2749.53,0.542827,1.00549,-0.00624857,5472.91 
6,44.37,6,4034.8,-0.108064,10.4817,11.8069,119.89,-0.005753,50.088,500,0.359096,-0.510727,-2.29754,-1.86907,-3.11082,-7.73635,2970.25,-5.10897,2748.49,4038.06,0.40781,-0.462013,-2.20012,-1.82036,-3.0621,0.691722,2978.26,-4.76798,2756.5,0.542817,1.00281,-0.00319652,5486.68 
7,44.2,7,4570.04,-0.152167,11.4607,-11.8936,119.109,0.14128,-965.794,499.067,-1.75937,-0.851797,-1.11912,-4.61937,-4.10189,-19.8032,3326.73,-5.7888,2966.87,8879.14,-1.63467,-0.727102,-0.869732,-4.49468,-3.97719,0.925685,3347.24,-4.91593,2987.38,0.551826,1.00258,-0.00304052,6065.75 
8,44.392,8,3236.62,-0.0707143,-9.19301,-11.4606,119.158,-0.00460494,21.2997,500,-1.40985,-0.732742,-3.15196,-1.65063,-3.14248,23.5367,2364.68,-7.82071,2584.77,3432.91,-1.55806,-0.880946,-3.44837,-1.79884,-3.29069,0.685852,2340.3,-8.85814,2560.39,0.501107,1.00667,-0.00641398,4670.25 
9,44.364,9,4520.27,-0.396837,11.8018,12.1329,119.119,0.50948,-55.9118,145.211,-0.689862,-1.33326,-5.29522,-3.98279,-1.49636,-16.2058,3013.89,-1.58343,3283.4,5588.59,-0.587818,-1.23122,-5.09114,-3.88074,-1.39432,0.582188,3030.68,-0.86913,3300.19,0.502279,1.0005,-0.000485368,6033.85 
10,44.306,10,4643.84,-0.00950771,11.7095,11.7469,119.756,-0.000196202,10.4387,1.73218e-11,0.0949812,-1.81355,-0.243023,-0.493711,-2.42311,30.2632,3296.55,-7.01795,3162.64,4477.78,-0.0955783,-2.00411,-0.624142,-0.68427,-2.61367,0.896352,3265.2,-8.35187,3131.29,0.533994,1.0045,-0.00493757,6114.68 
11,44.15,11,4097,-0.101947,10.6155,11.7252,119.537,0.0382526,108.425,499.8,0.111882,-0.24783,0.48811,0.937176,-0.722283,27.7791,3243.78,-4.26742,2548.32,4186.89,-0.063036,-0.422747,0.138275,0.762258,-0.8972,1.28661,3215.01,-5.49185,2519.54,0.58372,1.003,-0.00403142,5507.79 
12,44.315,12,4461.54,-0.00323704,11.5732,-11.6108,119.373,-0.0715279,66.4532,2.46675e-13,-1.76723,-1.00385,-2.39369,1.59136,0.158863,-19.242,3320.3,-5.77212,3097.74,4529.04,-1.64606,-0.882693,-2.15136,1.71252,0.280024,0.199515,3340.23,-4.92399,3117.67,0.540726,1.00259,-0.00291787,6177.31 
13,44.6,13,5020.68,-0.00366541,11.9967,11.8972,119.564,0.00262938,1.63196,7.0589e-12,-1.02384,-1.71515,-1.01912,-1.3213,-1.93191,-28.4373,3754.62,-7.37806,3011.55,4646.4,-0.844776,-1.53609,-0.660995,-1.14223,-1.75285,0.888664,3784.08,-6.12463,3041,0.577599,1.00284,-0.00372385,6551.39 
14,44.3,14,4318.72,0.000481522,10.7713,11.5918,119.275,-0.00772602,7.49993,8.30638e-12,-0.458575,-3.24478,-6.51186,-1.765,-2.45064,-11.4279,3163.72,-6.57622,2727.66,4066.46,-0.386617,-3.17282,-6.36795,-1.69304,-2.37868,0.545117,3175.56,-6.07251,2739.49,0.560212,1.00336,-0.00410005,5668.5 
15,44.406,15,2823.25,-0.0198113,-8.2685,11.4788,119.307,0.036669,42.1349,3.06272,-1.10378,1.63933,-1.87664,-0.992084,1.32946,-7.2355,1819.58,-11.1609,2691.17,3140.01,-1.05822,1.68489,-1.78552,-0.946524,1.37502,-1.44475,1827.08,-10.842,2698.66,0.426602,1.01049,-0.00745592,4282.86 
16,44.4,16,3131.22,-0.224436,-8.96522,11.8706,119.2,1.10156,2012.24,500,-1.7183,-0.881716,-1.81961,-0.0597719,0.158823,-36.6545,1990.57,-12.6253,2820.54,75622.1,-1.4875,-0.650912,-1.358,0.171032,0.389627,0.537426,2028.54,-11.0097,2858.51,0.43815,1.00959,-0.00714566,4629.79 
17,44.4,17,3315.71,-0.313378,-9.14139,11.7663,119.041,-0.78507,331.019,2.48474,-0.217293,2.9211,-1.84023,-3.32233,-2.55782,4.37789,2263.81,-9.28579,2522.76,11961.2,-0.244859,2.89353,-1.89536,-3.34989,-2.58538,0.634239,2259.28,-9.47876,2518.22,0.49645,1.0074,-0.00698222,4550.86 
18,44.404,18,3257.1,-0.100825,-9.24354,11.5372,118.981,-1.7602,454.816,0.00129373,-2.46393,-2.96643,-3.78705,-1.56815,1.18692,1.80138,1998.77,-10.2488,2955.44,29532.7,-2.47527,-2.97777,-3.80974,-1.57949,1.17558,0.60589,1996.9,-10.3282,2953.57,0.426265,1.00913,-0.00648334,4684.65 
19,44.388,19,3741.19,-0.0480932,9.94358,11.4112,119.14,0.173589,-1.34363,500,-4.54504,-0.499772,-2.00008,-3.6672,1.29669,2.26734,2180.36,-2.00903,3176,3701.34,-4.55932,-0.514049,-2.02863,-3.68148,1.28242,0.786483,2178.02,-2.10897,3173.65,0.429925,1.0017,-0.00122562,5066.04 
20,44.362,20,3961.72,-0.339014,10.6064,11.8057,119.048,0.660904,-125.533,290.518,-0.448456,2.75758,-0.950739,-3.05122,-2.3419,-56.396,2691.94,-8.64579,2856.64,6776.99,-0.0933454,3.11269,-0.240518,-2.69611,-1.98679,0.873682,2750.35,-6.16001,2915.06,0.509037,1.00393,-0.0039079,5403.05 
21,44.25,21,5027.88,-0.345858,12.308,12.0604,119.632,0.124742,0.0717463,30.9323,-8.03482,-2.32244,4.89336,-3.70931,0.0771046,-54.1091,3543.92,-4.01113,3010.27,4832.48,-7.69411,-1.98173,5.57478,-3.3686,0.417815,1.79054,3599.97,-1.62616,3066.32,0.563347,1.00079,-0.000977878,6390.31 
22,44.402,22,3183.79,-0.00671816,-8.50645,11.5084,119.409,0.00119696,4.71897,2.62816e-12,-0.245343,1.76544,2.70725,-1.2152,-1.58892,-23.0659,2069.15,-1.9605,2583.18,3187,-0.100103,1.91068,2.99773,-1.06996,-1.44368,-0.306393,2093.04,-0.943817,2607.08,0.468716,1.00079,-0.000667326,4465.48 
23,44.394,23,3580.06,-0.131036,-9.80411,11.4734,119.4,0.249658,-439.178,500,-4.67917,-0.447853,-1.5428,-2.34435,-2.71236,7.34105,2249.45,-5.99824,2945.84,7231.07,-4.7254,-0.494078,-1.63525,-2.39058,-2.75858,0.863774,2241.85,-6.32181,2938.23,0.456064,1.00496,-0.00397919,4915.64 
24,44.55,24,4164.38,0.000228725,10.1451,11.7988,119.82,0.0108504,6.48953,1.55967e-12,-4.56795,-3.81567,-6.06192,-1.17814,-0.82872,20.464,3294.62,-1.24767,2251.64,3898.89,-4.69681,-3.94453,-6.31963,-1.30699,-0.957577,0.633124,3273.42,-2.14967,2230.45,0.617263,1.00115,-0.00177855,5303.13 
