cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.31,0,12287,-0.145179,18.6703,15.1769,117.113,0.0507447,4.18597,53.8795,0.23204,-1.56935,1.62737,-1.32056,0.761212,42.9049,4685.59,47.7781,7436.76,9231.12,-0.0381201,-1.83951,1.08705,-1.59072,0.491052,1.57508,4639.26,45.887,7390.42,0.408222,0.982985,0.0113083,11364.5 
1,44.458,1,11353,-0.131496,16.7384,15.6237,115.761,0.0348921,-19.9786,273.534,-0.457873,0.58494,0.114402,1.59696,-0.97025,-18.7237,4134.27,39.8855,7039.86,8535.93,-0.339974,0.702838,0.350199,1.71485,-0.852352,0.777731,4154.49,40.7108,7060.08,0.392705,0.98314,0.0105105,10579.2 
2,44.59,2,13691.1,-0.114403,20.0153,15.5063,115.737,0.00361943,46.8033,76.0501,-1.66453,-1.00059,-1.95388,-0.285802,1.67798,3.97549,5237.06,57.4806,8070.33,10108.9,-1.68956,-1.02562,-2.00395,-0.310834,1.65295,0.406592,5232.77,57.3054,8066.03,0.416196,0.981196,0.0129182,12572.9 
3,44.41,3,13559.3,-0.134428,19.9907,-15.4958,116.686,0.0607955,5.32078,383.245,-0.187784,0.116711,-2.04351,1.45022,0.0228881,56.0199,4650.63,47.1238,8535.56,10094.6,-0.540526,-0.236031,-2.749,1.09748,-0.329854,0.00323778,4590.13,44.6546,8475.06,0.373107,0.98326,0.00961263,12302.4 
4,44.425,4,11825.9,-0.171956,18.0597,15.3035,116.71,0.0641074,-90.2606,125.856,-1.04289,-3.22942,-3.2048,-0.739293,-2.98812,25.3862,4477.69,58.4417,7287.06,9185.34,-1.20274,-3.38927,-3.5245,-0.899143,-3.14797,0.710242,4450.28,57.3227,7259.65,0.402501,0.977956,0.0143369,11056.6 
5,44.54,5,13540.8,-0.108224,19.8358,15.6737,116.136,0.032226,25.5362,4.0885e-06,-2.07992,-1.06335,0.874349,-0.131744,-0.943339,-24.9806,5516.68,51.5451,7687.63,10147.6,-1.92262,-0.906051,1.18894,0.0255522,-0.786043,1.49535,5543.66,52.6462,7714.61,0.441235,0.983653,0.0124149,12564 
6,44.428,6,11933.4,-0.123618,18.3142,14.919,117.401,0.0178762,21.5368,2.31765,-2.27951,-0.584196,-1.66142,0.544694,0.362292,18.1132,4372.38,42.5641,7359.98,8907.04,-2.39356,-0.69825,-1.88953,0.43064,0.248237,0.560826,4352.82,41.7657,7340.42,0.394542,0.983486,0.0103725,11032.6 
7,44.461,7,11434,-0.1674,17.0211,15.7068,115.782,0.0321302,277.051,33.4554,0.977067,-0.422544,-3.93869,-1.55692,-1.4716,-3.76105,4401.98,46.2791,6915.15,8992.81,1.00075,-0.398862,-3.89132,-1.53324,-1.44792,0.379433,4406.04,46.4449,6919.21,0.411682,0.981887,0.012214,10702.5 
8,44.35,8,14312.3,0.00371524,21.2615,15.2269,116.529,-0.0070903,-0.528684,2.34188e-11,-1.20827,-2.51968,-1.32073,-2.57058,1.41311,4.45012,5145.45,52.9961,8774.41,10539.1,-1.23629,-2.5477,-1.37677,-2.5986,1.38509,0.784012,5140.65,52.7999,8769.61,0.391788,0.982343,0.0109693,13121 
9,44.452,9,10575.2,-0.0137193,16.0384,15.1498,116.346,-0.000303851,-17.5341,500,0.108879,-1.84045,-0.781089,0.499249,-3.06112,-9.59928,4033.97,38.7344,6478.54,7909.94,0.169324,-1.78001,-0.660201,0.559693,-3.00067,0.859885,4044.34,39.1575,6488.9,0.406497,0.983339,0.010994,9949.24 
10,44.52,10,12107.5,-0.180662,18.5749,15.2615,117.774,-0.0479625,126.15,332.501,-2.34724,-3.02171,-1.43938,-1.24545,0.201827,0.658604,5725.05,49.4079,6274.57,9425.18,-2.35139,-3.02585,-1.44767,-1.2496,0.19768,0.816212,5724.34,49.3788,6273.86,0.500662,0.985129,0.0142912,11433.6 
