cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,44.03,17,16602.8,0.0313343,29.821,11.2915,123.469,0.0793752,-46.0593,500,1.28305,1.64333,1.89855,2.2234,1.22601,-78.2768,7134.83,63.3392,6795.87,11080.5,1.77594,2.13622,2.88432,2.71629,1.7189,0.743197,7219.36,66.7894,6880.4,0.450471,0.984068,0.0175675,16026.3 
18,44.01,18,17762.7,0.216653,32.5043,11.0328,123.739,-0.103673,-131.083,500,0.0593211,-3.32385,9.68923,1.05794,-3.23134,12.7212,7583.58,69.5899,7660.07,12116.4,-0.0207807,-3.40395,9.52903,0.97784,-3.31144,-1.52712,7569.84,69.0292,7646.33,0.436122,0.984292,0.016358,17357.1 
19,44.13,19,15938.3,0.0761543,28.2006,11.1892,123.538,-0.00459967,-57.8571,0.000226276,0.178468,-3.40198,6.40817,1.54761,-3.21327,-104.34,6650.51,43.2125,6570.25,10280.7,0.835472,-2.74498,7.72217,2.20462,-2.55626,-0.414053,6763.18,47.8115,6682.93,0.441538,0.98778,0.0130075,15317.3 
20,44.09,20,17117.2,0.130824,31.8544,11.2065,123.822,-0.00969902,-52.6906,2.6828,0.487798,3.46307,-3.70951,1.33559,0.859528,-90.1799,7310.71,65.2347,7647.54,11637.4,1.05564,4.03091,-2.57384,1.90343,1.42737,1.44046,7408.09,69.2096,7744.92,0.42768,0.983914,0.0161947,17321.6 
21,44.15,21,15657.5,0.174662,27.5611,11.6214,123.562,-0.251594,39.2877,216.778,-0.433302,2.30628,6.78038,-2.1378,6.46141,-21.6596,6727.59,39.6415,6693.93,10748.5,-0.296917,2.44267,7.05315,-2.00142,6.5978,0.488727,6750.98,40.5962,6717.32,0.439827,0.989586,0.0110102,15349.2 
22,44.16,22,12045.8,0.232453,19.903,11.822,123.653,-0.0677364,-29.9413,0.314453,-2.12493,1.81138,1.86092,-4.64236,-2.00466,-15.0841,4904.64,35.4773,4935.2,7725.6,-2.02995,1.90636,2.05088,-4.54738,-1.90968,1.45276,4920.93,36.1421,4951.48,0.437073,0.98731,0.0132676,11258.8 
23,44.17,23,10711.8,0.287485,16.2168,12.3377,123.337,-0.109701,-293.067,0.221221,4.17295,-3.32137,6.39711,-2.72109,-1.40368,9.49489,3927.89,48.4552,4295.61,7559.77,4.11317,-3.38116,6.27754,-2.78088,-1.46347,-1.27019,3917.64,48.0367,4285.35,0.416642,0.978993,0.0202313,9402.89 
24,44.18,24,10038.3,0.299696,15.4188,11.9374,123.498,0.147722,-2323.99,335.494,4.58985,2.53605,5.90993,-1.17232,0.460252,-11.7666,3653.71,38.2804,3944.21,17167.4,4.66394,2.61014,6.05811,-1.09823,0.534342,0.525535,3666.41,38.7991,3956.92,0.419918,0.981818,0.0177421,8731.27 
25,44.19,25,13342.8,0.273937,23.1214,11.1914,123.537,-0.246197,-307.8,378.755,-0.917899,2.63484,6.18764,-4.56815,2.2721,-37.168,5413.53,47.5871,5503.79,10890.4,-0.683862,2.86888,6.65571,-4.33412,2.50614,0.0509135,5453.66,49.2253,5543.92,0.434559,0.98445,0.0160931,12549.9 
26,44.2,26,16023,0.279959,28.4119,11.1325,123.508,-0.353839,-25.5001,100.462,-1.27529,2.97611,-4.57675,-0.164104,4.1481,37.5541,7098.63,71.64,6384.05,10590.2,-1.51176,2.73965,-5.04969,-0.400571,3.91163,-15.2507,7058.08,69.9847,6343.5,0.465028,0.982944,0.0199183,15177.7 
27,44.2,27,16792.1,0.00241795,30.5983,11.3195,123.471,0.0103086,-14.4824,9.76029,-0.0644301,4.50927,3.49962,-3.37233,2.54152,-9.18538,7147.73,65.8167,7146.23,11280,-0.00659218,4.56711,3.6153,-3.31449,2.59936,0.51542,7157.64,66.2216,7156.15,0.438648,0.984067,0.0167608,16317.5 
