,TTF,C,e_C,e_TTF
0,0.2598265625,2.365722981430282,0.04086586702192876,0.016241077427313743
1,0.29685,2.4007533164463775,0.07452962041134939,0.005544104616617551
2,0.3251328124999999,1.9393414382333607,0.012945351593380982,0.008708080020557793
3,0.3577859375,1.7281273533718535,0.03666620376838741,0.004919894714320621
4,0.39043906249999993,1.860716936895592,0.016880613491748547,0.006061711284113321
5,0.40815,1.7589506574932148,0.023666646806490187,0.002638825496314602
6,0.45574531249999994,1.94827631212886,0.026444201491932526,0.008340407663897497
7,0.4982,1.4863518678747045,0.017110115680841035,0.0027451455334827055
8,0.5094000000000001,1.1976797763412685,0.010284829539597983,0.006451433639122393
9,0.5537046875,1.4720402456941564,0.012320510905919204,0.024516494610374768
10,0.5863578125,1.2383781334636141,0.026695423390409877,0.01305112929979625
11,0.6190109374999999,0.903958273555609,0.013606476637168088,0.012084369077448774
12,0.6516640624999999,,inf,
13,0.6843171874999998,,inf,
14,0.7169703124999998,,inf,
15,0.7496234374999999,0.7424733475532823,0.009436255073242621,0.006350994730996259
