,C,SW,e_SW,e_C
0,0.6782283566752583,0.11761202224582734,0.015572952608683278,0.01283108726206369
1,0.853770618858126,0.14905922550386652,0.013925223921102473,0.013766132356525494
2,0.9707987936467045,,inf,
3,1.087826968435283,,inf,
4,1.2048551432238614,0.19399727686337143,0.01273191489446624,0.01849012646500393
5,1.32188331801244,,inf,
6,1.4389114928010187,0.18445795174119625,0.008568844431058924,0.016891523145839724
7,1.5635884417751869,0.19731140136893902,0.015081296692518403,0.018286281109308317
8,1.6729678423781755,0.29069886363329234,0.01946531997481561,0.02987201247904028
9,1.7899960171667542,0.296938579228746,0.015787516062758553,0.01949473987109257
10,1.9070241919553326,0.2824327726770106,0.018366096940521853,0.02644420149193253
11,2.024052366743911,0.28074169041704605,0.01292521437370998,0.043095334869790225
12,2.1410805415324896,,inf,
13,2.2010431274858373,0.32209115456757537,0.018047979458740187,0.03674574452271742
14,2.3751368911096464,0.3400737196735447,0.013642963411506436,0.0536661974253872
15,2.492165065898225,0.35074365550008435,0.014825789290115307,0.04813547339408998
