,C,e_C,CS_d,e_CS_d,CS_HFT,e_CS_HFT,CS_tot,e_CS_tot
0,0.6782283566752583,0.01283108726206369,-0.5115589534601928,0.06773528068526884,0.3185828683929237,0.006027121314400327,-0.19297608506726904,0.06800290023852404
1,0.853770618858126,0.013766132356525494,-0.6483400246529657,0.060568408226912826,0.4049282631105168,0.004571469136415954,-0.24341176154244892,0.06074068163271766
2,0.9707987936467045,,,inf,,inf,,inf
3,1.087826968435283,,,inf,,inf,,inf
4,1.2048551432238614,0.01849012646500393,-0.8438001662697748,0.05537805519017394,0.5650545703702446,0.004508077571187561,-0.2787455958995302,0.05556124332692525
5,1.32188331801244,,,inf,,inf,,inf
6,1.4389114928010187,0.016891523145839724,-0.8023084285797566,0.037270586848286456,0.6763955846805302,0.005609074266995771,-0.1259128438992264,0.03769029527807308
7,1.5635884417751869,0.018286281109308317,-0.8582151047372166,0.06559680044206619,0.7344613150777934,0.008589578761644396,-0.12375378965942319,0.06615679172646409
8,1.6729678423781755,0.02987201247904028,-1.2644082094047175,0.08466531333226641,0.791169200073398,0.009174354439502127,-0.47323900933131957,0.08516093036734898
9,1.7899960171667542,0.01949473987109257,-1.29154814220196,0.0686685343945549,0.8271236795670391,0.006041797865268145,-0.46442446263492076,0.0689338156302183
10,1.9482763121288602,0.02644420149193253,-1.2284544628569045,0.07988419168921432,0.915159989745445,0.012421582614090116,-0.3132944731114595,0.08084416983603582
11,2.024052366743911,0.043095334869790225,-1.221099022021831,0.056218820253286665,0.9363013876370831,0.013279147843644637,-0.2847976343847478,0.0577658334842035
12,2.1410805415324896,,,inf,,inf,,inf
13,2.2010431274858373,0.03674574452271742,-1.4009504368948111,0.07850052492666616,1.033891647421515,0.017260506105447444,-0.3670587894732962,0.08037572696267402
14,2.3751368911096464,0.0536661974253872,-1.4791664390558141,0.0593407030303277,1.1143856446965104,0.01323478895943381,-0.3647807943593038,0.060798673299129594
15,2.492165065898225,0.04813547339408998,-1.525575820517713,0.06448545912781291,1.19476528085093,0.015952366453450804,-0.3308105396667831,0.06642930403361164
