Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,    -3174.63,     43.2120,        0.01,    26979.00,       43.21,       43.12,       43.26,        0.09,        0.05,          10
90us          ,      202.10,      2.5000,     1899.56,     43.2076,        0.01,    27728.88,       43.21,       43.15,       43.31,        0.06,        0.10,          10
130us         ,      202.10,      2.5000,    -6640.89,     43.2188,        0.01,    24667.65,       43.22,       43.17,       43.30,        0.04,        0.08,          10
169us         ,      202.10,      2.5000,    -3110.50,     43.2633,        0.01,    27607.42,       43.26,       43.22,       43.29,        0.04,        0.03,          10
209us         ,      202.10,      2.5000,    -4222.22,     43.2195,        0.02,    27138.56,       43.22,       43.18,       43.27,        0.04,        0.05,          10
249us         ,      202.10,      2.5000,    -2720.69,     43.2754,        0.01,    26779.30,       43.28,       43.22,       43.33,        0.05,        0.06,          10
290us         ,      202.10,      2.5000,    -3162.89,     43.2403,        0.01,    27921.61,       43.24,       43.17,       43.36,        0.07,        0.12,          10
329us         ,      202.10,      2.5000,     -681.14,     43.2014,        0.01,    26974.62,       43.20,       43.19,       43.30,        0.01,        0.10,          10
369us         ,      202.10,      2.5000,    -3724.68,     43.2998,        0.02,    26614.60,       43.30,       43.18,       43.37,        0.12,        0.07,          10
409us         ,      202.10,      2.5000,    -3300.39,     43.1479,        0.02,    25721.16,       43.15,       43.07,       43.27,        0.07,        0.12,          10
449us         ,      202.10,      2.5000,    -3131.12,     43.2180,        0.01,    23058.44,       43.22,       43.18,       43.40,        0.04,        0.18,          10
489us         ,      202.10,      2.5000,    -3873.16,     43.2393,        0.02,    24362.94,       43.24,       43.10,       43.41,        0.14,        0.17,          10
529us         ,      202.10,      2.5000,    -3327.48,     43.1673,        0.01,    25329.25,       43.17,       43.11,       43.27,        0.06,        0.10,          10
570us         ,      202.10,      2.5000,    -5007.62,     43.1965,        0.01,    25958.88,       43.20,       43.00,       43.29,        0.20,        0.09,          10
