cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
14,43.3,14,18271.7,-0.0989587,42.2384,11.1838,121.874,0.056441,-1.37678,102.342,-4.91339,-4.02052,-8.7078,-7.31036,-1.23036,133.113,12324.8,23.1357,8720.51,15380.3,-5.75156,-4.8587,-10.3842,-8.14854,-2.06854,0.667297,12138.1,16.2208,8533.81,0.623196,0.997667,0.00348919,19477.2,-0.00300647,1.28197,11.4984,10.2589,121.901,88.2517,0.84035,11.6274,11.712,120.999,137.799,0.901959,-49.5473 
15,43.215,15,13625.2,-0.776382,31.7506,12.0968,121.896,0.706834,1648.49,433.131,-5.74157,-9.77759,-12.1771,-6.74195,-6.60681,217.883,9184.68,37.7544,7238.23,50434.5,-7.11352,-11.1495,-14.921,-8.1139,-7.97876,0.6972,8879.08,26.4358,6932.63,0.598275,0.994817,0.00697539,14841.1,-0.00284134,0.903868,11.7445,10.5384,121.585,88.1161,0.640997,12.0413,12.2506,120.79,138.161,0.795163,-50.0454 
16,43.27,16,15838.9,-0.817267,36.8061,11.8655,122.073,-2.56129,5665.35,260.888,-5.09399,-10.3105,-14.3911,-6.47863,-7.61436,221.278,10383.5,32.5965,8271.05,486586,-6.48732,-11.7039,-17.1777,-7.87196,-9.00768,0.67123,10073.1,21.1016,7960.69,0.595363,0.996347,0.00485918,16919.3,-0.00287834,1.08415,11.5223,10.1308,121.958,88.1137,0.773126,11.7023,11.8837,120.912,137.883,1.04607,-49.7696 
17,43.21,17,14040.1,-0.775206,32.5142,11.9472,121.806,0.264195,40.8639,3.45231,-3.94787,-3.02451,-11.8396,-3.80889,-3.38647,146.653,9491.38,20.9781,7183.47,12996.9,-4.8713,-3.94794,-13.6865,-4.73233,-4.3099,0.566169,9285.69,13.3598,6977.77,0.607441,0.997489,0.00351454,15286.6,-0.00270109,0.938853,11.7973,10.4731,121.778,88.0335,0.638591,11.9818,12.2281,120.791,137.838,0.987174,-49.8049 
18,43.32,18,16697.4,-0.00820057,38.8452,11.2803,121.912,-0.00554879,-5.14023,4.10736e-12,-8.22656,-6.86316,-6.1116,-0.822721,0.450066,160.138,11478.5,17.2658,8052.35,14265.4,-9.23491,-7.87151,-8.12829,-1.83107,-0.558279,0.705753,11253.8,8.94697,7827.74,0.625711,0.998611,0.00210107,17985.7,-0.00305672,1.23286,11.4621,10.0257,121.771,87.5993,0.776772,11.7157,11.581,120.796,137.007,0.974289,-49.4075 
19,43.18,19,13158,-0.765431,31.1767,11.9516,122.126,0.486494,-94.7801,57.1348,-6.67228,-7.78878,-8.54788,-3.77266,-7.57244,190.309,8972,28.5854,6903.81,13630.8,-7.87061,-8.9871,-10.9445,-4.97098,-8.77077,0.736556,8705.07,18.6992,6636.88,0.603982,0.996255,0.00516328,14412.8,-0.00274283,0.909355,11.7235,10.2526,121.979,88.3707,0.645514,11.9061,11.7144,120.998,138.148,0.981141,-49.7773 
20,43.1,20,17178.7,-0.0819568,38.7112,-11.3832,122.012,-0.061475,55.2897,458.127,-5.13648,-4.19618,-4.97905,-6.13539,-3.10895,193.441,10951.4,36.3869,8658.69,14455.5,-6.35452,-5.41423,-7.41514,-7.35344,-4.32699,0.759751,10680.1,26.338,8387.37,0.596879,0.995703,0.00575131,17893.2,-0.00258794,1.14413,11.4628,10.1671,121.987,88.0972,0.82399,11.683,11.7503,120.854,137.797,1.13363,-49.7001 
21,43,21,15683.1,-0.140715,35.9942,-11.3372,121.978,0.221505,83.2837,500,-8.89243,-1.10455,-6.08289,-7.68448,-2.24808,159.549,10226.3,21.3356,7995.35,13884.6,-9.89707,-2.10918,-8.09216,-8.68912,-3.25272,0.747438,10002.5,13.0473,7771.57,0.599454,0.997722,0.00308309,16686.1,-0.00254822,1.1087,11.3352,9.88756,121.842,87.9062,0.781273,11.5359,11.4633,120.917,137.529,0.925663,-49.6224 
22,43.17,22,13110.5,-0.0248164,31.1757,11.3675,122.04,0.0311463,78.8973,1.47962e-05,-5.81943,-0.227559,-14.0636,-3.70175,-5.96703,165.37,8747.9,25.3116,7129.06,11616.6,-6.86072,-1.26885,-16.1462,-4.74304,-7.00832,0.551832,8515.95,16.721,6897.11,0.589442,0.996576,0.00444605,14447.5,-0.00283501,0.909099,11.638,10.1319,121.811,88.3872,0.689153,11.5683,11.6447,120.982,138.174,0.828585,-49.7872 
23,43.195,23,13339.4,-0.785683,31.52,-12.0193,122.053,0.443889,565.288,488.444,-2.26056,-5.40557,-8.27086,-4.11629,-2.06854,144.775,9114.69,22.2661,6915.17,20501.2,-3.17217,-6.31718,-10.0941,-5.0279,-2.98015,0.63416,8911.63,14.7454,6712.11,0.606892,0.997113,0.00403048,14684,-0.00285612,0.920126,11.7813,10.3583,121.99,88.0539,0.630676,11.9474,12.0559,121.037,137.678,0.953469,-49.6237 
24,43.2,24,11759.3,-0.120466,28.232,11.542,121.94,0.0444902,-156.304,483.038,-6.08564,-5.63589,-10.8984,-7.09998,-4.76651,170.219,8122.01,25.0294,6243.13,10834,-7.15747,-6.70772,-13.0421,-8.17181,-5.83834,0.681259,7883.26,16.1869,6004.38,0.604219,0.99642,0.00494149,13047,-0.00261164,0.843417,11.4708,10.2666,121.669,88.487,0.57913,11.7026,11.9581,120.873,138.558,0.795307,-50.0705 
25,43.4,25,17258.3,-0.761986,39.253,11.6962,122.115,-0.142101,598.171,117.735,-3.49877,-5.43809,-3.40336,-7.82225,-2.85654,147.515,11065.2,33.7829,8766.86,17712.6,-4.42763,-6.36695,-5.26108,-8.75111,-3.7854,0.815996,10858.3,26.1198,8559.96,0.59596,0.995808,0.00558956,18219.9,-0.00264675,1.14858,11.4132,10.2932,121.962,88.2772,0.830606,11.7116,11.6486,121.022,138.151,0.940113,-49.8734 
26,43.235,26,12466.9,-0.0495599,29.4369,-11.3828,122.09,0.0134773,34.0158,2.6498e-11,-3.92905,-4.81859,-3.07538,-4.36266,-3.59079,191.452,8533.01,14.2392,6542.86,10922.7,-5.13457,-6.02412,-5.48643,-5.56818,-4.79631,0.796871,8264.48,4.29366,6274.33,0.604995,0.999092,0.001259,13660.4,-0.00264318,0.888167,11.5607,10.1522,121.973,88.0366,0.613581,11.7854,11.7875,121.021,137.724,0.951996,-49.6877 
27,43.14,27,21595.4,-0.108784,46.6517,11.6265,121.824,-0.107991,22.1861,4.22943e-12,-10.1564,-1.68815,-18.8386,-7.54622,-3.77191,192.606,13717.6,37.7431,10540.9,17734.8,-11.3692,-2.90094,-21.2642,-8.75901,-4.9847,0.568485,13447.4,27.7376,10270.7,0.603558,0.996403,0.00495026,22280.2,-0.00273714,1.36373,11.7846,10.4188,121.726,87.6926,0.96198,11.8586,11.8529,120.854,137.349,0.871996,-49.6567 
28,43.19,28,13475.4,-0.171115,31.1134,11.7107,122.027,0.0790935,85.849,498.517,-7.96218,-4.92619,-11.6149,-6.48867,-3.9649,139.319,9263.12,36.3159,6891.87,12082.2,-8.83944,-5.80345,-13.3694,-7.36592,-4.84216,0.667597,9067.71,29.0785,6696.46,0.611581,0.994419,0.00793562,14826.7,-0.00277183,0.925709,11.7719,10.4603,121.769,87.9035,0.613602,12.0851,12.0878,120.935,137.802,0.834019,-49.8983 
29,43.22,29,13476.4,-0.179104,31.4618,11.6812,121.8,0.591641,-460.301,0.00176797,-5.23098,-5.29598,-13.2908,-7.24053,-5.30976,158.343,9098.41,14.0495,7124.04,20829.1,-6.22802,-6.29303,-15.2849,-8.23757,-6.3068,0.639084,8876.32,5.82391,6901.94,0.599266,0.998853,0.00155197,14812,-0.00286245,0.908063,11.7461,10.5171,121.64,88.387,0.641956,11.8859,12.1513,120.548,138.247,1.09195,-49.86 
30,43.34,30,18644,-0.168098,41.68,11.5669,121.834,0.0536101,-57.0278,6.05133,-8.62315,-12.4506,-11.9125,-8.36999,-3.48946,220.932,11846.1,34.3676,9584.41,15793.7,-10.0143,-13.8417,-14.6947,-9.76114,-4.88061,0.723744,11536.2,22.8907,9274.53,0.591228,0.99654,0.00452596,19512.3,-0.00280526,1.23182,11.4795,10.1991,121.683,88.5037,0.88017,11.8768,11.7861,120.743,138.212,0.940926,-49.7079 
31,43.25,31,14720.5,-0.690509,34.2341,11.7101,121.801,0.427037,604.739,500,-5.03357,-8.56865,-0.309787,-2.7309,-12.9094,150.073,9598.67,23.7048,7701.2,21456.8,-5.97854,-9.51362,-2.19973,-3.67587,-13.8543,0.937547,9388.18,15.9088,7490.71,0.593055,0.997043,0.00389703,15830.2,-0.00261523,0.983246,11.5341,10.315,121.737,88.3395,0.709042,11.8533,11.8662,120.66,138.093,1.077,-49.7533 
32,43.16,32,16196,-0.812264,36.7263,12.0871,122.129,0.280409,338.738,33.4064,-11.4337,-6.88033,-9.40833,-7.00377,-4.87947,261.732,10805.2,33.7708,8145.34,17542.9,-13.0818,-8.52839,-12.7045,-8.65183,-6.52752,0.743313,10438.1,20.1744,7778.23,0.609439,0.996629,0.00475514,17127.4,-0.00283363,1.09896,11.7201,10.2922,121.898,88.5579,0.747557,11.9832,11.7503,120.935,138.46,0.963433,-49.9025 
33,43.04,33,16674,-0.128627,38.0027,11.4706,122.037,-0.0482101,56.2389,500,-6.65173,-5.86876,-9.42261,-5.93597,-4.17567,183.822,10878,31.7675,8452.71,14278.7,-7.80921,-7.02624,-11.7376,-7.09345,-5.33315,0.699034,10620.2,22.2184,8194.88,0.601104,0.996352,0.00496958,17667.7,-0.00285799,1.14249,11.612,10.0991,121.957,88.5775,0.795748,11.841,11.6785,120.884,138.43,1.07348,-49.8528 
34,43.2,34,12566.7,-0.00578536,29.6019,11.5777,122.036,0.00954866,-18.6315,500,-5.21792,0.602845,-6.99448,-4.37634,1.77348,161.109,8611.88,20.1597,6703.31,11162.5,-6.23238,-0.411618,-9.0234,-5.3908,0.759013,0.55548,8385.91,11.7904,6477.34,0.600864,0.997546,0.00334189,13956.4,-0.00278589,0.866985,11.7502,10.3487,121.808,88.4484,0.613098,11.8912,11.9689,121.067,138.443,0.740824,-49.995 
35,43.38,35,16699.3,-0.744445,37.6425,11.879,121.858,0.728851,-230.218,329.04,-6.46798,-5.09526,-10.9503,-3.35398,-3.5376,174.823,10906.2,30.3946,8329.22,20018.7,-7.5688,-6.19607,-13.1519,-4.4548,-4.63841,0.634771,10661,21.3129,8084.02,0.605282,0.996514,0.0048331,17613.2,-0.00257435,1.12753,11.6856,10.0922,121.706,88.7556,0.782317,11.7649,11.6711,120.889,138.611,0.816801,-49.855 
36,43.02,36,17413.4,-0.0128068,39.462,-11.479,121.818,-0.0135797,14.0179,6.74887e-12,-14.5829,-3.81023,-9.79977,-7.55759,-8.83456,198.31,11324.7,39.0255,8791.67,14752.3,-15.8316,-5.05894,-12.2972,-8.8063,-10.0833,0.763867,11046.5,28.7237,8513.52,0.601396,0.99547,0.00617668,18368.2,-0.00278785,1.19119,11.5716,10.0752,121.65,88.6187,0.817149,11.6598,11.8842,120.902,138.436,0.748355,-49.8171 
