cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.18,12,16104.7,-0.0440194,35.834,-11.6018,121.705,0.0160508,7.8185,500,-4.81326,-6.16292,-3.57458,-6.8273,-8.24598,98.3316,10300.4,28.7954,8198.66,13537.8,-5.43243,-6.78208,-4.81291,-7.44647,-8.86514,0.855637,10162.5,23.6873,8060.74,0.594482,0.995938,0.00538407,17094.7,-0.0025913,1.01434,11.7934,10.6142,121.627,89.7402,0.742482,11.9318,12.0065,120.706,139.902,0.921132,-50.1618 
13,43.225,13,19111.8,-0.0993589,41.812,11.6033,121.817,0.200417,-30.667,9.80722,-2.5731,-6.35696,-11.5501,-3.3934,-3.33063,236.844,12107.1,44.0196,9365.1,15993.5,-4.06444,-7.8483,-14.5328,-4.88475,-4.82198,0.598011,11774.9,31.716,9032.9,0.602506,0.995308,0.00642637,19543.2,-0.00252553,1.2276,11.6923,10.3277,121.877,89.758,0.88051,11.6789,11.7706,120.852,139.828,1.02548,-50.0698 
14,43.3,14,19567.7,-0.676403,42.7718,11.7457,121.797,-2.03924,1634.26,497.408,-9.86317,-8.19453,-1.3437,-5.10203,-7.37477,156.838,12698.1,41.0722,9100.39,124843,-10.8507,-9.1821,-3.31883,-6.0896,-8.36233,0.912209,12478.1,32.9248,8880.41,0.62033,0.995404,0.00678342,20115.2,-0.00238968,1.31665,11.6433,10.1304,121.591,89.2004,0.860723,11.7815,11.6049,120.788,139.218,0.803103,-50.0176 
15,43.215,15,17039.5,-0.0248007,36.6651,11.8049,121.745,-0.0185681,-2.9867,6.36365e-07,-8.08016,-5.37328,-8.59549,-5.67123,-1.65157,191.421,10972.5,27.7792,8394.26,14091.8,-9.28549,-6.57861,-11.0062,-6.87656,-2.8569,0.699316,10704,17.8353,8125.77,0.605014,0.997093,0.00402696,17692.2,-0.00244216,1.08217,11.8036,10.5267,121.675,89.2772,0.735607,12.2008,12.0627,120.719,139.434,0.956324,-50.157 
16,43.27,16,19682.8,-0.73952,43.2853,11.8147,122.12,-0.800842,2578.64,275.563,-5.49192,-10.095,-4.13303,-10.2161,-1.92725,228.861,12660.9,35.0319,9354.34,83873.2,-6.933,-11.5361,-7.01519,-11.6571,-3.36833,0.826827,12339.9,23.143,9033.34,0.613664,0.996729,0.00469723,20108.6,-0.00254389,1.29274,11.6773,10.2879,122.027,89.1029,0.869755,11.8548,11.7575,121.106,139.212,0.921437,-50.1095 
17,43.21,17,13027.5,-0.633626,29.5836,12.1056,122.144,0.721377,116.567,74.359,-6.90119,1.38645,-8.05741,-8.00761,-3.6084,152.994,8860.84,18.6566,6700.69,14395.6,-7.86455,0.423085,-9.98413,-8.97098,-4.57177,0.677602,8646.25,10.7089,6486.1,0.607851,0.997837,0.00303218,14224.3,-0.00263343,0.87309,11.8799,10.5935,121.589,89.6857,0.597503,11.9796,12.0617,120.782,139.731,0.807185,-50.0457 
18,43.32,18,19104.6,-0.0939774,41.7894,11.5981,121.534,-0.256481,407.898,0.000151603,-1.2162,-8.3065,-12.8434,-6.46635,-1.11733,126.045,11954.4,36.0958,9612.98,19183.6,-2.00987,-9.10017,-14.4307,-7.26002,-1.91101,0.584271,11777.6,29.548,9436.19,0.592057,0.995629,0.0057352,19892.8,-0.00262484,1.21628,11.6335,10.3312,121.539,89.0382,0.876842,11.9176,11.9033,120.468,138.892,1.07153,-49.8541 
19,43.18,19,16702.7,-0.737092,37.0361,12.053,122.004,3.55577,-737.415,97.7082,-6.08704,-2.91084,-4.95143,-1.46591,-2.83443,83.7232,10872.7,25.7492,8325.08,99888.9,-6.61422,-3.43802,-6.00579,-1.99309,-3.36161,0.719522,10755.3,21.3999,8207.65,0.603759,0.99653,0.00477999,17813.9,-0.00269704,1.05052,11.9629,10.6469,121.818,90.079,0.74689,12.069,12.0184,120.973,140.191,0.844867,-50.1122 
20,43.1,20,21730.6,0.0110017,47.0006,-11.5337,121.733,-0.0155406,-15.6189,3.75065e-12,-10.4416,-2.21682,-5.09748,-2.45761,-8.89823,192.83,14078,42.0817,10199.9,17654.8,-11.6558,-3.43101,-7.52587,-3.6718,-10.1124,0.793228,13807.6,32.0645,9929.48,0.617874,0.995953,0.0059134,22346.9,-0.00268707,1.42255,11.6915,10.3409,121.658,89.255,0.938065,11.8699,11.8215,120.591,139.257,1.06643,-50.0024 
21,43,21,19124.8,-0.786304,43.2882,11.6565,122.095,0.0802728,1069,499.92,-5.52525,-4.26772,-9.75363,-4.61144,-0.0192543,179.919,12344,34.8506,9438.25,19219.4,-6.65816,-5.40062,-12.0194,-5.74434,-1.15216,0.61196,12091.7,25.5041,9185.9,0.60484,0.996322,0.00508848,19991.6,-0.00282425,1.27658,11.6553,10.2266,121.886,89.6849,0.89643,11.5921,11.685,121.111,139.694,0.774075,-50.0087 
22,43.17,22,17225.1,7.1093e-05,38.1005,11.5442,122.068,-0.0248769,-9.47785,500,-2.82349,-4.60457,-14.7678,-4.10376,-3.26654,153.017,11183,28.5618,8470.71,14325.9,-3.787,-5.56808,-16.6948,-5.06727,-4.23005,0.527691,10968.4,20.6128,8256.08,0.60704,0.996722,0.00457809,18068.6,-0.00259284,1.13838,11.7032,10.3108,121.938,89.5595,0.783861,11.8037,11.8591,120.9,139.708,1.03807,-50.1483 
23,43.195,23,12317.6,-0.755861,27.8624,12.6792,122.165,0.564543,-314.828,241.098,-12.844,-3.29056,-8.74036,-7.88824,-8.3413,99.3865,8506.74,26.3954,6444.76,17286.1,-13.4698,-3.91637,-9.99198,-8.51405,-8.96711,0.77726,8367.34,21.2325,6305.36,0.606771,0.995579,0.00616482,13790,-0.00272332,0.770551,12.3402,11.0284,121.884,89.3026,0.510317,12.5482,13.1016,120.98,139.729,0.903712,-50.4262 
24,43.2,24,12201.7,-0.179278,26.9284,-12.6045,121.746,0.175787,-165.318,55.3078,-8.71026,-4.69238,-5.80938,-6.36334,-3.27266,142.04,8046.18,20.4355,6421.55,11995.2,-9.60464,-5.58676,-7.59815,-7.25773,-4.16704,0.777925,7846.96,13.0568,6222.33,0.59455,0.997097,0.00385055,13198.2,-0.0023601,0.715149,12.488,11.1176,121.408,89.6794,0.510084,12.6549,12.8599,120.585,140.223,0.822776,-50.5433 
