Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,    -3176.14,     43.2121,        0.02,    26722.89,       43.21,       43.05,       43.34,        0.16,        0.13,         100
209us         ,      202.10,      2.5000,    -2982.66,     43.2474,        0.03,    26752.47,       43.25,       43.08,       43.45,        0.17,        0.20,         100
409us         ,      202.10,      2.5000,    -3477.61,     43.1868,        0.05,    25409.78,       43.19,       43.03,       43.36,        0.15,        0.17,         100
529us         ,      202.10,      2.5000,    -2852.84,     43.1839,        0.02,    25046.49,       43.18,       42.99,       43.31,        0.19,        0.13,         100
