cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.1,12,18002.8,-0.189718,39.4525,-11.6256,122.099,0.0862324,-37.5112,3.53209e-06,-2.99111,-2.65474,-14.2382,-4.0903,-1.80498,140.678,11788.5,33.6661,8329.36,15036.2,-3.87692,-3.54055,-16.0098,-4.97612,-2.69079,0.485119,11591.2,26.3582,8132.04,0.623694,0.996036,0.00593533,18584.8,-0.00241613,1.21211,11.7158,10.2128,121.993,88.371,0.77669,11.7477,11.9615,120.897,137.78,1.09611,-49.4089 
13,43.16,13,17505.9,-0.0919696,38.265,11.7024,122.393,-0.0848867,93.9141,500,-6.75289,-3.45142,-6.95982,-2.63833,-8.89304,167.414,11572.3,28.304,8226.44,14836.6,-7.80705,-4.50558,-9.06814,-3.69249,-9.9472,0.741062,11337.5,19.6071,7991.63,0.622586,0.996983,0.0044992,18210.3,-0.00252274,1.14132,11.8014,10.5628,122.21,88.3624,0.733051,12.0117,12.1847,121.283,138.073,0.926767,-49.711 
14,43.06,14,19595.6,0.00347758,42.047,11.6023,122.306,-0.0104985,-29.7074,6.41495e-11,-2.55647,-9.33748,-9.93362,-3.82906,-6.541,228.689,12959.7,37.1133,8854.53,15891.1,-3.99647,-10.7775,-12.8136,-5.26905,-7.981,0.68623,12638.9,25.2333,8533.77,0.632643,0.996518,0.00541737,19978,-0.00223621,1.30918,11.7107,10.3049,122.213,88.4933,0.791797,11.8637,12.051,121.278,138.299,0.934581,-49.8058 
15,43.185,15,14515.8,-0.103004,32.3676,-11.7013,122.173,0.0399941,-102.212,500,-4.33622,-2.91341,-8.93629,-4.97747,-7.60812,138.178,9438.37,25.7036,7249.17,12462.4,-5.20629,-3.78348,-10.6764,-5.84754,-8.47819,0.685913,9244.56,18.5255,7055.37,0.603739,0.996505,0.00481359,15312.2,-0.00238399,0.941251,11.7789,10.4853,121.957,89.7653,0.660072,12.0123,11.9488,121.097,139.784,0.86006,-50.0187 
16,43.3,16,19327.7,0.0367906,41.7684,11.6136,122.411,0.0733489,-34.2298,2.0106e-11,-1.71431,-6.53963,-6.32654,-6.80712,-4.81362,201.832,12536.9,33.6987,9149.4,15872.7,-2.98519,-7.81052,-8.86831,-8.078,-6.0845,0.73783,12253.8,23.2139,8866.32,0.616425,0.996696,0.00479988,19878.9,-0.00255849,1.26352,11.7101,10.4147,122.338,89.225,0.82762,11.9584,11.9519,121.37,138.889,0.968073,-49.6643 
17,43.19,17,14244.4,-0.597745,31.3437,12.0342,122.3,-6.93173,-19139.2,218.84,-5.67708,-6.4592,-12.5326,-7.4659,-3.92494,140.155,9128.29,31.1366,7188.9,4.33105e+06,-6.5596,-7.34171,-14.2976,-8.34842,-4.80746,0.65427,8931.71,23.8558,6992.32,0.597635,0.995348,0.0062455,14945.1,-0.00211994,0.908763,11.7953,10.3905,122.171,89.2079,0.635413,12.0781,12.0684,121.253,139.221,0.918091,-50.0133 
18,43.27,18,18152.5,-0.0500879,39.0993,11.7092,122.316,0.0758382,27.0269,2.73942,5.6032,-6.09952,-6.97174,-7.07557,-2.43081,121.258,11823.4,31.7282,8438.16,14970.4,4.83967,-6.86305,-8.4988,-7.8391,-3.19434,0.605727,11653.3,25.4291,8268.09,0.621051,0.996196,0.00563361,18763.9,-0.00242304,1.15072,11.9403,10.639,122.197,88.8062,0.745736,12.0075,12.2757,121.197,138.885,0.999688,-50.0788 
19,43.225,19,16763.1,-0.0103878,35.791,11.7866,122.18,-0.0208056,-2.03589,500,-3.69595,-5.01682,-8.31764,-2.79505,-5.77216,94.7067,10851.5,33.236,7924.23,13734.1,-4.29229,-5.61316,-9.51032,-3.39139,-6.3685,0.674032,10718.7,28.3162,7791.39,0.615335,0.995398,0.00665023,17419.3,-0.00212531,1.03995,11.9927,10.6611,122.059,89.2624,0.695077,11.8657,12.3646,121.056,139.311,1.003,-50.0489 
20,43.32,20,18033.1,-0.209557,38.969,-11.6479,122.177,-0.465726,-30.37,0.0166225,-0.674367,-8.65345,-8.62049,-4.20802,-0.679317,128.913,11481.8,41.9499,8629.1,15236.7,-1.4861,-9.46518,-10.244,-5.01975,-1.49105,0.630263,11300.9,35.2531,8448.29,0.608675,0.994571,0.00762813,18566.5,-0.00223619,1.14267,11.7087,10.4919,122.058,89.6082,0.786694,11.8198,12.0094,121.139,139.674,0.918512,-50.0658 
21,43.12,21,17841.6,-0.0995201,39.2029,-11.5786,122.261,0.0376066,12.4753,87.3984,-4.59913,-3.35042,-13.026,-9.7315,-2.72088,128.106,11516.3,22.2183,8516.31,14791.8,-5.40578,-4.15707,-14.6393,-10.5382,-3.52753,0.617452,11336.6,15.5634,8336.63,0.612588,0.997603,0.00342719,18506.1,-0.00233925,1.17267,11.7351,10.2517,122.306,89.3293,0.812866,11.6794,11.5916,121.347,139.46,0.958592,-50.131 
