cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.1,12,18795.2,-0.226344,42.0518,-11.5475,122.371,0.109581,-324.457,0.140746,-6.3981,-5.6221,-1.58034,-5.42904,-2.65759,172.91,11777.1,24.6635,9552.75,16965,-7.48687,-6.71087,-3.75787,-6.51781,-3.74635,0.866836,11534.6,15.6812,9310.22,0.590265,0.997627,0.00309307,19541.4,-0.00278683,1.18939,11.7262,10.4182,122.258,89.6427,0.878969,11.7782,11.951,121.441,139.703,0.816919,-50.0603 
13,43.16,13,19461.8,-0.0411237,42.2347,11.6481,122.123,0.0383812,-38.4984,2.40472e-12,-9.74954,-4.00381,-5.92097,-3.92229,-0.671577,138.744,12006.7,18.6011,9715.78,16062.9,-10.6232,-4.87745,-7.66824,-4.79593,-1.54521,0.740148,11812.1,11.3936,9521.18,0.590595,0.998315,0.00219952,20000.3,-0.00252161,1.21434,11.7985,10.3188,121.891,89.8249,0.883068,11.8931,11.9661,121.205,139.847,0.68577,-50.0218 
14,43.06,14,21295.9,0.00205402,46.1068,-11.5012,122.541,-0.134993,177.149,445.663,-5.55777,-6.2501,-1.80041,-2.61435,-5.82023,198.011,13717.4,30.8931,9862.73,18040.9,-6.80459,-7.49692,-4.29406,-3.86118,-7.06706,0.854556,13439.6,20.6068,9585,0.619831,0.997324,0.00394472,21682.7,-0.00242681,1.37411,11.7975,10.3308,122.325,89.4041,0.909499,11.654,12.001,121.681,139.375,0.643598,-49.9706 
15,43.185,15,17395,-0.123294,38.0738,-11.6566,122.034,-0.076348,83.7359,0.000229242,-4.66781,-4.77378,-11.7814,-7.51552,-6.53185,177.147,10654.5,29.0147,8948.62,14655.6,-5.78325,-5.88923,-14.0123,-8.63097,-7.6473,0.666081,10406.1,19.8123,8700.16,0.581728,0.996679,0.00417738,17888.2,-0.00242358,1.09108,11.7168,10.1935,121.89,89.3524,0.820772,12.0102,11.8192,121.026,139.355,0.863685,-50.0024 
16,43.3,16,17621.2,-0.0130895,39.5133,-11.2899,122.072,0.0163304,-14.9136,0.165535,-7.95402,-3.88066,-13.1791,-6.9791,-10.0772,219.633,11231.9,4.70234,8646.76,14530,-9.33699,-5.26363,-15.945,-8.36207,-11.4601,0.683429,10923.8,-6.70717,8338.71,0.603689,1.00108,-0.00148388,18095.1,-0.00242563,1.18376,11.4366,10.1642,121.943,89.8894,0.851123,11.4743,11.4705,121.002,139.918,0.941598,-50.0286 
17,43.19,17,18526.9,-0.778794,40.3256,12.1697,122.335,0.289053,72.6467,88.8376,-9.00256,-0.992951,-8.88406,-7.79127,-9.60084,206.106,11526.5,36.0941,9481.35,16659.1,-10.3004,-2.29074,-11.4796,-9.08907,-10.8986,0.739445,11237.4,25.3873,9192.26,0.587033,0.996062,0.00506179,19142.8,-0.00256932,1.12469,12.0351,10.3807,122.081,89.2334,0.851012,12.0378,11.9294,121.304,139.225,0.77727,-49.9919 
18,43.27,18,17368.3,-0.723086,37.5875,12.2186,122.061,-3.27976,6.31405,7.46655,-5.89242,-0.00237291,-7.75594,-6.98195,-1.81558,209.305,10450.9,20.4662,9056.54,15624.8,-7.21035,-1.32031,-10.3918,-8.29988,-3.13351,0.657667,10157.3,9.59328,8762.97,0.574072,0.99835,0.00201259,17693.5,-0.00229929,1.01869,12.0939,10.343,121.802,89.3941,0.827285,12.1215,11.7021,121.049,139.355,0.752796,-49.9609 
19,43.225,19,15006.1,-0.546486,33.6022,12.1058,122.437,0.248802,285.635,2.70708e-08,-3.64474,-4.37612,-3.42642,-3.88147,-2.42622,246.145,9637,17.1705,7891.26,15555.6,-5.19465,-5.92603,-6.52623,-5.43138,-3.97613,0.758774,9291.75,4.38376,7546.01,0.588782,0.999175,0.001069,15781.3,-0.00265738,0.928905,12.0647,10.5402,122.201,89.8246,0.699741,12.1966,12.0303,121.356,139.949,0.844633,-50.1242 
20,43.32,20,18487.3,-0.519639,41.1785,-11.7356,122.243,0.936957,-208.697,0.344799,-6.48114,-0.0402017,-8.32379,-0.045332,-7.59858,231.847,11490.9,35.3929,9475.71,22097,-7.94102,-1.50008,-11.2436,-1.50521,-9.05846,0.640187,11165.7,23.3488,9150.52,0.586583,0.996354,0.0046784,19035.1,-0.00258736,1.17949,11.7087,10.117,122.123,89.6713,0.903467,11.6089,11.7051,121.231,139.634,0.891594,-49.9631 
21,43.12,21,20710.2,-0.0294132,45.2573,11.6089,122.345,-0.0494511,17.9884,500,-11.4587,-2.44702,0.277417,-4.55418,-4.53328,181.951,13079,40.3102,10173.7,17132,-12.6044,-3.59272,-2.01398,-5.69988,-5.67898,0.931937,12823.8,30.8582,9918.46,0.600543,0.995807,0.00569848,21353.7,-0.00268826,1.32883,11.7592,10.2419,122.131,89.6549,0.953112,11.7129,11.7423,121.385,139.519,0.745958,-49.8646 
22,43.195,22,18499.7,-0.82632,41.2073,12.0258,122.484,0.615397,209.475,28.7924,-9.4845,-7.14954,-7.31913,-4.40513,-6.06594,186.155,12049.5,32.7349,9027.44,20328.2,-10.6567,-8.32171,-9.66347,-5.5773,-7.23811,0.766905,11788.4,23.0645,8766.34,0.609931,0.996588,0.00482327,19327.5,-0.00262838,1.17604,11.9684,10.5189,122.183,89.5364,0.79968,11.936,12.064,121.423,139.78,0.760487,-50.2435 
23,43.26,23,17428.3,-0.286063,39.0477,11.7387,122.55,-0.22119,677.627,499.992,-6.23617,-3.08712,-9.42247,-6.16839,-7.31864,135.231,11268.6,28.7692,8806.66,19800.6,-7.08768,-3.93863,-11.1255,-7.0199,-8.17015,0.702064,11078.9,21.7442,8616.98,0.599199,0.996577,0.00462689,18489.5,-0.00277093,1.10453,11.7814,10.5722,122.371,89.9135,0.785827,12.0017,12.1384,121.539,140.278,0.831921,-50.3649 
