cyc,delaytime,timecol,chargecol,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
189,280,0.28,0.49,44.723,189,32388.2,0.0248394,63.9608,11.606,114.924,0.0586542,-61.1371,500,6.946,2.73987,0.950409,0.550716,3.26404,-23.1837,99.7006,36.235,33538.1,24282,7.09198,2.88586,1.24237,0.696698,3.41002,0.918942,132.218,37.4394,33570.6,0.00392305,0.668656,0.00205018,33702.9 
190,280,0.28,0.49,44.793,190,32603.9,-0.198636,66.0012,11.3909,114.831,-1.9485,4845.96,0.28078,5.00811,1.53074,0.650331,1.33138,1.29308,34.7915,2332.65,47.8972,31495.2,331854,4.78904,1.31167,0.212186,1.11231,1.07401,0.975035,2283.85,46.0898,31446.4,0.0677092,0.965888,0.00269263,33730.3 
191,280,0.28,0.49,44.783,191,30023.4,-0.392366,62.1428,11.2104,115.069,-0.319485,920.572,47.3488,3.281,0.271877,-4.42123,5.34826,3.19687,5.21107,1537.2,31.5368,29784.5,32252.4,3.24819,0.239065,-4.48685,5.31545,3.16406,1.59985,1529.89,31.2661,29777.2,0.0488672,0.965471,0.00193047,31307.1 
192,280,0.28,0.49,44.883,192,32517.4,-0.0156567,64.4112,11.4637,114.657,-0.0200233,21.0347,500,0.570409,-0.1888,1.93507,-0.928821,1.24787,35.0687,1189.38,42.5004,32471.5,24050.7,0.349591,-0.409618,1.49343,-1.14964,1.02705,-0.139315,1140.19,40.6787,32422.3,0.0339721,0.941234,0.00230587,33562.5 
193,280,0.28,0.49,44.763,193,31820.7,-0.0212476,64.6242,11.3252,114.848,-0.0421105,218.826,493.977,1.92781,-1.20941,0.599305,1.97638,0.420229,3.33431,586.376,33.7823,32498,24125.2,1.90682,-1.2304,0.557315,1.95538,0.399234,0.844687,581.699,33.6091,32493.4,0.0175872,0.908174,0.00190173,33075.1 
194,280,0.28,0.49,44.923,194,32183.4,0.0211707,63.9948,11.4834,114.344,-0.0303421,71.9313,500,3.09262,-1.89468,0.599096,1.59581,1.25124,-27.4607,150.217,36.7566,33374.5,23993.7,3.26554,-1.72177,0.944922,1.76873,1.42415,0.833687,188.733,38.1832,33413,0.00561677,0.738527,0.00210067,33601.7 
195,280,0.28,0.49,44.863,195,31231.4,-0.141855,63.9165,11.2048,114.856,0.262074,-260.622,2.32492e-12,1.21292,0.935184,2.49138,2.26407,-2.36673,60.8558,2115.43,42.3022,30261.5,25537.1,0.829724,0.551991,1.72499,1.88088,-2.74992,0.22911,2030.07,39.1409,30176.2,0.0630336,0.96736,0.00238366,32206.2 
196,280,0.28,0.49,44.813,196,32772.1,-0.440166,67.5903,11.2705,114.981,0.148004,1886.36,29.5729,2.40303,0.887117,1.804,2.16156,-2.25675,68.1641,3168.84,31.9904,30930.7,33886.8,1.97382,0.457906,0.945577,1.73234,-2.68596,0.60986,3073.23,28.4494,30835.1,0.0906335,0.984058,0.0016967,33908.4 
197,280,0.28,0.49,44.743,197,33779.4,-0.438271,66.3278,11.8119,114.639,0.431082,-138.657,459.15,2.32042,1.85712,2.10953,3.17631,0.357548,-3.31149,169.986,34.2414,34785.3,27450,2.34128,1.87797,2.15124,3.19716,0.3784,0.783709,174.63,34.4134,34789.9,0.00499449,0.74357,0.00181885,34964.6 
198,280,0.28,0.49,44.823,198,33397.8,-0.154523,67.3805,11.3627,115.068,0.105642,-89.3947,4.88407e-10,7.57498,4.13708,4.54637,2.91976,1.46384,9.38152,3321.99,53.2768,31234.7,25231,7.51591,4.078,4.42822,2.86069,1.40476,0.781727,3308.83,52.7895,31221.6,0.0958237,0.972839,0.00310496,34530.4 
199,280,0.28,0.49,44.833,199,32262.4,-0.0354778,65.8558,11.1822,115.141,-0.0100214,0.0318375,500,3.92977,2.24717,5.69148,2.83321,1.17762,32.6863,3366.82,55.8638,30053,23972.7,3.72395,2.04136,5.27985,2.6274,0.971802,0.639462,3320.98,54.1658,30007.2,0.0996448,0.972249,0.00331416,33328.1 
200,280,0.28,0.49,44.753,200,32563.4,0.0132731,65.4537,11.4389,115.089,-0.0286143,-32.2351,500,2.84555,3.2383,6.68114,-0.860263,-0.183588,33.6062,395.517,33.6694,33572.4,24403.2,2.63394,3.02669,6.25792,-1.07187,-0.395197,0.40124,348.381,31.9236,33525.3,0.0102847,0.861802,0.00175103,33873.7 
