cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
16,-3.976,43.2467,16,10292.2,-0.0258243,30.7043,8.77438,123.837,0.00428885,3.05677,500,-1.98306,-3.16945,-13.9405,-6.96393,-3.46577,-620.174,6782.91,28.141,5979.83,8770.67,1.92201,0.735618,-6.13037,-3.05887,0.4393,-0.00624731,7276.9,73.0493,6473.82,0.5782,0.982736,0.0203627,12585.4 
17,-3.978,43.2447,17,10108,-0.434458,30.6348,8.7753,123.715,-0.219946,893.11,97.1774,-6.1118,-1.55321,-7.90377,-5.87439,-6.88375,-671.922,6547.8,31.0879,6006.62,15145.9,-1.88089,2.6777,0.558049,-1.64348,-2.65284,1.18972,7083.01,79.7434,6541.83,0.569039,0.980678,0.0219617,12447.3 
18,-3.986,43.2367,18,8129.57,-0.00362286,26.3011,8.45804,123.923,-0.0660639,-77.1859,1.41668e-11,-2.91169,-5.13795,-8.79257,-2.74043,-3.97242,-678.47,5492.25,19.2445,5280.08,7407.65,1.36046,-0.865802,-0.248278,1.53172,0.299726,1.11949,6032.68,68.3742,5820.51,0.558297,0.980551,0.0211811,10805.5 
19,-3.994,43.2287,19,9200.31,-0.00325475,26.9814,8.81842,123.649,-0.0930557,119.412,499.984,-5.21177,-3.01092,-5.70734,-4.59523,-3.83759,-548.293,5815.05,20.343,5621.56,8107.24,-1.75931,0.441538,1.19758,-1.14277,-0.385138,1.72664,6251.79,60.0462,6058.3,0.557221,0.98347,0.0179305,11219.6 
20,-3.982,43.2407,20,9681.61,-0.0631416,29.404,8.54737,123.753,0.0704114,-103.851,500,-3.55514,-2.28046,-11.4097,-6.05622,-5.10263,-581.982,6388.17,40.0374,5654.66,8419.55,0.109451,1.38412,-4.08057,-2.39163,-1.43804,0.364068,6851.74,82.1802,6118.23,0.577295,0.979442,0.0241457,11868.7 
21,-4.031,43.1917,21,9659.86,-0.0054006,29.1639,8.67596,124.121,-0.00397021,-28.3311,9.08918e-12,-5.54264,2.39217,-9.48924,-5.75455,-5.00309,-684.14,6087.97,38.9325,6098.35,8240.46,-1.23479,6.70002,-0.873535,-1.4467,-0.695239,1.35658,6632.92,88.4728,6643.29,0.549064,0.97719,0.023945,12080.4 
22,-4.028,43.1947,22,9521.86,-0.0757203,29.2428,8.47438,123.764,0.106441,-50.9,481.946,-6.14689,-1.4328,-5.68791,-3.7285,-3.14167,-592.206,6070.76,31.7681,5792.85,8243.55,-2.41793,2.29616,1.77001,0.000460601,0.587293,0.2084,6542.48,74.6511,6264.56,0.560172,0.980423,0.0214798,11679.4 
24,-3.995,43.2277,24,9742.52,0.000801405,28.4382,8.80835,123.742,0.0263888,6.52836,500,-5.94092,-1.99061,-7.98548,-6.44952,-5.70548,-478.007,6184.58,36.1249,5861.61,8159.99,-2.93104,1.01927,-1.96571,-3.43964,-2.6956,0.803679,6565.33,70.7386,6242.36,0.561905,0.981493,0.0204479,11684.1 
25,-3.992,43.2307,25,8775.55,-0.398838,27.1791,8.6789,123.869,0.637459,207.228,361.352,-4.88579,-2.8761,-4.7723,-2.27666,-4.04907,-567.177,5642.92,30.9489,5383.44,11979.1,-1.31443,0.695265,2.37042,1.2947,-0.47771,0.0770278,6094.69,72.0196,5835.22,0.560196,0.97974,0.0222302,10879.6 
26,-4.019,43.2037,26,9727.66,-0.457464,30.1486,8.72931,123.824,0.0207914,1298.82,243.662,-5.42464,1.96251,-10.3976,-3.87157,-7.76613,-638.541,6407.14,27.605,5896.26,9446.35,-1.40392,5.98324,-2.35617,0.149152,-3.74541,-0.71593,6915.76,73.8433,6404.88,0.568368,0.981657,0.0207964,12167.8 
