cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,90,0,1,15025.3,-0.00102195,28.1959,12.6989,88.577,-0.0360232,26.3007,500,-1.31942,2.11741,-1.5695,-0.735838,0.998198,-59.1999,590.912,45.9678,16056.7,11686.8,-0.946659,2.49018,-0.823969,-0.363072,1.37096,1.47699,669.333,47.5055,16135.1,0.0450177,0.889517,0.00539433,14868.2,9912.49,861.132,252774,-0.000927273,-0.0193259,9.49459,8.52498,100.876,58.3199,1.21109,12.8214,12.6736,88.675,128.468,12.2013,-70.1479 
2,45,0,2,14607.3,-0.0718053,28.0027,12.4837,88.5213,-0.0376579,29.2432,212.897,-2.13381,-1.10357,-1.46546,1.75852,2.80792,-96.9023,647.809,43.5296,15624.5,11415.7,-1.52364,-0.493398,-0.245124,2.36869,3.41809,1.06955,776.173,46.0466,15752.8,0.0530221,0.905946,0.00535575,14638.7,9506.96,829.913,242392,-0.000907396,-0.0147857,9.28092,8.12419,101.587,56.6258,1.19609,12.7332,12.54,88.5701,126.816,13.0171,-70.1901 
3,15,0,3,15068.5,-0.287134,28.3056,12.9356,88.5635,-0.673697,-15.5701,2.13723,-1.51669,-0.759163,-3.58471,-0.00729204,-0.537005,-79.1313,665.553,40.8601,16093.7,12260.9,-1.01842,-0.260894,-2.58817,0.490977,-0.0387365,0.242171,770.376,42.9155,16198.5,0.0512727,0.911172,0.00485667,15025.1,10004.7,830.378,255195,-0.00100015,-0.0163954,8.66154,8.18174,102.364,57.6053,1.21707,12.8257,12.6711,88.5809,127.616,13.783,-70.0103 
7,150,0,7,15784.8,-0.34618,29.5259,12.9421,88.5907,-0.174811,517.022,105.491,-2.06075,-2.12271,-0.650198,-1.6378,1.91383,-174.077,671.982,46.1391,16801.4,15381.7,-0.964634,-1.0266,1.54203,-0.541685,3.00994,0.236261,902.577,50.6606,17032,0.056799,0.91056,0.00544938,15890.7,10688.2,930.747,272913,-0.000934102,-0.0170122,9.50189,7.91115,101.081,56.857,1.24998,12.8424,12.8263,88.5712,128.17,12.5099,-71.3127 
8,75,0,8,14869.6,-0.266425,27.2432,13.0622,88.5723,-0.880486,-4516.19,0.000467679,-0.0295763,-0.881178,3.2589,-0.560075,1.83528,-151.431,637.47,40.8708,15702.1,141030,0.923943,0.0723414,5.16594,0.393444,2.7888,0.447166,838.067,44.804,15902.7,0.0565022,0.914447,0.00516312,14832.5,9409.25,797.007,239842,-0.000627517,-0.0115842,9.9922,7.57165,102.504,57.2786,1.18469,12.8416,12.5292,88.4787,126.285,14.025,-69.0066 
9,30,0,9,15221.3,-0.104462,28.843,12.6505,88.6455,0.027844,599.435,9.34516e-09,-3.01182,-0.766659,-1.5891,-0.484355,1.35478,-99.147,639.457,42.0727,16294.5,12421.4,-2.38751,-0.142357,-0.340495,0.139947,1.97908,0.546818,770.794,44.648,16425.8,0.0506252,0.907962,0.00498219,15225.5,10414.8,896.952,265606,-0.000992733,-0.017267,9.79987,7.93609,101.281,56.2253,1.25372,12.7408,12.5057,88.6412,126.525,12.6396,-70.2995 
10,1,0,10,16244.3,-0.290322,30.368,12.7882,88.9121,0.206886,244.106,499.998,-1.3882,1.07187,-2.11637,-0.657248,0.38646,-116.207,646.433,47.5647,17278.3,14286.1,-0.65647,1.8036,-0.652919,0.0744794,1.11819,1.38706,800.37,50.5831,17432.2,0.0495869,0.900415,0.00531681,16140.7,11388.8,896.256,290841,-0.000824635,-0.0170936,10.4127,8.00067,100.42,57.1058,1.30242,12.7627,12.6556,88.9512,126.461,11.4689,-69.3557 
15,60,0,15,16698.8,-0.0217069,30.4378,12.9042,88.5852,0.0454113,-141.913,76.3331,-2.9094,-1.59953,1.68523,-1.47367,-3.78086,-125.869,771.511,45.8428,17589.6,12995.9,-2.11684,-0.806972,3.27035,-0.68111,-2.9883,1.9842,938.246,49.1121,17756.3,0.0566443,0.916084,0.00506924,16563.8,11654,1020.68,297253,-0.000823052,-0.0171318,8.67744,7.80979,101,57.2404,1.29849,12.937,12.8375,88.6341,127.031,12.3662,-69.7904 
18,105,0,18,15723.9,-0.325017,29.391,12.8748,88.3326,-0.0249615,422.092,499.951,-1.65102,1.24326,-3.35647,0.0416116,-2.09758,-145.256,584.641,46.232,16666.1,12661.3,-0.736384,2.1579,-1.52719,0.956251,-1.18294,-3.59488,777.058,50.0049,16858.5,0.0497714,0.898783,0.00543427,15612.5,10742.5,879.658,273954,-0.000886875,-0.0181021,9.25583,8.13614,99.007,58.0706,1.26126,12.8705,12.6084,88.4137,127.244,10.5933,-69.173 
19,120,0,19,14498.5,-0.0780246,27.239,12.6003,88.5107,-0.0694112,68.4162,4.86765e-12,-0.980639,-0.91836,1.52867,0.0894069,0.7139,-147.442,607.791,46.7982,15421.4,11327.5,-0.0522341,0.0100448,3.38548,1.01781,1.6423,0.436074,803.104,50.6279,15616.7,0.0552122,0.900641,0.00593649,14545.8,9314.68,819.725,237282,-0.000700377,-0.0129105,11.819,-8.82166,99.4898,56.7286,1.19258,12.5872,12.484,88.5149,127.212,10.9749,-70.4831 
21,90,0,21,16490.2,0.064149,29.5242,12.9467,88.6586,0.0100408,-72.7036,3.63123e-13,-2.63801,-0.630094,1.61363,0.872377,-0.786986,-137.043,651.865,50.8761,17218,12467,-1.77509,0.232827,3.33947,1.7353,0.0759357,0.0745395,833.402,54.4356,17399.6,0.0516198,0.89742,0.00573012,16145,11141.2,856.606,284644,-0.000614861,-0.0122854,9.28221,8.32177,101.84,57.4279,1.27402,12.9523,12.7499,88.7192,126.46,13.1208,-69.0322 
22,45,0,22,16635.1,-0.31162,30.2112,13.1302,88.4348,-0.230819,489.552,454.979,1.71655,-0.361,-0.685611,-0.873776,-1.37499,-142.976,606.893,44.9801,17536.1,16591.6,2.61683,0.539283,1.11496,0.0265071,-0.474712,0.708346,796.29,48.6938,17725.5,0.04857,0.903331,0.00503499,16394.7,11451.5,821.96,292624,-0.000877643,-0.0154417,9.06839,9.71157,101.842,57.919,1.27834,13.081,12.9007,88.5922,127.384,13.2498,-69.4653 
23,15,0,23,16511.7,-0.0734439,30.0914,12.9751,88.4633,0.0211838,68.6795,2.00645e-10,-0.622813,2.49392,-3.71424,0.112095,0.65256,-157.47,706.514,42.2614,17401.5,12757.5,0.368732,3.48547,-1.73115,1.10364,1.6441,1.35542,915.111,46.3515,17610.1,0.0557587,0.918578,0.00482521,16412,11544.8,910.452,294840,-0.000845051,-0.0152433,8.40269,8.08713,98.8662,57.498,1.30054,13.0347,12.5942,88.5958,126.844,10.2704,-69.3462 
27,150,0,27,16430,-0.151589,30.0744,12.9779,88.4181,0.17028,143.466,500,-0.308215,1.73115,1.49736,0.492143,-0.0130938,-110.168,575.053,48.7327,17367.7,13501,0.385485,2.42485,2.88476,1.18584,0.680606,0.618496,720.99,51.5942,17513.7,0.0446903,0.888707,0.00539744,16133,11335.3,877.851,289625,-0.000924451,-0.0173979,9.23328,8.73498,101.481,58.1686,1.27758,13.0192,12.8547,88.494,126.231,12.987,-68.0628 
28,75,0,28,15483.3,-0.193229,28.3846,13.0253,88.4292,-0.194503,348.8,7.99768e-13,-1.7801,-1.01524,-3.15221,1.25077,0.502093,-130.221,657.673,44.1539,16333.6,14244.1,-0.960132,-0.19528,-1.51228,2.07073,1.32206,3.08561,830.173,47.5363,16506.1,0.0540634,0.908921,0.00527712,15355.5,10266.6,806.207,262132,-0.000761432,-0.012876,-10.3102,-7.70838,99.7091,55.6623,1.23588,12.9168,12.5211,88.4771,126.791,11.232,-71.1292 
29,30,0,29,16811.4,-0.0824548,30.8788,12.775,88.6965,0.0131808,28.3924,500,-1.1301,-0.794728,-1.29739,-1.886,2.44862,-129.617,720.496,46.5062,17609.4,12853.7,-0.313938,0.0214359,0.334941,-1.06984,3.26479,0.850298,892.196,49.8728,17781.1,0.0539433,0.910894,0.00514023,16539.5,11811.6,929.453,301619,-0.000704296,-0.0152757,8.89064,-7.67201,100.588,55.7404,1.31801,12.8044,12.7689,88.7517,126.352,11.8365,-70.6116 
30,1,0,30,16119.9,-0.325345,29.7273,13.0198,88.4954,0.249448,-403.812,172.988,-0.102397,0.226164,-0.387249,0.728016,-0.0950556,-116.978,751.645,45.5716,16925.1,15878.6,0.63418,0.96274,1.0859,1.46459,0.641521,0.773247,906.602,48.61,17080.1,0.0568864,0.914218,0.0052153,15937.1,10915.4,943.083,278536,-0.000707442,-0.0147309,9.97739,8.1326,100.606,57.8536,1.26634,12.906,12.6786,88.5496,127.34,12.0566,-69.4863 
35,60,0,35,16191.2,-0.37741,30.4786,12.9433,88.4473,0.761144,-417.21,433.082,-1.82949,1.4863,-0.218033,-0.408461,0.730605,-95.2057,610.718,49.3525,17347.8,23179.7,-1.23001,2.08578,0.980936,0.191024,1.33009,0.707866,736.835,51.8253,17473.9,0.0457268,0.890403,0.00543377,16113.8,11506.9,899.862,294089,-0.00116002,-0.0191645,9.75513,9.10015,101.479,58.2807,1.29652,12.9245,12.7712,88.5635,127.515,12.9157,-69.2346 
38,105,0,38,16070.7,-0.0818878,29.983,12.7828,88.3831,-0.0152954,73.6105,500,1.20801,1.04617,-1.56359,-0.26105,-0.52041,-101.177,524.843,47.6418,17216.7,12513.3,1.84509,1.68325,-0.289427,0.376032,0.116672,1.07756,658.869,50.2698,17350.7,0.0413668,0.882208,0.00530876,15927.5,11308.4,928.427,288378,-0.00115011,-0.0187846,10.2402,9.19315,101.602,59.0994,1.2796,13.0352,12.7385,88.4353,126.832,13.1669,-67.7324 
39,120,0,39,15058.5,-0.000821396,28.3394,12.5886,88.5001,-0.0374443,28.4955,500,1.45089,0.214348,0.114381,0.241236,-0.938736,-126.853,421.611,44.2284,16244.6,11648.2,2.24965,1.01311,1.7119,1.04,-0.139977,0.708597,589.65,47.5233,16412.6,0.0392243,0.876391,0.00530557,15032.8,10229.3,731.695,260981,-0.00109499,-0.0175451,9.85769,8.92359,102.81,57.1542,1.23552,12.8051,12.59,88.5886,127.341,14.2216,-70.1866 
41,90,0,41,16378.7,-0.0654094,30.4402,12.775,88.5596,-0.00476015,40.6256,500,-1.17031,1.23227,-1.55696,0.593927,0.9931,-118.104,698.235,45.2856,17281.5,12665.4,-0.426636,1.97595,-0.0696109,1.3376,1.73677,1.01529,854.685,48.3533,17438,0.052758,0.909914,0.00508196,16200.1,11436.6,906.763,292170,-0.000827449,-0.0176405,8.32242,8.60891,101.653,56.1504,1.29923,12.852,12.6895,88.6132,125.504,13.0394,-69.3539 
42,45,0,42,17868,-0.188244,32.6221,13.0333,88.7723,-0.88238,420.109,0.000525125,-0.184801,-0.637576,-1.82311,-0.270989,0.273788,-128.042,773.402,56.8556,18767.9,25908.2,0.621444,0.168669,-0.21062,0.535256,1.08003,1.09596,943.016,60.1814,18937.6,0.0535559,0.899538,0.00581993,17608.1,13187,1092.65,337379,-0.0008347,-0.0186054,8.60776,8.54368,102.001,56.3841,1.38057,13.0364,12.7977,88.8885,125.773,13.1124,-69.3891 
43,15,0,43,15031.3,-0.338888,28.1294,12.9734,88.7903,-0.822044,559.439,446.502,-0.893162,-0.324422,-1.93224,1.0745,0.992086,-136.885,606.843,41.8652,16032.2,26850.5,-0.0312362,0.537503,-0.208384,1.93643,1.85401,1.05097,788.171,45.4207,16213.5,0.052349,0.90839,0.00513399,15056.1,9824.43,793.865,250689,-0.000971461,-0.0153566,9.42593,8.34975,101.157,55.4565,1.19961,12.9513,12.6824,88.8701,125.991,12.2867,-70.5346 
47,150,0,47,17498.9,-0.121185,32.0798,12.9748,88.6315,0.0716983,-7.4408,0.00010982,-1.35171,-0.423522,1.98657,-0.860444,-2.11714,-111.493,562.682,49.5122,18649.3,13566.9,-0.649672,0.278519,3.39066,-0.158402,-1.4151,-1.34485,710.374,52.4081,18797,0.0411769,0.885656,0.00510974,17251.8,12685.1,903.029,324529,-0.00116399,-0.0190323,9.77857,8.53835,101.846,56.6581,1.33206,13.1705,13.108,88.7339,126.24,13.1123,-69.582 
48,75,0,48,16965.5,-0.101037,31.3177,12.8593,88.5972,0.173762,-129.573,500,-1.58977,-0.824343,-0.37875,-2.04099,0.145293,-129.423,609.088,45.8625,18050.8,13842.9,-0.774828,-0.00940137,1.25113,-1.22605,0.960235,-5.22186,780.531,49.2242,18222.3,0.0464157,0.900606,0.00495148,16816.1,12375.3,941.041,316577,-0.000964913,-0.0189713,11.1469,8.52391,99.6942,57.9842,1.34953,12.9161,12.6937,88.65,127.444,11.0443,-69.4595 
49,30,0,49,16258.2,-0.350113,30.252,12.9862,88.5426,-1.08076,1940.2,464.942,0.00814153,0.420761,-2.87234,-1.45807,0.029153,-85.1216,653.167,44.5358,17228.5,81049.8,0.54413,0.956749,-1.80036,-0.922087,0.565141,-1.74267,765.926,46.7467,17341.3,0.047792,0.903499,0.00494122,16026.2,11182.6,893.92,285781,-0.00096286,-0.0176534,9.25764,8.68367,101.999,56.7023,1.26989,12.9461,12.9065,88.6218,126.504,13.3768,-69.8021 
50,1,0,50,16176.6,-0.0799927,29.1044,13.0846,88.7077,-0.00686344,-52.0414,2.59257e-11,-0.506778,-2.95379,-0.454573,-0.661038,0.471647,-122.342,788.431,54.1921,16820,12408.6,0.263575,-2.18344,1.08613,0.109316,1.242,-1.09845,950.494,57.3698,16982,0.0597994,0.904465,0.00618463,15894.7,10589.5,923.854,270254,-0.000473332,-0.0163617,9.26217,6.71034,100.736,57.4014,1.24125,12.887,12.811,88.7707,127.02,11.9658,-69.6187 
55,60,0,55,16057.1,-0.219361,30.0258,12.8211,88.5432,0.206304,43.2218,500,-1.00133,0.407462,-0.879219,-0.931025,-0.917974,-125.244,645.527,51.3504,17132.4,12822.2,-0.212705,1.19609,0.698034,-0.142398,-0.129348,0.504825,811.434,54.6035,17298.3,0.0506073,0.894645,0.00578115,16033.9,11238.8,987.543,287011,-0.00100076,-0.0159203,11.0962,8.78304,100.872,59.6261,1.28713,12.8496,12.7156,88.5811,128.769,12.2908,-69.1429 
58,105,0,58,15887.6,-0.325167,29.3941,12.9951,88.983,-0.146013,-124.566,499.353,-1.16016,-2.0999,-2.53497,-1.01442,-1.71339,-100.907,622.658,43.5659,16767.3,13026.7,-0.524775,-1.46451,-1.2642,-0.379039,-1.07801,0.731622,756.327,46.1869,16901,0.0483919,0.90345,0.00500887,15629.2,10776.8,802.045,275347,-0.000770488,-0.0180201,-8.75762,8.14674,101.614,54.7315,1.26426,12.838,12.6434,89.0325,125.316,12.5816,-70.5844 
59,120,0,59,17600.4,-0.39156,32.3756,13.1801,88.3797,-0.468369,475.221,136.185,-2.26177,0.86658,-1.29533,-0.705655,-1.7829,-92.0646,580.612,50.6205,18690.4,21136.6,-1.68207,1.44629,-0.135915,-0.125948,-1.2032,0.920089,702.568,53.0118,18812.4,0.0407109,0.883357,0.00516409,17257.5,12811.8,946.953,327727,-0.00105214,-0.0199408,9.09438,9.27613,100.486,56.686,1.34408,13.1162,13.0445,88.5583,126.291,11.9275,-69.6054 
60,120,0,60,17217.4,-0.382058,31.7234,13.1547,88.4594,-0.259851,843.993,495.959,-2.02561,0.639893,-2.52061,-0.27073,-0.915864,-75.1375,661.705,52.1713,18280.6,20724.3,-1.55249,1.11301,-1.57437,0.202391,-0.442743,0.301583,761.238,54.1229,18380.2,0.0449485,0.889345,0.00539507,16935.8,12487.9,979.803,319199,-0.00107838,-0.0181065,9.76918,9.02392,101.168,56.3004,1.3354,13.1247,12.866,88.5791,125.847,12.5886,-69.5463 
61,120,0,61,15849.4,-0.0390598,29.4047,12.7159,88.6007,-0.0485951,203.242,8.36112e-09,-0.466207,-0.535389,-4.20571,-1.16887,-0.196428,-95.1984,596.592,41.7624,16841.5,12493.4,0.133232,0.0640497,-3.00683,-0.569431,0.403011,-0.0103703,722.699,44.2351,16967.6,0.0461664,0.903249,0.00477946,15654.2,10937.8,862.027,279553,-0.000897097,-0.0193633,10.737,-8.62556,101.098,55.2607,1.275,12.8624,12.6078,88.679,125.601,12.4191,-70.3401 
62,120,0,62,14823.4,-0.122484,27.4817,12.8677,88.9323,-0.0409233,429.15,0.514952,-0.422641,1.18086,-2.98027,0.975624,-0.647089,-131.887,613.482,41.7951,15713.2,12083.4,0.407816,2.01131,-1.31936,1.80608,0.183368,1.42708,788.19,45.2207,15887.9,0.0533658,0.908758,0.00521571,14769.6,9481.07,781.869,241742,-0.000731777,-0.0176665,8.40836,8.21991,101.07,55.3947,1.18795,12.7871,12.6157,88.9065,125.396,12.1636,-70.0017 
63,120,0,63,17039,-0.169883,31.047,12.9758,88.6932,-0.325002,331.329,34.9487,0.186387,0.810666,-0.0253408,0.580077,-0.346428,-90.0882,769.984,49.1853,17898,16619.8,0.753648,1.37793,1.10918,1.14734,0.220833,0.759341,889.321,51.5252,18017.3,0.0531111,0.907943,0.00524038,16744.5,12017.8,974.751,307123,-0.000780505,-0.0161696,10.2538,6.89536,100.559,55.7622,1.31987,12.9919,12.7887,88.7375,126.017,11.8215,-70.2553 
64,120,0,64,17631.2,-0.358847,31.8722,13.3525,88.4699,0.403226,14.0387,217.138,-0.645768,-0.68298,-3.55716,-1.37663,-3.09301,-57.7342,724.146,46.4588,18530.5,14038.2,-0.282231,-0.319443,-2.83009,-1.01309,-2.72947,0.605526,800.625,47.9584,18606.9,0.0466164,0.905119,0.00472549,17174.7,12545.6,999.367,320918,-0.00094886,-0.0158802,9.86307,8.05419,100.283,54.9527,1.32343,13.2977,12.9945,88.578,125.038,11.7049,-70.0851 
65,120,0,65,17458.6,-0.0713857,31.7168,13.0527,88.6991,0.0364219,48.9789,5.78619e-11,-2.37665,-2.01567,-3.83148,-0.277016,-2.41431,-148.147,552.028,51.9663,18580.7,13534.8,-1.44381,-1.08283,-1.96579,0.655828,-1.48147,0.630356,748.275,55.8143,18777,0.0433229,0.884538,0.00544581,17272,12505.1,937.761,319774,-0.00113557,-0.0186517,10.1425,9.0553,100.647,56.8069,1.3162,13.2923,13.1038,88.857,125.449,11.79,-68.6422 
66,120,0,66,15986.7,-0.339771,29.7955,12.9478,88.7004,-0.351639,838.829,67.1577,-1.89056,-0.678936,-4.25802,-1.13365,-0.0262411,-101.307,666.934,44.6713,16910.2,22160.7,-1.25266,-0.0410312,-2.98221,-0.495741,0.611663,0.283118,801.133,47.3027,17044.4,0.0507039,0.906349,0.00508631,15800.2,10970,872.914,280218,-0.00076431,-0.0168834,10.8729,7.84584,99.3262,55.0667,1.27829,12.7745,12.646,88.7254,125.82,10.6007,-70.7534 
67,120,0,67,17267.2,-0.357699,31.8762,13.039,88.4085,0.164225,664.465,151.759,0.467205,-0.295557,-0.694679,-1.54321,-0.2318,-86.7495,682.037,50.9331,18146.8,17082.5,1.01344,0.250682,0.397798,-0.996972,0.314438,0.593831,796.952,53.1864,18261.7,0.0472485,0.895423,0.00533642,16867.2,12515.6,947.003,320186,-0.000822852,-0.0178379,9.85254,8.01258,101.208,56.7547,1.3549,12.8979,12.753,88.4483,125.627,12.7599,-68.8718 
68,120,0,68,17058.7,-2.5621e-05,31.4504,12.8185,88.637,0.0314077,-133.512,3.61865e-08,0.0516051,0.69358,-3.01262,-1.00353,-0.569712,-129.549,653.285,50.7785,18036.7,13260.3,0.867338,1.50931,-1.38115,-0.187796,0.246021,2.31073,824.894,54.1434,18208.3,0.0489603,0.89697,0.00544775,16848.2,12225.7,928.58,312521,-0.000955848,-0.0186449,9.11295,8.23619,101.311,56.5846,1.32791,12.9669,12.8865,88.752,125.88,12.559,-69.2955 
