cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.96,12,27838.7,-0.0972453,46.0261,13.3777,115.303,-0.0324701,135.628,224.254,0.327669,-0.0969836,-1.93355,-0.840067,2.50253,-81.9033,14017.9,91.3774,13119.6,20187.3,0.843392,0.418739,-0.902106,-0.324344,3.01825,1.29539,14083.2,97.3082,13184.9,0.494933,0.988053,0.0134129,28454.7,-0.000103288,1.16631,13.6298,11.1204,114.908,89.9791,1.02452,13.1451,12.3128,114.615,140.196,0.293652,-50.217 
13,44.02,13,27875.4,-0.110873,45.3918,13.6163,115.133,-0.0866066,-335.167,463.614,-3.30277,-2.09755,1.48051,-0.453397,0.470844,-50.9269,13548.2,73.9833,13485.2,21065.1,-2.9821,-1.77688,2.12185,-0.132724,0.791517,2.07254,13588.8,77.671,13525.8,0.479629,0.990096,0.0104675,28331.9,-9.64904e-05,1.09937,13.7488,11.3057,114.863,90.671,1.00739,13.525,12.6288,114.433,141.361,0.429218,-50.6904 
14,43.92,14,25234.5,-0.0931533,41.0575,13.6068,115.43,0.0629318,-23.6451,496.683,-2.80028,-0.549388,-2.75511,-1.60625,1.31525,-84.6045,12466,79.5711,12161.4,18234.7,-2.26754,-0.0166558,-1.68964,-1.07352,1.84798,0.471884,12533.4,85.6975,12228.8,0.484613,0.988176,0.0127447,25862.8,-0.000142745,1.02502,13.7174,11.1582,115.112,90.0443,0.907374,13.5997,12.5073,114.731,140.542,0.380607,-50.4975 
15,43.82,15,24920.2,-0.100829,40.8323,13.5368,115.247,0.0164211,36.2066,252.416,-1.06006,-3.08668,-2.09423,-0.338529,3.03646,-84.8488,12060.5,70.0228,12246.1,18012.8,-0.525787,-2.55241,-1.02569,0.19574,3.57073,-2.03988,12128.1,76.1669,12313.7,0.47468,0.989129,0.0112661,25550,-0.000263393,0.981682,13.8132,11.2617,114.885,90.2521,0.915458,13.5511,12.6029,114.561,140.787,0.324494,-50.5349 
16,43.84,16,26644.5,-0.0977709,43.2871,13.6263,115.121,0.181836,-91.751,0.639263,-2.21171,-1.33634,3.97109,0.536292,4.99628,-69.5499,13235.9,89.9791,12764.6,19744.5,-1.77377,-0.898402,4.84697,0.974229,5.43422,0.435298,13291.3,95.0154,12820,0.487484,0.987644,0.0134688,27265.1,-0.000265933,1.05637,13.9391,11.3721,114.716,89.8003,0.95513,13.4393,12.6804,114.488,140.494,0.22827,-50.6939 
17,43.76,17,25357.7,-0.0681512,41.8809,13.3363,115.224,0.246968,-154.483,155.751,-0.965276,0.097793,2.08581,1.16809,3.55191,-42.5997,12539,69.4142,12222.9,19424.2,-0.697037,0.366032,2.62229,1.43633,3.82015,0.652574,12572.9,72.499,12256.9,0.484825,0.99001,0.0107785,25932.9,-0.000162666,1.05931,13.6878,10.9197,114.816,89.838,0.958325,13.2224,12.2076,114.507,140.207,0.308794,-50.3686 
18,43.66,18,29032.1,-0.0220546,47.989,13.2037,115.321,-0.0213351,30.539,4.40761e-10,-3.1873,0.415806,-3.57929,-0.636861,2.40989,-56.6739,14466.6,80.2205,13744.3,20648.1,-2.83044,0.772667,-2.86557,-0.28,2.76675,-0.176057,14511.8,84.3244,13789.4,0.491221,0.989934,0.0111393,29542.2,0.000149635,1.23382,13.4006,-10.9831,115.049,90.4295,1.10553,12.981,11.9935,114.523,140.889,0.525259,-50.4598 
19,43.78,19,23028.2,-0.0292445,38.5037,13.2324,115.294,-0.026486,10.5184,500,-1.86955,-1.80055,-0.54654,0.14703,1.99084,-48.223,10892.9,56.5185,11689.6,16594.8,-1.5659,-1.49691,0.0607543,0.450677,2.29449,1.23651,10931.4,60.0104,11728,0.460949,0.990484,0.00933774,23714.9,-0.000244596,0.9261,13.4866,10.9975,114.974,89.8791,0.915326,13.262,12.2126,114.611,140.433,0.36308,-50.5537 
20,44.04,20,27386.1,0.0137076,45.3512,13.2683,115.166,-0.15638,98.2242,500,-1.17009,-1.2346,3.00421,0.364007,0.987441,-36.0123,13852.1,76.3774,12896.9,20088.5,-0.943327,-1.00784,3.45773,0.590767,1.2142,-0.044147,13880.8,78.9851,12925.6,0.49628,0.99014,0.0111314,27969.6,-0.000187656,1.14029,13.6593,11.2413,114.777,90.1966,0.990943,13.1837,12.487,114.455,140.765,0.322862,-50.5682 
21,43.64,21,27577.6,-0.0751922,45.0182,13.4957,115.191,-0.202205,117.463,195.526,-0.247206,-0.317632,3.743,-0.697571,-0.686882,-53.8943,13896.2,77.5422,12988.5,20551.1,0.0921521,0.0217259,4.42172,-0.358213,-0.347524,-0.154538,13939.1,81.4448,13031.4,0.49529,0.989878,0.0113819,28143.3,-0.000146644,1.13187,13.835,-11.2131,114.859,90.1356,0.977076,13.361,12.5938,114.544,140.463,0.314594,-50.3274 
22,43.88,22,28757.1,-0.067924,46.4492,13.6138,115.184,-0.0222871,64.7356,33.0812,-0.465623,0.235543,1.31248,0.852808,1.43592,26.8329,14106.8,92.7661,13713.3,20632,-0.634583,0.0665831,0.97456,0.683848,1.26696,0.586589,14085.4,90.823,13691.9,0.485542,0.988842,0.0120718,29009.6,8.99173e-06,1.126,13.8942,11.3676,114.86,90.1191,1.00487,13.4841,12.8749,114.508,140.493,0.35273,-50.374 
23,43.7,23,28325.5,-0.118473,46.6079,13.4893,115.376,-0.216424,8.48995,249.363,0.0345232,0.136968,-2.99821,-1.76746,0.662131,36.3827,14479.5,87.9953,13241.8,20526.3,-0.194569,-0.092124,-3.45639,-1.99655,0.433039,0.348661,14450.5,85.3608,13212.8,0.50084,0.989768,0.0117609,28852.5,-0.000190558,1.19295,13.7352,-11.1155,115.078,90.2102,0.995788,13.3155,12.6433,114.626,140.699,0.45181,-50.4891 
24,43.8,24,16726.2,-0.123056,27.4775,13.7303,115.206,0.0960805,25.012,330.788,0.930474,0.703575,6.63289,1.26193,0.13313,-75.8658,7659.63,45.9162,8902.94,12359.7,1.40818,1.18128,7.58831,1.73963,0.610837,0.394304,7720.06,51.4098,8963.37,0.441395,0.988481,0.010455,17490.1,-0.000405166,0.608134,14.0407,11.3585,114.878,89.8697,0.631288,13.7126,13.1253,114.56,140.696,0.317901,-50.8259 
25,43.94,25,29581.9,-0.0423851,49.6005,13.0457,115.2,0.00408658,52.7525,1.08159e-10,-1.10645,-1.55231,-2.63397,2.37416,0.936994,-0.206495,14584.6,57.7754,14257.1,21071.3,-1.10515,-1.55101,-2.63137,2.37546,0.938294,-0.333165,14584.8,57.7904,14257.3,0.484139,0.993114,0.00741143,30125.2,6.87223e-05,1.30294,13.1944,10.6176,114.858,89.7234,1.16215,12.9841,11.8653,114.483,139.844,0.375453,-50.1209 
26,43.72,26,28216.7,-0.0874741,45.5492,13.6737,115.339,0.0799471,-62.7931,147,0.301882,0.0139588,-0.0766732,1.64912,-1.21161,1.74001,14143.1,98.2649,13136.5,20438.5,0.290926,0.00300242,-0.098586,1.63817,-1.22257,1.16137,14141.8,98.1389,13135.1,0.496917,0.988001,0.0135764,28459,2.17104e-06,1.12043,13.9881,11.4094,114.943,89.749,0.977484,13.3984,12.7475,114.649,140.201,0.293333,-50.4519 
27,43.9,27,29473.8,0.0420292,49.2544,13.0746,115.091,-0.0448989,-53.7755,500,-1.48449,0.0185922,-2.41468,-2.36031,1.03134,-67.9329,14691.6,70.8799,14098.5,21042.3,-1.05674,0.446347,-1.55917,-1.93256,1.45909,0.410082,14745.7,75.7991,14152.6,0.488722,0.991084,0.00976965,30172,-6.47971e-05,1.29739,13.2815,-10.7268,114.803,90.2457,1.12751,13.1013,12.0003,114.361,140.732,0.441962,-50.4863 
28,43.86,28,27742.7,0.00728799,44.7407,13.591,115.323,-0.0175678,42.6504,499.998,-2.08733,0.547934,-5.34222,-0.0237777,1.27992,-46.4557,13572.6,92.1285,13213.1,19819.2,-1.79481,0.840453,-4.75719,0.268742,1.57244,-0.229131,13609.6,95.4925,13250.1,0.485152,0.98787,0.0131019,28052.2,9.06244e-05,1.10442,13.8271,11.201,114.97,89.9451,0.995118,13.4663,12.5129,114.632,140.334,0.337868,-50.3888 
29,43.68,29,27183.2,-0.120107,44.3195,13.6149,115.428,0.114102,-6.82174,39.8145,-0.173451,-0.0756367,-2.45083,-0.797159,-1.71579,-44.1522,13795.5,97.8328,12696.3,19668.1,0.104564,0.202378,-1.8948,-0.519144,-1.43778,0.465467,13830.6,101.03,12731.5,0.499158,0.987378,0.0144073,27708,-0.000173231,1.11222,13.9319,-11.2585,115.013,90.7645,0.952558,13.3306,12.6855,114.751,141.245,0.261876,-50.4802 
30,43.74,30,24437.3,-0.0636835,39.5268,13.6131,115.316,0.0770319,-11.7721,8.04084,-1.22008,-2.02647,0.243303,2.17791,0.244284,-83.9476,12389.5,79.1409,11367.6,17545.9,-0.691481,-1.49787,1.30049,2.70651,0.77288,0.497982,12456.4,85.2197,11434.4,0.499856,0.988169,0.0135431,24919.9,-0.000108222,0.992403,13.865,11.3623,114.958,90.2751,0.835095,13.5077,12.8226,114.63,140.927,0.327909,-50.6521 
