cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,6219.84,-0.0111277,13.3512,10.9787,114.625,0.0169553,-0.846898,4.57429e-12,-1.40064,-2.07857,-1.36601,-1.8442,-0.108633,-280.801,71.2576,9.87501,6755.73,4772.08,0.367486,-0.310441,2.17025,-0.076075,1.6595,0.430488,294.926,30.2085,6979.4,0.0360473,0.847998,0.00791,8181.65,-0.0013029,0.011065,22.1379,63.8589,132.18,113,0.776676,10.4024,9.76964,113.861,138.755,18.3191,-25.7552 
12,75,47.3227,3,46.05,0.2,-0.19,-0.01,12,7293.52,-0.10209,14.6424,11.6104,114.455,-0.0659673,36.7215,429.165,-1.5812,0.516352,0.444743,-0.107173,-0.0570792,-283.808,1308.59,20.5617,6477.94,5613.03,0.205861,2.30342,4.01887,1.67989,1.72999,0.595607,1534.65,41.1129,6704,0.168455,0.955218,0.0111707,9110.18,-0.000398093,0.126347,11.8571,10.8463,114.208,91.1821,0.624227,11.3929,11.0606,113.597,139.797,0.611715,-48.6145 
13,97,43.248,4.2,48.55,-0.2,0.19,0.01,13,13970.7,-0.0165124,29.1485,10.5727,114.473,-0.00155095,3.97863,500,0.115364,0.403541,-3.37978,-2.4064,1.55706,-249.031,7091.77,-10.7024,7233.38,10032.4,1.68345,1.97163,-0.243612,-0.83832,3.12514,1.04275,7290.13,7.33052,7431.75,0.464695,0.998243,0.00181372,15688,-0.000303787,0.93688,10.4545,8.95793,114.179,90.0344,0.836154,10.786,9.72296,113.779,139.865,0.399376,-49.8304 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,14743.1,-0.0328491,30.3792,10.6641,114.699,-0.00710646,12.9005,2.13022,0.677734,-0.58373,-0.687378,-0.184267,1.0932,-203.948,7742.24,0.944504,7194.83,10549.2,1.96194,0.700479,1.88104,1.09994,2.37741,0.76548,7904.69,15.7129,7357.28,0.48739,0.996533,0.00391876,16218.4,-2.0669e-05,0.997135,10.6693,8.93405,114.381,89.5735,0.828671,10.4742,9.89863,114,139.179,0.380438,-49.6058 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,5907.4,-0.0220937,13.0449,-10.7411,114.19,0.0637042,-50.8047,500,-1.01093,-3.56612,-0.21094,-0.408974,-1.74706,-195.921,51.9552,21.7042,6452.81,4666.63,0.222735,-2.33245,2.25639,0.82469,-0.513395,-3.927,208.014,35.8913,6608.87,0.0270991,0.768078,0.00990499,7676.04,-0.000552965,0.0124046,-15.8526,13.2451,122.853,108.468,0.749126,10.3012,10.0388,113.59,138.115,9.26332,-29.6468 
16,75,47.3227,3,46.05,0.2,-0.19,-0.01,16,6298.27,-0.0117205,13.0606,11.3465,114.524,-0.00212566,-0.57717,500,-1.88129,-3.61343,-3.82913,0.793671,1.86886,-288.203,1103.31,-11.6672,5825.75,4824.16,-0.0665556,-1.7987,-0.199665,2.60841,3.68359,1.04723,1332.88,9.20224,6055.31,0.163035,0.988062,0.00279163,8175.38,-0.000590438,0.123929,11.8039,9.77541,114.259,90.5385,0.610221,11.1615,10.4365,113.669,139.92,0.589339,-49.3818 
17,97,43.248,4.2,48.55,-0.2,0.19,0.01,17,12785,-0.0746089,27.4355,10.4306,114.48,-0.0207189,86.6389,10.5742,-0.21894,1.35807,2.9296,1.48453,1.55655,-248.628,6568.44,-12.4597,6651.07,9374.22,1.3466,2.92361,6.06069,3.05007,3.12209,0.632754,6766.48,5.54404,6849.11,0.466462,0.998568,0.00148888,14506,-0.000411662,0.884414,10.4266,8.86455,114.146,88.9111,0.809618,10.4566,9.52679,113.778,138.835,0.368499,-49.9239 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,12152.3,-0.0923034,26.5544,10.3447,114.669,0.0502781,-14.5997,500,-1.98121,-2.05079,-4.3192,0.255085,0.0258681,-217.221,6406.26,-21.9451,6268.14,8966.2,-0.613427,-0.683012,-1.58364,1.62287,1.39365,12.6073,6579.28,-6.21563,6441.17,0.474771,1.00166,-0.00178077,13857.8,-0.000523359,0.884115,10.3965,8.67156,114.335,88.996,0.778837,10.3658,9.47412,113.94,138.49,0.39571,-49.4943 
19,75,46.2227,0,46.05,0.2,-0.19,-0.01,19,5423.54,-0.0902151,12.7439,10.8235,114.546,0.123788,-9.81833,500,-4.02645,-1.59795,1.46271,-2.28293,-1.2256,-312.78,14.8125,8.25365,6321.67,4529.76,-2.05696,0.371544,5.40169,-0.313435,0.743888,-0.302638,263.953,30.9028,6570.81,0.0343288,0.829955,0.00858909,7688.97,-0.000844212,0.0139241,-14.3326,10.0625,122.24,107.163,0.738742,10.4173,9.89888,113.93,138.297,8.3098,-31.1338 
20,75,47.3227,3,46.05,0.2,-0.19,-0.01,20,6843.31,-0.0222394,13.5004,11.754,114.432,-0.0248173,17.6598,500,-1.5732,-2.70098,1.42723,-3.12596,-0.724392,-283.292,1388.77,13.0948,5958.84,5179.95,0.210611,-0.917172,4.99485,-1.34215,1.05942,-0.24698,1614.42,33.6086,6184.49,0.18766,0.96485,0.00991139,8602.9,-0.000396477,0.14285,11.8189,10.2167,114.249,90.1248,0.57602,11.6244,10.7709,113.713,139.212,0.536166,-49.0869 
21,97,43.248,4.2,48.55,-0.2,0.19,0.01,21,13381.9,-0.0420141,27.8157,10.6214,114.531,0.00396027,-10.7373,463.746,1.57144,1.29145,1.43396,1.6297,0.991111,-252.407,6685.9,-5.53597,6942.31,9618.95,3.16078,2.88079,4.61263,3.21904,2.58045,0.71966,6886.95,12.7414,7143.37,0.46039,0.996773,0.00327495,14959,-0.000195003,0.875279,10.6803,8.84724,114.199,89.0179,0.813436,10.6159,9.72715,113.831,138.519,0.367803,-49.5007 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,15127.3,-0.0155159,30.6506,10.7779,114.6,0.0134689,-39.8332,15.214,-0.716717,-1.78452,-0.906934,1.61854,1.11812,-199.43,8050.99,2.09698,7190.27,10771.4,0.539039,-0.528768,1.60458,2.8743,2.37387,0.766199,8209.85,16.5382,7349.12,0.497134,0.996487,0.00412829,16514.4,-8.4023e-05,1.03554,10.7968,8.90787,114.208,88.6697,0.828802,10.7379,9.77101,113.844,138.336,0.364253,-49.6666 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,5786.67,-0.11999,13.1767,10.5743,114.343,0.121392,32.9113,20.8275,0.504797,1.27657,-3.19311,-0.516128,2.53496,-331.135,-16.4315,0.931296,6412.8,4665.88,2.58987,3.36164,0.977032,1.56894,4.62003,0.925517,247.33,24.9096,6676.56,0.0317422,0.85016,0.00682581,7791.84,-0.00125843,0.00729616,-25.0113,66.0669,135,113,0.742039,10.3669,9.95522,113.661,138.476,21.3391,-25.4761 
24,75,47.3227,3,46.05,0.2,-0.19,-0.01,24,6060.8,-0.0948954,12.3298,-11.5502,114.681,-0.0185779,30.6024,196.886,-3.33947,0.724311,2.03941,-0.0469908,-1.86241,-247.119,1058.99,18.7443,5479.54,4654.46,-1.78343,2.28035,5.15149,1.50905,-0.306371,0.248078,1255.83,36.6387,5676.37,0.163729,0.951424,0.0117503,7670.13,-0.000363544,0.112369,11.4061,9.86593,114.381,89.2617,0.568832,11.2754,10.3959,113.83,138.24,0.551208,-48.9781 
25,97,43.248,4.2,48.55,-0.2,0.19,0.01,25,12147.4,0.0113464,25.4857,10.4896,114.494,-0.0141716,5.26782,2.49656e-12,0.118966,-3.08627,2.59644,-0.0603415,1.03741,-217.377,6286.89,0.103627,6118.44,8705.08,1.48773,-1.7175,5.33397,1.30843,2.40618,0.39516,6460.04,15.8444,6291.59,0.476069,0.995726,0.00461765,13569.5,-0.0001724,0.85153,10.4677,8.69142,114.112,88.7548,0.724103,10.5147,9.69173,113.848,138.258,0.263622,-49.5028 
26,97,43.248,0,48.55,-0.2,0.19,0.01,26,13579.7,-0.0044206,28.5252,10.4564,114.375,-0.0104938,4.90345,1.57763e-06,-2.7797,1.1768,1.49462,-1.12541,1.30762,-136.379,7125.95,-1.73702,6655.06,9711.33,-1.92096,2.03555,3.2121,-0.266672,2.16636,0.385405,7234.58,8.13851,6763.69,0.486275,0.998035,0.00221164,14877.6,-0.000136845,0.962634,10.4657,8.73567,114.003,88.3996,0.796894,10.4002,9.69024,113.768,138.051,0.235596,-49.651 
27,75,46.2227,0,46.05,0.2,-0.19,-0.01,27,6704.11,-0.00909627,13.6825,11.102,114.347,0.0112811,-2.02385,0.000391044,-2.36573,2.01984,2.96765,-2.60401,0.39227,-250.728,84.4557,23.0825,6970.09,4945.66,-0.786958,3.59861,6.12519,-1.02523,1.97104,0.380208,284.17,41.2384,7169.81,0.033886,0.797475,0.0104841,8386.05,-0.000346411,0.01701,-16.4395,-10.8341,124.281,108.991,0.779426,10.7822,9.9882,113.749,138.537,10.5318,-29.5455 
28,75,47.3227,3,46.05,0.2,-0.19,-0.01,28,6647.04,-0.0158147,13.2291,11.3734,114.451,0.00571175,7.26973,3.24023e-11,-1.79202,-0.688215,2.67116,-1.25531,1.80871,-245.511,1060.4,12.0458,5979.8,4899.34,-0.246105,0.857704,5.763,0.290608,3.35463,0.424841,1255.96,29.8239,6175.36,0.152531,0.960103,0.008818,8234.11,-0.000280587,0.108074,11.9485,10.1225,114.081,90.1305,0.619052,11.0653,10.5524,113.735,139.455,0.345548,-49.3243 
