cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,46.05,3,12,3092.88,0.00274266,-5.85608,11.4191,95.9818,-0.00772353,-4.01301,499.771,-0.415962,1.5572,0.0132128,-0.178182,0.0474295,-38.8792,511.032,19.5443,2579.43,2177.88,-0.17115,1.80201,0.502837,0.0666303,0.292242,0.798266,565.564,23.5837,2633.96,0.196142,0.931989,0.016226,2883.45,0.000140569,0.060334,10.8693,9.67736,96.8619,70.1243,0.269907,10.8855,10.1683,95.2947,119.723,1.5672,-49.5991 
13,46.05,0,13,3163.71,-0.00420339,6.3831,10.207,95.9768,0.00129631,10.0191,4.83927e-11,-1.07111,-2.67276,-1.46474,0.483438,-2.30948,-41.7565,-20.3755,21.0464,3031,2121.35,-0.808184,-2.40983,-0.938876,0.746368,-2.04655,0.827953,38.1921,25.3847,3089.57,0.0138527,0.462288,0.0149096,2757.01,0.000296661,0.0113681,8.33597,6.34865,94.4176,93,0.37905,9.9063,9.21888,95.4099,120.719,-0.99233,-27.7186 
14,45.9,3,14,4193.05,0.0167437,7.46168,11.9518,95.6886,0.0103145,43.7145,129.545,-1.53998,-2.2357,-2.61329,-0.618346,-0.14489,-33.7308,600.603,18.5173,3503.48,2917.8,-1.32759,-2.02331,-2.1885,-0.405952,0.0675035,0.62767,647.913,22.0218,3550.79,0.171742,0.943859,0.0112956,3772.61,0.000416108,0.0658425,10.4907,8.94442,95.6045,70.1716,0.352362,11.1157,10.2711,95.2255,120.365,0.378951,-50.193 
15,45.9,0,15,3584.87,-0.0056091,7.31996,10.7248,95.8275,0.00145881,2.63544,148.158,-0.390327,0.252162,-2.72152,-0.219744,-2.14344,-43.0408,-2.7614,13.3023,3600.39,2555.72,-0.11931,0.523179,-2.17949,0.0512728,-1.87242,0.394043,57.6075,17.774,3660.76,0.0175682,0.649376,0.00886466,3279.08,0.000110615,0.0015212,-0.0798965,10.1847,101.665,53.9908,0.429443,10.334,9.60132,95.3453,121.248,6.3196,-67.2567 
16,46.05,3,16,3323.51,0.0256999,6.24287,11.097,95.8061,0.0338171,3.86234,13.4691,-0.0748471,0.656819,1.03764,-0.431676,0.823274,-48.9338,598.915,20.1889,2673.06,2259.46,0.233276,0.964942,1.65389,-0.123553,1.1314,0.571526,667.549,25.2729,2741.7,0.21672,0.937863,0.016697,3080.24,0.000261271,0.0703478,10.2925,8.98805,95.5838,70.1353,0.283463,10.8545,10.1065,95.0814,120.398,0.502439,-50.2628 
17,46.05,0,17,3452.29,0.0275196,6.94355,10.351,95.3464,-0.0665706,-3.01304,419.892,-0.419074,1.3512,2.64874,-0.395452,0.613442,-39.6405,67.8936,16.1543,3286.8,2346.23,-0.169468,1.60081,3.14795,-0.145846,0.863048,0.405654,123.493,20.2728,3342.4,0.040294,0.776831,0.0110495,3064.81,0.000265894,0.00558675,16.1276,7.89079,114.486,56.1762,0.409338,9.86159,9.5164,94.9853,120.348,19.5004,-64.172 
18,45.9,3,18,4634.25,-0.000202738,8.69962,11.5139,95.5991,0.00620571,4.52183,3.48184e-10,0.0879576,2.19299,0.0744521,-0.415774,0.671734,-23.8001,569.992,26.6135,4057.25,3261.68,0.237821,2.34286,0.374178,-0.265911,0.821597,0.893413,603.374,29.0862,4090.63,0.143554,0.922203,0.0129289,4203.13,0.00025439,0.0707183,10.2702,8.79438,95.342,70.8012,0.410917,11.1211,10.364,95.1222,121.356,0.219825,-50.5545 
19,45.9,0,19,3929.98,0.0110277,7.89731,10.651,95.2888,-0.0146704,11.8803,335.568,0.603524,1.22916,-1.07889,-0.442339,3.40218,-53.804,-23.4277,19.1464,3950.14,2743.88,0.942314,1.56795,-0.40131,-0.10355,3.74097,1.06984,52.0376,24.7364,4025.61,0.0144767,0.545889,0.0111926,3594.57,6.54866e-05,0.00426117,20.7955,5.66957,109.207,55.8299,0.460356,10.542,9.65913,94.77,121.428,14.4374,-65.598 
20,46.05,3,20,3874.94,-0.00569967,7.07311,11.3925,95.5307,0.0039897,10.5076,0.00367014,-0.828106,0.424353,-0.222264,0.0787183,0.802713,-68.7005,708.572,19.3993,3064.2,2624.53,-0.395517,0.856942,0.642914,0.511307,1.2353,0.774491,804.931,26.537,3160.56,0.224451,0.945453,0.0152313,3586.22,0.000334574,0.0791269,10.5983,9.43004,95.3291,71.0091,0.306799,11.1465,10.4033,94.8619,121.235,0.467287,-50.2261 
21,46.05,0,21,3601.63,0.0287821,7.22899,10.3706,95.8353,-0.0246319,-93.8104,86.1298,-2.0577,1.05105,-0.85759,-1.38875,0.971861,-62.8198,6.84468,21.9159,3471.58,2515.72,-1.66214,1.44661,-0.0664706,-0.993186,1.36742,1.72065,94.9556,28.4426,3559.69,0.029421,0.656087,0.0145053,3227.48,0.000300674,-0.00605033,-2.02414,-0.150973,106.028,41.9618,0.416749,10.1634,9.57301,95.5158,119.986,10.5125,-78.0244 
