cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-4.055,43.1677,0,8475.77,-0.105883,27.7598,8.70167,120.438,0.0051284,138.376,500,-5.63755,-2.31766,-15.3469,-5.48568,-9.62711,-730.632,5692.51,6.20752,5984.32,7886.58,-1.03695,2.28293,-6.14572,-0.885084,-5.02651,0.431548,6274.48,59.1144,6566.3,0.529232,0.98378,0.0163134,11855.8 
1,-3.99,43.2327,1,6300.44,-0.0219647,22.6587,8.48017,120.388,0.013788,-7.0694,500,-4.44076,-2.95451,-15.1305,-4.31322,-5.26204,-921.159,4369.81,18.2086,5231.84,6258.28,1.35953,2.84578,-3.52994,1.48707,0.538248,2.30705,5103.55,84.912,5965.58,0.501612,0.971708,0.02555,10174.3 
2,-4.015,43.2077,2,8084.76,-0.0361352,27.951,8.37752,120.442,0.0239261,18.1395,500,-6.13529,-1.15956,-10.5458,-7.48657,-6.89367,-959.89,5526.41,6.59987,6051.37,7636.81,-0.09112,4.88461,1.54251,-1.44239,-0.8495,0.618579,6291,76.1079,6815.96,0.520581,0.979268,0.0201546,12084.6 
3,-4.04,43.1827,3,9347.43,-0.0235684,29.6059,8.71748,120.158,-0.00193661,-36.615,500,-2.92884,-0.863263,-6.75971,-7.33258,-7.52377,-783.562,6003.89,22.6945,6539.58,8403.97,2.00504,4.07062,3.10806,-2.3987,-2.58988,0.259128,6628.03,79.4342,7163.71,0.521187,0.979458,0.0200171,12717.2 
4,-4.035,43.1877,4,8912.54,-0.0553014,28.9847,8.64026,120.335,0.0685884,-37.7231,498.354,-8.40887,-7.5065,-5.30296,-6.75044,-8.69961,-876.122,5717.2,18.85,6591.99,8236.71,-2.89216,-1.9898,5.73045,-1.23373,-3.1829,2.606,6415.06,82.2921,7289.86,0.50867,0.978044,0.0203711,12611.4 
5,-3.925,43.2977,5,8353.92,-0.0447595,27.9921,8.51463,120.455,0.0201349,9.41169,500,-0.0275687,-4.63361,-12.1038,-6.77258,-3.3141,-841.027,5341.83,20.7066,6342.94,7764.99,5.26816,0.662119,-1.51235,-1.47685,1.98162,1.30722,6011.74,81.6074,7012.85,0.502122,0.976796,0.0209864,11972.7 
6,-3.995,43.2277,6,7342.43,-0.000577504,24.9711,-8.52614,120.514,-0.00201855,-32.9629,499.965,-0.059636,-2.30312,-9.66985,-5.61846,-8.6794,-704.191,4823.27,13.8607,5539.68,6932.99,4.37447,2.13098,-0.801637,-1.18435,-4.2453,3.924,5384.19,64.8529,6100.6,0.509399,0.979356,0.0192065,10569.7 
7,-4.03,43.1927,7,9167.69,-0.129483,29.3927,8.67278,120.407,-0.35215,-321.468,1.46404e-06,-5.12795,-0.900868,-1.29315,-2.60605,-3.27251,-712.394,5748.84,29.7149,6460.08,11983.6,-0.642198,3.58489,7.67836,1.8797,1.21324,0.440108,6316.28,81.3011,7027.53,0.51395,0.977971,0.0208665,12289.7 
8,-3.96,43.2627,8,9322.91,-0.186668,28.841,8.75746,120.4,-0.00131519,214.278,1.2947e-06,-2.60137,-1.44363,-8.6785,-4.26172,-2.59823,-740.665,5743.91,23.7338,6394.21,8231.28,2.06239,3.22014,0.649038,0.402045,2.06554,0.922726,6333.88,77.3671,6984.17,0.51619,0.979071,0.0199978,12270.4 
9,-3.94,43.2827,9,8482.91,-0.0673645,27.7961,8.51383,120.401,0.0498705,73.2918,4.22071e-06,-2.84879,-6.25875,-8.60395,-4.86776,-13.6865,-713.161,5461.76,10.7534,5966.58,7822.76,1.6418,-1.76816,0.377223,-0.377174,-9.19588,1.04046,6029.82,62.3951,6534.64,0.520518,0.982214,0.0172851,11584.3 
