cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
50,45.9,3,50,2472.99,0.0104615,-4.47628,10.8174,95.8686,0.00244358,10.5653,500,1.53482,1.26346,2.06321,3.07222,3.12598,-56.7511,327.207,25.011,1958.01,1577.13,1.89217,1.6208,2.7779,3.42957,3.48333,0.789613,406.806,30.9072,2037.61,0.18492,0.882646,0.0271822,2199.9,300.842,300.816,5785.17,0.000438059,0.0298365,10.788,9.39172,96.6602,70.5278,0.233401,9.80622,9.63067,95.3819,120.306,1.27832,-49.7778 
51,45.9,0,51,2358.83,0.0143623,-4.45751,9.79154,95.6605,-0.0312564,26.7843,1.50401e-05,0.999351,-0.301189,2.37224,0.211811,0.334631,-52.9943,94.3012,23.6132,1992.26,1448.07,1.33304,0.0325018,3.03962,0.545503,0.668322,0.459045,168.631,29.1191,2066.59,0.0848573,0.767938,0.0252994,1987.23,334.781,214.995,6746.91,0.000471985,0.0022473,-22.7637,12.2591,110.174,63.5791,0.267645,9.35996,9.03271,95.3944,120.705,14.7795,-57.1259 
52,46.05,3,52,2477.94,0.0979991,-3.90559,10.9359,95.8553,0.00789119,37.2185,38.115,1.09786,0.948766,0.449978,0.160475,1.26544,-72.9599,440.358,27.749,1695.47,1399.96,1.55727,1.40817,1.3688,0.619884,1.72485,0.795059,542.692,35.3293,1797.81,0.255413,0.897726,0.0349352,2124.76,244.248,359.368,4224.11,0.000659517,0.0319947,12.054,10.0366,95.8032,69.4638,0.198234,9.60583,9.77094,95.7802,118.871,0.0230148,-49.4075 
53,46.05,0,53,2272.73,0.00138322,-4.48354,9.3083,95.4616,0.00347842,9.79941,2.99526e-12,1.13116,0.796808,2.8983,1.14331,0.610856,-60.2028,122.351,28.2819,1917.11,1359.7,1.51024,1.17589,3.65646,1.52239,0.989937,0.58707,206.791,34.5368,2001.55,0.105069,0.773831,0.0308063,1968.16,343.325,219.276,6923.78,0.000456691,0.0109066,-6.53484,4.22204,121.806,54.9638,0.280618,8.96858,8.77613,95.2106,121.234,26.595,-66.2698 
54,45.9,3,54,2638.74,0.0207613,-4.56681,10.5912,95.4809,-0.100116,-26.5324,0.00166783,1.68822,1.49857,0.144114,0.0615897,1.57347,-65.8498,340.645,17.8097,2007.02,1661.01,2.10286,1.9132,0.973391,0.476228,1.98811,0.86941,433.006,24.6513,2099.38,0.189877,0.909398,0.0211724,2280.46,312.473,322.113,5971.53,0.000575445,0.0306688,10.6707,8.90623,96.6615,69.4542,0.235339,9.84341,9.72935,95.1405,119.106,1.52102,-49.6515 
55,45.9,0,55,2613.13,0.0175448,-4.68128,10.2713,95.4709,-0.0077794,18.8747,500,-0.509903,-0.840658,3.82475,2.98335,1.60658,-75.9055,99.1944,32.4039,2133.95,1570.03,-0.0319466,-0.362702,4.78066,3.46131,2.08453,0.518654,205.659,40.2901,2240.41,0.0944594,0.744692,0.032065,2177.22,389.603,219.871,8019.64,0.000596682,0.00263491,21.67,11.5377,106.398,62.4242,0.296997,9.385,8.69252,95.1657,121.542,11.232,-59.1182 
56,46.05,3,56,2207.21,0.00421243,-3.61841,10.9307,95.895,0.00210448,7.3742,0.0196223,1.0954,0.382325,4.18188,1.27781,1.82551,-56.5133,336.878,21.9637,1560.75,1288.05,1.45125,0.738174,4.89358,1.63366,2.18136,0.550967,416.143,27.8352,1640.01,0.22381,0.895211,0.0303173,1859.36,231.04,317.088,3854.54,0.000577177,0.0265734,11.8086,9.33407,95.4814,69.1218,0.193968,9.8951,8.9692,95.7149,119.077,-0.233529,-49.9555 
57,46.05,0,57,1898.4,0.00331812,3.64803,9.99041,95.7835,0.000944647,-19.4378,500,1.86474,-1.33885,4.3317,-0.642433,2.43154,-47.4384,75.2479,16.8452,1650.54,1187.01,2.16344,-1.04014,4.92912,-0.343727,2.73025,0.415908,141.785,21.7739,1717.07,0.0857841,0.788179,0.0228262,1652.81,267.214,207.692,4995.54,-0.0750155,0.0758031,-928.351,-1554.8,98.4747,70.58,0.235504,8.98583,8.82454,95.3743,118.731,3.10034,-48.151 
58,45.9,3,58,2465.69,0.0988223,-4.04289,10.4756,95.6815,1.01218,-824.095,31.3901,0.914377,1.20289,1.39076,3.36333,1.62021,-50.8471,356.616,8.89018,1851.84,28532.5,1.23455,1.52306,2.0311,3.6835,1.94038,0.804938,427.934,14.173,1923.16,0.201825,0.945216,0.0133938,2120.32,283.556,316.567,5248.14,0.000572608,0.0261571,11.338,9.6439,96.2092,70.566,0.225981,9.77285,9.2852,95.432,120.854,0.777258,-50.2878 
59,45.9,0,59,2488.22,0.00334388,-4.55492,10.4228,95.3317,-0.00610599,13.6451,2.25148e-11,0.826792,-0.565305,1.78598,1.80768,0.36164,-39.4642,127.261,27.99,2108.19,1548.18,1.07529,-0.31681,2.28297,2.05618,0.610135,0.600023,182.614,32.0901,2163.54,0.0875203,0.764805,0.0265959,2086.53,365.379,202.779,7560.06,-0.000420888,0.00286598,-54.3448,-92.6553,75.2253,93,0.28264,9.32417,8.96905,95.2159,120.085,-19.9906,-27.0851 
60,46.05,3,60,2172.73,0.00426921,3.95816,10.4189,95.5933,0.0172477,-23.1856,500,-0.79968,0.54974,-0.0139791,0.514374,0.7415,-55.6157,347.526,22.5703,1637.97,1355.5,-0.449483,0.899937,0.686415,0.864571,1.0917,0.778085,425.533,28.3486,1715.98,0.219846,0.895589,0.0295335,1935.59,244.26,332.575,4286.53,0.000392847,0.0306942,11.7663,9.82614,96.0062,68.6659,0.203791,9.51044,9.48225,95.2927,119.019,0.713438,-50.3533 
61,46.05,0,61,2298.63,0.00698961,-4.37239,9.78265,95.8758,-0.000536446,7.12149,7.26613e-12,-0.943723,0.930379,4.65832,1.06604,2.08992,-48.1216,93.4147,21.3622,1908.13,1392.54,-0.640715,1.23339,5.26434,1.36905,2.39293,0.452714,160.91,26.3619,1975.63,0.0847133,0.77718,0.0239905,1899.46,324.731,207.921,6467.22,0.000463421,0.0032859,19.192,9.81947,109.763,59.5939,0.262934,9.10655,9.1906,95.6574,119.779,14.1055,-60.1855 
62,45.9,3,62,2636.59,0.0215888,-4.33907,11.2095,95.3675,-0.0158072,62.4357,500,-0.769353,-1.1307,1.735,2.03796,0.620168,-63.1401,355.909,19.8855,1962.06,1615.49,-0.371777,-0.733128,2.53015,2.43554,1.01774,0.48137,444.469,26.4455,2050.62,0.197628,0.905696,0.0232052,2249.01,299.472,337.844,5645.56,0.000569231,0.031623,11.9106,9.22908,96.1433,69.0817,0.227078,10.123,9.58143,95.0012,119.475,1.14207,-50.3929 
63,45.9,0,63,2335.34,0.080103,-4.31525,9.65023,95.7671,-0.1274,-93.7191,422.223,-0.68649,-0.0101563,0.800684,0.775566,2.96935,-62.2765,67.7482,21.4393,1976.2,1744.3,-0.294352,0.381982,1.58496,1.1677,3.36148,0.744435,155.097,27.9096,2063.55,0.0786888,0.760508,0.0243089,1971.02,344.266,212.307,6963.93,0.000484925,0.0101411,8.95464,2.89638,99.612,69.5517,0.276513,9.23374,8.83374,95.176,120.434,4.43598,-50.8826 
64,46.05,3,64,2228.5,0.0877061,-3.77619,10.1849,95.5053,0.0870596,-112.462,494.551,-0.549995,1.17201,1.65836,-0.31843,0.717352,-83.7902,360.568,26.9936,1582.84,1570.73,-0.0223909,1.69961,2.71357,0.209174,1.24496,0.535738,478.092,35.6991,1700.37,0.242144,0.88443,0.0372348,1974.42,234.11,312.511,4082.35,0.000490271,0.027615,12.3628,10.1826,95.6778,70.5221,0.198529,9.69331,9.33701,95.1607,120.571,0.517096,-50.0484 
65,46.05,0,65,2103.78,0.0294764,3.89309,9.81034,96.0486,0.0144482,-3.45659,500,1.22097,1.23939,2.70431,0.79328,0.72012,-61.2421,76.4454,15.35,1765.97,1244.92,1.6066,1.62502,3.47556,1.17891,1.10575,0.613475,162.343,21.7129,1851.87,0.0905939,0.810336,0.0211417,1791.99,279.824,204.108,5388.24,0.000312036,0.00659469,-29.0717,11.7794,70,87.0544,0.241614,9.14619,8.9557,95.6589,118.265,-25.6589,-31.2109 
66,45.9,3,66,2375.18,0.0361779,-4.13074,10.4779,95.8068,-0.0420994,10.0371,499.766,1.13659,0.322185,1.66061,1.14675,3.81822,-77.5679,257.484,12.7593,1884.71,1422.71,1.62501,0.810609,2.63746,1.63517,4.30665,0.760555,366.28,20.8183,1993.51,0.172728,0.909533,0.0188741,2120.56,288.585,279.682,5492.82,0.000444721,0.023192,12.0925,9.36073,95.9534,70.5131,0.229925,9.71906,9.46984,95.3573,121.262,0.596149,-50.7488 
67,45.9,0,67,2292.27,0.00734742,-4.31036,10.0543,95.7648,0.00593072,-1.76836,4.20814e-12,-0.0487855,0.265551,0.450985,1.24648,0.0286956,-59.242,72.8786,21.4558,1996.84,1411.13,0.324245,0.638582,1.19705,1.61951,0.401726,0.713701,155.971,27.6108,2079.93,0.0785231,0.763479,0.02387,1986.31,340.108,215.792,6836.89,0.00043674,0.0024495,8.58524,1.82436,121.765,74.1595,0.268292,9.54874,8.90963,95.3982,119.046,26.3669,-44.8861 
68,46.05,3,68,2244.28,0.00812095,-3.89328,10.8456,95.664,-0.012114,4.40856,4.08556e-07,-1.35024,1.00595,2.10739,2.29395,-0.254093,-48.8361,334.517,30.0609,1695.64,1376.3,-1.04273,1.31346,2.72241,2.60146,0.0534149,0.517988,403.015,35.1348,1764.14,0.206097,0.86763,0.0353892,1955.46,251.458,313.72,4387.81,0.000451876,0.0257737,13.8467,9.11089,96.1926,69.6669,0.203947,9.82404,9.40605,95.376,120.069,0.816664,-50.402 
69,46.05,0,69,2301.65,0.0512314,-4.27141,9.87654,95.646,-0.284857,60.9339,1.98556,1.56683,1.35812,4.07026,1.07749,-0.311535,-63.586,92.468,25.3876,1904.17,1938.36,1.96722,1.75851,4.87103,1.47787,0.0888489,0.520732,181.654,31.994,1993.36,0.0938385,0.764397,0.0287172,1935.81,331.094,207.816,6657.37,0.000360955,0.0079114,-27.8443,9.27594,70,91.4589,0.273736,9.10247,8.76732,95.3664,120.799,-25.3664,-29.3401 
70,45.9,3,70,2442.04,0.0589932,-4.35757,10.6352,95.6338,1.22264,657.381,260.726,1.27504,1.89,4.39299,0.568418,0.590084,-52.8267,320.246,19.1501,1915.35,27673,1.60768,2.22264,5.05826,0.901054,0.92272,0.52781,394.341,24.6386,1989.45,0.183837,0.901436,0.022305,2145.06,296.288,320.627,5651.02,0.000389319,0.0324656,10.6169,9.44737,96.4006,69.1609,0.229215,10.0296,9.57535,95.0718,119.488,1.32883,-50.3269 
71,45.9,0,71,2513.08,0.0584231,-4.77671,10.0409,96.078,-0.0611943,5.27083,54.2328,-0.363467,3.03936,0.550224,2.35748,0.463911,-66.302,56.3669,20.7166,2244.63,1571.84,0.0540188,3.45684,1.3852,2.77496,0.881397,0.838035,149.362,27.6051,2337.62,0.0676927,0.755609,0.0212903,2206.47,406.172,203.084,8615.27,0.000359848,0.00692525,10.2975,5.14894,97.0542,70.2726,0.298754,9.62935,9.08115,95.6611,121.3,1.39309,-51.0269 
72,46.05,3,72,2123.11,0.0595383,3.7136,10.4362,95.5984,0.101415,-16.9245,500,2.37162,2.09375,2.51097,0.26103,1.37065,-84.2611,297.714,31.2096,1601.7,1317.5,2.90219,2.62432,3.57211,0.7916,1.90122,0.697059,415.898,39.964,1719.89,0.215558,0.856048,0.041047,1929.4,245.581,325.215,4206.51,0.000376939,0.0299359,12.542,8.98744,96.3105,70.6918,0.202776,9.83324,9.09482,95.1376,119.987,1.17288,-49.2952 
73,46.05,0,73,1883.57,0.0458761,-3.71297,9.61802,95.3125,-0.0406445,-70.021,1.89313,0.99816,0.209153,2.23421,3.47857,1.78513,-84.6178,90.9873,16.003,1638.75,1255.17,1.53098,0.741968,3.29984,4.01139,2.31795,0.722752,209.672,24.7944,1757.43,0.119389,0.828539,0.0253307,1756.21,267.103,206.949,5078.65,0.00010948,0.00638955,-34.5302,11.0683,70,86.5189,0.23393,9.27608,8.9109,94.9701,119.734,-24.9701,-33.2149 
74,45.9,3,74,2468.28,0.0503443,-4.41975,10.839,95.587,-0.0478801,45.2859,443.613,0.576808,1.54023,0.996878,1.54181,0.683373,-64.3214,383.48,18.2194,1951.81,1630.07,0.981823,1.94525,1.80691,1.94682,1.08839,0.767427,473.697,24.9021,2042.03,0.208615,0.915753,0.0219706,2270.68,302.222,357.275,5735.01,0.000370319,0.0325224,12.2914,9.29033,95.8785,68.9236,0.230927,9.91144,9.65755,95.1029,118.98,0.775531,-50.0567 
75,45.9,0,75,2218.39,0.0187476,-4.26378,9.77351,95.7188,0.0265905,-7.15843,1.93881,1.7335,1.71705,1.42668,0.882271,0.525962,-54.3023,82.483,26.2509,1926.48,1362.76,2.07543,2.05898,2.11054,1.2242,0.867889,0.746848,158.647,31.8927,2002.65,0.0825868,0.739754,0.0284999,1920.98,330.315,210.938,6662.66,0.000399214,0.00780483,7.87991,6.55761,93.084,70.1917,0.271132,9.14946,8.87108,95.1656,119.894,-2.08159,-49.702 
76,46.05,3,76,2211.05,0.0631991,-3.89754,10.4907,95.4975,-0.0339634,-44.8599,134.263,-1.61633,1.05387,1.43204,2.24746,2.55211,-41.6157,390.322,20.4967,1622,1380.63,-1.35428,1.31591,1.95613,2.5095,2.81415,0.729869,448.693,24.8204,1680.37,0.232795,0.911739,0.0264886,1927.42,237.168,323.78,4113.48,0.000415873,0.0298614,13.1742,9.24651,95.2097,69.8063,0.194986,9.8585,9.61536,95.1604,119.849,0.0493364,-50.043 
77,46.05,0,77,2371.73,0.00903562,-4.50612,9.84032,95.7512,0.000548931,1.86833,500,1.64499,1.04453,3.30607,0.486851,2.04099,-61.9277,104.608,31.4884,2042.43,1443.5,2.03494,1.43447,4.08596,0.876793,2.43093,0.623868,191.468,37.9224,2129.29,0.0927093,0.742606,0.0317655,2065.25,365.263,217.105,7447.18,0.000464098,0.00896532,7.00029,6.47389,98.9716,69.5476,0.28953,9.18366,8.69002,95.2956,120.032,3.67607,-50.4846 
78,45.9,3,78,2550.82,0.0605624,-4.51157,10.7589,95.9214,-0.0019868,-37.3174,385.672,1.0409,2.04103,1.92233,2.30228,0.471873,-60.4536,377.28,25.9108,1984.67,1582.54,1.42156,2.42169,2.68365,2.68294,0.852533,0.733298,462.072,32.1917,2069.46,0.20238,0.89133,0.0278568,2283.19,310.68,348.83,5904.52,0.000410861,0.0315182,11.5007,9.74814,96.1441,69.3554,0.23005,10.1529,9.76639,95.2648,119.325,0.879348,-49.9699 
