cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,46.05,0,21,2302.94,0.0611831,-4.24766,10.1432,95.9445,-0.0329031,-11.7157,144.071,0.406408,0.472368,1.00566,-0.497402,0.621399,-60.8856,82.3446,34.5603,2000.47,1415.11,0.789788,0.855748,1.77242,-0.114021,1.00478,0.588643,167.742,40.8861,2085.87,0.0837327,0.700991,0.0348496,2003.31,334.818,213.91,6727,0.000431717,0.00596373,8.62764,8.85165,114.224,52.5863,0.264953,9.40721,9.06811,95.6033,119.356,18.6204,-66.7698 
22,45.9,3,22,2908.72,0.0711199,4.79525,11.494,95.4483,0.0669276,-31.8098,93.3091,0.158645,1.61484,3.16771,1.92545,1.60968,-68.4877,393.967,14.8903,2240.67,1863.53,0.589894,2.04609,4.03021,2.35669,2.04093,0.635731,490.028,22.0059,2336.73,0.192443,0.927138,0.017052,2546.35,358.34,359.346,7186.62,0.00051305,0.0346497,12.0924,9.21013,95.8947,68.9436,0.250539,10.5001,9.75,95.0916,119.824,0.803144,-50.8803 
23,45.9,0,23,2452.43,0.0435337,-4.6143,10.1485,95.9107,-0.0189393,37.7169,499.905,-0.697607,0.0523483,1.53244,1.08408,-0.244193,-50.3824,103.312,17.4812,2114.45,1547.66,-0.380363,0.369593,2.16693,1.40132,0.0730509,0.403137,173.978,22.7158,2185.12,0.0829699,0.814006,0.0187901,2096.88,371.581,213.339,7711.18,0.000432322,0.00588381,10.9776,11.0597,113.915,52.5458,0.286405,9.30172,9.07175,95.7649,118.958,18.1505,-66.4125 
24,46.05,3,24,2136.48,-0.00221384,3.46991,11.4911,95.5655,0.0124414,-12.9543,500,2.45179,-0.362794,0.181194,3.70768,4.3185,-58.3365,363.588,19.1561,1548.94,1303.25,2.81912,0.00453562,0.915853,4.07501,4.68583,0.926734,445.411,25.217,1630.76,0.23686,0.909855,0.0276961,1880.48,221.622,329.438,3600.56,0.000460922,0.0293021,12.2154,10.09,96.4162,69.6866,0.182673,9.94389,9.38983,95.4595,118.893,0.956696,-49.2064 
25,46.05,0,25,2210.88,0.0753973,-3.91807,10.0747,95.5955,-0.140125,-122.433,499.724,0.432569,0.123533,-0.159328,1.29613,1.61948,-63.8922,132.173,16.8649,1802.33,1843.48,0.83488,0.525844,0.645296,1.69844,2.02179,0.887309,221.788,23.5031,1891.94,0.117553,0.843562,0.022372,1886.7,293.613,212.848,5666.94,0.000534068,0.00532741,9.5296,13.7828,110.505,58.8751,0.250313,9.14417,8.74,95.2911,118.959,15.2138,-60.0836 
26,45.9,3,26,2449.64,0.0619278,-4.13788,11.162,95.6278,-0.0583887,56.151,481.259,0.117147,0.191823,0.258578,1.22496,2.19876,-59.1088,334.998,21.393,1911.6,1610.27,0.489339,0.564015,1.00296,1.59715,2.57096,0.838867,417.904,27.5342,1994.51,0.19231,0.896619,0.0247996,2173.07,288.682,322.238,5315.66,0.000440373,0.0284201,12.9392,8.89487,95.729,68.768,0.218428,10.2297,9.61339,95.3736,119.422,0.355369,-50.654 
27,45.9,0,27,2138.26,0.0708129,4.02294,9.54921,95.465,-0.137169,87.6126,304.536,0.884182,1.19912,0.962255,1.31323,1.5107,-58.8124,87.9779,26.3011,1839.15,1641.78,1.25451,1.56945,1.70291,1.68356,1.88103,0.789543,170.468,32.4115,1921.64,0.091575,0.750339,0.0301337,1861.51,314.857,236.281,6122.73,0.000405766,0.00588062,10.4695,9.52798,98.9453,69.4553,0.262871,9.00287,8.77347,95.0501,120.837,3.89515,-51.3815 
28,46.05,3,28,2178.81,0.0753649,3.40297,11.396,95.8736,-0.0247447,66.7725,230.616,0.714027,-0.45546,3.56998,3.13793,2.13454,-51.5714,351.645,29.8153,1569.15,1316.22,1.03876,-0.130729,4.21944,3.46266,2.45927,0.618129,423.979,35.1733,1641.48,0.226911,0.873225,0.0379734,1868.48,230.198,306.304,3806.74,0.000530489,0.0231228,12.9604,10.1359,97.0146,69.5634,0.189235,9.91619,9.22831,95.4837,119.232,1.53085,-49.6689 
29,46.05,0,29,2120.51,0.0871759,3.92221,9.18011,95.4926,0.117376,-84.128,74.4523,1.24932,0.557041,1.44009,-0.621938,1.3383,-66.7455,100.284,27.3358,1728.26,1493.58,1.6696,0.977319,2.28065,-0.201659,1.75857,0.648291,193.901,34.2704,1821.88,0.107894,0.763768,0.0334904,1797.15,302.473,240.413,5710.37,0.000466994,0.00698288,8.89019,6.76868,91.295,65.261,0.253872,9.01467,8.72993,95.2007,119.685,-3.90574,-54.4239 
30,45.9,3,30,2877.7,0.0851351,4.66273,11.3353,95.8401,-0.0409268,-42.2693,1.4204,-1.56733,0.941792,-0.720251,0.629516,1.32129,-72.0119,341.958,21.6613,2186.29,1776.87,-1.11389,1.39523,0.186627,1.08296,1.77473,0.943882,442.961,29.1431,2287.29,0.180375,0.896752,0.0229326,2455.78,353.908,363.412,6906.39,0.000564628,0.0355917,11.2306,8.97817,96.8883,69.0453,0.247196,10.5262,9.578,95.4444,119.033,1.44381,-49.9874 
