cyc,freq,pulsetime,waittime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
127,43.278,0.64,0.01,1.62,127,15864.9,-0.0209609,28.5692,13.0785,89.9342,0.0141785,-8.55034,4.38723e-11,-1.56289,-0.611214,1.84839,1.6212,1.62786,-65.72,8092.82,18.8399,9229.04,12167.2,-1.14907,-0.197393,2.67603,2.03502,2.04168,0.505014,8179.88,20.5469,9316.1,0.499442,0.995623,0.00404637,16378,5841.56,65031.2,83426.3,-0.00150911,0.623137,13.3276,11.8007,90.9779,70.2205,0.688614,12.9876,12.8001,89.2464,121.506,1.7315,-51.2851 
128,43.213,0.64,0.01,1.62,128,14165.3,-0.337353,25.7211,13.45,90.0756,0.531232,-276.924,229.436,0.363251,1.21409,1.622,-0.952097,1.67708,16.2332,7238.57,19.3366,8304.47,16050.7,0.261035,1.11187,1.41757,-1.05431,1.57486,0.571865,7217.07,18.915,8282.97,0.49752,0.995434,0.00418901,14506.1,4781.82,53188.3,67829.4,-0.0013062,0.574572,13.1444,11.4908,90.9782,69.1219,0.62393,13.0673,12.5647,89.491,120.051,1.48714,-50.929 
129,43.228,0.64,0.01,1.62,129,12613.8,-0.310764,23.0698,13.4042,90.0124,-0.54224,208.323,477.713,0.677663,1.72726,1.22871,1.05366,0.914802,10.0011,6204.63,17.7837,7702.43,13743.8,0.614689,1.66429,1.10276,0.990687,0.851828,0.788915,6191.38,17.5239,7689.18,0.477809,0.995071,0.00418067,12957.9,3920.97,38551.5,59494.6,-0.00121401,0.47924,13.5929,11.5423,90.9405,68.9215,0.595716,12.7273,12.3872,89.5866,120.014,1.35388,-51.093 
130,43.298,0.64,0.01,1.62,130,14751.2,-0.307578,26.6699,13.322,90.0032,0.282756,-1049.66,208.332,3.10064,-0.308054,2.37574,1.40385,3.17818,-21.0352,7427.24,16.2131,8566.72,21227.8,3.23309,-0.175601,2.64065,1.5363,3.31063,0.749585,7455.1,16.7595,8594.58,0.4964,0.996081,0.00357925,15018.3,5058.16,55160.4,72504.2,-0.00117956,0.575915,13.3731,11.6224,90.8809,69.3908,0.647547,12.8141,12.6994,89.4546,120.669,1.42627,-51.2786 
131,43.223,0.64,0.01,1.62,131,13962.5,-0.338428,25.224,13.5452,89.939,0.351411,952.031,45.3482,0.266859,-0.00796804,2.0966,2.05575,0.901135,-2.77712,6774,19.9371,8494.39,22013.1,0.284346,0.00951877,2.13158,2.07324,0.918621,0.606524,6777.68,20.0092,8498.07,0.475427,0.99486,0.00431861,14256,4565.13,45112.1,69994.8,-0.00121524,0.519376,13.3717,11.6992,90.8076,69.5274,0.631387,12.9474,12.771,89.5378,120.9,1.26981,-51.3723 
132,43.258,0.64,0.01,1.62,132,14095.2,-0.0186934,25.5129,13.1283,90.0058,0.0116092,-29.3951,500,1.55571,0.538809,0.856262,1.25899,2.26699,42.6926,6915.47,23.3459,8536.18,10914.5,1.28688,0.269985,0.318614,0.990169,1.99816,0.934493,6858.92,22.237,8479.63,0.478942,0.994358,0.00480751,14321,4780.38,48983.6,71720.8,-0.00129474,0.549301,13.1083,11.5935,90.9016,69.3085,0.645439,12.9779,12.5054,89.5166,120.367,1.38499,-51.0583 
133,43.243,0.64,0.01,1.62,133,12991.4,-0.292054,23.5727,13.3762,89.672,-0.868772,42.4761,115.082,-1.50579,2.19463,2.83598,1.10022,1.38458,5.98127,6315.46,18.2845,7898.86,11465.7,-1.54345,2.15697,2.76066,1.06256,1.34692,0.522678,6307.54,18.1291,7890.93,0.475985,0.994995,0.00421432,13251.6,4097.26,40948.6,62220.8,-0.00123661,0.503763,13.2149,11.4327,90.625,69.331,0.598142,13.1181,12.4763,89.1015,120.198,1.52352,-50.8671 
134,43,0.64,0.01,0,134,14002.1,-0.113319,26.0855,12.8205,90.0174,0.274798,-37.9824,7.08018e-05,0.614907,1.84698,3.5983,2.95141,0.868017,20.8949,7370.7,21.9801,8008.55,11226.5,0.483338,1.71541,3.33516,2.81984,0.736448,0.633104,7343.02,21.4373,7980.87,0.511132,0.994917,0.0049237,14366.2,4931.84,57888.2,66818.6,-0.00128919,0.613997,12.7696,11.2714,90.9641,69.3252,0.637731,12.6381,12.2396,89.4468,120.337,1.51734,-51.0113 
135,43.218,0.64,0.01,1.62,135,14022,-0.00981166,25.878,12.8785,89.7902,-0.0173034,-10.6628,500,0.0890941,1.33544,2.70153,0.609659,3.24945,-13.8256,7212.22,19.5614,8182.8,10855,0.17615,1.42249,2.87564,0.696715,3.33651,0.661988,7230.53,19.9205,8201.11,0.500469,0.995202,0.00445455,14447.5,4833.4,54683.4,67596.6,-0.00140972,0.586926,13.13,11.349,90.821,69.3919,0.629762,12.6989,12.6602,89.2387,120.485,1.58228,-51.0927 
136,43.198,0.64,0.01,1.62,136,14026.2,-0.300783,26.0864,12.9868,89.8846,3.27866,-5071.15,494.069,0.170904,1.67407,-1.45492,3.08602,2.18995,-39.5729,7203.05,8.7668,8237.3,552277,0.420084,1.92325,-0.956562,3.3352,2.43913,1.13358,7255.48,9.79467,8289.72,0.498643,0.997643,0.0021718,14550.4,4952.88,54106.1,71205.4,-0.00144052,0.58238,12.9804,11.5447,90.6127,70.3663,0.659332,12.7212,12.1436,89.3554,121.769,1.25722,-51.4026 
