cyc,time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
45,0.04,0.46,45,11391.8,-0.349022,24.8451,11.5526,122.801,0.0497396,-42.1446,215.411,0.945936,-0.0590537,-5.96991,-5.79781,-7.43504,-556.228,245.898,107.35,13175.6,9411.88,4.44835,3.44336,1.03492,-2.2954,-3.93262,0.6165,688.953,147.627,13618.7,0.0468159,0.72728,0.0195776,14716.2,-0.00172448,-0.0111225,18.5218,-6.24332,104.679,74.6092,1.17314,11.9879,11.7208,122.532,132.229,-17.853,-57.6194 
46,0.32,0.18,46,11420.4,-0.364161,25.1937,11.4847,122.807,0.127368,-132.543,43.2126,-4.58424,0.432628,-7.34698,-2.06008,-5.74588,-512.847,1032.64,88.6989,12541.1,9968.62,-1.35498,3.66189,-0.888463,1.16918,-2.51662,13.5112,1441.14,125.835,12949.6,0.0975116,0.867451,0.0175856,14779.2,-0.0023726,0.0799073,12.7182,15.553,123.971,88.4314,1.16857,11.9192,11.2786,122.474,132.011,1.49707,-43.5801 
47,0.36,0.14,47,11723.3,-0.025577,24.7489,-11.6123,122.763,-0.0123645,-1.26133,500,-5.54258,-0.478478,-9.10407,-3.37801,-7.72623,-530.952,985.994,102.539,12709.6,9356.11,-2.19932,2.86479,-2.41754,-0.0347436,-4.38296,0.608164,1408.92,140.987,13132.5,0.094334,0.850978,0.0193928,14935.4,-0.00221943,0.0783805,12.0675,16.5137,124.433,88.4134,1.12522,12.1455,11.6245,122.365,131.447,2.0679,-43.034 
48,0.2,0.3,48,10897.5,-0.177003,24.5148,11.2781,122.709,0.175856,-334.082,198.72,-2.61564,0.578728,-11.2494,-3.77021,-8.58131,-496.86,656.993,82.6398,12322.4,10912.9,0.512956,3.70732,-4.99218,-0.641617,-5.45271,0.272938,1052.76,118.619,12718.2,0.0743869,0.835297,0.0168906,14152.5,-0.00235299,0.0544321,12.4302,17.3861,124.388,90.6175,1.11272,12.093,11.4784,122.403,131.642,1.98458,-41.025 
49,0.08,0.42,49,10215.9,-0.0286833,22.7558,11.3773,122.639,-0.0260376,-44.3025,499.432,-1.24479,-2.20302,-10.9982,-4.07855,-5.39765,-605.492,315.454,85.0335,12046.2,8465.58,2.56784,1.6096,-3.37291,-0.265929,-1.58502,-2.22328,797.75,128.879,12528.5,0.0582212,0.779595,0.0185971,13702.1,-0.00178414,-0.00149452,2077.14,3.99569,106.091,75.8385,1.11307,11.8828,11.3895,122.372,131.851,-16.281,-56.013 
50,0.24,0.26,50,11625.4,-0.354137,25.1934,11.6174,122.808,0.11594,384.986,321.78,-1.57391,4.71251,-4.02332,-7.1138,-3.28069,-554.49,832.503,97.5463,12809,10980.8,1.91756,8.20398,2.95963,-3.62233,0.21078,0.693925,1274.17,137.698,13250.6,0.0853871,0.840958,0.0187832,14922.3,-0.0022467,0.0641133,13.0878,16.9166,124.29,89.5574,1.15902,11.9142,11.5483,122.495,131.819,1.79476,-42.2616 
51,0.4,0.1,51,10180.3,-0.0216808,22.6116,11.268,122.755,0.0154997,13.9593,2.85469e-06,-2.08876,-0.358866,-10.6905,-4.78459,-6.18061,-528.542,970.008,72.3946,11272.8,8301.24,1.23933,2.96922,-4.03428,-1.4565,-2.85252,0.0242957,1391.01,110.668,11693.8,0.103532,0.877787,0.0171346,13435.6,-0.00217818,0.0945832,11.337,12.5327,123.585,85.8293,1.0474,11.9838,11.2782,122.43,131.389,1.15503,-45.5594 
52,0.16,0.34,52,11280.5,-0.423369,25.0524,11.6971,122.529,0.229457,-782.794,15.8917,-0.289396,0.35584,-5.03972,-5.183,-6.65701,-696.606,801.72,110.793,12837.5,15386.6,4.09695,4.74218,3.73296,-0.796656,-2.27067,0.607254,1356.59,161.236,13392.4,0.0895395,0.827819,0.0216965,15150.8,-0.00261397,0.0551763,13.17,21.3315,123.813,92.4133,1.16181,12.0651,11.3456,122.18,132.072,1.6327,-39.6584 
53,0.28,0.22,53,11268.9,-0.392286,25.2848,11.4402,122.578,0.0479073,375.407,492.96,-2.38134,-3.94923,-14.1035,-5.93345,-0.746698,-574.939,822.436,85.0332,12713.8,10002,1.23889,-0.328994,-6.863,-2.31322,2.87354,-0.272627,1280.4,126.666,13171.7,0.0862376,0.852426,0.0174062,14847.3,-0.00248841,0.0607046,12.8405,18.2679,124.409,89.4657,1.16544,11.9001,11.422,122.267,131.28,2.14209,-41.8146 
54,0.12,0.38,54,10501.3,-0.0153322,23.7221,11.2584,122.481,-0.00531254,-0.583334,500,-5.26855,-2.35216,-9.58821,-1.9749,-3.42443,-612.974,406.613,88.0956,12503.3,8694.21,-1.40882,1.50757,-1.86874,1.88483,0.4353,4.39689,894.869,132.482,12991.5,0.0626828,0.79423,0.0184387,14276.2,-0.00259831,0.0348556,-13.5537,-20.8256,123.758,98,1.16847,11.9282,11.1158,122.219,132.053,1.53881,-34.0526 
55,0.04,0.46,55,10315.7,-0.289746,23.1095,11.3972,122.661,0.216222,141.57,0.000136461,-0.894112,-1.10102,-9.11629,-9.74228,-3.98722,-504.519,203.609,79.387,12208.7,9570.49,2.28271,2.0758,-2.76264,-6.56545,-0.8104,0.522033,605.477,115.92,12610.5,0.044539,0.74904,0.0166513,13594.3,-0.0018002,-0.0156826,12.7825,5.6168,108.13,75.5155,1.13369,11.856,11.3488,122.391,131.719,-14.261,-56.204 
