cyc,time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
56,0.32,0.18,56,12040,-0.302886,25.6492,11.5354,122.826,-0.015786,153.316,418.009,-0.303804,-2.22344,-5.69527,-5.17531,-5.18458,-606,1812.39,94.6524,12103.7,9710.49,3.51202,1.59238,1.93637,-1.35949,-1.36876,0.550987,2295.09,138.534,12586.4,0.150408,0.90446,0.0198725,15259.1,-0.00192359,0.171261,11.138,12.0643,124.048,84.5046,1.10379,12.0122,11.407,122.427,131.547,1.62114,-47.0429 
57,0.36,0.14,57,12829,-0.0154448,26.5665,11.6012,122.703,0.0149461,5.40437,1.39717e-11,4.06467,-4.01184,-7.09929,-2.77393,-3.33887,-444.722,2032.8,77.4755,12568,10035.7,6.86496,-1.21154,-1.4987,0.0263633,-0.538573,1.41144,2387.03,109.679,12922.3,0.15207,0.925576,0.0153943,15697,-0.00187476,0.197167,11.3773,11.424,123.548,84.3413,1.11939,12.1947,11.5468,122.341,131.359,1.2072,-47.018 
58,0.2,0.3,58,11921.1,-0.0572012,25.7756,11.384,122.666,-0.538043,944.036,493.94,-2.89997,-3.43746,-6.86706,-5.58842,-6.00161,-610.081,768.353,119.116,13256.7,26086.9,0.941544,0.404062,0.815979,-1.7469,-2.16009,1.4675,1254.31,163.294,13742.6,0.0813997,0.814447,0.0214196,15409.2,-0.00238254,0.0600925,12.7131,18.634,124.206,92.2546,1.18558,12.095,11.5022,122.363,131.396,1.84259,-39.1418 
59,0.08,0.42,59,11127.1,-0.278455,24.2899,11.5658,122.656,0.303073,84.0298,0.00612025,-4.57408,-2.39638,-1.6602,-1.63602,-5.24582,-594.76,364.068,87.8278,12886,9974.32,-0.829033,1.34867,5.82989,2.10902,-1.50078,0.162103,837.816,130.896,13359.7,0.0573913,0.785293,0.0177286,14598.3,-0.00172895,-0.00206837,4066.39,3.55504,118.862,75.0723,1.19137,12.0544,11.2248,122.391,131.3,-3.52963,-56.2273 
60,0.24,0.26,60,11043.1,-0.0158049,24.0617,11.3049,122.636,-0.00660389,-1.01018,500,-0.915992,0.850642,-7.46896,-5.12852,-4.98618,-501.475,846.173,83.4879,12230.2,8855.23,2.24166,4.0083,-1.15365,-1.97086,-1.82852,1.88952,1245.62,119.801,12629.6,0.0873866,0.855936,0.0171736,14254.1,-0.00221985,0.0639102,12.6223,16.9177,124.522,89.6005,1.11711,11.9415,11.4323,122.318,132.054,2.2042,-42.454 
61,0.4,0.1,61,12257.7,-0.112898,25.7508,11.5255,122.858,0.071182,23.4135,499.997,-4.11117,-2.70857,-6.028,-1.59451,-1.80784,-571.623,915.252,112.28,13264.3,9715.81,-0.511805,0.890791,1.17072,2.00485,1.79152,0.781013,1370.57,153.672,13719.6,0.088414,0.83597,0.0202162,15501.7,-0.0021661,0.0688645,12.6094,18.0398,124.642,90.819,1.18454,12.0825,11.5026,122.533,131.595,2.10921,-40.7763 
62,0.16,0.34,62,11217.6,-0.0661852,24.4661,11.3883,122.61,-0.0130333,38.9662,499.99,0.193957,-0.767298,-5.87076,-3.93404,-3.92452,-547.482,722.833,82.1168,12609.1,9086.82,3.64131,2.68005,1.02394,-0.486687,-0.477169,0.839544,1158.92,121.761,13045.2,0.079403,0.844693,0.0169032,14595.5,-0.0023633,0.0580024,12.9017,-16.9686,124.494,91.0756,1.14714,12.043,11.4068,122.292,132.691,2.20223,-41.6152 
63,0.28,0.22,63,10941,-0.382624,24.6608,11.3965,122.881,0.155245,31.9887,81.7852,-1.73803,-1.46619,-5.34851,-2.82635,-0.999511,-507.347,1000.34,84.7849,12120.5,9310.63,1.4566,1.72844,1.04075,0.368284,2.19512,0.846705,1404.46,121.523,12524.6,0.0981815,0.868492,0.0175597,14304.8,-0.00237563,0.0773949,12.6083,16.2452,124.617,88.6011,1.13045,11.8015,11.3344,122.519,132.518,2.09719,-43.9172 
64,0.12,0.38,64,10763.3,-0.362889,23.5168,11.6915,122.571,-0.0266496,271.54,376.527,-0.893961,-4.15543,-6.52652,-3.05488,-7.863,-593.964,497.371,87.29,12387.1,9186,2.84608,-0.415396,0.953548,0.685154,-4.12297,18.7947,970.485,130.3,12860.2,0.0682648,0.809742,0.0183224,14216.5,-0.00233255,0.0416398,12.9173,18.6785,124.674,93.8903,1.11499,12.146,11.3894,122.202,131.368,2.47254,-37.4774 
65,0.04,0.46,65,10485.3,-0.00945288,23.8137,11.1538,122.638,0.00657649,-0.212241,1.2617e-12,-2.76225,-1.14291,-3.09334,-1.25921,-1.68908,-606.131,262.424,76.4685,12468.4,8646.66,1.0544,2.67373,4.53994,2.55744,2.12757,0.649509,745.229,120.36,12951.2,0.0529097,0.779643,0.0168312,14084.9,-0.00184158,-0.0157231,-11.8084,5.43152,104.402,76.9385,1.20973,11.6733,10.9815,122.378,131.397,-17.9762,-54.4584 
66,0.32,0.18,66,11633.4,-0.124061,25.2962,11.3738,122.695,-0.0789311,268.953,4.33688e-11,-2.74532,-0.701996,-7.18223,-3.87132,-4.81272,-524.536,938.605,107.951,12693.2,10057.1,0.55755,2.60087,-0.576502,-0.56845,-1.50985,2.14473,1356.42,145.934,13111,0.0912752,0.841554,0.0200918,14860.7,-0.00224879,0.0811416,11.6326,15.7682,124.341,88.1916,1.1538,12.009,11.4685,122.365,131.123,1.97596,-42.9316 
67,0.36,0.14,67,11654.6,-0.223894,25.5303,11.5309,122.557,0.267246,-642.261,500,-3.98557,4.18331,-6.61423,-5.82186,-2.82663,-527.497,1127.62,85.1291,12725.3,15170.8,-0.664061,7.50482,0.0287835,-2.50035,0.494874,0.994082,1547.79,123.326,13145.4,0.102587,0.877625,0.0169885,15087.6,-0.00235736,0.108074,11.7788,12.3807,124.132,86.4837,1.14513,12.0593,11.5714,122.262,131.424,1.87002,-44.9402 
68,0.2,0.3,68,11478.3,-0.406055,25.3409,11.656,122.773,0.0837783,447.701,73.7211,-1.90868,-1.64091,-10.1139,-5.99295,-6.86708,-507.543,1136.51,96.3531,12504.9,10836.4,1.28719,1.55496,-3.72216,-2.79708,-3.67121,0.493468,1540.79,133.106,12909.2,0.103846,0.868675,0.0186397,14837.3,-0.00232293,0.09577,11.8436,14.5219,123.768,87.2879,1.1351,12.0324,11.4546,122.427,132.181,1.34083,-44.8935 
69,0.08,0.42,69,10717,-0.374382,24.0527,11.4434,122.737,0.114772,165.097,415.797,-0.217905,0.558234,-9.01713,-4.23814,-6.94,-558.153,316.439,88.9189,12670.4,9576.94,3.29664,4.07278,-1.98804,-0.723597,-3.42546,2.61325,761.029,129.336,13115,0.0533327,0.770766,0.0178422,14269.5,-0.001874,-0.00155236,4107.15,3.96518,130.086,73.6308,1.16393,11.868,11.442,122.424,131.669,7.66161,-58.038 
70,0.24,0.26,70,11593.3,-0.364583,25.4853,11.4906,122.665,-0.0134939,-0.862629,91.0903,-1.0287,-2.38557,-10.714,-6.49968,-4.89037,-596.699,1087.5,111.183,12648.7,9533.35,2.72856,1.37169,-3.19951,-2.74243,-1.13311,-0.0755368,1562.8,154.392,13124,0.10363,0.852598,0.021211,15080.5,-0.00231971,0.0888455,11.8623,15.5085,124.391,87.2857,1.1586,11.9831,11.3759,122.377,131.084,2.01413,-43.7983 
71,0.4,0.1,71,11805.9,-0.334206,25.7015,11.4697,122.781,0.408788,60.1994,1.86069e-07,-0.597059,-1.37445,-6.00327,-5.5467,-6.26563,-504.325,936.478,89.1817,12874.5,10397.4,2.57854,1.80115,0.347932,-2.3711,-3.09003,1.47433,1338.19,125.701,13276.2,0.0891371,0.858823,0.0171423,15012.7,-0.00222602,0.0709376,12.7721,16.3175,123.697,88.5514,1.17809,11.937,11.4346,122.459,131.712,1.23773,-43.1611 
73,0.28,0.22,73,12041,-0.349324,25.946,11.6073,122.744,-0.0403639,743.427,261.371,-0.656745,-1.31512,-8.67874,-6.49721,-5.23284,-656.985,849.235,140.331,13241.1,10780.7,3.48012,2.82174,-0.405016,-2.36034,-1.09597,1.16595,1372.55,187.905,13764.4,0.0882672,0.806726,0.0245305,15549.9,-0.00232604,0.0620547,12.8148,20.2209,123.926,92.779,1.19719,12.0327,11.3691,122.411,131.35,1.5148,-38.5709 
74,0.12,0.38,74,11828.5,-0.0499274,25.8175,11.4569,122.593,0.0159474,36.0901,500,-4.0463,-0.284598,-15.0606,-9.38677,-8.02499,-651.365,525.545,109.076,13645.6,9647.6,0.0551726,3.81688,-6.85766,-5.2853,-3.92351,0.43764,1044.38,156.243,14164.5,0.0668029,0.792515,0.019915,15633.8,-0.00264031,0.0416786,12.5991,-24.9719,123.101,98,1.20921,12.15,11.4691,122.333,132.23,0.768123,-34.2296 
75,0.04,0.46,75,11021.6,-0.064206,23.8163,11.4369,122.593,0.00167009,-18.9867,500,-2.11332,-0.37371,-3.33363,-2.45128,-5.43689,-575.404,232.401,94.7488,12881.6,8868.06,1.50985,3.24946,3.9127,1.17189,-1.81372,0.51275,690.732,136.415,13339.9,0.0478649,0.743155,0.0184892,14430.9,-0.00176314,-0.0126007,15.9884,6.25094,104.537,75.4417,1.15766,11.9778,11.598,122.385,131.935,-17.8488,-56.4929 
76,0.32,0.18,76,11080.7,-0.363319,24.7342,11.3944,122.541,0.255547,253.592,91.8599,-0.254969,-0.418865,-7.06369,-4.82776,-8.23436,-570.1,678.666,77.0644,12591.2,11284.2,3.3348,3.17091,0.115849,-1.23799,-4.64459,0.84323,1132.77,118.347,13045.3,0.07775,0.845429,0.0164369,14569.4,-0.0023947,0.05004,13.7827,-18.3225,124.351,92.3188,1.18734,11.8341,11.1312,122.3,131.636,2.05098,-39.3175 
77,0.36,0.14,77,11921.7,-0.101174,25.405,-11.507,122.663,-0.0474633,71.7899,500,0.063973,1.55593,-8.28199,-5.36639,-2.39589,-560.258,846.727,109.49,13042.7,9627.38,3.59177,5.08373,-1.22639,-1.83859,1.1319,1.18189,1292.99,150.06,13489,0.0851402,0.831187,0.0200812,15186.6,-0.00224354,0.0589591,13.4038,20.1179,123.705,92.204,1.16934,12.0201,11.4795,122.402,131.858,1.30362,-39.6538 
78,0.2,0.3,78,11908.4,-0.357694,26.116,11.4594,122.75,0.100993,76.6452,0.100135,-1.12716,-2.25199,-2.19936,-3.12309,-5.7704,-523.751,685.957,95.1759,13344.1,9994.33,2.17075,1.04593,4.39648,0.174828,-2.47249,0.172895,1103.14,133.102,13761.3,0.0722082,0.825662,0.0175053,15277.3,-0.00237184,0.0485227,13.1499,21.8214,123.738,94.7977,1.23582,11.8532,11.2602,122.486,132.462,1.25108,-37.6641 
79,0.08,0.42,79,10552.2,-0.353179,23.3778,11.5178,122.664,0.18206,302.281,436.326,-1.1285,-1.40392,-8.09203,-1.72239,-4.58849,-555.838,317.569,79.2858,12299.1,10556.9,2.37147,2.09604,-1.0921,1.77757,-1.08853,1.26869,760.314,119.535,12741.8,0.0547603,0.784232,0.0169878,13884.4,-0.00168108,-0.0151331,11.3304,5.26661,103.037,76.8782,1.13678,11.9516,11.3025,122.468,131.873,-19.4316,-54.9953 
80,0.24,0.26,80,11415.2,-0.320104,24.6057,11.5525,122.733,0.0557535,150.708,323.343,1.66654,-1.14266,-7.04372,-4.94056,-5.36081,-602.346,1294.5,95.2591,12008.8,9527.01,5.45936,2.65015,0.541912,-1.14775,-1.56799,0.908703,1774.29,138.876,12488.6,0.121214,0.879526,0.0200734,14637.6,-0.00195627,0.117063,11.6101,12.7624,124.204,85.7093,1.10098,11.9041,11.4227,122.455,131.683,1.74961,-45.9735 
81,0.4,0.1,81,11449.9,-0.368789,25.4432,11.4188,122.611,-0.0309261,280.97,38.6771,-1.4942,-3.59364,-9.07146,-5.85526,-5.11877,-617.88,791.183,93.4318,12812.1,9740.62,2.39643,0.296989,-1.29021,-1.96464,-1.22814,0.279039,1283.35,138.174,13304.2,0.0856323,0.841455,0.0187724,14986.7,-0.00232178,0.060383,12.8423,17.1402,123.834,89.8308,1.16375,11.808,11.5899,122.358,131.881,1.47558,-42.0503 
82,0.16,0.34,82,11643.1,-0.391514,25.8658,11.4941,122.55,-0.132693,442.606,198.892,-2.60017,-2.96936,-6.90762,-6.58574,-6.29892,-584.203,760.973,99.0013,13098.3,11590.1,1.07839,0.709213,0.449519,-2.90717,-2.62035,1.13662,1226.31,141.305,13563.6,0.0806953,0.83219,0.0188296,15196.8,-0.00247987,0.0548258,12.9787,20.6394,123.417,93.7991,1.19752,11.8848,11.4128,122.317,132.577,1.09934,-38.7781 
83,0.28,0.22,83,11938.7,-0.0280123,25.8378,-11.3463,122.532,0.00567174,11.1752,500,-5.59855,-1.70155,-8.71964,-0.927622,-3.10026,-657.103,852.721,114.018,13252.7,9545.56,-1.46095,2.43605,-0.444432,3.20998,1.03734,1.09302,1376.13,161.601,13776.1,0.0884087,0.829528,0.0211517,15565.5,-0.00244414,0.061578,12.8465,19.5353,124.085,92.4782,1.20863,11.9116,11.4464,122.263,133.567,1.82207,-41.0887 
84,0.12,0.38,84,11310,-0.225719,24.5933,11.4908,122.901,0.0522416,138.732,2.66553e-05,-3.13333,1.39422,-5.51308,-4.92175,-3.33255,-523.077,632.659,104.324,12767.2,9435.35,0.160351,4.6879,1.07427,-1.62808,-0.0388723,0.747561,1049.31,142.201,13183.9,0.0717295,0.808304,0.0194819,14628.7,-0.00236172,0.0475054,13.081,-21.154,124.411,95.662,1.15215,11.9915,11.4539,122.683,132.018,1.72814,-36.3555 
