cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,8,0,6784.81,-0.196284,22.8273,8.54934,124.569,0.00325792,1037.12,489.23,-1.82156,-2.49264,-0.611476,-2.48515,-6.76084,-603.158,5291.98,21.1212,3765.78,6463.04,1.97636,1.30528,6.98437,1.31277,-2.96291,0.18936,5772.41,64.7973,4246.22,0.568934,0.980734,0.0273419,10146,-0.00216278,0.914761,8.82845,8.08382,124.862,76.1875,0.625573,8.77166,8.72764,124.263,122.377,0.59904,-46.1898 
1,3.5,1,9120.89,-0.0762681,25.9154,8.75874,124.854,0.0270139,87.8934,3.60537e-05,-11.2106,1.05204,-7.20211,-3.56367,-3.42308,-486.22,6473.35,54.164,4321.84,7466.44,-8.14899,4.11364,-1.07891,-0.502068,-0.361486,0.819514,6860.64,89.3724,4709.13,0.585827,0.977711,0.0337795,11711,-0.00150201,1.051,9.04012,8.31391,125.068,75.8676,0.67732,8.87002,8.9281,124.402,122.086,0.665707,-46.2181 
2,1.1,2,8807.21,-0.0623396,25.9331,8.74801,124.611,0.040175,-17.3404,500,-5.76192,-0.560774,-5.52861,-0.047492,0.725206,-519.951,6512.12,46.3542,4273.95,7407.81,-2.48792,2.71322,1.01938,3.2265,3.9992,0.879654,6926.28,84.0051,4688.11,0.589218,0.979216,0.0319535,11755,-0.00185143,1.05376,9.16794,8.25948,124.883,75.6366,0.685894,8.76525,8.95605,124.253,121.618,0.630326,-45.9814 
3,6,3,7902.58,-0.0201475,23.6955,8.48437,124.95,-0.00800812,-6.7529,500,-3.77176,-2.42569,-1.52504,-5.01565,-2.32228,-370.907,5700.89,21.0292,3925.12,6546.33,-1.43626,-0.0901892,3.14597,-2.68014,0.0132302,4.00365,5996.33,47.8875,4220.57,0.579719,0.986217,0.020473,10343.5,-0.00159381,0.950731,8.85375,8.26313,125.077,76.2687,0.647133,8.63774,8.84102,124.638,122.479,0.438701,-46.2105 
4,3,4,9016.81,-0.0856361,26.227,-8.55698,124.497,-0.0450926,192.894,500,-5.98134,-0.0303168,-1.82881,-4.61954,-5.10571,-370.881,6245.64,28.0899,4404.75,7588.89,-3.646,2.30502,2.84186,-2.2842,-2.77037,1.79969,6541.06,54.9463,4700.17,0.574673,0.985513,0.0210807,11382.2,-0.00149804,1.04153,8.92862,8.22205,124.671,75.8456,0.717996,8.62458,8.85593,124.212,121.992,0.458816,-46.1462 
5,1.6,5,9544.91,-0.0266904,27.29,8.81627,124.832,-0.0528573,-7.75633,500,-4.32811,-4.54053,-4.85781,-8.39791,-3.50047,-520.458,6888.76,30.0651,4464.3,7845.55,-1.05093,-1.26334,1.69656,-5.12073,-0.223285,1.28458,7303.32,67.7527,4878.87,0.592391,0.984025,0.0249432,12328.6,-0.00165239,1.09242,9.13695,8.41548,125.013,75.718,0.704407,8.82894,8.99095,124.433,121.811,0.580422,-46.0929 
6,1.2,6,8950.34,-0.0904968,26.3164,8.69549,124.804,0.206045,-28.1272,1.38266e-06,-0.671858,-0.193193,-5.96318,2.30698,-4.41245,-489.048,6434.97,21.9359,4404.95,7637.97,2.40755,2.88621,0.195635,5.38639,-1.33304,0.979499,6824.52,57.3491,4794.49,0.580176,0.985507,0.0215592,11762.8,-0.00177253,1.0566,9.09564,8.18262,124.942,75.4808,0.71423,8.72808,8.92828,124.414,121.333,0.528679,-45.8526 
7,4,7,8393.77,-0.379327,25.7683,8.74493,124.809,2.02148,-3187,95.4709,-1.83219,-2.38842,-7.05582,5.24704,-0.676837,-441.359,6245.78,28.1893,4163,217058,0.946925,0.390698,-1.49759,8.02616,2.10228,1.15023,6597.34,60.1492,4514.55,0.586569,0.984295,0.0239552,11247.3,-0.00184007,1.02167,9.02758,8.2789,125.002,76.0324,0.663604,8.72179,8.99387,124.451,122.34,0.551214,-46.3076 
8,2.2,8,9303.6,-0.0769317,26.7131,8.72041,124.799,0.0586509,38.3139,5.88151e-05,-0.542448,-3.06599,-4.14833,-1.3189,-3.32607,-348.513,6539.73,26.073,4528.54,7656.43,1.65205,-0.871492,0.240658,0.875594,-1.13158,0.685509,6817.33,51.3096,4806.14,0.579328,0.987,0.0192868,11767.7,-0.00161503,1.07109,9.03165,8.24035,124.942,75.9628,0.705895,8.85272,9.07712,124.469,122.112,0.473,-46.1497 
9,2,9,8836.36,-0.132062,25.7909,8.77964,125.094,-0.243588,577.765,3.24941,0.62629,-1.00605,-8.48491,-2.89664,-3.91358,-458.969,6340.05,36.2978,4392.33,11952.6,3.51629,1.88395,-2.7049,-0.0066409,-1.02358,2.62445,6705.63,69.5328,4757.91,0.577759,0.982177,0.026215,11606.3,-0.00174333,1.01343,9.11504,8.41818,125.251,75.9429,0.66351,9.00508,9.16006,124.776,122.152,0.475262,-46.2088 
10,4.5,10,7967.81,-0.0190305,24.4846,8.46611,124.72,-0.00280161,-1.38417,499.848,-0.145004,0.0528227,-8.19719,1.74657,-3.63957,-477.57,5719.4,6.56862,4217.22,6748.07,2.86213,3.05995,-2.18293,4.7537,-0.632445,1.27771,6099.8,41.1506,4597.62,0.562954,0.988332,0.0162202,10835.4,-0.0018224,0.967058,8.90679,8.12696,124.835,75.9427,0.676753,8.679,9.01451,124.368,122.126,0.466766,-46.1831 
11,9,11,6712.81,-0.0253074,21.2059,8.4995,124.821,-0.00238589,30.4485,500,-4.50543,-0.732635,-7.31887,0.0191488,-2.93621,-501.977,5029.53,32.4016,3601.68,5869.77,-1.34462,2.42818,-0.997237,3.17996,0.224605,1.28567,5429.37,68.751,4001.52,0.568465,0.978321,0.0306786,9550.94,-0.00183143,0.844734,8.81888,8.25479,125.096,76.184,0.590738,8.65825,9.03225,124.391,122.317,0.704712,-46.1326 
12,2.5,12,8947.28,-0.00583814,26.5602,8.45124,124.788,-0.00609868,60.6062,1.67939e-13,0.147149,-0.927631,-1.65161,0.906272,-3.71803,-368.892,6454.86,29.1786,4303.52,7319.17,2.46997,1.39519,2.99403,3.22909,-1.39521,0.655584,6748.7,55.891,4597.36,0.587662,0.985714,0.0219043,11484,-0.00170421,1.07818,8.87977,8.2695,125.001,75.8363,0.696291,8.62606,9.01362,124.493,121.908,0.507099,-46.0713 
13,7,13,7285.1,-0.16883,23.3431,8.40767,124.87,0.740925,-170.176,0.0837916,-2.77978,-1.01521,-5.46702,-2.13288,-0.456257,-582.379,5671.41,19.5479,3752.28,10493.5,0.887306,2.65187,1.86715,1.5342,3.21083,0.816069,6135.29,61.7194,4216.16,0.585544,0.9827,0.0262581,10477.9,-0.00201263,0.955859,8.9695,8.1623,125.021,75.8106,0.611338,8.58891,8.99722,124.455,121.885,0.56574,-46.0745 
14,1.4,14,8879.95,-0.0265047,26.6232,8.48314,124.756,-0.000318373,17.1387,500,0.314384,-0.683049,0.462148,2.18799,0.711385,-385.067,6619.22,20.3255,4110.02,7352.28,2.73905,1.74162,5.31148,4.61265,3.13605,0.697194,6925.94,48.2091,4416.74,0.603558,0.987965,0.0197104,11475.2,-0.00179749,1.10898,9.01557,8.21125,124.899,76.2754,0.676329,8.59114,8.89493,124.55,122.485,0.349291,-46.21 
