cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,45,0,22,7936.22,-0.0394465,19.2029,10.399,89.0032,-0.00127691,14.8008,500,-0.367125,-1.01732,3.54761,-0.277662,-0.114366,-74.26,-23.6286,976.648,4671.81,6501.23,0.10047,-0.549722,4.4828,0.189933,0.353229,0.0205192,-16.6146,994.884,4678.83,-0.0040516,-0.00963484,0.281453,4100.75,5041.78,24.2928,94984.9,-0.00126524,-0.0116324,9.22788,9.15234,99.6202,62,1.0563,10.5556,10.1687,88.959,125.328,10.6612,-63.3275 
23,15,0,23,7779.16,-0.272985,18.2616,10.9482,89.4479,0.761644,-46.7994,474.815,0.0278348,0.83968,0.0476236,-0.746264,0.961902,-44.2134,1.57438,1024.61,4464.69,7668.8,0.306235,1.11808,0.604424,-0.467864,1.2403,0.784225,5.75039,1035.47,4468.87,0.0014601,0.00316335,0.299145,3938.35,4620.73,19.7068,86753.8,-0.00100794,-0.00106447,0.148945,-19.0636,94.3663,63.6932,1.01566,10.6497,9.92872,89.2829,124.731,5.08341,-61.0374 
27,150,0,27,7720.64,-0.0127723,18.6275,10.3347,89.0651,-0.0397702,15.0208,500,0.0173419,0.678581,-2.47644,-2.2638,-0.881166,-91.3477,-11.1558,941.971,4491.95,6286.23,0.592534,1.25377,-1.32606,-1.68861,-0.305973,0.100569,-2.52789,964.404,4500.58,-0.000638681,-0.00150007,0.283018,3957.98,4670.65,22.4108,87823.5,-0.00109085,-0.0128019,9.27567,8.15612,99.4975,62,1.01816,10.4737,10.1873,88.9313,125.334,10.5661,-63.3338 
28,75,0,28,7090.12,-0.221383,17.6727,10.4855,88.9015,-0.0208433,157.13,3.94896,1.37508,0.855434,1.7476,-0.63124,-0.328698,-53.4401,-24.3722,1079.98,4251.53,6138.99,1.71158,1.19193,2.4206,-0.294743,0.00779961,0.519453,-19.3248,1093.1,4256.58,-0.00518582,-0.0102053,0.32114,3726.46,4253.75,24.0168,78340.8,-0.00142292,-0.0111508,10.22,10.1904,99.3674,62.0001,0.955749,10.6606,10.3128,88.8401,126.527,10.5273,-64.5266 
29,30,0,29,7577.6,-0.290304,18.7997,10.5064,89.0963,-0.0761817,438.158,162.273,-1.11629,1.53607,-3.70982,0.583236,-0.49416,-35.0669,1.94693,1045.43,4516.28,7516.48,-0.895486,1.75688,-3.2682,0.804043,-0.273353,-0.741998,5.25903,1054.04,4519.59,0.00132054,0.00284297,0.300508,3982.5,4722.57,21.7206,88789.1,-0.00128734,-0.00853273,7.97144,8.00196,99.9287,62,1.02699,10.4709,10.1185,89.0179,124.769,10.9109,-62.7689 
30,1,0,30,7277.53,-0.227368,18.4822,10.3379,88.9373,0.194077,-637.308,499.98,-1.13677,0.023169,0.922281,-0.0577013,-1.15449,-43.186,-17.831,994.975,4446.53,10246.3,-0.864838,0.2951,1.46614,0.21423,-0.882556,-5.42824,-13.752,1005.58,4450.61,-0.00352364,-0.00787624,0.293889,3902.79,4542.14,24.348,86324,-0.00133914,-0.0136292,10.5089,-7.82767,99.9972,62,1.01038,10.4073,10.1119,88.9102,127.997,11.0869,-65.9972 
35,60,0,35,8155.98,-0.29292,20.171,10.4297,89.2553,0.0219573,247.779,499.858,-1.62548,-0.394816,-1.09047,-1.99382,-1.21322,-102.37,-4.65295,1148.39,4847.1,7025.6,-0.980878,0.249781,0.198727,-1.34923,-0.56862,1.08111,5.01602,1173.53,4856.77,0.00117225,0.00243651,0.308008,4278.97,5381.42,20.1909,102443,-0.00126782,-0.0119064,8.37895,-9.59748,99.9995,62,1.10111,10.4727,10.066,89.1988,125.708,10.8007,-63.7076 
38,105,0,38,7650.98,-0.0175282,18.3401,10.2984,89.1593,-0.0290465,23.9071,500,-1.17941,0.780087,0.822549,-0.0679017,0.225473,-80.0065,-4.47457,1018.21,4450.6,6171.09,-0.675629,1.28387,1.83011,0.435878,0.729253,0.492127,3.08213,1037.86,4458.16,0.000785003,0.00169409,0.300133,3926.26,4598.75,23.8378,86461.7,-0.00106622,-0.0150423,7.17696,8.22281,100,62,1.01392,10.5144,10.0751,89.0813,124.798,10.9187,-62.7979 
39,120,0,39,7824.63,-0.0737226,18.3967,10.4965,89.199,-0.116738,60.0579,476.113,0.959618,0.675245,-2.27304,0.0751575,-1.26346,-57.5024,0.757572,1019.4,4398.66,6514.32,1.3217,1.03732,-1.54889,0.437235,-0.90138,5.47676,6.18873,1033.52,4404.09,0.0015943,0.00341005,0.301818,3881.79,4512.22,24.8615,83906.4,-0.000990588,-0.00845004,8.55985,8.66116,100,62,0.985231,10.6703,10.3084,89.024,125.118,10.976,-63.1177 
41,90,0,41,7642.2,-0.0047801,18.1187,10.3869,89.2153,-0.00897502,3.10228,500,-2.16791,0.107593,-0.152062,-0.411503,1.23582,-112.349,7.62142,1075.32,4345.21,6127.35,-1.46048,0.815025,1.2628,0.295928,1.94325,0.557924,18.2329,1102.91,4355.82,0.00473415,0.0093582,0.318072,3851.35,4411.01,21.4399,82173.7,-1.12978,1.13202,-2425.4,-1189.5,88.0081,75.9999,0.980219,10.5657,10.2249,89.0849,124.612,-1.0768,-48.6124 
42,45,0,42,7669.67,-0.0136364,18.4143,10.2774,89.1748,0.0226815,5.11488,500,0.569116,-0.0778736,-0.953794,-0.378003,-1.54588,-66.0254,-9.69217,1041.91,4519.92,6164.54,0.98486,0.337871,-0.122306,0.0377413,-1.13013,2.13212,-3.45601,1058.12,4526.16,-0.000868439,-0.00186987,0.301015,3979.56,4683.81,19.6155,89587.6,-0.00105875,-0.012914,3.29217,0.423069,94.3116,65.4895,1.03961,10.3222,9.94044,89.0289,124.775,5.28269,-59.2856 
43,15,0,43,7409.57,-0.265319,17.3644,11.0015,89.2306,-0.22748,-365.789,446.239,-1.45308,-0.52048,-0.787474,0.365508,-0.82069,-71.4134,0.621273,1029.96,4229.69,8927.57,-1.00341,-0.0708088,0.111868,0.815179,-0.371019,1.21588,7.36634,1047.5,4236.44,0.00197202,0.00400237,0.312941,3735.43,4189.61,23.9178,78116.3,-1.10665,1.10785,-2616.37,1495.63,85.492,75.5571,0.959071,10.6376,10.053,89.0881,124.589,-3.59612,-49.0316 
47,150,0,47,7590.73,-0.00446548,17.6648,10.4444,89.1446,-0.0161518,7.14425,500,0.654954,-1.70569,0.0226044,1.59824,0.125357,-94.7971,-9.00216,1087.65,4269.21,6009.81,1.25187,-1.10878,1.21643,2.19515,0.722269,0.715584,-0.0484825,1110.93,4278.16,-1.28781e-05,-2.49385e-05,0.32357,3764.73,4250.67,22.7359,79603.7,-0.636442,0.638024,1779.2,-1102.67,89.8898,75.5646,0.970577,10.3218,10.2618,88.9572,124.512,0.932616,-48.9476 
48,75,0,48,7429.99,-0.14633,18.0661,10.3712,89.6446,0.367145,13.333,500,0.864234,-0.0893278,-2.4498,-1.08771,-0.788006,-99.6505,3.26455,955.686,4408.61,6258.76,1.49171,0.538145,-1.19485,-0.460237,-0.160533,6.57736,12.6766,980.158,4418.02,0.00324998,0.00733622,0.290115,3900.53,4415.67,21.4626,84870.9,-0.00100986,-0.000683847,0.0300478,-74.4432,92.543,62.9646,1.01008,10.2465,9.96517,89.4789,123.924,3.06411,-60.9594 
49,30,0,49,7329.71,-0.00858953,17.6036,-10.5691,88.9995,-0.0100162,3.14691,500,-0.198036,0.409917,-3.25793,-1.02994,-2.05147,-87.6641,-6.7033,895.808,4285.13,6057.71,0.353961,0.961914,-2.15394,-0.477938,-1.49947,0.234965,1.57666,917.336,4293.41,0.000417131,0.000981174,0.282427,3779.78,4301.78,17.7914,79617.5,-0.0012497,-0.00982107,8.19907,-8.63633,99.9999,62,0.963283,10.7407,10.1943,88.8891,124.422,11.1108,-62.4221 
50,1,0,50,7677.42,-0.297435,18.4403,10.8726,88.562,-0.14466,520.62,395.5,-0.525808,-0.200592,-1.18492,-1.5118,0.260629,-36.6135,-4.16465,995.828,4452.31,8978.45,-0.295263,0.0299531,-0.723827,-1.28126,0.491174,0.593178,-0.706467,1004.82,4455.77,-0.000180204,-0.000401921,0.293492,3920.37,4610.12,21.3632,85983.6,-0.00123229,-0.0156638,-2.46608,3.86394,94.7783,62,0.999851,10.7198,10.1677,88.4094,124.162,6.36891,-62.1615 
55,60,0,55,7352.96,-0.273051,18.2529,10.4467,89.0888,-0.0628008,346.064,289.694,-1.35666,-0.277182,-0.362693,-0.0346198,0.187948,-72.482,6.22272,894.841,4349.54,6914.81,-0.900263,0.179218,0.550106,0.42178,0.644348,0.385486,13.0687,912.641,4356.39,0.00339739,0.00811625,0.278453,3846.69,4373.69,21.6152,82404.1,-0.00119718,-0.00979658,-8.15493,7.45023,100,62,0.985328,10.4461,10.2042,89.0059,124.479,10.9941,-62.4789 
58,105,0,58,7451.87,-0.282301,18.497,10.4817,89.0015,0.594497,362.593,419.168,-0.308712,0.543855,-0.659114,-1.19513,0.731569,-111.97,-7.22748,1091.17,4282.88,13328.6,0.396334,1.2489,0.750978,-0.49008,1.43662,0.775341,3.34821,1118.67,4293.46,0.000885399,0.00170738,0.324309,3781.59,4350.81,20.6233,79652.8,-0.00130438,-0.00730811,-9.10338,9.89944,100,62,0.958481,10.5769,10.6125,88.9494,124.964,11.0506,-62.9635 
59,120,0,59,7195.56,-0.217131,16.9436,10.6867,89.4043,-0.30551,278.639,332.034,-0.903926,-1.78013,-1.62666,0.484038,-1.26379,-97.2167,-0.240086,895.469,4115.09,8665.62,-0.291778,-1.16798,-0.402361,1.09619,-0.651639,0.716163,8.94213,919.343,4124.28,0.00245777,0.00552737,0.291094,3638.31,3901.59,21.1137,73480.3,-0.000873735,-0.00865008,-6.27015,6.71989,98.6438,62.0004,0.926797,10.5302,10.1444,89.2509,124.13,9.39289,-62.13 
61,90,0,61,7264.24,-0.131138,17.1984,10.5897,88.8843,-0.171299,136.599,8.54404e-08,-1.65312,1.63569,-0.646905,0.309528,1.74573,-81.3162,-4.58235,987.95,4204.95,6690.54,-1.14109,2.14771,0.377148,0.821555,2.25775,0.915496,3.09805,1007.92,4212.63,0.000835005,0.00175332,0.305914,3710.21,4081.79,18.7415,77117.5,-0.454995,0.456056,1761.53,1045.7,96.4112,68.0022,0.959367,10.4187,10.0189,88.7277,123.563,7.68351,-55.5605 
