cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
601,40,41,2,601,21337.2,-0.110031,38.9863,12.5713,117.994,0.118602,-5.96469,500,-5.19888,-4.0537,-12.1583,-5.08958,-3.74569,-207.5,11605.2,31.6608,10629.4,15977.6,-3.89231,-2.74713,-9.54517,-3.783,-2.43912,0.574004,11770.5,46.6864,10794.7,0.521622,0.993107,0.00790404,22565.1,-0.0012544,1.09198,12.8103,10.4138,117.535,87.6185,0.910192,12.6763,11.5471,117.25,137.071,0.285196,-49.4523 
602,60,61,2,602,18624.6,0.0206401,35.4946,-12.1442,118.106,-0.03691,-57.6716,500,-3.75616,-6.10153,-5.8467,-3.73655,-6.13088,-171.164,10630.8,13.3397,9185.55,14101.6,-2.67839,-5.02376,-3.69116,-2.65877,-5.0531,0.806798,10767.2,25.7341,9321.89,0.535972,0.995835,0.00505961,20089,-0.00138271,1.05702,12.518,10.067,117.637,87.8705,0.852152,12.2069,10.9821,117.42,137.202,0.216203,-49.3316 
603,50,51,2,603,20327,-0.320673,38.2633,12.4897,118.253,-0.254681,654.638,473.68,-3.24477,-6.89943,-11.2148,-2.22445,-2.76175,-236.204,11189.1,17.8625,10325.3,20984.6,-1.75746,-5.41212,-8.24016,-0.737142,-1.27444,0.527007,11377.3,34.9666,10513.5,0.519729,0.99465,0.00608931,21890.8,-0.00147138,1.07617,12.539,10.4316,117.754,88.1029,0.894006,12.5928,11.4381,117.602,137.343,0.151464,-49.2401 
604,3,4,2,604,23076.7,-0.0734144,43.0204,12.3737,118.047,0.0611977,-46.8007,0.855278,-10.7885,-6.31243,-9.1357,-2.9959,-5.21404,-170.815,12666.8,32.616,11533,17422.1,-9.71294,-5.23685,-6.98455,-1.92032,-4.13847,0.750491,12802.9,44.9851,11669,0.523166,0.993889,0.0070514,24471.9,-0.00133666,1.24711,12.4595,10.1876,117.554,88.0866,1.01862,12.426,11.3029,117.356,137.288,0.198473,-49.201 
605,5,6,2,605,21481.1,-0.3443,40.0128,12.6371,118.016,0.377857,19.5828,61.2705,-5.4664,-8.52632,-10.1873,-3.8658,0.679752,-233.627,11999.6,30.299,10763.3,16701.4,-3.99531,-7.05523,-7.24513,-2.39471,2.15084,0.609207,12185.7,47.2166,10949.4,0.526718,0.993265,0.007881,23135.1,-0.00156501,1.13742,12.7457,10.3837,117.545,88.1577,0.922936,12.6156,11.5469,117.32,137.606,0.225075,-49.4481 
606,16,17,2,606,22558.2,-0.0243766,41.1541,12.6724,118.058,-0.0381487,-39.079,500,-4.99191,-6.69197,-13.0557,-2.92067,-5.91763,-194.345,12525.1,53.6327,11127.3,17025.8,-3.76817,-5.46823,-10.6082,-1.69693,-4.69389,0.595654,12679.9,67.7057,11282.1,0.529167,0.990742,0.0109339,23961.9,-0.00140539,1.14512,12.9532,10.5969,117.575,88.5463,0.948272,12.5296,11.6805,117.342,138.136,0.233241,-49.5893 
607,14,15,2,607,20846.2,0.0785853,38.626,12.5123,118.11,-0.0431758,-29.2214,500,-2.31755,-8.37525,-12.8126,-8.1889,-5.16195,-192.269,11813.2,39.7186,10356.8,15774.1,-1.10689,-7.16458,-10.3913,-6.97823,-3.95129,0.648851,11966.4,53.6413,10509.9,0.532399,0.992216,0.00931427,22476.3,-0.00156445,1.10045,12.7539,10.5515,117.571,88.5322,0.88016,12.5532,11.6847,117.426,138.017,0.145055,-49.4849 
608,4,5,2,608,22514.6,-0.0533,42.257,12.2347,118.105,0.00458604,-59.0822,500,-4.27216,-6.29914,-8.8314,-4.6645,-6.44842,-204.66,12480.3,44.9937,11140.4,16839,-2.98347,-5.01045,-6.25402,-3.37581,-5.15973,0.725502,12643.3,59.8137,11303.5,0.527976,0.991789,0.00965363,23946.8,-0.00131547,1.21491,12.5853,10.2356,117.636,87.7889,1.01977,12.1523,11.1099,117.43,137.091,0.205717,-49.3021 
609,7,8,2,609,22243.2,-0.341758,41.8553,12.4575,118.039,0.0600637,234.227,423.451,-4.87725,-6.94021,-11.3318,-8.38412,-6.06038,-209.466,12129.8,28.7204,11337.2,17431.7,-3.55829,-5.62126,-8.69386,-7.06516,-4.74143,0.70708,12296.6,43.8884,11504.1,0.51665,0.993793,0.00697865,23800.7,-0.00148347,1.18036,12.6031,10.2372,117.505,87.9555,1.01855,12.3358,11.2137,117.317,137.065,0.188215,-49.1093 
610,2,3,2,610,22219.3,-0.0479012,40.3598,12.6709,118.128,-0.0916486,20.5522,500,-7.99189,-7.23924,-11.6893,-5.84582,-9.28885,-174.114,12048.2,39.9536,11068.8,16708.9,-6.89554,-6.14289,-9.49658,-4.74947,-8.1925,0.732317,12186.9,52.5616,11207.5,0.520932,0.992509,0.00856522,23394.4,-0.00128376,1.10251,12.9733,10.608,117.562,87.9817,0.939922,12.568,11.7155,117.37,137.426,0.191832,-49.4441 
611,1,2,2,611,22064.2,-0.344501,41.466,-12.5446,118.143,-0.444696,520.06,0.171933,-4.84223,-6.37598,-10.0591,-7.54268,-5.27171,-203.726,12410.8,28.86,10957.1,24461.9,-3.55942,-5.09317,-7.49344,-6.25988,-3.9889,0.716102,12573.1,43.6123,11119.3,0.53068,0.993966,0.00717328,23692.4,-0.00166631,1.18447,12.6813,10.4263,117.669,88.4468,0.945611,12.5666,11.5225,117.352,137.85,0.316746,-49.4035 
612,9,10,2,612,21085.9,-0.341798,39.698,-12.5139,118.331,0.120237,65.3933,282.487,-5.55794,-4.55323,-10.9227,-4.48036,-5.20955,-219.203,11815.1,34.2438,10501.4,16427.7,-4.17767,-3.17296,-8.1622,-3.1001,-3.82928,0.636302,11989.7,50.1169,10676,0.528979,0.992738,0.00857333,22665.7,-0.0014316,1.1388,12.6681,10.2499,117.91,87.6233,0.942379,12.3583,11.1981,117.564,136.835,0.346664,-49.2122 
613,30,31,2,613,20754.1,-0.145233,38.5188,12.6449,118.227,0.13009,-8.31986,1.84857e-06,-6.51045,-2.96414,-10.6872,-0.0621661,-0.712674,-199.3,11665.7,34.7804,10317,15890.9,-5.25551,-1.7092,-8.17735,1.19277,0.542264,0.39007,11824.4,49.2121,10475.8,0.530239,0.992769,0.00857945,22300.2,-0.00146973,1.13245,12.5965,10.2719,117.727,88.0883,0.905729,12.4466,11.3738,117.537,137.439,0.189364,-49.3508 
614,25,26,2,614,21204.8,-0.347881,39.4661,12.6704,118.166,2.42418,-1201.22,62.7842,-3.70402,-6.51564,-6.56237,-4.72296,-6.27296,-210.02,11772.5,32.1612,10652.4,111072,-2.38159,-5.19321,-3.91749,-3.40052,-4.95053,0.802579,11939.8,47.3693,10819.7,0.524607,0.993105,0.0080003,22759.6,-0.00148561,1.12079,12.82,10.2978,117.722,87.928,0.937523,12.467,11.3388,117.409,137.155,0.312833,-49.2272 
615,20,21,2,615,22294.6,-0.344652,41.592,12.5831,118.391,0.229594,191.505,95.2282,-10.0855,-5.80933,-12.2825,-1.08078,-2.82795,-278.48,12573.7,31.2269,10858.5,18468.3,-8.33202,-4.05582,-8.77548,0.672736,-1.07444,0.593069,12795.5,51.3923,11080.3,0.53592,0.99302,0.00847162,23875.8,-0.00137465,1.19215,12.6957,10.4257,117.99,88.1247,0.955759,12.3735,11.3742,117.624,137.463,0.36608,-49.3378 
616,6,7,2,616,21556.2,-0.311379,40.6275,12.6323,118.159,0.097235,-144.387,1.4669e-08,-7.38941,-6.73785,-9.31636,-4.15623,-1.59586,-198.448,12346,47.7915,10507.5,17164,-6.13983,-5.48827,-6.8172,-2.90665,-0.346279,0.685818,12504,62.1616,10665.6,0.539674,0.991375,0.0106222,23169.6,-0.00159715,1.15831,12.926,10.3846,117.594,87.7331,0.915111,12.5929,11.3559,117.461,137.094,0.13259,-49.3605 
617,8,9,2,617,22628,-0.0336022,42.0591,12.3856,118.377,-0.00985468,96.5885,9.22533e-12,-3.47522,-4.67149,-4.10827,-6.12498,-4.91785,-235.21,12625,26.9344,11173.7,16988.9,-1.99417,-3.19043,-1.14616,-4.64393,-3.43679,0.920469,12812.4,43.9665,11361,0.530019,0.994031,0.00707836,24173.4,-0.00142704,1.21974,12.7516,10.2016,117.875,88.1389,0.999331,12.2946,11.2683,117.655,137.459,0.219824,-49.3199 
618,10,11,2,618,20000.6,0.00793953,37.5586,-12.2902,118.236,-0.0480163,45.2285,2.03541e-12,-4.45431,0.600764,-9.6952,2.0302,-4.29995,-171.044,11325.2,28.1499,9728.46,15097.4,-3.3773,1.67778,-7.54116,3.10721,-3.22294,0.19401,11461.4,40.5356,9864.7,0.537436,0.993849,0.00751264,21326.1,-0.00131301,1.11595,12.4884,10.2073,117.724,87.8745,0.871436,12.3609,11.241,117.582,137.03,0.142596,-49.1553 
619,18,19,2,619,22931,-0.133875,42.3651,12.4859,118.215,-0.0478862,-188.148,2.41751e-07,-8.23771,-8.38884,-7.69322,-5.52254,-6.16358,-227.226,12218.8,48.4746,11747.6,17512.9,-6.80693,-6.95806,-4.83165,-4.09176,-4.7328,0.823799,12399.7,64.9286,11928.6,0.509684,0.99092,0.00992725,24328.3,-0.00145656,1.16457,12.7649,10.3514,117.707,87.7997,1.01054,12.5598,11.6106,117.599,137.302,0.108571,-49.5026 
620,12,13,2,620,23391,-0.0483256,42.7895,12.5561,118.032,0.0420399,-12.5432,500,-7.09172,-3.43085,-7.88012,-2.49335,-5.42643,-200.866,12544.9,52.0398,11780.1,17507,-5.82692,-2.16605,-5.35051,-1.22854,-4.16163,0.71439,12704.9,66.585,11940.1,0.515517,0.990912,0.0101682,24645,-0.00133073,1.19284,12.7407,10.3853,117.577,88.6085,0.996355,12.614,11.7202,117.299,138.2,0.278126,-49.5911 
621,40,41,2,621,20647,-0.180222,38.9449,12.4386,118.006,0.104548,-263.026,4.92395e-10,-7.45602,-2.85241,-7.40802,-4.6505,-4.6624,-200.945,11808.4,53.9242,10073.4,16664.7,-6.19072,-1.58711,-4.87743,-3.3852,-3.39711,0.749072,11968.5,68.4751,10233.4,0.539074,0.990087,0.012176,22201.9,-0.00151415,1.13434,12.5811,10.3788,117.513,87.8551,0.877676,12.4442,11.5302,117.334,137.25,0.179404,-49.3947 
622,60,61,2,622,21027,-0.0246401,38.9121,12.5101,118.273,0.0908731,-84.1263,500,-2.34442,-5.68842,-8.82832,-3.86885,-5.59346,-193.757,11736.5,25.0926,10468.5,16095.7,-1.12438,-4.46838,-6.38825,-2.64882,-4.37342,0.663834,11890.9,39.123,10622.8,0.528162,0.994275,0.0067386,22513.7,-0.00151998,1.10616,12.8703,10.4046,117.779,88.1023,0.901777,12.4787,11.6114,117.562,137.43,0.217186,-49.3278 
623,50,51,2,623,18849,-0.252935,36.1211,12.2393,117.996,-0.389575,428.516,3.32001e-10,-3.64035,-3.15139,-7.51356,-6.17224,1.69801,-220.715,10381.7,28.8082,9617.08,19826.2,-2.25056,-1.76161,-4.73399,-4.78245,3.08779,0.546588,10557.5,44.7907,9792.89,0.518787,0.99263,0.00835502,20350.4,-0.00130652,1.03317,12.3703,10.1768,117.484,87.7926,0.874591,12.2651,11.0999,117.447,137.239,0.0370306,-49.4465 
