cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,-4,43.2227,17,6665.88,-0.0290027,25.5382,8.12895,120.959,-0.024116,40.0973,500,0.870504,-5.83595,-12.6478,2.05915,-6.23102,-923.569,4981.53,-8.7877,5231.53,6789.5,6.68597,-0.0204837,-1.01682,7.87462,-0.415553,1.07757,5717.18,58.0902,5967.19,0.529894,0.98253,0.0176169,10789.3 
18,-3.93,43.2927,18,7310.57,-0.319143,25.8725,8.45615,120.794,-0.0383897,793.428,2.52969e-05,-1.6844,-8.10418,-7.66047,0.119116,-8.93681,-891.642,5114.01,24.5661,5336.32,8113.64,3.93003,-2.48975,3.56839,5.73355,-3.32237,0.519075,5824.24,89.1321,6046.55,0.531224,0.973917,0.0264366,10963.8 
19,-3.95,43.2727,19,7387.12,-0.00216862,26.7462,8.27476,120.874,-0.000800866,-65.4643,500,-2.62881,-1.17587,-7.41103,0.605872,-5.23693,-913.228,5365.56,6.53535,5510.26,7206.34,3.12154,4.57448,4.08968,6.35623,0.513424,0.780777,6092.98,72.6644,6237.68,0.534706,0.979556,0.0210083,11395 
20,-4.01,43.2127,20,8026.77,-0.32095,27.293,8.59959,121.138,1.96209,-419.483,8.27911e-07,-2.47163,-5.08499,-10.4472,-4.81651,-4.43976,-810.556,5437.35,35.5715,5674.53,34434,2.63223,0.018861,-0.239482,0.287339,0.664096,1.07121,6082.98,94.2658,6320.16,0.531027,0.973597,0.0267405,11455.1 
21,-3.975,43.2477,21,6239.42,-0.0982916,24.0758,8.09107,121.051,-0.00459188,37.5106,500,-5.21901,-0.0348206,-5.67657,-0.774692,-6.81085,-876.707,4529.68,13.9849,5037.32,6346.96,0.301383,5.48557,5.36421,4.7457,-1.29046,0.632749,5228.01,77.4694,5735.65,0.517455,0.974724,0.0242767,10103.3 
22,-3.915,43.3077,22,9065.43,-0.00674164,28.6251,8.71858,120.807,0.00990929,-16.6882,6.09508,-1.87739,-5.8831,-3.71571,-3.88729,-13.2633,-788.558,5690.74,25.32,6285.58,8129.71,3.08795,-0.91776,6.21497,1.07805,-8.298,-4.33381,6318.85,82.4214,6913.7,0.51813,0.977683,0.0214887,12195.5 
23,-4.025,43.1977,23,7098.28,-0.0206582,25.8447,8.29438,121.171,0.0123561,8.19554,500,-6.02392,-3.96885,-8.80906,-5.473,-5.40753,-911.604,5117.17,12.2934,5329.52,6981.62,-0.28379,1.77128,2.6712,0.267134,0.332602,0.438638,5843.29,78.3049,6055.64,0.531663,0.977086,0.0232659,10990.6 
24,-4.05,43.1727,24,8327.51,-0.0698873,27.846,8.55594,120.859,0.0250066,47.8357,500,-5.22931,-1.09875,-6.05591,-6.31892,-8.42769,-812.598,5468.64,13.021,6010.43,7794.73,-0.1126,4.01796,4.17751,-1.20221,-3.31098,-0.170276,6115.91,71.8632,6657.69,0.5194,0.979851,0.0194961,11774.9 
25,-3.985,43.2377,25,6138.36,-0.00431297,23.6442,-8.30418,120.95,0.000723932,-12.8983,9.55902e-06,-4.3651,-7.46142,-12.0825,-6.7566,-8.7073,-950.651,4739.29,19.0786,5022.34,6392,1.6209,-1.47543,-0.110536,-0.770601,-2.7213,0.968025,5496.52,87.9176,5779.57,0.528047,0.972771,0.0272579,10409.1 
26,-3.955,43.2677,26,7328.01,-0.619973,26.8419,8.54939,121.035,0.135535,702.159,399.47,2.62734,-3.92391,-4.30937,-3.03183,-6.31074,-858.738,5332.13,17.7897,5397.78,10568.4,8.03459,1.48333,6.50512,2.37542,-0.9035,0.628172,6016.15,79.973,6081.8,0.537844,0.977266,0.02365,11185.7 
