cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,202.14,3.309,42,0,0,27519.2,-0.111869,45.7746,13.3359,115.808,-0.000783786,117.29,6.74477,2.34789,-0.917955,1.10979,1.10383,-2.70617,-45.5252,14302.3,100.455,12699.8,19875,2.63455,-0.631295,1.68311,1.39049,-2.4195,0.366619,14338.6,103.751,12736.1,0.499074,0.987496,0.0147844,28730.4,-0.000265248,1.21321,13.4207,-11.0669,115.119,89.7491,0.969705,13.3725,12.3956,115.166,139.789,-0.047226,-50.0396,561.175,500.615,1061.79 
1,202.14,3.309,43.4,10,1,29338.4,0.0424575,46.8643,13.7526,115.792,0.00412173,-217.487,3.19478e-11,-1.39588,1.44434,0.0341306,3.7885,-1.85221,17.9921,15031.5,126.888,13256.5,21009.9,-1.50917,1.33105,-0.192452,3.67521,-1.9655,1.14371,15017.2,125.585,13242.2,0.500892,0.985576,0.01717,29980.8,-1.20809e-05,1.16718,13.9792,-11.6413,115.137,90.5714,0.928265,13.8431,13.2115,115.128,140.757,0.00925459,-50.1853,592.207,529.524,1121.73 
2,202.14,3.309,43.2,10,2,24640.9,-0.0936916,40.5662,13.4561,115.929,0.0264847,33.6043,52.4627,1.78033,-0.611154,1.15809,1.32922,-1.377,19.5368,12163.1,83.2586,11797.9,17798.6,1.65731,-0.734172,0.912052,1.2062,-1.50002,0.408287,12147.6,81.8439,11782.3,0.477094,0.988347,0.0126342,25461.6,-0.000121233,0.986228,13.6751,-11.3947,115.379,90.879,0.875189,13.4912,12.7025,115.188,140.986,0.191734,-50.1073,478.836,467.305,946.141 
3,202.14,3.309,43.18,10,3,24751.1,-0.105457,40.7244,13.4953,115.568,0.180186,-85.6782,477.136,0.525499,0.622505,-0.621926,-1.65795,-0.808307,-7.76776,12683,71.7425,11415.9,18393.5,0.574411,0.671417,-0.524103,-1.60904,-0.759395,0.681727,12689.2,72.305,11422.1,0.495745,0.990127,0.0115266,25596.2,-0.000140096,1.05181,13.6456,11.1832,114.889,89.3713,0.861789,13.5008,12.4422,114.946,139.445,-0.0571736,-50.0736,499.912,450.906,950.818 
4,202.14,3.309,43.32,10,4,29386.9,0.0277865,47.5521,13.6055,115.891,0.000155786,-52.2367,5.35487e-12,0.957672,1.19834,4.39212,0.752077,1.37157,34.4965,15174.5,127.533,13365.4,21061.2,0.740456,0.981129,3.95769,0.534862,1.15435,0.46289,15147,125.035,13337.9,0.501243,0.98576,0.0169755,30218.8,-0.000165243,1.20355,13.856,11.5513,115.191,89.7078,0.974407,13.7368,12.6855,115.234,139.763,-0.0428255,-50.0551,600.232,529.217,1129.45 
5,202.14,3.309,43.24,10,5,23286.5,-0.133431,38.4754,13.5398,115.706,-0.232106,-14.592,471.44,-2.44887,-1.86689,-2.78261,-1.08184,-1.79104,-17.6534,11703.7,81.4709,11222.3,17068.9,-2.33771,-1.75573,-2.56029,-0.970677,-1.67989,0.724827,11717.8,82.7492,11236.4,0.479944,0.987793,0.0133844,24414.9,-0.000354322,0.967208,13.7655,11.1035,115.13,89.2975,0.826443,13.6075,12.6681,114.94,139.393,0.189318,-50.096,460.508,443.757,904.265 
6,202.14,3.309,43.34,10,6,26253.5,-0.012436,43.6481,13.2899,115.992,-0.00130354,-20.7994,6.24391e-11,0.174543,-2.60594,2.98386,1.76494,-0.864988,-14.9586,13578.2,83.0216,12205.5,18884.4,0.268733,-2.51175,3.17224,1.85913,-0.770798,-0.57232,13590.1,84.1048,12217.5,0.496064,0.989286,0.0125222,27395.8,-0.000274354,1.13001,13.6179,-11.1117,115.476,90.0907,0.922827,13.403,12.4958,115.246,140.268,0.229219,-50.1774,532.544,481.381,1013.93 
7,202.14,3.309,43.22,10,7,23343.3,-0.112113,39.2572,13.24,115.765,0.0249692,-5.48972,467.506,-1.62413,-1.99649,1.8152,2.04282,-0.532406,0.817824,11629.7,64.8165,11326.5,16924.6,-1.62928,-2.00164,1.8049,2.03767,-0.537556,6.53821,11629,64.7573,11325.9,0.476068,0.990349,0.0104227,24427.3,-0.000321643,0.974908,13.5749,11.1263,115.213,90.1565,0.8629,13.2256,12.5556,115.13,140.15,0.0829849,-49.9937,458.679,446.314,904.993 
8,202.14,3.309,43.1,10,8,25758.8,-0.10381,43.5357,13.1224,115.844,0.28697,-134.375,465.58,0.0478226,1.13761,-0.196157,-0.200822,-1.79948,43.893,13393.7,54.5964,12025.6,19852.8,-0.22856,0.861227,-0.748922,-0.477204,-2.07586,0.719434,13358.8,51.418,11990.7,0.496457,0.993309,0.00783735,26908.2,-0.000167819,1.17503,13.2487,-10.7942,115.201,90.2799,0.973206,12.9682,11.8824,115.126,140.139,0.07428,-49.8592,523.168,466.895,990.063 
9,202.14,3.309,43.36,10,9,28116,-0.0281657,46.3982,13.3682,115.841,1.55121,-1780.64,499.994,-0.454986,0.300405,-0.529465,1.76001,-3.21958,8.79143,14513.6,99.1386,12932.7,110108,-0.510343,0.245047,-0.640179,1.70465,-3.27494,0.741421,14506.6,98.502,12925.7,0.498293,0.988257,0.0138437,29112.7,-0.000135937,1.20018,13.6163,11.2009,115.184,89.3645,0.985805,13.4158,12.3555,115.248,139.28,-0.0635277,-49.9156,570.105,508.979,1079.08 
