cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,47.2119,1.7,12,11058.1,-0.432554,24.1171,11.9935,124.145,0.411754,272.261,442.363,-1.8687,-4.303,-6.99877,-5.23332,-4.72697,-541.13,149.466,253.558,12851.7,13065.4,1.53864,-0.895651,-0.184074,-1.82597,-1.31962,0.931486,531.515,341.723,13233.7,0.0375304,0.470563,0.0454072,14162.2,-0.00183212,-0.00471999,4092.47,4.88661,112.37,72.7044,1.13336,12.3156,11.7187,123.928,126.466,-11.5578,-53.7617 
13,47.2879,8,13,12313.1,-0.0339943,24.4371,11.9807,124.186,0.0105226,-2.51638,2.19518e-11,-3.59412,-1.22045,-0.0469453,-0.999344,0.638224,-480.577,578.509,266.831,13092.9,9531.58,-0.568056,1.80562,6.00519,2.02672,3.66429,0.535697,917.807,345.13,13432.2,0.0622116,0.603112,0.0451924,14753,-0.0019372,0.0467571,13.6198,18.366,125.812,89.0337,1.12159,12.5318,11.8172,123.96,126.717,1.85146,-37.6831 
14,47.2099,2,14,11738.8,-0.340896,24.5871,11.943,124.342,0.0872613,99.0501,265.186,-2.46339,-2.88491,-4.04151,2.16768,-0.0405185,-580.185,190.387,251.675,13189.1,9840.42,1.18988,0.768358,3.26503,5.82095,3.61275,0.777237,600.01,346.203,13598.8,0.0410777,0.497576,0.0447963,14606.7,-0.00214691,0.0371756,13.04,15.5882,124.467,98,1.19732,12.2475,11.3275,124.191,126.733,0.276113,-28.7331 
15,47,10,15,11589.9,-0.340748,23.9666,12.1165,124.338,-0.145597,120.079,166.336,-2.45947,-1.56699,-4.75143,-3.39339,-2.66654,-599.249,100.926,273.924,13093.8,10022.3,1.31384,2.20633,2.7952,0.379924,1.10678,0.641736,524.009,371.559,13516.9,0.0362726,0.446255,0.0481961,14446.4,-0.0016368,-0.0181079,17.2586,6.53179,112.445,71.5511,1.14416,12.4093,11.748,124.121,126.864,-11.6753,-55.3127 
16,47.2299,2.5,16,11745.6,-0.0231214,24.4159,11.6338,124.226,-0.0429219,16.5726,500,-3.71913,0.110154,-1.88235,-3.05336,-1.93096,-581.438,661.913,215.441,12712.6,9269.93,-0.0579733,3.77131,5.43997,0.607801,1.7302,0.526602,1072.42,310.174,13123.1,0.0735079,0.663945,0.041723,14589.2,-0.00212133,0.0562684,13.1466,17.6139,125.752,87.0398,1.14299,12.1654,11.533,123.971,127.411,1.78155,-40.3715 
17,47.2239,2,17,11373.5,-0.395379,24.2582,12.0325,124.221,0.046488,5.20608,66.9528,-3.29804,-2.26301,-5.02339,-0.265673,-3.53816,-568.729,591.193,234.718,12677,9509.71,0.283091,1.31812,2.13888,3.31546,0.0429771,0.698687,992.728,327.38,13078.5,0.0686363,0.634071,0.0440788,14463.6,-0.00240598,0.0504061,13.3099,18.8023,125.525,90.6109,1.12804,12.3639,11.4843,124.03,127.215,1.49506,-36.6037 
18,47.2399,3.5,18,12028.5,-0.351644,24.7438,-12.1709,124.268,-0.486423,714.927,373.273,-0.633601,0.789136,-4.24282,-1.78147,-4.70899,-560.551,624.143,266.971,13178.2,21124.2,2.89604,4.31877,2.81645,1.74817,-1.17935,0.734299,1019.9,358.3,13574,0.0679885,0.619276,0.0463697,15001.1,-0.00237353,0.0547045,13.4722,17.9192,125.88,89.8933,1.13132,12.5623,11.7617,124.056,127.308,1.82369,-37.4144 
19,47.2199,1.7,19,11390.4,-0.393527,24.3645,11.9864,123.994,0.0242908,91.3655,460.494,-2.52534,-3.72027,-6.65376,-0.154301,-2.14775,-589.215,413.382,216.222,12915.9,9579.2,1.18479,-0.0101409,0.766496,3.55583,1.56238,0.891421,829.38,312.222,13331.9,0.0569581,0.602849,0.0413564,14561.2,-0.00239647,0.0433619,12.1484,25.3794,123.951,97.9998,1.16055,12.2975,11.1752,123.885,127.396,0.0663163,-29.3962 
20,47.2559,6,20,10895.9,-0.423904,23.899,11.9146,123.944,0.110435,-773.575,84.0051,-2.25305,-1.5849,-3.17226,-2.78377,-0.678275,-586.226,673.088,190.001,12293,12050.5,1.43825,2.10641,4.21036,0.907536,3.01303,0.639388,1086.98,285.514,12706.9,0.0766819,0.685087,0.0397454,14175.1,-0.0024667,0.0567015,12.8759,17.3102,125.344,86.0037,1.11714,12.1624,11.4181,123.805,127.29,1.53853,-41.2867 
21,47.2479,5,21,11020.6,-0.408887,23.6375,12.089,124.275,0.22059,-976.134,496.538,-2.48541,-3.1133,-2.12648,-1.00689,-2.74949,-528.278,838.922,223.855,12110.9,16311.7,0.841017,0.213128,4.52637,2.31954,0.576938,0.466041,1211.9,309.926,12483.9,0.0861315,0.690828,0.0437322,14070.3,-0.00240135,0.0678962,12.6014,16.8582,125.857,84.5926,1.09152,12.4298,11.3488,124.051,126.782,1.80584,-42.1892 
