cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,0,13215.8,-0.142735,22.0778,13.7357,114.194,-0.0251972,111.079,373.69,-0.300225,-2.64057,-2.5143,-1.33368,-0.678868,-230.013,1707.29,83.6832,11571.2,9963.04,1.14811,-1.19224,0.382364,0.114649,0.769463,0.687187,1890.5,100.339,11754.4,0.124597,0.915012,0.0154813,15173,-0.000360341,0.125906,13.8324,12.3876,113.518,94.2418,0.836817,13.4568,12.911,113.437,143.853,0.0808474,-49.6116 
1,97,43.248,4.5,48.55,-0.2,0.19,0.01,1,23222.1,-0.00874666,38.7249,13.0513,114.436,-0.0133315,11.4264,132.341,-2.66312,-0.215317,2.76389,2.14919,0.0479364,-134.224,11226.8,47.0555,11521.8,16457.7,-1.81795,0.629858,4.45424,2.99436,0.893111,0.377345,11333.7,56.775,11628.7,0.463088,0.99131,0.00891358,24474.1,2.16081e-05,0.981725,13.3182,10.7726,114.05,91.4075,0.91687,12.9329,12.0966,113.696,142.084,0.353478,-50.6764 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,25670.6,-0.0450725,43.1797,13.0144,114.474,0.022193,-45.126,500,1.55219,1.14498,1.59836,0.695644,0.409807,-173.028,12633.3,60.9216,12541.2,18326.1,2.6417,2.2345,3.77739,1.78516,1.49932,0.683585,12771.2,73.451,12679,0.471287,0.990035,0.0105588,27098.5,1.80933e-05,1.09784,13.175,10.9622,114.082,92.3866,1.00427,12.7909,12.1276,113.702,143.187,0.380324,-50.8006 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,13509.8,-0.0879227,23.572,12.8722,114.357,0.266275,80.1532,117.637,-1.49986,0.0998902,0.0663433,-0.76371,-0.0660681,-246.837,297.824,91.2332,13181.8,10572.2,0.0544095,1.65416,3.17488,0.790557,1.4882,0.556718,494.439,109.107,13378.4,0.0316705,0.721412,0.0148009,15612,-0.0014879,0.0162362,22.888,73.4836,130.559,113,1.0681,12.5323,11.948,113.501,141.774,17.0588,-28.7738 
4,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,4,12389.8,-0.117254,20.5137,13.7675,114.531,0.0862854,-21.832,21.4705,-2.62163,0.0279004,-0.724198,1.64793,3.70848,-282.044,1334.15,78.3971,11008.4,9255.1,-0.845675,1.80385,2.82771,3.42389,5.48443,0.777244,1558.8,98.8206,11233.1,0.109373,0.900137,0.0159471,14252.2,-0.000351759,0.090339,13.3827,14.0058,114.477,94.5966,0.786088,13.7122,12.9687,113.7,142.024,0.776498,-47.4272 
5,97,43.248,4.5,48.55,-0.2,0.19,0.01,5,23621,0.00743862,39.7176,12.939,114.487,0.00564171,-79.1948,2.24091e-11,-1.05292,0.613991,0.389437,2.57486,1.1835,-163.393,11343.7,38.0851,11834,16743.9,-0.0240834,1.64283,2.44712,3.6037,2.21234,0.752364,11473.9,49.9168,11964.2,0.459076,0.992444,0.00762699,24993.4,2.0296e-05,1.00575,13.162,10.742,114.088,92.0196,0.951616,12.8665,12.0055,113.72,142.699,0.367965,-50.6791 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,25224.1,-0.0133047,42.2529,13.0721,114.51,-0.000346515,-18.6277,7.47869e-11,-1.45105,-0.822565,2.54813,0.546341,1.4581,-151.57,12586.3,41.2005,12261,17980.5,-0.496648,0.131833,4.45692,1.50074,2.4125,0.443257,12707.1,52.1761,12381.8,0.475947,0.992866,0.00770274,26698.5,-9.66209e-05,1.09893,13.2612,10.8348,114.054,91.4654,0.98563,12.938,11.9641,113.831,141.835,0.223036,-50.3698 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,12912.2,-0.0237192,22.2453,13.0715,114.109,0.125799,-89.1792,499.311,-3.99126,-1.64513,2.39075,-0.520827,0.225487,-252.915,224.36,71.4607,12682.5,9831.06,-2.39873,-0.0525903,5.57582,1.07171,1.81802,0.072896,425.816,89.7749,12883.9,0.0284168,0.730485,0.0126731,14984.6,-0.0015207,0.0133675,-24.6533,78.9296,132.165,113,0.991952,12.7914,12.1927,113.331,141.595,18.8343,-28.5947 
8,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,8,13104.1,-0.102933,22.0484,13.4392,114.239,-0.0637793,58.5661,2.6488,-2.62383,-1.70416,-2.90261,-0.235822,-1.15875,-270.351,1668.47,93.7101,11421.2,9767.57,-0.921498,-0.00183254,0.502048,1.46651,0.543577,0.684009,1883.82,113.287,11636.6,0.125311,0.904781,0.0176177,15033.1,-0.000303591,0.115765,13.592,13.4401,113.961,93.4279,0.833918,13.4112,12.8451,113.488,142.023,0.472409,-48.5955 
9,97,43.248,4.5,48.55,-0.2,0.19,0.01,9,22201.6,0.0317983,37.4563,12.8854,114.436,0.00134788,-42.5206,3.11234e-11,-1.845,0.421391,-1.26569,1.18504,-1.03819,-166.141,10864.2,29.442,11024.2,15713.3,-0.798854,1.46754,0.826606,2.23118,0.00796149,0.778653,10996.6,41.4727,11156.5,0.465888,0.993443,0.00680116,23603.5,-0.000110891,0.972643,13.0623,10.7345,113.989,91.1079,0.898495,12.9279,11.815,113.754,141.792,0.235125,-50.6843 
10,97,43.248,0,48.55,-0.2,0.19,0.01,10,24404.5,-0.00538629,41.2942,12.852,114.165,-0.0179196,-52.0697,292.285,0.67583,0.0238334,-3.16191,0.724926,2.14147,-143.773,12203.1,57.6886,11772.2,17306.8,1.58113,0.929135,-1.35131,1.63023,3.04677,1.23155,12317.6,68.0996,11886.7,0.478361,0.990418,0.0104433,25749.6,6.15715e-05,1.08107,13.0747,10.8078,113.696,91.4924,0.955303,12.6947,11.9944,113.4,142.089,0.296138,-50.5964 
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,13762.4,-0.0915972,23.4459,13.1932,114.342,0.031048,-2.60165,10.3643,-2.74156,-1.34683,-3.08083,1.70768,1.16187,-236.362,285.657,92.4737,13394.5,10072.2,-1.25325,0.141476,-0.104211,3.19599,2.65018,1.02251,473.928,109.589,13582.7,0.0299529,0.711915,0.0146449,15822.4,-0.00164104,0.0149884,-25.5369,76.406,132.808,113,1.04079,12.9425,12.1393,113.481,141.314,19.3274,-28.3142 
12,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,12,12186.4,-0.117147,20.4625,13.5859,114.47,0.0136721,18.9354,500,-0.0511046,-1.60786,1.56467,2.54137,0.213997,-265.52,1379.73,59.7805,10898.3,9058.31,1.6208,0.0640409,4.90848,4.21327,1.8859,0.613277,1591.22,79.0074,11109.8,0.112492,0.920055,0.0129308,14145.3,-0.000410166,0.0959868,13.9652,13.1642,114.23,93.5727,0.796254,13.4101,12.8672,113.589,141.952,0.641248,-48.3792 
13,97,43.248,4.5,48.55,-0.2,0.19,0.01,13,23324.6,-0.0269725,39.8564,12.7886,114.433,0.0243799,-35.9043,1.46416,-0.274091,0.949173,-1.52215,1.57136,2.65372,-170.547,11044.8,36.2571,11925.5,16621.2,0.799799,2.02306,0.625629,2.64525,3.72761,0.936299,11180.7,48.6069,12061.3,0.450652,0.99245,0.00736892,24810,-9.50337e-05,0.996046,12.9463,10.7959,114.109,92.0971,0.990054,12.6896,11.7762,113.653,142.883,0.456446,-50.7859 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,24645.8,-0.0463496,41.4791,13.0331,114.466,0.0308729,-23.5065,1.27377,-2.31419,-0.309039,-6.99008,0.353994,-0.0878911,-143.7,12109.2,45.7924,12210.6,17622,-1.40934,0.595802,-5.1804,1.25884,0.81695,-0.322152,12223.6,56.1981,12325.1,0.467426,0.992019,0.00832939,26151,-8.70765e-05,1.07144,13.1501,10.7613,113.991,91.9331,0.983828,12.9003,11.9466,113.649,142.569,0.341959,-50.6359 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,12710.1,-0.1258,22.2701,13.0375,114.228,-0.0817754,67.9827,440.109,0.20635,-0.13209,2.21621,-3.90203,0.0408834,-257.232,232.257,85.0217,12647.1,9632.74,1.82607,1.48763,5.45565,-2.28231,1.66061,0.330402,437.152,103.649,12852,0.0292215,0.706752,0.0146387,14960,-0.000391413,0.0335454,-13.1922,10.5165,116.872,109.366,1.00363,12.8104,12.1757,113.487,142.007,3.38459,-32.6406 
16,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,16,13088.6,-0.15223,22.0391,13.6833,114.343,0.131029,-45.1511,370.578,-2.96139,0.955171,-2.91576,0.2848,-1.69789,-254.337,1527.57,86.8846,11698.9,10009.6,-1.3599,2.55667,0.28723,1.88629,-0.0963989,0.912266,1730.16,105.302,11901.5,0.113985,0.903743,0.0160371,15178.9,-0.0004215,0.100689,13.9394,13.926,114.345,93.9757,0.860333,13.4317,12.6957,113.556,142.132,0.78897,-48.1563 
17,97,43.248,4.5,48.55,-0.2,0.19,0.01,17,23361.1,-0.0113599,39.1599,12.991,114.373,-0.0157075,-23.2935,356.759,-2.17317,1.86823,3.02349,1.34411,1.99828,-185.13,11238,45.2599,11697.7,16572.6,-1.00745,3.03395,5.35493,2.50983,3.164,0.589826,11385.5,58.6656,11845.1,0.459639,0.991063,0.00904094,24770.5,-3.67044e-05,0.96602,13.2903,10.9786,113.942,91.5492,0.914721,12.9373,12.3247,113.545,142.43,0.397313,-50.8809 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,24727.5,-0.0233989,41.2494,13.0856,114.276,-0.00667283,0.981539,3.19499,-1.98285,0.0347653,0.520351,0.733441,-1.42864,-119.647,12379.1,54.0755,11889,17571.6,-1.22947,0.78815,2.02712,1.48682,-0.675259,0.154439,12474.4,62.7395,11984.3,0.479478,0.991275,0.00955158,26016.7,-1.95249e-05,1.06524,13.3489,10.9772,113.96,92.1433,0.951299,12.8673,12.0268,113.406,143.037,0.554221,-50.8934 
19,75,46.2227,0,46.05,0.2,-0.19,-0.01,19,12607.6,-0.134421,22.3991,12.9067,114.241,0.235678,-167.244,480.081,-2.67901,-0.250323,-1.41985,-1.83944,0.606703,-250.548,200.376,69.9902,12613.9,10694.2,-1.10138,1.32731,1.73541,-0.26181,2.18434,0.553174,399.947,88.1329,12813.5,0.0268796,0.721692,0.0125117,14879.2,-0.00148395,0.0128481,22.3092,79.5312,130.702,113,1.02858,12.5789,11.8678,113.424,142.367,17.2789,-29.3669 
20,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,20,12487.2,-0.0867319,21.005,13.3778,114.352,0.373521,-372.197,89.8462,-1.75394,0.0733886,-0.865016,-1.92656,4.18208,-216.238,1448.91,79.7079,11005.8,13673.2,-0.392345,1.43498,1.85817,-0.564966,5.54367,0.764177,1621.15,95.3663,11178,0.113747,0.906663,0.0154729,14252.3,-0.000302773,0.0988108,14.1738,13.4612,114.414,93.5504,0.822949,13.2658,12.6757,113.544,142.021,0.86995,-48.4702 
21,97,43.248,4.5,48.55,-0.2,0.19,0.01,21,23050.6,0.0243191,38.9864,12.8315,114.492,-0.00637682,-0.371965,1.45997e-10,-3.45833,-0.757639,0.804372,-0.436748,-0.181334,-161.985,10873.1,21.1414,11735.3,16285,-2.43835,0.262336,2.84432,0.583226,0.83864,-0.360809,11002.2,32.8711,11864.3,0.450745,0.994799,0.0050778,24408.8,-6.90131e-05,1.00039,12.9557,10.5409,114.123,91.2597,0.961437,12.9586,11.7849,113.703,141.893,0.420685,-50.633 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,25150.4,0.0224258,41.7244,13.1031,114.209,-0.0844762,-5.71943,500,-0.4367,1.01156,1.17291,-0.696863,2.29015,-127.389,12463.9,62.3118,12068,17813.2,0.365434,1.8137,2.77717,0.10527,3.09229,0.659404,12565.4,71.5363,12169.4,0.477466,0.990135,0.0107126,26316.9,0.000158085,1.07957,13.2816,10.8844,113.727,91.2531,0.955691,12.9122,12.1523,113.425,141.839,0.30185,-50.5863 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,13249.4,-0.143983,22.4329,13.5571,114.145,0.260998,-65.8084,314.744,-2.00135,-1.95697,1.47611,-0.793958,3.09567,-299.464,153.871,61.8779,13169.9,10459.4,-0.115707,-0.0713224,5.2474,1.09169,4.98131,0.528678,392.405,83.5628,13408.5,0.0252448,0.728511,0.0113499,15544,-0.000402352,0.0257791,13.5588,-10.1032,116.01,105.343,1.00307,13.2511,12.3706,113.357,141.647,2.6525,-36.3038 
24,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,24,12797.1,-0.125761,21.4769,13.6069,114.383,-0.141572,164.267,2.94153,-2.41095,-0.11002,-6.31629,-2.97625,-2.11461,-285.103,1530.37,99.0458,11267.4,10270.2,-0.615736,1.6852,-2.72586,-1.18103,-0.319397,0.13652,1757.46,119.691,11494.4,0.119181,0.893509,0.0188207,14746.2,-0.0004269,0.101284,13.3583,14.6985,114.186,95.2512,0.800447,13.5941,13.1298,113.691,142.36,0.495072,-47.1084 
25,97,43.248,4.5,48.55,-0.2,0.19,0.01,25,23715.3,-0.0032072,38.9202,13.3576,114.423,-0.02833,-31.4359,6.2521e-11,-0.846328,-0.739375,-2.36221,-1.08004,1.03917,-153.121,11808,70.1427,11414.7,16952.8,0.117834,0.224787,-0.433891,-0.115875,2.00334,1.24156,11930,81.2306,11536.7,0.47784,0.988225,0.0128043,24966.5,3.6639e-05,0.984223,13.54,11.0974,114.11,91.1474,0.871191,13.103,12.4602,113.555,141.758,0.554414,-50.6111 
26,97,43.248,0,48.55,-0.2,0.19,0.01,26,25097.7,-0.0437241,41.642,13.2107,114.476,0.0160046,-12.7031,60.2558,0.12357,-1.3695,1.77291,0.405213,2.24332,-161.642,12666.5,43.052,11960,17914.8,1.14139,-0.351679,3.80855,1.42303,3.26113,0.589703,12795.3,54.7569,12088.7,0.483653,0.992567,0.00827493,26455.5,-2.03234e-05,1.0813,13.4482,10.9374,114.01,91.1983,0.943139,12.953,12.181,113.767,141.945,0.243251,-50.7466 
27,75,46.2227,0,46.05,0.2,-0.19,-0.01,27,13040,-0.0858422,22.6128,12.9565,114.236,0.048041,-86.1961,24.2385,0.468166,-0.823181,-1.14633,1.06645,1.94986,-289.049,165.411,50.7405,12986.6,9672.37,2.28823,0.996886,2.49381,2.88651,3.76992,0.799458,395.65,71.6713,13216.8,0.0258078,0.759296,0.00989046,15330.6,1.77975e-05,-0.0127731,-12.3902,-9.32293,111.781,78.1321,1.05376,12.8048,11.9345,113.484,142.357,-1.70244,-64.2246 
28,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,28,11570.7,-0.13544,19.7694,13.4902,114.396,0.0522217,7.7499,6.50344,-1.87235,-0.332481,-1.99661,2.71485,-0.408796,-234.636,1292.49,53.4581,10497.2,8694.9,-0.394906,1.14496,0.958276,4.1923,1.06865,0.8625,1479.38,70.4487,10684.1,0.10916,0.923075,0.0120006,13552.5,-0.000512338,0.0945281,13.6559,13.1014,114.297,93.5852,0.795158,13.3516,12.4334,113.566,141.994,0.731077,-48.409 
29,97,43.248,4.5,48.55,-0.2,0.19,0.01,29,22530.5,-0.0182195,37.938,12.9544,114.53,-0.0403316,38.2836,438.631,-1.64499,-2.43791,-2.71965,1.16672,-0.896301,-175.51,11019.3,39.1596,11149.1,16049,-0.539851,-1.33277,-0.509364,2.27186,0.20884,6.16005,11159.1,51.8687,11289,0.466602,0.991931,0.00839279,23915.6,-3.31989e-05,0.968846,13.1535,10.8526,114.196,91.4415,0.900125,12.9255,11.8845,113.708,142.084,0.488455,-50.6421 
30,97,43.248,0,48.55,-0.2,0.19,0.01,30,23766,0.0117247,40.5201,12.7132,114.443,-0.0210076,11.097,1.83625e-10,-2.09657,-1.38675,3.17861,-1.32843,0.0496567,-138.936,11668.3,26.2718,11679.3,16777.1,-1.22173,-0.511901,4.9283,-0.45358,0.924502,-0.344474,11779,36.3326,11789.9,0.469251,0.994631,0.00564469,25101.6,-3.49899e-06,1.06799,12.9975,10.5448,114.021,91.7178,0.979337,12.6025,11.7426,113.692,142.189,0.329318,-50.471 
31,75,46.2227,0,46.05,0.2,-0.19,-0.01,31,13383.1,-0.0104291,22.1471,13.5372,114.116,-0.00735867,-7.2999,500,-0.499932,-2.19128,-3.21125,-1.19958,1.0893,-226.521,179.484,68.88,13059.7,9761.53,0.926409,-0.764939,-0.358572,0.226756,2.51564,1.14088,359.916,85.2829,13240.1,0.0234913,0.70688,0.0117263,15321.2,-0.000223773,0.0249617,-13.9031,9.46328,120.291,108.545,0.968681,13.3032,12.7135,113.413,141.817,6.87762,-33.2719 
32,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,32,12634.4,-0.056843,20.8937,13.6544,114.419,-0.0304331,-26.2364,499.999,0.207991,-1.40578,-2.07675,-0.67248,1.75332,-205.252,1358.65,75.4005,11138,9313.14,1.50041,-0.113359,0.508088,0.61994,3.04574,0.908631,1522.14,90.2634,11301.5,0.106497,0.905981,0.0144994,14292.8,-0.000213865,0.0997003,13.2678,12.8411,114.207,93.1689,0.794752,13.5966,13.0315,113.591,141.821,0.615822,-48.6522 
33,97,43.248,4.5,48.55,-0.2,0.19,0.01,33,22827.8,-0.0214966,38.1085,-13.0756,114.528,-0.0167372,23.9185,26.7825,0.511257,-1.98669,-2.70207,-0.0612815,1.52354,-171.709,11167.1,47.3268,11217.9,16234.1,1.59247,-0.905478,-0.539656,1.01993,2.60475,1.14307,11303.9,59.7607,11354.6,0.468369,0.990833,0.00960212,24134.7,-6.3398e-05,0.951598,13.2615,11.1424,114.037,92.0764,0.877736,13.0543,12.2203,113.775,142.627,0.261888,-50.5503 
34,97,43.248,0,48.55,-0.2,0.19,0.01,34,24818.4,-0.0324086,42.3131,12.8274,114.29,0.0256414,-40.0216,1.39521,-0.253143,0.576339,-0.308284,-0.58042,0.154545,-166.105,12555.9,42.0755,11927.7,17702.3,0.792775,1.62226,1.78355,0.465498,1.20046,0.695875,12688.2,54.1035,12060,0.482147,0.992593,0.00819629,26316,-0.000113267,1.148,12.9967,10.5379,113.908,90.8104,0.97893,12.8107,11.841,113.588,141.259,0.320509,-50.4489 
35,75,46.2227,0,46.05,0.2,-0.19,-0.01,35,12789.2,-0.114995,21.7866,13.3495,114.233,0.357059,-141.871,39.2156,0.664812,-0.256538,0.929006,-2.08261,1.94625,-265.235,275.637,90.9676,12464.4,11116.8,2.33493,1.41358,4.26924,-0.412493,3.61637,0.619552,486.907,110.174,12675.7,0.032876,0.716344,0.0157588,14810.4,-0.00159157,0.0149339,23.1014,83.3696,131.726,113,0.944172,12.8928,12.4846,113.305,141.613,18.4218,-28.6131 
36,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,36,12655.4,-0.106425,21.0612,13.6252,114.409,0.069734,-15.5586,78.9947,-0.508784,-0.957484,-0.379827,-0.256604,1.09542,-287.857,1354.46,52.1655,11229,9376.89,1.30378,0.855075,3.24529,1.55595,2.90798,0.671132,1583.75,73.0099,11458.3,0.108987,0.925348,0.0116014,14531.6,-0.000287129,0.0956251,14.1966,12.9213,114.308,93.3033,0.823805,13.4588,12.7656,113.671,141.861,0.63612,-48.5577 
37,97,43.248,4.5,48.55,-0.2,0.19,0.01,37,23487.4,-0.0215798,38.781,13.3331,114.423,-0.000630255,-39.1948,1.42078e-10,-0.113354,-1.22189,0.20146,-0.110849,-0.975013,-160.923,11419.8,70.1975,11656.8,16833.2,0.899937,-0.208602,2.22804,0.902443,0.0382783,0.422802,11548,81.8503,11784.9,0.464428,0.987748,0.0126324,24865,-9.21695e-05,0.953754,13.5644,11.1316,114.136,91.596,0.898047,13.0238,12.4066,113.517,142.236,0.618859,-50.6404 
