cyc,gain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,-5.5,10,11990,-0.31546,25.5915,11.7149,122.6,0.0794244,34.4894,0.00942516,-2.74357,-4.75037,-4.03315,-4.67513,-1.51299,-669.763,734.463,108.915,13296.2,9848.7,1.47375,-0.53305,4.40148,-0.457808,2.70433,0.419996,1267.95,157.414,13829.7,0.0817375,0.821518,0.0205369,15512.5,-0.00234482,0.0512475,13.8856,-19.2723,123.648,93.6087,1.19559,12.1063,11.4534,122.395,132.564,1.25307,-38.9553 
11,-8,11,11915.1,-0.204893,24.951,11.8359,122.525,-0.0753143,260.791,499.902,-5.81272,1.24751,-8.11499,-3.92177,-5.73456,-626.127,331.895,118.555,13640.8,10252.9,-1.87016,5.19006,-0.229877,0.0207832,-1.792,1.17431,830.629,163.894,14139.5,0.0539569,0.743329,0.0209059,15394.3,-0.00173221,-0.0135402,14.6822,4.78801,112.987,76.4303,1.19324,12.2378,11.7117,122.303,133.17,-9.31633,-56.7394 
12,-9.5,12,10632.2,-0.352403,23.46,11.5478,122.552,0.0549629,47.2446,67.6592,1.87991,-6.31725,-6.99805,-4.81053,-5.90815,-531.172,179.225,87.2928,12581.3,8903.55,5.22456,-2.97259,-0.308753,-1.46588,-2.5635,0.852,602.323,125.756,13004.4,0.0430328,0.7324,0.0175019,13996.8,-0.00181185,-0.0127623,15.5804,7.05656,112.603,74.4861,1.14245,11.8975,11.5401,122.47,132.907,-9.86707,-58.4211 
13,-9,13,11603,-0.354344,24.6474,11.8559,122.562,0.160479,100.756,0.0274397,-4.08018,-3.34982,-2.98783,-4.38309,-0.498315,-628.76,239.938,123.145,13362,10039,-0.121046,0.609319,4.93044,-0.423953,3.46082,0.416901,740.769,168.675,13862.8,0.0493205,0.715062,0.0219223,15019.5,-0.00169756,-0.0125251,17.1741,5.99659,110.716,76.5884,1.16921,12.1325,11.7764,122.343,132.281,-11.6272,-55.6925 
14,-8.5,14,11748.9,-0.0535177,25.2232,11.4571,122.625,0.0084504,-62.5535,496.879,-2.42999,-3.07314,-8.75345,-5.88645,-3.79248,-549.542,232.394,108.655,13502.6,9424.66,1.03033,0.38718,-1.83281,-2.42613,-0.332163,0.422481,670.124,148.449,13940.3,0.0445897,0.720633,0.019239,15028.7,-0.0017314,-0.011235,-15.4103,6.96294,110.635,74.3287,1.20318,12.0327,11.6889,122.367,132.193,-11.7319,-57.8646 
15,-6.5,15,12753.5,-0.00927309,25.4257,11.9713,122.743,-0.0191694,5.5254,1.89268e-12,-0.780644,-4.84858,-10.4025,-3.79035,-0.683429,-551.076,634.488,118.279,13847.4,9911.99,2.68933,-1.37861,-3.4625,-0.320378,2.78655,12.0132,1073.44,158.184,14286.3,0.0679893,0.794987,0.0199888,15788.4,-0.00203096,0.0490326,14.2805,17.8285,124.083,97.047,1.16716,12.4858,11.8032,122.485,132.371,1.59762,-35.3239 
16,-6,16,10710.7,-0.339659,24.0551,11.2729,122.717,0.199706,255.523,90.7624,-5.05562,-3.68585,-8.51806,-3.34229,-2.24293,-599.549,520.521,68.409,12301.7,10488.7,-1.28042,0.0893481,-0.967664,0.432907,1.53226,-3.99917,998.083,111.824,12779.3,0.0704823,0.836073,0.0158634,14160.8,-0.00228625,0.0407686,13.516,-18.7627,124.037,94.3008,1.1783,11.7048,11.0692,122.502,132.305,1.53476,-38.0039 
17,-7.5,17,11142.9,-0.377578,24.388,11.6803,122.692,0.332734,65.1378,54.5294,-5.25893,-5.01231,-12.1384,-3.09586,-4.18206,-636.93,387.609,94.4638,12880.4,9978.64,-1.24835,-1.00173,-4.11726,0.914715,-0.171478,0.267926,894.947,140.586,13387.7,0.0609459,0.784373,0.018977,14684.3,-0.00165458,-0.00938891,-15.3764,5.62547,103,74.0365,1.17216,11.9194,11.4762,122.424,132.587,-19.4236,-58.5501 
18,-7,18,11671.1,-0.00469084,24.4992,11.6189,122.636,-0.00323299,-2.55506,2.71169e-12,-3.25263,-3.11753,-2.48256,-4.9355,-2.19371,-526.087,512.317,98.9021,13116.7,9266.69,0.0600028,0.1951,4.14269,-1.62287,1.11892,-0.0639074,931.365,136.997,13535.7,0.0626204,0.795284,0.018303,14873.2,-0.00218186,0.0389791,14.7932,-19.8227,124.638,98,1.16804,12.0688,11.4843,122.367,132.615,2.27023,-34.6153 
19,-5.5,19,11948.7,-0.35533,25.6383,11.6939,122.734,0.665652,-863.968,172.972,-4.37678,-4.03231,-9.39818,-2.98639,-3.98427,-652.783,633.933,103.751,13346,28481.4,-0.266382,0.0780891,-1.17738,1.12401,0.126131,-9.19099,1153.9,151.02,13866,0.0747546,0.813645,0.0196686,15435.8,-0.00225924,0.0441127,14.5978,22.21,124.423,97.9608,1.21232,11.9719,11.2648,122.43,132.817,1.9934,-34.8562 
20,-8,20,11729.6,-0.329818,25.1788,-11.6045,122.542,0.0399529,106.618,234.097,-2.33394,-5.55607,-2.69151,-2.652,-2.71251,-581.157,234.377,95.6436,13535.2,9650.3,1.32545,-1.89668,4.62727,1.00738,0.94688,0.230111,697.289,137.727,13998.1,0.0461313,0.743133,0.0178018,15115.3,-0.00167717,-0.0154783,-13.2548,6.82523,112.641,73.6709,1.21606,12.0054,11.537,122.298,132.364,-9.65647,-58.6928 
21,-9.5,21,11288.5,-0.347534,24.6232,11.5588,122.516,0.0251891,385.666,0.0275197,-3.54675,-2.12491,-2.05529,-1.46394,-5.27817,-548.915,218.245,95.8224,13110.3,9581.38,-0.090378,1.33146,4.85745,1.99243,-1.8218,0.225183,655.476,135.571,13547.5,0.0448666,0.734242,0.0181004,14609.4,-0.00168939,-0.0144317,16.1074,6.24321,109.665,75.1462,1.19564,11.9478,11.4276,122.349,132.095,-12.6841,-56.9486 
