cyc,gain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
47,-8,47,11837,-0.172019,24.893,11.7814,122.654,-0.0798305,44.206,499.999,-1.8727,-2.25937,-7.02801,-6.88508,-4.1017,-564.139,261.922,105.641,13557.6,9661.9,1.67954,1.29286,0.0764589,-3.33285,-0.549466,1.09174,711.28,146.491,14006.9,0.046985,0.735067,0.0189015,15138.4,-0.00179029,-0.00587231,-0.585857,7.55966,106.389,73.8485,1.18508,12.2438,11.7121,122.463,132.458,-16.074,-58.6098 
48,-9.5,48,10981.5,-0.396848,24.3094,11.6637,122.531,-0.13738,-189.753,301.884,1.17645,2.45355,-4.21356,-5.50578,-2.43308,-546.714,126.065,87.5176,13077.4,10078.7,4.61896,5.89606,2.67147,-2.06327,1.00943,0.779812,561.543,127.107,13512.9,0.0387811,0.716272,0.0170323,14479.8,-0.00197535,-0.0126773,18.8884,6.72739,109.516,74.8635,1.18731,12.0461,11.4397,122.34,131.483,-12.824,-56.62 
49,-9,49,10585.8,-0.334807,23.2965,11.5829,122.596,0.0578544,15.7723,500,-2.85738,1.7844,-7.56091,-1.76537,-2.76327,-409.546,94.2862,73.2892,12512.7,8813.89,-0.278573,4.3632,-2.4033,0.81344,-0.184468,2.04026,420.505,102.945,12838.9,0.0308184,0.700072,0.0145554,13644.6,-0.00180456,-0.0153429,20.7297,7.1528,106.991,75.2362,1.13061,12.0815,11.4982,122.4,131.347,-15.4086,-56.1111 
50,-8.5,50,11960.3,0.0109877,25.0637,11.6034,122.714,-0.0112994,6.13396,5.54041e-12,-3.43975,0.377386,-14.3502,-8.49992,-5.08234,-576.314,214.599,110.04,13760.5,9469.53,0.189141,4.00628,-7.09246,-4.87102,-1.45345,0.230879,673.654,151.772,14219.5,0.0439729,0.717222,0.0192826,15319.8,-0.00173101,-0.0107294,16.9445,6.38937,107.821,76.711,1.2101,12.1707,11.6631,122.528,132.189,-14.7066,-55.4781 
51,-6.5,51,11378.9,-0.08403,24.2484,11.6698,122.589,0.0264334,-24.3721,499.982,-0.496485,0.875048,-10.0609,-5.47681,-3.45915,-555.624,455.188,103.229,13010.5,9232.71,3.00213,4.37366,-3.06372,-1.97819,0.039465,2.29088,897.762,143.463,13453.1,0.060847,0.781463,0.0192656,14754.4,-0.00229893,0.0390245,13.2115,18.937,123.65,96.8069,1.14377,12.2158,11.5662,122.359,132.135,1.29062,-35.3277 
52,-6,52,11756.8,-0.0393042,25.2758,11.3984,122.707,-0.00926716,9.53165,0.0238449,-0.530645,0.510652,-10.953,-2.24119,-0.244367,-525.671,510.995,92.8074,13250,9381.66,2.77937,3.82066,-4.33302,1.06882,3.06565,1.67688,929.712,130.873,13668.8,0.0619455,0.802348,0.0173317,15008.5,-0.00225302,0.0432599,12.8438,19.6674,123.077,96.1887,1.211,12.0109,11.3049,122.504,132.33,0.572832,-36.1412 
53,-7.5,53,10023.3,-0.0285252,22.8769,11.1017,122.502,0.0317682,43.0553,500,-3.38688,-4.81841,-9.87519,-8.5954,-4.09552,-620.664,317.667,84.672,11980.1,8312.17,0.521271,-0.910253,-2.05888,-4.68724,-0.187369,0.718827,812.049,129.616,12474.4,0.0594441,0.781661,0.0187809,13660.7,-0.00190709,-0.000564446,2129.75,4.13311,131.848,76.8772,1.13554,11.7249,11.2341,122.307,132.602,9.54146,-55.7248 
54,-7,54,10209.1,-0.0356998,23.0056,11.1857,122.649,0.0460843,-26.2925,2.95213e-07,-4.60487,-0.00851764,-7.67933,-5.8816,-4.53329,-598.992,280.929,82.3345,12195.2,8416.53,-0.833176,3.76317,-0.135948,-2.1099,-0.761597,-0.755228,758.047,125.709,12672.4,0.0548889,0.775069,0.0179456,13810.6,-0.00187929,-0.00341712,785.218,2.95898,147.448,77.7988,1.16173,11.8038,11.1092,122.493,130.456,24.9553,-52.6567 
55,-5.5,55,10150.2,-0.0577331,23.0844,11.2222,122.598,0.0902265,-46.4077,0.061272,0.547024,-4.09861,-4.13681,-5.27804,-0.582208,-590.218,507.247,67.2559,11920,8569.52,4.26347,-0.382159,3.29609,-1.56159,3.13424,0.623306,977.378,109.995,12390.1,0.0711379,0.835459,0.0160904,13739.2,-0.00244954,0.0435305,12.362,-19.4191,123.982,93.6855,1.13602,11.7802,11.0555,122.349,131.735,1.63338,-38.0493 
56,-8,56,10620,-0.361081,23.7519,11.4361,122.529,-0.197031,548.045,56.9546,-3.45724,-1.85141,-12.8633,-6.24735,-3.21825,-521.359,199.152,70.3544,12513.7,12357.6,-0.174378,1.43145,-6.29762,-2.96449,0.0646116,0.206891,614.434,108.107,12929,0.0441046,0.764581,0.0151693,13931.3,-0.00176546,-0.015172,20.3212,5.82202,104.608,75.5185,1.1637,11.8603,11.3358,122.381,132.065,-17.7727,-56.5469 
57,-9.5,57,10650.7,-0.399838,23.7183,11.6657,122.776,0.147035,678.61,211.151,-3.65097,0.704641,-9.72785,-5.05053,-2.75524,-543.178,104.078,79.5501,12802,12255.4,-0.230726,4.12489,-2.88735,-1.63028,0.665012,70.5096,536.74,118.883,13234.6,0.0378828,0.720664,0.0162777,14168.4,-0.00201087,-0.0109115,20.6464,7.27846,110.961,76.0484,1.16915,12.0911,11.3246,122.596,131.775,-11.6346,-55.727 
58,-9,58,10294.1,-0.23815,23.023,11.5086,122.653,0.60672,454.187,498.152,-4.14908,1.31352,-9.15972,-4.17335,-3.5369,-554.678,110.772,76.8142,12507.2,17596,-0.656423,4.80618,-2.1744,-0.680691,-0.0442424,2.73893,552.594,116.98,12949,0.0397835,0.729681,0.016369,13890,-0.00209063,-0.0104788,20.2246,6.77955,108.29,75.5773,1.13544,12.0681,11.4298,122.412,131.777,-14.1218,-56.1996 
59,-8.5,59,10880.2,-0.250251,24.6115,11.0744,122.488,0.1392,-157.181,274.087,-8.54285,-4.75815,-9.00156,-7.61975,-2.01558,-644.098,169.249,95.5376,13110.2,9584.93,-4.48713,-0.70244,-0.890136,-3.56404,2.04014,0.882932,682.296,142.178,13623.3,0.0463697,0.732779,0.0188623,14714.3,-0.00209563,-0.0133446,18.9488,5.65012,107.756,76.8143,1.19791,11.9636,11.4338,122.33,131.135,-14.5747,-54.3203 
60,-6.5,60,11317.1,-0.365935,24.8511,11.5617,122.639,0.231864,-568.723,464.371,-3.89382,-4.97424,-9.78719,-2.15085,-5.84636,-611.921,554.611,98.878,12960.7,13646,-0.0407137,-1.12114,-2.08098,1.70225,-1.99326,0.411128,1042.03,143.189,13448.2,0.0699646,0.806144,0.0192364,14893.6,-0.00237784,0.0422355,13.9995,19.2344,123.72,95.3521,1.17106,11.9632,11.4444,122.463,131.619,1.25673,-36.2666 
61,-6,61,11180.9,-0.375542,24.2549,11.7689,122.504,0.0127284,325.622,272.645,-0.631432,-0.768447,-9.41757,-7.19066,-4.83553,-587.651,440.511,93.708,12863.7,9427.39,3.06885,2.93184,-2.01701,-3.49038,-1.13525,-2.14203,908.597,136.261,13331.8,0.0620611,0.792113,0.0184798,14640.4,-0.00232731,0.0370081,13.7353,20.5602,122.854,98,1.16125,12.0909,11.3161,122.343,131.257,0.510254,-33.2574 
62,-7.5,62,10438.8,-0.378572,23.2952,11.5766,122.484,0.180632,-38.0708,419.974,-1.89801,0.132336,-9.50252,-5.08941,-5.5328,-591.421,264.729,89.8053,12335,9002.78,1.826,3.85635,-2.05449,-1.3654,-1.80878,5.52831,735.818,132.631,12806.1,0.0528373,0.760203,0.0187213,13926.1,-0.00184581,-0.0106959,16.4343,6.106,103,76.1528,1.13565,11.9884,11.3571,122.32,131.392,-19.3204,-55.2388 
63,-7,63,11087.8,-0.0184669,24.1428,11.3192,122.515,-0.00499031,29.4988,500,-7.35144,-3.47306,-6.65691,-9.01693,-5.01062,-637.183,455.477,78.0839,12799.2,8900.89,-3.33927,0.53911,1.36743,-5.00476,-0.998452,1.1839,963.017,124.224,13306.7,0.06565,0.815833,0.0169061,14669,-0.00237362,0.0410109,12.8072,-19.4856,122.984,97.9909,1.16776,12.0447,11.2761,122.394,132.534,0.590125,-34.5432 
64,-5.5,64,11052.4,-0.400457,24.7115,11.5528,122.71,0.515501,187.497,177.057,-4.38994,-1.78862,-5.94904,-5.55104,-1.32162,-550.366,658.846,73.2366,12663.3,12440,-0.924439,1.67689,0.98197,-2.08554,2.14389,0.45226,1097.23,113.09,13101.7,0.0751944,0.847192,0.0156517,14592,-0.00250609,0.0562297,12.5824,17.3608,124.195,91.4717,1.17372,12.0659,11.1538,122.526,131.703,1.66852,-40.231 
65,-8,65,10841.4,-0.373566,23.8099,11.6697,122.352,-0.150194,2610.5,273.699,-4.39536,-0.964178,-10.9279,-6.70694,-2.87294,-623.901,251.509,95.7475,12741,21808.6,-0.466819,2.96436,-3.07082,-2.77841,1.0556,-0.337413,748.469,140.926,13237.9,0.0520366,0.752163,0.0192332,14383.5,-0.00179845,-0.0101093,-14.706,6.12225,107.413,75.0569,1.1574,11.9748,11.4535,122.196,132.147,-14.7829,-57.0901 
66,-9.5,66,11171.6,-0.134107,24.2455,11.528,122.604,0.0138854,19.0336,499.997,-1.93756,-0.0918378,-6.81663,-3.82457,-0.326817,-594.23,156.481,95.7061,13174.5,9107.34,1.80415,3.64987,0.666792,-0.082854,3.41489,0.929461,629.807,138.736,13647.8,0.0428818,0.721764,0.0183816,14687.1,-0.00194273,-0.0131438,11.8366,6.86715,117.397,75.5323,1.18479,12.112,11.4951,122.479,132.252,-5.08201,-56.72 
67,-9,67,11919.7,-0.0988121,24.5283,11.7535,122.543,0.0169508,54.456,500,-4.44033,-3.21099,-4.80921,-4.07711,-2.96849,-616.068,239.302,95.6604,13564.9,9414.92,-0.561116,0.668225,2.94922,-0.197891,0.910731,0.217541,730.023,140.271,14055.7,0.0480046,0.748359,0.0180518,15207.3,-0.0015733,-0.0149892,13.9751,7.27495,111.837,75.0253,1.19348,12.216,11.6228,122.348,132.057,-10.5109,-57.0317 
68,-8.5,68,12088.3,-0.015326,25.0543,11.6289,122.666,-0.0283236,19.493,500,-4.98999,-6.5628,-3.80638,-4.46318,-4.25627,-568.865,242.863,111.128,13731.3,9502.52,-1.408,-2.98081,3.3576,-0.881195,-0.674277,2.29803,695.985,152.321,14184.4,0.0454716,0.723067,0.0193979,15305.9,-0.00158902,-0.0131259,16.1227,6.4412,109.109,74.7544,1.20007,12.182,11.7357,122.456,131.51,-13.3478,-56.7554 
69,-6.5,69,12139.8,-0.00777658,24.8125,-11.714,122.679,-0.00418726,13.8704,4.21642e-12,-4.42615,-1.3409,-9.85765,-9.91903,-4.88623,-564.981,547.881,106.446,13343.4,9463.65,-0.868615,2.21663,-2.74259,-6.3615,-1.3287,0.698111,997.909,147.357,13793.4,0.0656297,0.79465,0.0192997,15205.1,-0.0020177,0.0389122,15.3025,18.8593,124.881,96.6708,1.17249,12.2453,11.531,122.422,132.209,2.45861,-35.538 
70,-6,70,11310.6,-0.355627,24.5986,11.6272,122.641,0.0511066,342.606,226.506,-3.11414,-0.612961,-9.67143,-6.17217,-5.62268,-628.974,679.773,84.1576,12756.4,9880.63,0.846342,3.34752,-1.75046,-2.21169,-1.6622,-0.223683,1180.77,129.703,13257.4,0.079589,0.838764,0.0177031,14835.9,-0.002364,0.0473382,13.749,20.4353,124.794,92.5181,1.14415,12.0728,11.448,122.366,131.864,2.42827,-39.3463 
71,-7.5,71,10324.9,-0.378398,23.3702,11.4327,122.495,0.246656,-81.6882,397.094,-2.15149,-2.57136,-7.7633,-3.38016,-5.92094,-631.052,220.301,76.3013,12304.3,9353.65,1.82207,1.4022,0.183827,0.593402,-1.94738,0.910508,722.956,121.997,12806.9,0.0519586,0.772017,0.0172451,13914.1,-0.00190664,-0.011646,-11.5831,5.30739,109.192,76.4479,1.1427,11.8316,11.3698,122.342,131.874,-13.1502,-55.4264 
73,-5.5,73,11271.2,-0.386928,24.994,11.5641,122.516,0.0273283,-92.2626,172.581,1.87888,-1.95732,-8.91418,-6.71096,-2.97953,-646.825,573.017,77.2468,13033.1,9491.05,5.95176,2.11557,-0.768415,-2.63807,1.09335,1.13354,1088.24,124.085,13548.3,0.0723418,0.833652,0.0165914,15043,-0.00258281,0.0420722,14.185,-20.0357,124.407,94.1041,1.21175,11.9926,11.1499,122.342,132.214,2.06564,-38.1095 
74,-8,74,11019,-0.0453828,23.0447,11.483,122.722,-0.0140076,34.969,500,-4.37701,-4.12944,-9.79034,-2.43639,-1.66349,-560.165,270.551,76.9988,12526.4,8630.27,-0.849807,-0.602233,-2.73592,1.09082,1.86372,-1.21816,716.743,117.562,12972.6,0.0509103,0.776977,0.0164196,14078.5,-0.00142518,-0.0130764,11.2969,6.74025,113.488,74.4006,1.12611,12.0121,11.5193,122.502,132.915,-9.01403,-58.514 
75,-9.5,75,11070.9,-0.352855,23.9704,11.7018,122.771,0.330993,-27.5558,340.604,-0.737011,-3.7019,-11.8564,-2.30143,-0.56728,-550.455,156.329,85.6401,12948.8,9428.01,2.72906,-0.235834,-4.92424,1.16464,2.89879,4.01656,594.786,125.5,13387.3,0.0413514,0.730327,0.0169758,14383.7,-0.00176559,-0.0128078,17.8527,6.31858,109.261,75.6368,1.17637,12.0085,11.4418,122.578,131.992,-13.3169,-56.3554 
76,-9,76,10104.3,-0.0166991,22.1673,11.206,122.422,0.00228199,7.77813,500,0.272051,-1.86287,-9.25925,-3.90038,-0.956671,-526.245,213.583,88.0721,11734.8,8087.01,3.58568,1.45076,-2.632,-0.586757,2.35696,1.63047,632.756,126.179,12153.9,0.0481136,0.741306,0.0187654,13151.3,-0.00153196,-0.00852344,16.3515,6.26522,111.545,76.5283,1.10521,11.6838,11.3042,122.27,132.834,-10.7257,-56.3059 
77,-8.5,77,10993.8,-0.340229,23.9126,11.6016,122.645,0.16469,9.79175,0.0418725,-4.42285,-1.82449,-7.34784,-2.52223,-1.08794,-572.152,194.764,77.489,12776.7,9083.55,-0.820166,1.7782,-0.142467,1.08046,2.51475,1.0323,650.504,118.92,13232.4,0.0455539,0.757621,0.0162854,14279.9,-0.00170063,-0.0142066,17.2201,5.50777,109.073,76.7686,1.16186,12.0078,11.4461,122.432,131.869,-13.3593,-55.1006 
78,-6.5,78,11402,-0.380013,24.1907,12.0196,122.628,-0.106856,229.973,494.542,-0.826842,-1.71832,-9.24968,-3.45981,-4.69793,-613.004,486.491,91.5991,13018.5,10265.3,3.03308,2.1416,-1.52984,0.400113,-0.838014,1.47704,974.771,135.988,13506.8,0.0654791,0.803769,0.0182089,14886.7,-0.00236817,0.0391731,15.3374,18.6727,123.937,97.7475,1.16461,12.2841,11.2814,122.414,131.781,1.52317,-34.0334 
79,-6,79,10730.4,-0.375231,23.4986,11.7298,122.851,0.262075,755.286,471.068,-3.93604,-4.14295,-9.55689,-3.40761,-3.21469,-620.031,499.77,62.6715,12408,15416.4,-0.0318657,-0.238782,-1.74855,0.496564,0.689485,-1.09872,993.647,107.569,12901.8,0.0695708,0.840725,0.0151263,14282.5,-0.00239758,0.0385025,14.0249,18.7569,126.284,94.2144,1.11079,12.1492,11.4605,122.542,131.937,3.74266,-37.7226 
80,-7.5,80,11296.9,-0.352182,24.5016,11.6451,122.545,-0.00721337,383.43,491.77,-3.31841,-3.48137,-7.35303,-2.58119,-3.50018,-566.903,365.953,96.6445,13014.6,9378.24,0.251225,0.0882689,-0.213759,0.988449,0.0694542,1.18059,817.512,137.695,13466.2,0.0556596,0.772346,0.0184878,14687.7,-0.00166778,-0.00960912,-12.9447,5.83437,107.25,73.9005,1.16584,12.0633,11.542,122.291,132.185,-15.0416,-58.2848 
81,-7.5,81,10933.5,-0.0293442,23.5931,11.4763,122.638,-0.0039701,17.5854,500,-2.03019,-4.82716,-9.6446,-6.04127,-8.61965,-597.125,367.97,86.7576,12639.2,8816.48,1.72975,-1.06722,-2.12472,-2.28133,-4.85971,0.753033,843.602,129.997,13114.8,0.0587799,0.787606,0.0179319,14351.9,-0.00165637,-0.012312,12.3634,5.75079,103.001,75.7222,1.1616,12.0125,11.3136,122.428,132.19,-19.428,-56.4682 
82,-7.5,82,11193.6,-0.372946,24.5928,11.6064,122.492,0.0528721,-5.47136,103.939,-2.38676,-2.19757,-6.07949,-2.32179,-2.09944,-605.698,291.075,81.5923,13088.8,9301.25,1.42716,1.61635,1.54835,1.49212,1.71447,0.801455,773.535,125.452,13571.3,0.0524361,0.778928,0.0167432,14751.9,-0.00181978,-0.0130013,-14.8448,5.8601,107.043,75.2588,1.21033,11.967,11.2934,122.223,132.255,-15.1798,-56.996 
83,-7.5,83,10566.1,-0.0171452,23.4631,11.2321,122.62,-0.001328,3.09761,500,2.06649,-1.27066,-9.0244,-6.49446,-5.38426,-538.076,241.29,77.4029,12529.7,8579.21,5.45461,2.11746,-2.24815,-3.10634,-1.99614,11.1524,669.887,116.366,12958.3,0.0477914,0.766875,0.0162731,14016.9,-0.00188529,-0.01252,-13.3788,5.9197,108.389,76.5902,1.16007,11.8698,11.3767,122.38,132.012,-13.9914,-55.4215 
84,-7.5,84,11227.4,-0.320928,23.8698,11.7416,122.797,0.338998,-415.144,381.499,-1.83801,-2.66563,-6.53037,-6.46263,0.606888,-488.494,324.444,81.8934,12789,13705.1,1.23791,0.410283,-0.378539,-3.38672,3.6828,1.24176,713.548,117.266,13178.1,0.0499438,0.776639,0.0161277,14287,-0.00151856,-0.0122841,15.6716,5.43166,103.867,74.4734,1.14726,12.0925,11.5129,122.542,131.528,-18.6743,-57.0543 
85,-7.5,85,11287.9,-0.23136,23.9008,11.7078,122.698,0.0681383,-14.3662,0.000253255,-3.02331,-1.81929,-9.18827,-3.79781,-4.44105,-484.148,341.531,90.0228,12801.4,9141.1,0.0252414,1.22926,-3.09117,-0.749258,-1.3925,0.223016,727.173,125.081,13187.1,0.0508162,0.768629,0.0171726,14309.9,-0.00148452,-0.0159027,-10.5756,5.70072,103.554,75.8075,1.13323,12.1303,11.6324,122.429,131.888,-18.8748,-56.0809 
86,-7.5,86,11172,-0.334365,23.9018,11.7394,122.695,0.01105,-230.982,6.38647,-4.32949,-4.40202,-8.14935,-1.67405,-4.18053,-536.134,358.708,88.1604,12820.7,9217.31,-0.9536,-1.02613,-1.39757,1.70184,-0.804641,0.436486,785.758,126.983,13247.8,0.0544494,0.779538,0.0173507,14431,-0.00161486,-0.0122818,-14.3367,6.28289,103.049,73.8453,1.14984,12.1273,11.5059,122.442,131.34,-19.3927,-57.4949 
87,-7.5,87,11271.7,-0.356774,24.4401,11.6733,122.609,0.0861828,278.468,46.2359,-4.29519,-2.1796,-11.2403,0.395611,-5.27727,-625.246,310.332,89.0758,13035.7,10068.6,-0.358184,1.75741,-3.36626,4.33262,-1.34026,4.28312,808.364,134.351,13533.7,0.0548113,0.774682,0.0179584,14748.1,-0.00168716,-0.0125666,11.8091,6.80037,104.82,74.2642,1.18715,12.0603,11.3545,122.382,131.42,-17.5617,-57.1556 
88,-7.5,88,11002.6,-0.0331554,24.1387,11.3879,122.652,0.00387396,-13.862,500,-3.08498,-4.50645,-8.40478,-2.6263,-1.60513,-660.962,341.655,80.7857,12940.1,8950.36,1.07692,-0.34455,-0.0809819,1.53561,2.55677,1.01707,868.135,128.648,13466.5,0.0589018,0.794073,0.0172935,14738.7,-0.00189212,-0.0105615,-16.5899,5.40226,103.005,73.8547,1.18115,12.0319,11.4031,122.467,132.401,-19.4627,-58.5458 
89,-7.5,89,11156.9,-0.360719,24.6055,11.6833,122.56,-0.392434,798.537,499.986,-1.75631,-0.680929,-9.25384,-3.41234,-3.89065,-608.954,300.602,96.7035,13137.1,19559.5,2.07811,3.15349,-1.585,0.422078,-0.0562339,1.39502,785.656,140.799,13622.2,0.0530257,0.761254,0.0186843,14816.5,-0.00190672,-0.0124215,-17.2093,5.68325,103.003,75.0149,1.181,12.1102,11.4965,122.35,132.183,-19.3467,-57.1677 
90,-7.5,90,10452.8,-0.35645,23.3028,11.4816,122.423,0.303878,705.056,9.93507e-08,-1.97796,-0.0697931,-9.30381,-4.74089,-4.55424,-578.26,221.083,70.1374,12290.2,15684.3,1.66319,3.57135,-2.02151,-1.09974,-0.913091,2.68432,681.688,112.011,12750.8,0.049344,0.77667,0.0159244,13815,-0.00173669,-0.0105584,18.1979,6.64583,108.995,72.9776,1.14175,11.8384,11.3556,122.242,131.846,-13.2473,-58.8681 
91,-7.5,91,11040.6,-0.0557519,24.3228,11.2686,122.641,0.00135628,26.9935,500,-1.75809,-1.54815,-5.10033,-3.47662,-7.10741,-574.829,256.441,80.4163,12903.7,8923.52,1.86146,2.07139,2.13876,0.142927,-3.48786,0.215616,714.314,122.041,13361.6,0.0493421,0.769829,0.0165469,14476.7,-0.00178412,-0.00954158,-12.8728,7.34419,104.044,75.4092,1.19194,11.8977,11.3513,122.395,132.42,-18.3507,-57.011 
92,-7.5,92,10647.2,-0.375809,23.7849,11.5153,122.773,-0.54566,-354.799,470.536,-3.8285,1.50425,-7.84268,-3.863,-7.25157,-586.721,351.036,96.5371,12493.7,15218.3,-0.134074,5.19868,-0.45383,-0.168579,-3.55714,1.51277,818.381,139.023,12961.1,0.0577614,0.770842,0.0193759,14168.3,-0.0134182,0.0161773,2058.97,103.43,103,98,1.14785,11.7872,11.3927,122.474,132.026,-19.4744,-34.0258 
93,-7.5,93,10544,-0.311867,23.1147,11.4385,122.648,0.0801944,163.759,445.421,-3.79806,-1.67286,-6.18557,-2.43654,-2.39288,-532.904,262.245,60.2483,12213.1,9034.51,-0.442511,1.6827,0.525532,0.919014,0.962676,0.855916,686.723,98.8371,12637.5,0.0501134,0.798805,0.0142023,13703.4,-0.00155914,-0.0144966,17.7734,5.75424,104.375,74.162,1.13466,11.8737,11.3079,122.353,131.659,-17.9784,-57.497 
94,-7.5,94,11782.7,-0.356791,24.873,11.9163,122.644,0.563421,-401.347,290.396,-1.53696,0.304132,-10.8668,-2.80471,-4.92679,-569.785,370.802,101.621,13474.8,17009.8,2.05083,3.89192,-3.69126,0.783071,-1.339,3.17702,824.657,142.88,13928.7,0.0543567,0.767339,0.0185458,15171.2,-0.0016961,-0.00229668,4081.84,3.8614,108.486,76.2842,1.17823,12.3207,11.6383,122.428,132.008,-13.9415,-55.7235 
95,-7.5,95,11057.4,-0.384112,24.3541,11.6507,122.599,-0.51835,395.912,352.886,1.3108,0.0228598,-9.14797,-1.57679,-1.70364,-574.009,326.178,91.7592,12948.2,15917.4,4.92518,3.63724,-1.9192,2.03759,1.91074,1.1812,783.398,133.325,13405.4,0.0536906,0.770518,0.0179912,14591,-0.00180657,-0.00240619,2210.88,3.37333,103.034,76.0502,1.17677,12.008,11.4298,122.356,131.243,-19.322,-55.1925 
96,-7.5,96,11399.1,-0.340382,24.3254,11.7657,122.732,0.150769,-201.77,479.146,-1.05855,-0.80037,-10.1518,-1.99758,2.18,-568.303,331.369,89.8412,13038.8,10307.2,2.51991,2.77808,-2.99493,1.58087,5.75845,1.3106,784.044,130.993,13491.5,0.053408,0.773766,0.0175713,14680.3,-0.00161772,-0.00205823,356.637,4.64015,147.96,74.8528,1.15493,12.1171,11.6621,122.502,131.456,25.4576,-56.6037 
97,-7.5,97,11399.5,-0.181298,24.5597,11.481,122.628,-0.495624,846.026,499.999,-2.28409,-2.51402,-7.20931,-2.29597,-4.96307,-581.37,387.537,100.883,13010.1,22829,1.37665,1.14672,0.112157,1.36477,-1.30233,0.958429,850.62,142.982,13473.2,0.0577553,0.772702,0.0191742,14728,-0.00153897,-0.0127183,16.6042,5.95115,103.002,74.3272,1.16406,11.9374,11.6818,122.354,132.045,-19.3525,-57.7175 
98,-7.5,98,11222.8,-0.0378866,24.8433,11.3013,122.779,-0.00113964,26.5174,499.983,-0.605563,-1.24391,-4.45208,-2.58455,-2.80481,-680.298,370.924,92.5535,13137.5,9140.69,3.67809,3.03975,4.11523,1.6991,1.47884,0.706286,912.806,141.816,13679.4,0.0608434,0.786235,0.0187394,15002.6,-0.00185268,-0.0107471,-14.3481,6.20888,103,74.203,1.19864,11.8951,11.5175,122.498,131.611,-19.4974,-57.4078 
99,-7.5,99,11526,-0.391449,25.1795,11.7061,122.717,-1.84283,119.289,67.9055,-3.8051,-2.4952,-4.66215,-1.09444,-5.21012,-596.742,340.691,102.771,13415.1,16751.4,-0.0475721,1.26233,2.85291,2.66309,-1.45259,0.459488,816.018,145.982,13890.4,0.0539582,0.761575,0.0189921,15123.1,-0.00193678,-0.00618877,116.951,0.0759283,105.874,75.1758,1.19164,12.0951,11.6662,122.431,132.398,-16.5562,-57.2219 
100,-7.5,100,10915.6,-0.384804,24.2598,11.5723,122.663,-0.0348028,930.092,202.859,-2.57756,-0.82679,-6.04203,-1.56397,-0.766045,-548.074,242.42,87.9496,12734.3,10192.8,0.873512,2.62429,0.860122,1.8871,2.68503,0.903682,678.981,127.637,13170.9,0.0476647,0.752462,0.0175385,14245,-0.00174073,-0.0114007,15.682,6.51888,104.885,73.3798,1.16404,11.9549,11.4334,122.434,131.301,-17.5491,-57.9213 
101,-7.5,101,11685.2,-0.00202146,24.3693,11.6859,122.819,0.0414862,-23.4145,2.15827,-4.13944,0.886246,-5.78947,-3.82564,-4.02402,-634.209,389.756,116.589,13292.2,9302.07,-0.145991,4.87969,2.19743,0.167805,-0.0305723,0.689118,894.927,162.514,13797.4,0.0592423,0.758846,0.0212367,15106.2,-0.00160612,-0.00929674,16.3879,6.83451,103.003,73.6562,1.14568,12.2657,11.8514,122.488,132.249,-19.4853,-58.5924 
102,-7.5,102,11861.2,-0.0216495,24.9055,11.6156,122.673,-0.0129625,12.1632,1.23726e-12,-1.30184,-3.92049,-4.15443,-5.16754,-3.06371,-607.346,348.71,94.3227,13585.6,9422.57,2.52245,-0.0961941,3.49416,-1.34325,0.760589,0.345389,832.484,138.302,14069.4,0.0543256,0.774755,0.0177858,15324,-0.00168109,-0.010566,16.183,6.18865,103,74.7359,1.20706,12.1975,11.53,122.395,131.623,-19.3946,-56.8874 
103,-7.5,103,10319,-0.363583,23.0607,11.5077,122.656,0.284491,-249.967,278.56,-5.78723,2.46131,-3.24633,-5.98776,-4.30996,-551.492,324.063,79.7988,12123.9,10953.8,-2.31463,5.93391,3.69887,-2.51517,-0.837367,0.0672647,763.347,119.734,12563.2,0.0557048,0.784625,0.0172533,13703.4,-0.0141703,0.016863,7532.62,108.14,137.541,97.9999,1.12317,11.8833,11.2104,122.376,132.388,15.165,-34.3885 
104,-7.5,104,10834,-0.273583,23.352,11.4059,122.784,-0.00642165,712.882,491.819,-0.306593,-0.6853,-5.88287,-2.47687,-3.98168,-503.291,342.138,85.7609,12298.7,8819.64,2.8625,2.48379,0.45531,0.69222,-0.812595,0.919857,743.027,122.205,12699.6,0.0537504,0.776505,0.0174174,13823.7,-0.00145228,-0.0437304,3.47132,-0.00650534,103.607,72.648,1.14728,11.8078,11.2892,122.504,132.152,-18.8965,-59.5037 
105,-7.5,105,11805.9,-0.142949,24.9429,11.7086,122.687,0.0867536,-87.4851,500,-1.00036,-1.43663,-8.87795,-6.24619,-2.84069,-617.386,343.332,88.5733,13564.1,9754.14,2.88715,2.45088,-1.10292,-2.35867,1.04682,1.37729,835.103,133.28,14055.9,0.0545368,0.781681,0.0171673,15312.6,-0.00179592,-0.00117923,2083.69,2.06596,103.123,76.9273,1.20121,12.2117,11.5818,122.413,131.991,-19.2897,-55.0637 
