cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.5,46.05,0.2,-0.19,-0.01,0,3830.85,-0.0156785,9.65605,-9.93447,114.037,0.020187,5.31518,5.74745e-12,-2.58851,-2.07731,-3.4024,-2.45615,-2.19474,-8.33876,598.817,-18.9786,4098.54,3126.26,-2.53601,-2.02481,-3.29738,-2.40364,-2.14223,0.734169,605.459,-18.3748,4105.18,0.115451,1.05609,-0.00831382,5244.32,-0.000721818,0.075414,10.5657,10.1657,113.989,91.1904,0.475248,9.88646,10.4009,113.33,140.12,0.658596,-48.9299 
1,7,43.248,4,46.05,-0.2,0.19,0.01,1,2422.23,-0.134084,-7.43809,9.56513,114.561,-0.197837,208.397,4.98773e-06,-1.12849,-2.27776,0.158453,0.699584,-2.87798,10.8638,-37.3036,-26.9545,3497.08,3658.17,-1.19689,-2.34617,0.0216405,0.631178,-2.94639,1.00371,-45.957,-27.7411,3488.42,-0.0117961,0.486297,-0.0148668,3895.96,-0.000711595,-0.0204091,12.4209,8.3871,90,112.895,0.474818,9.36165,9.37897,113.784,139.693,-23.7838,-26.7984 
2,97,43.248,4,48.5,-0.2,0.19,0.01,2,8118.78,-0.107079,20.2031,9.33002,114.402,0.0171412,96.2453,8.8887,0.774017,-0.851249,-3.50865,-0.544678,0.114382,58.9219,4033.55,-22.6345,4778.38,6189.85,0.403001,-1.22226,-4.25068,-0.915693,-0.256634,0.319049,3986.62,-26.9011,4731.45,0.427146,1.01195,-0.0105843,9333.15,-0.000577295,0.673773,9.15184,8.20698,114.07,90.8294,0.654242,9.35317,9.29931,113.699,140.56,0.371539,-49.7305 
3,97,43.248,0,48.5,-0.2,0.19,0.01,3,9030.58,-0.0383349,21.1346,9.48708,114.413,0.0340793,10.7941,23.7282,-0.848866,1.88272,2.27171,2.69227,0.372748,37.3877,4711.45,-23.917,4682.82,6539.08,-1.08429,1.6473,1.80087,2.45685,0.137328,0.63678,4681.67,-26.6243,4653.04,0.471011,1.01005,-0.0106527,9939.61,-0.000260838,0.732954,9.4805,8.45876,114.124,88.9344,0.630822,9.45477,9.30768,113.624,138.522,0.499774,-49.5871 
4,95,43.248,0,40,-0.2,0.19,0.01,4,4858.24,-0.00913668,11.7566,9.69463,114.157,-0.0121373,-4.79028,500,-1.94871,-1.48074,0.0569294,-0.356945,-5.03675,0.979331,-0.307652,0.639637,5423.75,3712.18,-1.95488,-1.4869,0.0445963,-0.363111,-5.04292,1.00507,-1.08773,0.568722,5422.97,-0.000177534,11.764,0.000193149,6126.86,-0.000457894,0.0128693,13.2482,-10.5993,124.451,107.498,0.736764,9.30225,9.34981,113.501,139.014,10.9494,-31.5161 
5,75,46.2227,0,46.05,0.2,-0.19,-0.01,5,3278.73,-0.0213979,-9.34434,8.90235,114.349,0.00500779,-19.3582,498.394,0.282563,-2.85128,-2.01659,-1.5604,-2.42666,-28.5053,-37.5661,-13.0641,4133.3,2711.15,0.462053,-2.67179,-1.65761,-1.38091,-2.24717,0.77885,-14.8606,-10.9999,4156.01,-0.00317438,0.435661,-0.00489949,4681.43,-0.000699355,0.00878186,9.77665,-12.3479,118.109,106.309,0.585444,9.017,9.24997,113.713,139.872,4.3961,-33.5636 
6,75,47.3227,2.5,46.05,0.2,-0.19,-0.01,6,3260.76,-0.122345,-8.67316,9.76526,114.507,1.01488,-693.972,469.957,0.00295389,0.451853,-2.10924,-1.79205,0.388434,7.69749,492.899,-23.7897,3584.3,25684.3,-0.0455152,0.403384,-2.20618,-1.84052,0.339965,0.341216,486.768,-24.3471,3578.17,0.107452,1.09593,-0.0126934,4530.1,-0.000672547,0.0741883,10.1941,8.85781,114.134,91.3512,0.466195,9.41254,9.70796,113.745,140.124,0.388455,-48.7725 
7,7,43.248,4,46.05,-0.2,0.19,0.01,7,2745.87,-0.000203062,-7.40007,9.43248,114.687,0.00281226,11.2767,1.21065e-06,-2.22222,0.278219,0.355543,-2.45204,1.25581,-15.0334,-38.4622,-21.6496,3539.33,2273.29,-2.12756,0.37288,0.544866,-2.35738,1.35047,1.2458,-26.4876,-20.561,3551.31,-0.00664433,0.42401,-0.0107802,3986.49,-0.000674873,0.0113204,7.65747,-8.02076,131.97,109.062,0.48128,9.2611,9.49596,113.861,140.218,18.1084,-31.1567 
8,97,43.248,4,48.5,-0.2,0.19,0.01,8,8198.83,-0.0641676,20.7559,9.23102,114.39,0.0961111,107.197,7.23112e-07,-0.929621,-4.96824,-1.41279,-1.61288,-1.63071,40.7775,4054.35,-40.871,4927.49,6572.55,-1.18639,-5.225,-1.92632,-1.86965,-1.88748,0.840732,4021.87,-43.8238,4895.01,0.420996,1.01944,-0.0167684,9553.23,-0.000743385,0.677692,9.23045,8.23924,113.952,90.7761,0.679152,9.46936,9.21426,113.733,140.21,0.219076,-49.4338 
9,97,43.248,0,48.5,-0.2,0.19,0.01,9,9901.88,-0.0823778,22.7894,9.84779,114.527,0.00535981,-168.511,463.601,-2.88581,-1.30387,-2.04044,-1.49868,4.45028,30.7042,5051.12,-22.6917,5352.75,7335.18,-3.07915,-1.4972,-2.42712,-1.69202,4.25694,0.453172,5026.67,-24.9151,5328.29,0.455,1.00875,-0.00868853,11047.6,-0.00041461,0.764624,9.66341,8.53125,114.169,89.2809,0.684903,9.91913,9.43057,113.76,139.111,0.409106,-49.8302 
10,95,43.248,0,40,-0.2,0.19,0.01,10,4349.97,-0.120509,11.2994,-9.57167,114.468,0.66761,42.7255,136.895,-3.10195,-1.56062,-7.62179,-0.201941,-2.08879,11.8673,-57.2713,-17.8528,5174.65,4449.32,-3.17667,-1.63534,-7.77124,-0.276666,-2.16352,0.482726,-66.724,-18.7121,5165.2,-0.011564,0.670794,-0.00671828,5769.95,-0.000509527,-0.0147028,13.909,7.48613,104.043,81.0413,0.696358,9.31332,9.54674,113.742,139.17,-9.6991,-58.1286 
