cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-3.975,43.2477,0,9439.01,-0.325638,27.612,8.76278,119.436,0.2234,6.04672,369.044,-2.32164,-2.14046,-0.640182,-4.74626,-7.66154,-528.349,4864.98,-14.9533,6543.61,7920.49,1.00523,1.18641,6.01356,-1.41939,-4.33467,-1.45337,5285.83,23.3057,6964.46,0.471712,0.992343,0.00612662,11205.6 
1,-4.015,43.2077,1,9876.56,-0.359823,29.0379,8.79328,119.246,0.319759,-451.102,28.6129,-1.1811,-0.841119,-3.96518,-3.30592,-5.18502,-511,5381.42,-16.0141,6663.46,13007.7,2.03653,2.37651,2.47007,-0.0882894,-1.96739,0.488326,5788.45,20.9886,7070.49,0.490615,0.993695,0.00543851,11798.4 
2,-3.96,43.2627,2,9995.72,-0.0512734,29.3848,8.58809,119.413,-0.129122,-19.3073,3.87493e-05,-2.54091,-0.600962,-4.9695,-0.601961,-6.63711,-645.79,5213.89,-19.8668,7026.13,8296.3,1.52545,3.4654,3.16323,3.46441,-2.57074,0.650385,5728.29,26.8965,7540.52,0.471941,0.99185,0.00652775,12137.7 
3,-3.945,43.2777,3,9785.82,-0.144194,29.8112,8.61371,119.39,-0.00774653,97.0139,0.00644082,0.218984,0.289525,-8.3645,-4.31461,-7.61609,-625.913,5485.28,-17.0195,6839.58,8383.67,4.16019,4.23073,-0.482078,-0.373401,-3.67488,1.12487,5983.84,28.3044,7338.15,0.489625,0.99179,0.00705516,12221.3 
4,-4.01,43.2127,4,10090.9,-0.192282,29.4717,8.76518,119.531,-0.0428285,164.854,499.662,-1.61825,-2.57511,-5.91797,-5.19673,-5.00326,-568.201,5799.22,-1.63745,6577.1,8639.16,1.95956,1.0027,1.23765,-1.61892,-1.42546,-0.0710622,6251.82,39.5074,7029.69,0.51131,0.989062,0.0102467,12227.1 
5,-3.98,43.2427,5,9265.6,-0.116795,27.6773,8.65806,119.347,-0.761873,-3770.68,1.78154e-06,-3.5311,0.452927,-5.26762,-4.25192,-5.71194,-585.638,5356.92,-4.19114,6183.62,101319,0.156509,4.14053,2.10759,-0.564317,-2.02433,0.447694,5823.41,38.2163,6650.1,0.507442,0.988646,0.0104752,11476 
6,-3.985,43.2377,6,8319.76,-0.311542,26.6545,8.53993,119.369,-0.930522,1854.55,1.06462e-05,-4.7294,-6.42644,-5.85179,-2.90057,-7.95845,-574.645,4560.13,-21.5803,6194.69,63587.2,-1.11102,-2.80805,1.38498,0.717819,-4.34006,1.22497,5017.86,20.0311,6652.41,0.470171,0.993063,0.00551617,10672.4 
7,-3.99,43.2327,7,9407.86,-0.398923,28.1526,8.86567,119.185,0.34765,272.332,477.603,0.024322,-2.16608,-9.87583,-5.68175,-8.67029,-608.501,5229.79,-1.34963,6489.39,11207.1,3.85589,1.66549,-2.21269,-1.85018,-4.83872,0.3454,5714.48,42.7134,6974.08,0.490832,0.987088,0.0111563,11642.4 
8,-4.03,43.1927,8,10194.1,-0.0668606,30.0516,8.69248,119.243,0.0177331,5.35562,500,-5.24001,-1.28464,-10.4478,-8.56621,-7.78385,-635.449,5989.66,-7.19101,6639.64,8506.76,-1.23876,2.71661,-2.44534,-4.56496,-3.7826,0.737485,6495.81,38.8234,7145.79,0.516782,0.989649,0.00990905,12569.7 
9,-4.005,43.2177,9,8925.84,-0.0908826,28.0526,8.5662,119.349,0.0679691,7.89591,3.52947e-09,2.37214,-2.38608,-3.22273,-3.83855,-5.74126,-572.989,5093.12,-16.2737,6391.16,7840.16,5.9801,1.22188,3.9932,-0.230585,-2.1333,0.547836,5549.53,25.2178,6847.57,0.488087,0.99211,0.00673828,11370 
10,-3.955,43.2677,10,10735.1,-0.0402801,30.9,8.76654,119.419,0.00926517,10.7365,1.65991e-12,-1.86993,-0.698732,-3.25623,-1.34158,-1.51098,-661.691,5657.91,-10.8362,7351.37,8821.48,2.29656,3.46776,5.07675,2.82491,2.65551,0.688953,6184.97,37.0785,7878.43,0.480138,0.989618,0.00859503,12881.6 
11,-3.97,43.2527,11,10167.7,-0.203942,30.27,8.64644,119.102,0.0958747,41.1389,2.1583e-06,-1.84527,-2.91587,-6.68395,-5.02401,-5.10655,-572.178,5532.03,-18.3838,6820.92,8648.51,1.75758,0.686977,0.521752,-1.42116,-1.5037,-11.5876,5987.79,23.0489,7276.68,0.491892,0.993309,0.00580103,12173 
12,-3.95,43.2727,12,8538.45,-0.430775,27.435,8.60248,119.412,0.622568,1273.49,414.2,1.03459,-1.82438,-7.40309,-1.11628,-2.39174,-568.495,4988.93,-33.7543,6122.84,33492.3,4.61425,1.75528,-0.243763,2.46338,1.18792,1.02493,5441.75,7.41179,6575.67,0.493311,0.997622,0.00207203,11031.1 
13,-3.94,43.2827,13,9996.59,-0.0382356,29.6966,8.58606,119.546,0.00552416,2.04641,499.976,0.268654,-0.178719,-2.17267,1.47089,0.0295282,-565.242,5372.13,-22.2365,6956.84,8300.72,3.82783,3.38046,4.94569,5.03007,3.58871,0.761915,5822.37,18.6941,7407.08,0.480458,0.994413,0.00462762,12118.4 
14,-4.025,43.1977,14,10068.8,-0.323252,30.7656,8.50119,119.328,0.00453522,76.9323,453.977,-0.751389,-1.26057,-4.801,2.1087,-0.368415,-612.067,5573.94,-23.0321,6734.88,8525.49,3.10263,2.59345,2.90704,5.96272,3.48561,0.838958,6061.47,21.2891,7222.42,0.496821,0.993891,0.00540055,12200.5 
15,-4,43.2227,15,8955.03,-0.020202,27.1144,8.53498,119.307,-0.0267129,-26.1377,500,-4.52614,-8.10664,2.32323,0.779676,0.0269737,-522.739,5001.05,-11.3641,6132.51,7556.25,-1.23459,-4.81509,8.90633,4.07123,3.31852,0.130785,5417.43,26.4887,6548.89,0.493212,0.991516,0.00739577,10984 
16,-4.02,43.2027,16,10024.5,-0.0424299,29.7568,8.80385,119.212,-0.00821232,4.65474,500,1.1275,-1.11742,-8.91303,-6.10987,-7.92707,-597.458,5933.35,-26.402,6619.19,8529.37,4.88953,2.64461,-1.38896,-2.34784,-4.16504,-2.7774,6409.24,16.8613,7095.09,0.51521,0.995417,0.00435865,12440.1 
17,-3.965,43.2577,17,10050.4,-0.0416666,29.8265,8.71628,119.329,4.37032e-05,-25.9276,499.748,-3.42306,-2.0717,-1.32101,-5.31188,-4.42733,-607.244,5700.59,-3.51766,6920.39,8463.13,0.400598,1.75196,6.3263,-1.48823,-0.603678,0.00949622,6184.28,40.4544,7404.08,0.495625,0.988682,0.00996459,12477.8 
18,-3.995,43.2277,18,8836.99,-0.0219727,27.7488,8.48238,118.988,-0.0116035,-32.9258,492.604,-0.216939,-0.719754,-3.92887,1.36705,-3.2914,-542.032,4936.8,-26.6336,6455.87,7674.69,3.19609,2.69328,2.8972,4.78009,0.121633,0.788345,5368.55,12.6163,6887.62,0.478352,0.995904,0.0033629,11223 
19,-3.975,43.2477,19,10053.5,-0.271146,29.0276,8.88888,119.017,0.162716,209.084,275.536,-2.76856,-0.410956,-6.18856,-1.72596,-3.98233,-460.619,5535.65,-5.56782,6764.58,9507.01,0.131832,2.48944,-0.387772,1.17443,-1.08194,1.16671,5902.55,27.7867,7131.48,0.493347,0.991829,0.00712633,11964.3 
20,-4.015,43.2077,20,9841.97,-0.392215,29.0861,8.87916,119.215,0.679171,703.208,410.094,-3.71561,-2.44794,-0.0327502,-4.1475,-7.0023,-533.735,5687.18,0.846761,6435.09,23954.6,-0.354828,0.912849,6.68882,-0.786713,-3.64151,-1.37308,6112.32,39.4958,6860.23,0.511769,0.988819,0.0104941,11943.5 
21,-3.96,43.2627,21,9365.29,-0.367995,29.6511,8.67469,119.443,0.547546,52.2861,2.88714e-08,-3.34633,-2.72668,-10.1227,-4.54618,-6.30004,-647.741,5685.62,-15.8166,6456.3,9305.14,0.732326,1.35198,-1.96543,-0.467525,-2.22139,0.235252,6201.57,31.088,6972.25,0.511344,0.991304,0.0081467,12128 
22,-3.945,43.2777,22,9604.9,-0.0214325,29.5159,8.50979,119.31,-0.0247144,2.90788,500,-4.87505,-5.39085,-5.71788,-0.860717,-4.75765,-601.409,5564.38,-9.95998,6584.8,8178.88,-1.08814,-1.60394,1.85594,2.92619,-0.970741,-0.658103,6043.43,33.5895,7063.84,0.501625,0.990367,0.0086834,12047.7 
23,-4.01,43.2127,23,9922.15,-0.0398434,29.8284,8.63528,119.29,0.00995924,-24.7078,1.51225e-05,0.308965,-2.99315,-3.86865,0.12462,-8.97409,-581.645,5713.56,-7.316,6651.92,8392.97,3.97143,0.66932,3.45628,3.78708,-5.31163,0.474129,6176.86,34.8023,7115.22,0.505273,0.990236,0.00892974,12224.8 
24,-3.98,43.2427,24,9075.33,-0.384,28.1099,8.56197,119.168,-0.174324,-58.2466,60.0593,-3.51485,-4.26307,-8.25262,-3.08233,-6.08262,-547.226,5178.58,-12.7473,6153.74,8165.35,-0.0691135,-0.81733,-1.36114,0.363409,-2.63688,0.698932,5614.47,26.8787,6589.63,0.500592,0.991692,0.00745779,11215.7 
25,-3.985,43.2377,25,8909.65,-0.0295751,28.1867,8.59485,119.227,0.00710249,-13.5713,500,-0.425705,-4.59794,-6.51863,-0.871186,-4.56843,-725.504,5363.34,-23.2854,6303.17,7889.52,4.1426,-0.0296383,2.61798,3.69712,-0.000123476,0.748946,5941.23,29.2501,6881.06,0.503916,0.991458,0.0077696,11790.1 
26,-3.99,43.2327,26,8295.27,-0.0195315,26.1566,8.52298,119.413,-0.000132171,-4.85233,499.969,1.27686,-4.79542,-9.19312,-1.11317,-2.42009,-665.875,4812.35,-12.7403,6102.1,7257.21,5.4697,-0.602576,-0.807439,3.07967,1.77275,1.0906,5342.75,35.4774,6632.5,0.486573,0.988513,0.00975733,10980.4 
27,-4.03,43.1927,27,9966.7,-0.103608,31.0096,8.443,119.214,0.109169,21.3469,5.09342e-07,-5.7019,-2.59338,-3.48616,-5.15299,-9.31026,-560.437,5679.28,-30.1923,6858.78,8598.78,-2.17298,0.935541,3.57168,-1.62406,-5.78133,1.70431,6125.69,10.3903,7305.19,0.496606,0.99704,0.00261321,12335.1 
28,-4.005,43.2177,28,9615.66,-0.0238071,29.3787,8.45203,119.424,-0.00523658,-2.08103,499.098,-2.25016,-5.6863,-11.7845,-5.4328,-7.70618,-572.529,5188.88,-19.1591,6714.11,8083.67,1.3549,-2.08123,-4.57434,-1.82773,-4.10111,0.59265,5644.92,22.2991,7170.15,0.480846,0.993134,0.00569631,11739.5 
29,-3.955,43.2677,29,9593.06,-0.447953,29.3196,8.83978,119.101,0.09826,-762.048,232.518,-0.691026,1.68832,-4.94717,-8.0052,-5.85406,-494.042,5355.01,-17.8148,6703.99,10874.7,2.41983,4.79917,1.27453,-4.89435,-2.74321,-0.48898,5748.53,17.96,7097.51,0.487932,0.994562,0.00463976,11781.4 
30,-3.97,43.2527,30,8621.23,-0.194242,27.6915,8.43358,119.31,-0.0672938,53.9301,0.178223,-3.70663,-2.02056,-7.12043,-0.562982,-5.67822,-635.473,5193.45,-4.17367,5993.99,7720.58,0.294778,1.98084,0.882377,3.43842,-1.67682,0.82064,5699.63,41.8425,6500.17,0.507772,0.987316,0.0117189,11224.8 
31,-3.95,43.2727,31,10286.3,-0.405265,30.8641,8.72636,119.52,1.0561,-1855.24,499.532,-3.69598,-2.55945,-12.1541,-2.99789,-5.34301,-590.775,5848.52,-21.604,6699.84,72549.7,0.0239745,1.16051,-4.71418,0.722065,-1.62306,-0.0639825,6319.09,21.1754,7170.42,0.509032,0.99417,0.00541061,12413.9 
32,-3.94,43.2827,32,10053.3,-0.409925,29.7787,8.89428,119.611,0.882161,911.305,17.4708,-7.56069,-3.60272,-9.73194,-4.80685,-3.78891,-617.698,5694.96,0.426896,6689.57,34792.3,-3.67121,0.286759,-1.95298,-0.917368,0.100568,0.68266,6186.98,45.1559,7181.59,0.503361,0.987389,0.01145,12291.3 
33,-4.025,43.1977,33,9884.31,-0.10141,29.6684,8.55836,119.364,0.000398681,338.881,499.997,-0.365021,-3.75969,-11.9988,-10.1296,-6.90216,-697.81,5649.23,0.227268,6593.87,8270.11,4.0289,0.634235,-3.21096,-5.7357,-2.50823,0.527227,6205.07,50.7574,7149.71,0.505203,0.985887,0.0129087,12282.3 
34,-4,43.2227,34,9551.2,-0.396521,28.594,8.82816,119.16,0.518223,-256.373,451.645,-4.33726,-2.04333,-10.1459,-3.708,-4.94973,-536.335,5493.75,-15.7954,6269.93,12542.5,-0.960102,1.33383,-3.39154,-0.33084,-1.57257,0.310835,5920.96,23.0419,6697.14,0.509833,0.993236,0.00629797,11613.5 
35,-4.02,43.2027,35,9871.53,-0.0154847,29.48,8.62513,119.272,-0.00933013,-1.102,500,-0.982186,-2.68867,-7.46083,-6.29025,-3.51335,-631.371,5683.42,-3.61356,6498.21,8277.62,2.99339,1.2869,0.490324,-2.31468,0.462225,0.831975,6186.33,42.1056,7001.12,0.509697,0.988229,0.0109572,12137.3 
36,-3.965,43.2577,36,9078.01,-0.155257,28.6981,8.43903,119.357,0.288736,263.348,0.000238567,-2.13756,-5.08648,-10.2618,-2.08156,0.382649,-622.447,5034.87,-14.3126,6481.74,10359.2,1.78182,-1.1671,-2.42301,1.83783,4.30203,1.55938,5530.68,30.7603,6977.55,0.48254,0.990361,0.00805545,11461.6 
37,-3.995,43.2277,37,9154.6,-0.0213,27.1542,8.69027,119.24,0.0118526,-0.376007,500,-3.33704,-1.53905,-7.37936,-2.39717,-4.45141,-521.538,4921.93,-14.5327,6483.54,7682,-0.0530493,1.74494,-0.811386,0.886813,-1.16742,2.35256,5337.36,23.2332,6898.96,0.476487,0.99244,0.00616529,11201.5 
38,-3.975,43.2477,38,9305.28,-0.382867,27.8866,8.80504,119.51,0.174622,346.812,262.555,-0.384827,-0.0298478,-3.11744,-3.19722,-4.74892,-517.698,5107.17,-7.54998,6293.23,9964.68,2.87498,3.22996,3.40217,0.062579,-1.48911,0.578969,5519.54,29.9378,6705.6,0.491968,0.990597,0.00815716,11219.3 
39,-4.015,43.2077,39,9709.69,-0.115226,30.0054,8.41863,119.275,0.135232,-83.0497,5.32957,-1.42192,-5.08101,-10.3995,-2.52331,-6.46063,-658.013,5554.64,-35.6947,6613.5,8588.71,2.72141,-0.93768,-2.11287,1.62002,-2.3173,-1.0585,6078.77,11.9536,7137.63,0.500485,0.996571,0.00307554,12145.8 
40,-3.96,43.2627,40,9564.36,0.0532912,28.6505,8.6356,119.209,0.0171933,-36.7698,1.26662e-12,-5.01008,-2.18908,-2.83689,-4.39495,-7.79809,-641.864,5352.41,-14.0527,6619.86,8074.73,-0.968429,1.85257,5.24641,-0.353297,-3.75644,-1.59619,5863.68,32.4263,7131.13,0.491707,0.990415,0.00830674,11925.1 
41,-3.945,43.2777,41,9867.92,-0.236134,29.5489,8.68928,119.153,0.947828,-1628.61,5.90494e-10,-3.31401,-0.202048,-6.66225,-7.02798,-1.93698,-601.063,5655.03,-15.4358,6506.64,58609,0.470722,3.58268,0.907213,-3.24324,1.84775,0.745531,6133.8,28.0886,6985.41,0.508127,0.99205,0.00735272,12071.4 
42,-4.01,43.2127,42,9900.03,-0.0420147,29.7149,-8.61577,119.346,-0.0114008,3.99821,500,-4.50723,-3.4421,-2.21481,-3.26721,-8.00273,-670.899,5480.26,-13.4628,6854.88,8335.67,-0.282757,0.782372,6.23413,0.957267,-3.77826,-0.593284,6014.66,35.1186,7389.28,0.489174,0.989885,0.00867889,12295.5 
43,-3.98,43.2427,43,9889.14,-0.0226956,28.6084,-8.66748,119.149,0.0118727,27.8848,500,1.0098,-0.735479,-6.15692,-5.14502,1.26083,-558.508,5391.49,-15.7959,6529.89,8082.8,4.52658,2.7813,0.87663,-1.62825,4.77761,0.922654,5836.37,24.647,6974.76,0.496082,0.992664,0.00646742,11764.9 
44,-3.985,43.2377,44,8105.99,-0.458019,26.1738,8.69742,119.416,3.75358,-283.571,23.2837,-4.66193,0.312923,-12.6011,-5.49677,-2.25637,-689.872,4613.13,-16.437,5963.41,42060.5,-0.317988,4.65686,-3.91326,-1.15283,2.08757,3.87663,5162.63,33.5183,6512.91,0.482552,0.988766,0.00939125,10698.6 
45,-3.99,43.2327,45,8066.3,-0.178811,25.0167,8.73061,119.373,0.286845,-7.06069,500,-2.49554,-4.84802,-6.84048,-0.25579,-3.62166,-617.811,4646.78,-20.5979,5804.77,7175.95,1.39465,-0.957829,0.939898,3.6344,0.268529,0.821977,5138.89,24.1393,6296.88,0.489827,0.991847,0.00701224,10491.2 
46,-4.03,43.1927,46,8716.16,-0.0201819,27.1537,8.39858,119.494,-0.00380819,-24.7806,499.936,0.479971,-3.00155,-4.94613,2.51164,-3.39277,-553.83,4999.64,-18.7421,6016.14,7426.92,3.96729,0.485773,2.02851,5.99896,0.0945522,0.838688,5440.79,21.362,6457.29,0.497808,0.993176,0.00605715,10929.5 
47,-4.005,43.2177,47,8977.99,-0.0112695,27.1143,8.64133,119.243,0.0182838,-21.9387,500,-6.99938,-0.516188,-5.33847,-7.4163,-4.12621,-574.667,5211.22,-15.5909,6075.33,7640.41,-3.38086,3.10234,1.89858,-3.79777,-0.507686,1.707,5668.96,26.0221,6533.07,0.505162,0.992031,0.00728392,11222.1 
48,-3.955,43.2677,48,9726.69,-0.460147,29.9474,8.79743,119.284,0.111373,682.141,212.038,-3.97859,-3.0089,-6.1628,-1.11703,-4.80999,-697.819,5717.46,-14.1541,6599.01,11049.6,0.415386,1.38508,2.62516,3.27695,-0.416014,0.639726,6273.3,36.3767,7154.85,0.507757,0.989954,0.00927873,12354.9 
49,-3.97,43.2527,49,9380.63,-0.109667,28.8015,8.75713,119.346,-0.445078,-3437.77,484.377,-3.34862,-2.14186,-5.54235,2.06085,-7.51928,-703.143,5581.73,-6.78825,6316.11,58019.6,1.07889,2.28565,3.31266,6.48836,-3.09178,0.67116,6141.81,44.1281,6876.19,0.512391,0.987583,0.0116836,11986.6 
50,-3.95,43.2727,50,8955.91,0.00231722,28.2205,8.29724,119.191,-0.00780459,-15.3657,500,-4.98525,-3.20343,-7.0093,-1.03679,-8.35344,-606.084,5310.74,-16.1814,6111.59,7626.33,-1.1689,0.612919,0.623399,2.77956,-4.53709,1.36885,5793.5,27.7067,6594.36,0.50826,0.9917,0.00768029,11398.7 
51,-3.94,43.2827,51,8358.58,-0.418779,27.0673,8.50926,119.288,-0.198206,807.356,331.953,-2.24536,-2.11588,-8.06325,-2.90244,-4.16382,-574.669,4864.84,-5.58327,6011.17,12707,1.37318,1.50266,-0.826174,0.716094,-0.54528,1.37207,5322.59,36.0299,6468.92,0.491868,0.988293,0.0101558,10821.2 
52,-4.025,43.1977,52,9408.56,-0.342147,27.9691,8.69416,119.105,-0.0524519,1109.46,278.814,-1.1858,-0.840009,-6.54162,-2.09335,-5.4162,-500.953,5090.39,-14.0244,6336.61,9810.32,1.96857,2.31436,-0.232881,1.06102,-2.26183,1.08173,5489.42,22.2509,6735.64,0.489484,0.992956,0.00604851,11214.7 
53,-4,43.2227,53,9440.17,-0.110412,27.9189,8.64627,118.969,0.0909753,93.093,1.49993e-05,-0.0606452,-3.62849,-9.09628,-7.82569,-7.84923,-581.88,5328.74,-12.3184,6290.31,8133.87,3.6033,0.0354509,-1.76839,-4.16174,-4.18529,0.72696,5792.23,29.817,6753.8,0.502233,0.991072,0.00806699,11533 
54,-4.02,43.2027,54,9224.62,0.00683524,29.1501,8.45904,119.325,-0.0471668,-43.793,499.881,-3.69492,-1.38816,-9.67936,-8.59521,-7.45226,-652.324,5448.88,-29.1363,6386.39,8094.3,0.412588,2.71935,-1.46434,-4.4877,-3.34475,0.762469,5968.48,18.1001,6905.99,0.504155,0.994721,0.00480482,11838.6 
