cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
16,16,16,11282.7,-0.34786,24.6733,11.528,122.41,0.151428,-44.8959,72.7385,-0.208674,-1.16751,-7.3585,-1.76554,-2.55797,-635.376,157.177,79.4486,13166.7,9480.55,3.79212,2.83328,0.643093,2.23525,1.44282,0.941252,663.277,125.458,13672.8,0.0449795,0.751309,0.0166217,14746.2,-0.00172755,-0.0130327,19.9056,6.47787,108.981,75.9216,1.21339,11.9321,11.3228,122.23,131.493,-13.2489,-55.5714 
17,17,17,10647.8,-0.355013,23.3402,11.6343,122.517,-0.0904348,145.995,499.737,-6.25667,-0.974847,-7.28484,-1.69646,0.92641,-547.957,138.321,80.8898,12511.7,9269.53,-2.80632,2.4755,-0.38416,1.75388,4.37675,1.07094,574.789,120.569,12948.2,0.0413178,0.731484,0.0168638,13911.4,-0.00174293,-0.0139821,14.9938,7.57276,115.359,73.9192,1.12517,11.9329,11.6393,122.323,132.27,-6.96332,-58.3506 
18,18,18,11068.7,-0.374718,24.3596,11.6293,122.598,0.191718,-943.825,466.116,-6.06593,-2.74766,-9.35526,-3.61274,-6.21239,-581.131,128.581,82.9989,13003.2,15112.3,-2.4067,0.911565,-2.03681,0.0464847,-2.55316,0.662703,591.473,125.08,13466.1,0.0408998,0.729886,0.0168226,14461.5,-0.0017827,-0.0138716,18.099,7.07229,111.179,76.0314,1.17277,11.9948,11.5285,122.324,132.016,-11.1455,-55.9844 
19,19,19,10627.5,-0.305872,23.2804,11.4058,122.71,0.00342525,11.1253,278.35,-2.53993,0.750322,-9.0542,-1.09538,0.106666,-516.627,126.093,70.422,12288.6,8645.19,0.713132,4.00338,-2.54808,2.15768,3.35973,1.33153,537.605,107.832,12700.1,0.0394754,0.740185,0.0153998,13618.7,-0.001472,-0.0167098,14.7519,7.52815,113.397,75.0722,1.17018,11.6569,11.1822,122.485,132.333,-9.0878,-57.261 
20,20,20,10510.2,-0.131099,22.8244,11.4951,122.457,-0.0260028,201.059,500,-3.27253,-0.45088,-10.1137,-6.2994,-4.75893,-591.009,82.2736,73.8024,12478.6,8711.12,0.448897,3.27055,-2.67082,-2.57797,-1.0375,-0.0405072,553.034,116.599,12949.3,0.0398129,0.730481,0.0163161,13890.8,-0.00177253,-0.0143856,20.5894,7.29704,111.232,74.421,1.13537,12.0154,11.404,122.253,131.394,-11.0206,-56.9735 
21,21,21,10743.4,-0.0528647,23.0905,11.3912,122.623,0.0187361,-13.1537,500,-3.71741,-2.80587,-4.55019,-5.696,-4.7905,-632.519,121.212,82.0331,12581.2,8570.49,0.265395,1.17693,3.41542,-1.7132,-0.807697,-0.461548,625.036,127.835,13085,0.0443207,0.736421,0.0176785,14102.6,-0.00167379,-0.0179573,13.9574,7.39914,115.311,74.0391,1.18108,11.9079,11.1456,122.446,131.515,-7.13456,-57.4757 
22,22,22,10910.2,-0.12157,23.6891,11.3362,122.658,0.0162407,-1.07693,2.21894,-4.12811,3.53971,-7.36345,-3.92688,-5.81742,-586.692,101.1,61.2832,12768.2,8742.57,-0.43387,7.23395,0.025038,-0.232639,-2.12317,0.994398,568.422,103.767,13235.5,0.0400269,0.757882,0.0142366,14201,-0.00168845,-0.0177076,16.0148,7.83612,111.04,75.2571,1.22112,11.889,10.9775,122.419,132.258,-11.3787,-57.0004 
23,23,23,11246.9,-0.0607341,23.2866,11.7568,122.569,0.00370777,-16.8749,500,-4.07716,-3.3796,-8.29937,-4.68559,-0.962361,-489.124,138.911,80.1654,12865.1,8914.37,-0.997275,-0.299724,-2.13961,-1.60571,2.11752,0.268459,528.516,115.584,13254.7,0.0372697,0.723214,0.0158096,14180.9,-0.00150319,-0.0181311,14.1022,7.63661,115.924,74.4686,1.14682,12.1493,11.5304,122.365,132.48,-6.4419,-58.0112 
24,24,24,11526.4,-0.337286,24.9794,11.5543,122.628,-0.199901,160.089,496.596,-3.84253,-6.07499,-11.1473,-4.2541,-0.600581,-596.409,120.076,86.3368,13424.7,10437.3,-0.0871013,-2.31956,-3.63642,-0.498676,3.15485,-0.0736688,595.138,129.524,13899.8,0.0399103,0.724184,0.0168759,14911.9,-0.00168377,-0.0175314,16.6274,7.68945,110.4,74.8723,1.21678,12.0006,11.4283,122.363,132.312,-11.9626,-57.4398 
25,25,25,11399.7,-0.350621,24.1385,-11.9054,122.581,0.123268,-46.6084,44.1833,-4.68546,-2.73209,-8.54076,-8.51401,-1.33022,-547.174,152.131,96.0454,13224.6,9542.2,-1.24006,0.713321,-1.64995,-5.0686,2.11519,0.678379,587.975,135.668,13660.4,0.0401124,0.712357,0.0179661,14658.2,-0.00168206,-0.0112355,20.4518,7.54893,108.81,74.4684,1.18618,12.1627,11.4221,122.361,132.071,-13.5516,-57.6023 
26,26,26,10596,-0.020546,23.0511,11.3815,122.717,-0.00181698,5.21604,6.79402e-12,-4.5536,-1.32401,-5.18696,-4.06314,-6.19086,-600.867,107.14,80.1395,12555,8540.88,-0.770099,2.45949,2.38003,-0.279646,-2.40736,-0.721643,585.753,123.65,13033.6,0.0418085,0.730238,0.0171759,14010.4,-0.00175973,-0.0171999,17.3246,6.86992,111.324,75.4711,1.16858,11.8717,11.2688,122.418,131.18,-11.094,-55.7094 
27,27,27,11322.6,-0.361644,24.5687,11.6797,122.646,0.0527749,-112.657,205.414,-6.33606,-4.12645,-4.97951,-5.30525,-4.31416,-627.6,145.798,81.6001,13278.7,9534.91,-2.38422,-0.174619,2.92416,-1.35341,-0.362326,3.16536,645.705,127.046,13778.6,0.0435181,0.743869,0.0167016,14837.6,-0.00179132,-0.014849,16.3814,7.43206,113.788,74.6277,1.21741,11.9853,11.3384,122.393,132.155,-8.60503,-57.5271 
28,28,28,11658.3,-0.188593,25.1239,11.4718,122.598,0.564922,-129.218,499.999,2.73885,-0.46216,-10.7732,-0.207237,-3.00378,-559.473,205.493,99.9302,13376.2,11758.7,6.2617,3.06069,-3.72754,3.31561,0.51907,1.3953,651.134,140.443,13821.8,0.0437367,0.725975,0.0183737,14887.6,-0.00155368,-0.0131858,20.254,7.33051,105.997,75.1101,1.22372,11.8761,11.4499,122.321,132.239,-16.3239,-57.1287 
29,29,29,11284.6,-0.324443,24.3496,11.5777,122.676,0.0896157,155.614,1.94361,-3.22244,-5.51412,-10.6297,-4.08158,-5.44999,-517.291,125.76,78.3042,13128.6,9631.14,0.0348015,-2.25687,-4.11519,-0.824339,-2.19274,0.560077,537.802,115.762,13540.7,0.0371289,0.72638,0.0155044,14484.7,-0.00164754,-0.0153336,20.5402,6.94582,111.455,75.0695,1.21282,11.9066,11.3145,122.432,132.185,-10.9772,-57.1158 
30,30,30,11341.2,-0.379445,24.6819,11.7243,122.404,-0.0922165,102.802,405.337,-1.64306,-2.34484,-11.7479,-3.25935,-1.18685,-639.958,168.01,72.3127,13334.5,9728.8,2.38658,1.6848,-3.68858,0.7703,2.84279,1.92309,677.761,118.654,13844.3,0.0453736,0.765481,0.0155426,14937.3,-0.00185521,-0.0140245,20.1238,7.10113,107.757,74.9166,1.21929,12.0969,11.3052,122.159,132.426,-14.4017,-57.5093 
