cyc,pulse time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
53,0.06,0.79,53,6186.18,-0.0347517,18.6057,8.63277,123.896,-0.0641353,48.8768,0.0880709,-2.72319,-2.19653,-2.41345,-2.37832,-4.31899,-291.976,4243.22,12.6142,3492.09,5330.72,-0.884695,-0.35804,1.26353,-0.539828,-2.4805,1.42124,4475.79,33.7569,3724.66,0.538461,0.986973,0.016421,8312.19,-0.00145796,0.704538,8.99257,8.29088,124.151,79.1117,0.532651,8.83763,9.24636,123.607,125.942,0.543905,-46.83 
54,0.04,0.81,54,7162.68,-0.053961,22.0767,8.4305,123.802,0.0318515,37.5292,500,-1.3857,-0.520811,-2.64078,-5.09831,-2.4241,-372.233,5016.38,13.7242,3904.79,6097.65,0.958153,1.82304,2.04692,-2.75446,-0.0802453,-0.0268462,5312.88,40.6785,4201.28,0.551117,0.986778,0.0175234,9640.2,-0.00164808,0.825621,8.89581,8.4057,124.028,79.0972,0.630229,8.64483,8.97984,123.491,125.972,0.536816,-46.8747 
55,0.02,0.83,55,9042.26,-0.019848,26.0013,8.63852,123.833,0.0774334,-13.8566,477.608,-4.962,-1.00907,-1.44694,-3.71483,-1.16332,-299.314,5925.63,28.0165,4764.95,7346.81,-3.0773,0.875633,2.32246,-1.83013,0.721377,3.35074,6164.04,49.6906,5003.37,0.544646,0.986089,0.017966,11317.5,-0.00154029,0.961448,8.96037,8.43054,124.161,79.5724,0.751042,8.727,9.08857,123.399,126.395,0.762472,-46.8228 
56,0.08,0.77,56,5218.8,-0.0143038,16.9414,8.40248,123.667,0.0100846,-26.6826,499.977,0.0275862,-1.37913,-0.564444,-3.5772,-2.20598,-325.446,3781.78,4.51508,3154.7,4642.7,2.07683,0.67012,3.53405,-1.52796,-0.156733,0.231112,4041.01,28.0814,3413.93,0.534712,0.987985,0.0149262,7557.35,-0.00163126,0.624427,8.99831,8.32366,123.951,79.3756,0.499791,8.79235,9.06523,123.371,126.239,0.579652,-46.8639 
57,0.03,0.82,57,8034.64,-0.0645744,23.2045,8.7423,123.8,0.218543,137.294,4.76217,-1.61113,1.042,-1.96625,-1.03839,-2.93396,-275.924,5367.05,19.0439,4294.04,7580.54,0.126287,2.77942,1.50859,0.69903,-1.19654,0.614839,5586.84,39.0242,4513.82,0.545799,0.987924,0.0156763,10236.1,-0.00151849,0.869709,9.04261,8.34191,123.981,79.3114,0.671219,8.81538,9.11647,123.539,126.199,0.44212,-46.8877 
58,0.09,0.76,58,4998.59,-0.00405548,17.0374,8.30275,124.075,-0.0126301,-2.08206,9.86395e-13,0.72271,-2.92774,-2.80073,-1.55403,-2.06668,-336.503,3704.28,15.2902,3197.5,4605.77,2.84158,-0.808869,1.43701,0.564842,0.0521887,0.648373,3972.32,39.6572,3465.54,0.526705,0.982829,0.0206446,7541.82,-0.00186964,0.648137,8.89567,8.07395,124.351,79.0491,0.53406,8.7053,8.74661,123.756,125.87,0.595413,-46.8204 
59,0.1,0.75,59,3575.22,-0.240115,-13.264,8.25392,123.817,0.129017,-124.679,37.2951,0.160748,0.961582,-6.68374,-1.36494,-1.64116,-362.012,2923.27,-2.10655,2406.82,4087.57,2.44024,3.24108,-2.12475,0.914556,0.638333,1.41585,3211.62,24.1076,2695.17,0.536374,0.987034,0.0162101,5987.65,-0.00165541,0.501128,8.6732,8.34324,124.053,79.2704,0.386162,8.67209,9.11807,123.603,126.175,0.450322,-46.9046 
60,0.07,0.78,60,4848.23,0.00686435,16.4064,8.26139,124.079,0.0117544,-1.14431,4.3195e-12,-2.81438,-0.880816,-2.45814,-0.64917,-1.06976,-408.267,3578.7,3.33952,3089.99,4412.69,-0.243635,1.68993,2.68335,1.92158,1.50098,0.644693,3903.9,32.9031,3415.19,0.526023,0.985465,0.017438,7421.54,-0.00175858,0.627293,8.75141,8.13218,124.323,78.6989,0.504775,8.67421,8.94998,123.681,125.255,0.641765,-46.5558 
61,0.05,0.8,61,6482.63,-0.00850864,20.2099,-8.34273,123.832,0.000695374,1.62912,3.49659e-12,-3.59455,-0.277104,-0.0926013,-1.76076,-2.04999,-319.685,4397.58,10.9394,3730.83,5488.7,-1.58158,1.73587,3.93334,0.252214,-0.0370199,0.0858694,4652.23,34.0886,3985.47,0.531242,0.987339,0.0155115,8757.26,-0.00153216,0.740583,8.87254,8.22488,124.16,79.2505,0.615218,8.5437,8.87945,123.471,125.982,0.6891,-46.7315 
62,0.06,0.79,62,5127.16,-0.320551,17.7901,-8.30408,124.139,0.160889,132.876,486.988,-2.37795,2.19419,-5.36446,-2.29619,0.182382,-301.924,3872.68,12.8147,3125.89,5505.06,-0.476809,4.09532,-1.56219,-0.395056,2.08352,1.41716,4113.17,34.6777,3366.39,0.542595,0.98546,0.0186225,7580.55,-0.00178775,0.673728,8.69024,8.19183,124.337,79.0162,0.514196,8.52491,9.05497,123.834,125.846,0.503512,-46.8297 
63,0.04,0.81,63,6818.25,-0.0153436,21.1061,8.38075,123.958,-0.00636491,12.7735,1.89052e-11,-3.67784,-2.04771,-1.63519,-1.41603,2.70728,-308.482,4724.24,7.43409,3798.74,5760.84,-1.73541,-0.105275,2.24967,0.526402,4.64971,0.597201,4969.95,29.772,4044.46,0.544012,0.989626,0.0133787,9135.74,-0.00169099,0.802273,8.89317,8.17006,124.242,79.1152,0.634362,8.62207,8.91191,123.631,126.059,0.61156,-46.9438 
64,0.02,0.83,64,8868.02,-0.0310274,26.2348,8.44384,123.901,-0.00300898,25.3864,499.096,0.425783,-2.39452,-4.88065,-2.57752,-3.80223,-266.645,5944.21,14.9541,4580.52,7213.77,2.10477,-0.715533,-1.52268,-0.898531,-2.12324,0.517409,6156.6,34.2624,4792.91,0.554984,0.990355,0.0129973,11093.3,-0.0016149,1.01826,8.76003,8.19199,124.031,79.2618,0.739847,8.75232,8.96105,123.592,125.92,0.439534,-46.6587 
65,0.08,0.77,65,4577.14,-0.0267197,15.7643,8.18972,123.856,-0.0391335,-0.845045,499.742,-0.991291,-3.08752,-4.53112,-2.99881,-0.309412,-379.634,3294.08,6.04372,3088.81,4203.88,1.39916,-0.697069,0.249787,-0.608351,2.08104,0.896977,3596.47,33.5339,3391.21,0.507302,0.983945,0.0178898,7089.41,-0.00173529,0.567276,8.80532,8.16345,124.178,78.6035,0.507799,8.74851,8.87086,123.471,125.512,0.706762,-46.908 
66,0.03,0.82,66,8289.88,-0.0380413,24.8108,8.67899,123.785,0.0121926,13.473,500,-4.26215,-3.84624,-1.12468,-0.554808,-2.38511,-429.556,5599.68,10.785,4623.87,7015.13,-1.55735,-1.14144,4.28491,2.14999,0.319686,-0.0564918,5941.83,41.8901,4966.02,0.53739,0.987813,0.015301,11056.8,-0.00187219,0.914898,9.09921,8.32425,123.988,79.9116,0.716478,8.96134,9.07822,123.526,126.855,0.461103,-46.9439 
67,0.09,0.76,67,4167.61,0.00045198,14.6608,8.21577,123.61,0.000773696,3.7743,0.305975,-2.27099,-0.831631,0.287209,-1.92152,-3.86828,-348.552,3349.8,2.66954,2549.14,3921.14,-0.076254,1.36311,4.67669,0.273217,-1.67354,-0.0248646,3627.43,27.9091,2826.78,0.554737,0.986715,0.0178624,6539.01,-0.00168799,0.575978,8.76468,8.24937,123.77,79.3805,0.402415,8.83639,9.24239,123.343,126.012,0.427278,-46.6316 
68,0.1,0.75,68,4421.96,0.0194148,15.0752,8.20283,123.675,-0.0218517,20.1002,3.11189e-08,-0.71268,-0.732109,-2.48989,-0.275358,-0.908282,-417.688,3446.95,6.01448,2729.7,4039.83,1.91739,1.89796,2.77025,2.35471,1.72179,0.740178,3779.65,36.2603,3062.41,0.545095,0.983488,0.0213458,6933.94,-0.00164533,0.575182,9.01584,8.24868,123.841,78.6945,0.442428,8.57861,9.02643,123.491,125.594,0.349894,-46.8999 
69,0.07,0.78,69,5236.03,-0.301185,17.412,8.4936,124.058,0.387977,418.215,337.117,0.321624,2.31258,-3.78001,-4.80362,-5.51932,-349.1,3870.19,9.94124,3170.99,10096.4,2.51981,4.51077,0.616364,-2.60543,-3.32113,0.641728,4148.26,35.2204,3449.06,0.53868,0.985359,0.0184635,7700.79,-0.00168911,0.655751,8.84069,8.24139,124.279,78.8844,0.509799,8.66623,9.01785,123.67,125.875,0.608937,-46.9905 
70,0.05,0.8,70,6087.19,-0.038466,19.2098,8.42436,123.825,0.0334287,-36.9629,500,0.514343,-1.26059,-3.66817,-3.3199,1.24498,-344.68,4333.64,10.4812,3454.22,5308.34,2.6847,0.909774,0.67255,-1.14953,3.41534,0.897051,4608.19,35.4403,3728.77,0.545424,0.98672,0.0172071,8448.82,-0.00163302,0.727293,8.89428,8.29969,124.106,78.6754,0.562212,8.6783,8.93261,123.436,125.469,0.670829,-46.7933 
71,0.06,0.79,71,5486.81,-0.274632,18.0553,-8.32585,123.839,0.157527,-35.9824,248.442,-2.31818,-0.730949,-4.07855,-1.10754,-1.41871,-367.031,3857.9,9.05368,3305.22,5078.11,-0.00708516,1.58015,0.543648,1.20356,0.892386,0.870949,4150.26,35.6313,3597.57,0.528308,0.985198,0.0179178,7855.76,-0.00157863,0.664762,8.74835,8.20796,124.11,79.5916,0.536906,8.4863,9.09158,123.507,126.598,0.602172,-47.0062 
72,0.04,0.81,72,7243.95,-0.0310289,22.2389,8.31511,124.097,-0.00156556,36.2073,481.766,-1.79902,0.175451,-1.96818,-0.52935,-2.67753,-333.989,4921.32,3.28094,3947.03,6021.57,0.304025,2.27849,2.2379,1.57369,-0.574484,0.615456,5187.35,27.4659,4213.07,0.5445,0.990819,0.0118666,9526.81,-0.00163615,0.847851,8.82785,8.14105,124.14,79.3353,0.641785,8.6933,9.06173,123.812,126.187,0.327563,-46.8518 
73,0.02,0.83,73,9278.77,-0.0583012,26.7219,8.63395,123.725,0.0822401,27.3778,4.73188e-13,-2.39601,-0.200047,-0.381981,0.389915,1.19014,-296.494,6030.69,11.1717,4850.02,7583.84,-0.529066,1.66689,3.3519,2.25686,3.05708,0.658097,6266.86,32.6415,5086.19,0.544677,0.990967,0.0116839,11505.6,-0.00156051,0.990275,8.97898,8.35777,123.972,79.399,0.765439,8.78908,9.07661,123.378,126.199,0.593502,-46.7999 
74,0.08,0.77,74,4975.2,0.00938761,16.6119,8.19506,123.924,-0.0148171,8.07447,0.000155895,-0.179499,0.123105,-3.74487,-2.82269,0.0631383,-328.926,3629.19,4.50382,3022.18,4435.56,1.89166,2.19427,0.397455,-0.751525,2.1343,0.932246,3891.2,28.3222,3284.18,0.534953,0.987423,0.0156376,7273.9,-0.00165189,0.607591,8.70843,8.54187,124.188,79.5939,0.476408,8.75783,9.27768,123.468,126.443,0.71959,-46.849 
75,0.03,0.82,75,8502.81,-0.0260272,24.9034,8.562,123.86,0.0190972,-1.32126,500,3.21643,-1.07791,-2.07916,-2.01542,2.10963,-298.746,5704.85,12.2444,4400.32,6941.94,5.09755,0.803216,1.68309,-0.134294,3.99075,0.852881,5942.81,33.8773,4638.28,0.554354,0.990123,0.0132758,10720.2,-0.0015594,0.930184,8.96512,8.46341,123.991,79.2438,0.677516,8.86495,9.20297,123.519,126.112,0.472576,-46.8683 
76,0.09,0.76,76,4640.01,-0.0142929,15.9431,-8.21668,123.735,0.0388464,-3.3074,500,-1.10533,2.69988,-3.18536,0.34032,2.32965,-343.86,3454.37,-0.348852,2924.07,4268.65,1.05986,4.86507,1.14503,2.50551,4.49484,0.918621,3728.27,24.5509,3197.96,0.530928,0.988607,0.0139447,7022.17,-0.00174218,0.596067,8.79103,8.25568,123.851,79.4158,0.468739,8.75253,9.21144,123.478,126.328,0.373078,-46.9119 
77,0.1,0.75,77,3630.38,-0.0025363,13.0263,8.15994,123.798,-0.0149185,0.223997,3.42292e-11,-3.32392,-2.4066,-4.9145,-3.0926,-3.19627,-371.205,2810.76,10.7636,2454.01,3460.33,-0.986545,-0.0692208,-0.239746,-0.75522,-0.858891,0.917602,3106.44,37.6435,2749.69,0.523091,0.979234,0.0245982,5938.63,-0.00160815,0.483358,8.92207,8.22039,123.916,79.201,0.405642,8.48786,9.11022,123.475,126.28,0.440614,-47.0794 
78,0.07,0.78,78,5864.68,-0.00780017,18.4875,-8.37589,123.898,-0.00137224,9.4259,4.07243e-07,2.8104,-1.69789,-3.58424,-2.32759,-0.600429,-255.271,4112.81,4.77009,3390.4,5041.29,4.41777,-0.0905127,-0.369492,-0.720214,1.00694,1.08705,4316.14,23.2549,3593.73,0.538328,0.990659,0.0117798,8017.68,-0.00160549,0.695423,8.82718,8.30047,124.117,79.4691,0.537422,8.83146,9.1038,123.466,126.568,0.651018,-47.0988 
79,0.05,0.8,79,6553.09,-0.02652,20.7704,8.40977,123.809,0.0155266,-17.2572,468.511,-3.69148,-1.56222,-2.00397,-0.377164,-0.606372,-268.019,4538.01,8.57476,3888.55,5694.94,-2.00383,0.12543,1.37132,1.31048,1.08127,0.272382,4751.5,27.9827,4102.04,0.529321,0.989799,0.0124103,8976.59,-0.00182443,0.755079,8.9365,8.32084,124.01,79.6977,0.628563,8.78172,8.96601,123.527,126.505,0.482604,-46.807 
80,0.06,0.79,80,5709.02,-0.273132,18.2327,8.50157,124.063,0.592771,-303.602,365.608,-4.3296,0.274199,-4.63882,0.100006,-1.8107,-280.023,3927.55,7.38361,3401.45,10904.5,-2.56637,2.03743,-1.11236,1.86323,-0.0474728,7.3763,4150.6,27.6607,3624.5,0.52647,0.988472,0.0138633,7883.83,-0.00151692,0.646148,8.87899,8.43341,124.207,79.4123,0.52508,8.71031,9.32326,123.791,126.379,0.416173,-46.9672 
81,0.04,0.81,81,7462.53,-0.0226714,22.5306,8.35065,123.826,-0.0283478,27.0528,500,-1.65817,1.23045,-2.99329,-2.2675,-0.0214332,-305.21,4902.93,17.6739,4161,6149.71,0.263655,3.15228,0.850372,-0.345668,1.9004,0.853914,5146.04,39.7749,4404.11,0.531491,0.986654,0.0163644,9682.28,-0.00150835,0.826883,8.79843,8.23892,124.061,79.3323,0.669126,8.58641,9.1299,123.584,126.192,0.476714,-46.8594 
82,0.02,0.83,82,8974.77,-0.0992503,25.9721,8.60425,123.555,-0.0207012,30.4525,499.185,0.0402324,5.09656,1.02278,0.110137,-3.42355,-305.045,5813.6,16.6501,4800.92,7295.22,1.96102,7.01735,4.86436,2.03093,-1.50276,0.661513,6056.58,38.7392,5043.9,0.538277,0.988931,0.0139507,11251.8,-0.0015472,0.964323,8.99439,8.26852,123.794,79.0943,0.765355,8.72199,8.95077,123.162,125.966,0.631906,-46.872 
83,0.08,0.77,83,5919.74,-0.0119945,18.9,8.35732,123.819,0.0321988,-32.6949,500,-4.9998,2.64368,-0.498002,-3.34908,-0.555734,-293.98,4174.92,-0.244092,3472.63,5176.19,-3.14869,4.4948,3.20423,-1.49797,1.29538,0.263015,4409.09,21.0437,3706.79,0.535924,0.991717,0.0103495,8227.09,-0.00170389,0.688844,9.01157,8.37565,123.994,79.4705,0.560522,8.71304,9.05241,123.489,126.516,0.504772,-47.0452 
84,0.03,0.82,84,8132.35,-0.286984,24.7351,8.45727,123.93,0.526502,269.611,490.666,-1.98422,-2.32305,-3.76405,-0.501371,0.354627,-346.033,5357.29,10.1293,4449.5,11430.8,0.19466,-0.144174,0.593695,1.6775,2.5335,0.877719,5632.92,35.1863,4725.13,0.536478,0.989187,0.0135319,10499.8,-0.00155881,0.911916,8.70302,8.27169,124.127,79.9336,0.708717,8.61465,9.11606,123.598,126.925,0.528997,-46.9917 
85,0.09,0.76,85,6041.34,-0.0827719,19.046,8.39701,123.888,-0.0464747,-1.98121,500,0.759079,-0.162517,-8.63999,-1.4705,1.0589,-350.295,4203.49,15.6913,3593.9,5209.23,2.96479,2.0432,-4.22856,0.735214,3.26461,1.88478,4482.51,41.057,3872.93,0.529121,0.984224,0.0191542,8471.63,-0.00162612,0.706097,8.82726,8.29788,124.096,79.7024,0.557588,8.75528,9.19604,123.494,126.773,0.602425,-47.0709 
86,0.1,0.75,86,4494.88,0.0847848,14.8429,8.22375,123.983,0.537826,-107.454,7.27323e-14,-2.1048,0.802272,0.442278,-1.20518,0.150189,-345.609,3308.12,11.4489,2776.56,5854.9,0.0714119,2.97848,4.7947,0.97103,2.3264,0.569674,3583.41,36.4753,3051.85,0.532705,0.982499,0.0215423,6726.82,-0.00152293,0.54376,8.82568,8.50663,124.205,79.139,0.440391,8.76764,9.1695,123.439,125.895,0.766806,-46.7557 
87,0.07,0.78,87,5164.18,-0.0274387,17.5552,8.33104,123.875,0.00782894,-11.7468,1.3637e-13,-3.93953,0.444827,-1.91607,-2.7958,1.06318,-389.293,3902.97,6.6145,3233.28,4764.02,-1.48825,2.8961,2.98648,-0.34452,3.51446,0.605186,4213.06,34.8042,3543.37,0.535827,0.985749,0.0177722,7862.73,-0.00187207,0.658329,8.88845,8.21661,124.042,79.5034,0.522385,8.76118,9.00183,123.598,126.586,0.443331,-47.0827 
88,0.05,0.8,88,6661.57,-0.112323,20.4792,8.53258,123.597,-0.0802174,278.549,0.848172,-3.03237,-1.4958,-1.92892,-1.08202,-0.990921,-359.53,4470.97,9.9686,3864.75,6415.76,-0.768502,0.768062,2.59881,1.18184,1.27294,0.485706,4757.35,36.003,4151.13,0.526663,0.986929,0.0157255,9033.01,-0.00159425,0.759596,8.77876,8.24632,123.876,78.9657,0.620851,8.79754,8.93139,123.259,125.902,0.616967,-46.9364 
89,0.06,0.79,89,6196.27,-0.343482,20.2124,8.58877,123.913,-0.641313,743.412,494.712,-4.27212,-0.184572,-4.24506,-2.81057,-2.15208,-406.24,4342.7,14.4897,3758.9,21171.4,-1.71413,2.37341,0.870912,-0.252589,0.405907,0.48268,4666.29,43.9065,4082.49,0.526001,0.9838,0.0194267,8871.25,-0.00176516,0.721131,8.8466,8.35939,124.089,79.2828,0.599471,8.64194,9.0942,123.508,126.217,0.580443,-46.9344 
90,0.04,0.81,90,7802.44,-0.288276,23.5273,8.62233,123.588,0.116223,-5.20349,74.5828,-0.511231,-0.395324,0.575152,-2.78791,-2.06765,-278.365,5208.01,11.3529,4258.23,6623.45,1.24156,1.35747,4.08074,-1.03512,-0.314861,0.234353,5429.73,31.5101,4479.96,0.54059,0.989946,0.0127908,10044.1,-0.00158023,0.877386,8.76339,8.3326,123.822,79.6052,0.672047,8.78769,9.05735,123.15,126.444,0.671784,-46.8388 
91,0.02,0.83,91,9366.06,-0.276742,26.9394,8.7169,123.929,0.521569,-30.641,392.126,-3.64667,-2.72407,-0.123262,-3.40773,-5.2427,-382.4,6163.2,18.2389,4818.4,8164.68,-1.2388,-0.316206,4.69248,-0.999862,-2.83483,7.73022,6467.8,45.9293,5122.99,0.55071,0.987725,0.0162468,11744.5,-0.00148571,1.00377,8.9845,8.34361,124.016,79.9497,0.761613,8.76411,9.01333,123.596,127.168,0.419849,-47.2183 
92,0.08,0.77,92,4975.79,0.026327,16.5576,8.17825,123.803,0.0112366,-3.26153,1.8128,-3.37138,0.613204,-7.35797,-5.71747,-1.04669,-370.469,3591.6,7.06903,3178.16,4409.32,-1.03864,2.94595,-2.69249,-3.38473,1.28606,0.0663549,3886.7,33.8956,3473.25,0.520716,0.984968,0.0176597,7464.14,-0.00171269,0.597312,8.87537,8.42369,124.12,79.9683,0.502606,8.64058,9.23366,123.39,127.151,0.729734,-47.1827 
93,0.03,0.82,93,8535.63,-0.168699,25.2798,8.58421,123.973,0.264873,-409.675,0.0333018,1.13098,-1.11003,-0.408558,-0.843393,1.25056,-311.619,5657.26,14.765,4661.51,10596.7,3.09317,0.852155,3.51581,1.11879,3.21275,0.701865,5905.48,37.3301,4909.72,0.538698,0.989059,0.0138126,10962.5,-0.00165668,0.955731,8.89566,8.14825,124.257,79.4606,0.738623,8.79964,8.9744,123.484,126.333,0.773027,-46.8722 
94,0.09,0.76,94,4845.7,-0.00132342,16.0383,8.23085,124.093,-0.00657579,-13.3856,500,-0.46295,1.8209,-8.74054,-0.0863005,-0.434336,-346.765,3476.55,6.90421,3044.9,4300.19,1.72054,4.00439,-4.37357,2.09718,1.74915,1.84144,3752.76,32.0143,3321.11,0.523142,0.985291,0.0174474,7173.5,-0.00156993,0.592721,8.7712,8.28473,124.384,79.4929,0.474606,8.71196,9.21687,123.79,126.662,0.593312,-47.1688 
95,0.1,0.75,95,4318.07,0.00143645,15.2221,8.09746,123.765,0.00521712,-1.72204,4.79548e-12,-4.2883,-1.39093,-0.957247,-0.283702,-0.73842,-406.02,3218.12,-0.844168,2914.13,4012.83,-1.73169,1.16567,4.15596,2.2729,1.81818,0.458932,3541.53,28.5568,3237.54,0.515042,0.986085,0.0159885,6876.19,-0.00174083,0.530768,8.88602,8.53132,123.975,80.6545,0.46123,8.63689,9.25045,123.449,127.921,0.526053,-47.267 
96,0.07,0.78,96,5673.57,-0.0370903,18.0199,-8.1618,123.99,0.0471257,-30.4953,500,-0.868409,-1.58364,-5.05522,-3.01019,0.131368,-374.833,3883,7.92032,3305.63,4834.55,1.49181,0.776585,-0.334778,-0.649973,2.49159,1.08868,4181.57,35.0629,3604.2,0.529722,0.985538,0.0176051,7893.89,-0.00141764,0.658499,8.6681,8.40954,124.091,79.5707,0.526052,8.5954,9.1142,123.617,126.583,0.473757,-47.0128 
97,0.05,0.8,97,7309.2,-0.128676,22.2266,8.34102,124.063,-0.302989,-31.9168,3.9622e-09,-1.90908,0.0150756,-1.89653,-1.32892,-2.29326,-335.719,4838.09,11.9754,4004.75,6349.95,0.204846,2.12901,2.33133,0.785014,-0.179326,0.557695,5105.51,36.2856,4272.17,0.537092,0.987715,0.0154049,9505.84,-0.00142438,0.813899,8.75303,8.33996,124.282,80.0363,0.635371,8.64328,9.09294,123.661,126.956,0.620578,-46.9199 
98,0.06,0.79,98,6523.79,-0.00572445,19.6823,8.39536,123.961,0.00762333,-7.46587,1.47044e-06,-2.19958,-0.234078,-0.837499,1.94783,-0.32306,-302.573,4557.05,16.6558,3549.84,5380.95,-0.294356,1.67114,2.97294,3.85305,1.58216,0.696172,4798.06,38.5658,3790.85,0.551334,0.986129,0.0183957,8702.64,-0.00152999,0.742036,8.93385,8.4865,124.053,79.0667,0.554626,8.92781,9.07431,123.506,125.95,0.547417,-46.8835 
99,0.04,0.81,99,7198.78,-0.309199,22.4752,8.51747,123.934,0.45929,195.657,388.535,0.736982,0.286914,-1.6539,0.125398,-1.26481,-413.754,4938.95,7.56046,4082,9157.09,3.34228,2.89221,3.55669,2.73069,1.34048,0.743428,5268.52,37.5214,4411.57,0.536922,0.98769,0.0154258,9812.44,-0.00172248,0.837296,8.78718,8.27029,124.275,79.7752,0.651511,8.71254,9.03536,123.455,126.717,0.820533,-46.9416 
100,0.02,0.83,100,9826.4,-0.242375,27.6788,8.70449,124.044,-0.183694,208.62,82.7062,-1.87553,0.472138,-2.11894,-1.53916,-0.350646,-268.181,6240.1,30.2399,5044.65,9090.59,-0.186871,2.1608,1.25839,0.149502,1.33802,0.733383,6453.72,49.6595,5258.27,0.543712,0.986713,0.0170995,11869.7,-0.00131633,1.02647,8.85469,8.33757,124.282,79.9865,0.78162,8.85574,9.08971,123.593,127.067,0.688556,-47.0803 
101,0.08,0.77,101,5463.27,0.0524405,17.1534,-8.25029,123.818,-0.0294777,-7.61319,2.10452e-08,-1.02791,2.22797,-2.56802,-3.67604,-3.49373,-316.61,3681.44,13.5306,3354.3,4614.27,0.9657,4.22158,1.4192,-1.68243,-1.50012,0.585506,3933.63,36.4571,3606.49,0.514313,0.98404,0.0182809,7648.31,-0.00148196,0.629385,8.72868,8.29707,123.986,79.1476,0.528962,8.87699,8.93309,123.371,125.95,0.61483,-46.802 
102,0.03,0.82,102,8166.57,-0.182448,24.7644,8.43258,123.602,0.99216,-907.976,499.58,0.324892,-0.192419,1.57207,-0.750975,-1.92964,-370.355,5415.89,5.75292,4523.35,36123.9,2.65692,2.13961,6.23612,1.58105,0.402383,0.520891,5710.9,32.5712,4818.35,0.535039,0.990118,0.0122992,10673.8,-0.00168563,0.927845,8.88369,8.09469,123.772,80.1847,0.735538,8.65346,8.91799,123.244,127.219,0.527151,-47.034 
103,0.09,0.76,103,5360.8,-0.274898,17.6655,-8.35631,124.033,-0.527785,-225.228,291.089,-0.0339617,-3.32577,0.0393656,2.31343,-2.06442,-394.582,3793.29,19.2961,3212.52,8675.16,2.45062,-0.841193,5.00852,4.79801,0.420163,0.576844,4107.59,47.8688,3526.81,0.530682,0.980014,0.0243927,7740.21,-0.00154294,0.629593,8.81696,8.39155,124.258,79.9273,0.517295,8.55699,9.15767,123.565,126.938,0.692614,-47.011 
104,0.1,0.75,104,3707.19,0.0221671,13.115,8.20062,123.797,0.0114307,-11.3371,500,0.458439,-2.35986,-8.85578,-4.56751,0.399047,-360.145,2826.26,1.04306,2504.75,3505.37,2.72618,-0.0921225,-4.3203,-2.29978,2.66678,-2.27484,3113.13,27.122,2791.62,0.519852,0.984983,0.0175823,5988.5,-0.00159817,0.485144,8.88614,8.21502,123.948,79.4785,0.399875,8.81249,9.13899,123.403,126.411,0.545153,-46.9325 
105,0.07,0.78,105,5342.57,-0.175034,17.6368,-8.39158,123.837,0.0770726,-4.44067,500,-3.31166,-2.20101,-3.82237,-2.23969,-0.753342,-377.736,3737.96,14.0327,3329.29,4829.05,-0.933154,0.177489,0.93464,0.138811,1.62516,0.518957,4038.84,41.3854,3630.17,0.51927,0.982384,0.0205688,7777.92,-0.00162619,0.629378,8.81913,8.34792,124.051,79.8862,0.529558,8.66681,9.08913,123.412,126.898,0.638797,-47.0113 
106,0.05,0.8,106,6985.22,-0.0136103,21.2911,8.3705,123.74,-0.0752292,113.518,2.46265e-12,-1.32031,-1.77397,-0.746906,-3.6788,-0.742253,-346.462,4852.81,19.2707,3770.85,6079.57,0.861276,0.407614,3.61626,-1.49722,1.43933,0.250866,5128.78,44.3589,4046.82,0.551659,0.98509,0.0197924,9297.01,-0.00157008,0.801635,8.97254,8.30482,123.923,79.5649,0.603647,8.65565,9.12327,123.336,126.48,0.587096,-46.9146 
107,0.06,0.79,107,6191.93,-0.173012,20.2087,-8.39438,123.604,-0.0146611,61.3168,500,-2.2235,2.05683,-4.39524,-2.43463,-0.74132,-424.869,4390.57,15.5656,3679.72,5551.6,0.451792,4.73212,0.955343,0.240661,1.93397,0.885091,4729,46.3314,4018.15,0.533284,0.983144,0.0207987,8867.69,-0.00179862,0.727048,8.99405,8.2987,123.824,80.2063,0.596982,8.52142,9.15797,123.238,127.264,0.585229,-47.0577 
108,0.04,0.81,108,7571.79,-0.0668888,22.4447,8.54981,123.669,0.0160069,41.8421,500,-2.2633,1.24368,-3.27945,-3.71059,-2.32642,-285.727,4946.74,11.1383,4230.45,6268.71,-0.464153,3.04283,0.318845,-1.91144,-0.527277,0.305048,5174.34,31.8285,4458.04,0.529825,0.98935,0.0129811,9766.12,-0.00157216,0.834601,8.96262,8.19784,123.874,79.2497,0.675214,8.84773,8.92156,123.297,125.962,0.576622,-46.7122 
109,0.02,0.83,109,9746.51,-0.0182393,27.2036,8.61389,124.134,-0.00434108,-11.0252,499.85,-3.07188,1.08378,-0.209302,-3.78383,-2.24049,-228.306,6258.69,16.298,4975.37,7629.73,-1.6343,2.52136,2.66586,-2.34624,-0.802905,-5.60241,6440.55,32.8302,5157.22,0.548016,0.991158,0.0115907,11752.5,-0.00143132,1.00852,9.05879,8.38268,124.469,79.4511,0.790011,8.83422,8.98846,123.662,126.411,0.807699,-46.9599 
