cyc,pulse time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.09,0.76,12,3909.53,-0.357268,15.2534,8.22346,123.843,0.351543,-205.327,318.887,-1.70743,0.126035,0.623801,-2.59208,-3.6687,-420.009,3045.89,2.42883,2892.23,6433.09,0.93726,2.77072,5.91317,0.0526085,-1.02402,0.316376,3380.44,32.8427,3226.78,0.504241,0.983282,0.0184042,6704.03,-0.001954,0.550557,8.37184,8.22405,124.055,78.9788,0.465938,8.8935,8.96135,123.446,125.753,0.609126,-46.7741 
13,0.11,0.74,13,4407.23,-0.0031769,14.9764,8.17629,124.472,-0.0074141,7.12101,4.87883,-0.27843,2.39052,-4.56191,-4.72961,-2.67486,-345.234,3324.18,9.41636,2721.82,3987.91,1.89542,4.56436,-0.214215,-2.55576,-0.501011,1.06718,3599.17,34.4156,2996.81,0.538324,0.983542,0.0207166,6685.88,-0.00152074,0.552268,8.73372,8.44872,124.707,79.3696,0.434062,8.64017,9.16527,124.1,126.549,0.607051,-47.1791 
15,0.13,0.72,15,3890.86,-0.286241,14.1075,8.28502,124.296,0.329043,-274.655,14.737,-5.4149,1.34081,-5.74612,0.830834,-1.47048,-409.631,2982.69,10.6244,2653.21,6746.8,-2.83556,3.92015,-0.587442,3.41017,1.10886,1.11711,3308.98,40.2868,2979.5,0.518823,0.979138,0.0243024,6377.86,-0.00164176,0.501543,8.8433,8.32973,124.433,78.7053,0.43006,8.48389,9.1903,124.057,125.619,0.375459,-46.9141 
16,0.19,0.66,16,4573.6,-0.228716,16.1519,8.44722,124.011,0.331453,-252.976,498.531,-1.46522,2.16619,-2.3822,-0.739532,-5.52137,-387.857,3386.43,0.826623,3088.43,7171.12,0.977013,4.60842,2.50226,1.7027,-3.07913,0.627155,3695.37,28.9123,3397.37,0.513627,0.986493,0.0154347,7194.66,-0.00182061,0.558378,8.99319,8.41716,124.369,78.8016,0.483847,8.81133,9.16158,123.641,125.739,0.728655,-46.937 
17,0.16,0.69,17,3855.27,-0.151284,13.6885,8.39903,123.986,0.865749,844.786,495.064,-0.561369,-0.625968,-2.34327,-3.38517,-1.45636,-396.677,2883.43,21.6979,2746.68,27551.3,1.9364,1.8718,2.65227,-0.887398,1.04141,0.599021,3199.4,50.4222,3062.65,0.503531,0.97316,0.029435,6353.93,-0.00165736,0.473557,8.90091,8.38924,124.263,78.7499,0.423933,8.97363,9.17284,123.647,125.62,0.615763,-46.8701 
18,0.17,0.68,18,3904.32,-0.320346,14.5051,8.35125,124.175,1.58805,982.511,1.29108,-2.32576,2.37294,-0.0716604,-1.54768,-1.5913,-387.025,3144.52,-1.94119,2617.62,54735.6,0.11123,4.80993,4.80233,0.889319,0.845696,0.580894,3452.8,26.0843,2925.9,0.533954,0.986952,0.016157,6466.47,-0.00179195,0.532267,8.80955,8.35491,124.382,78.6668,0.411534,8.85805,9.20342,123.826,125.644,0.55593,-46.9772 
19,0.15,0.7,19,3393.02,-0.129992,-13.3654,8.08736,124.727,0.356152,-462.277,26.3073,-0.176903,0.667785,0.585564,-2.91881,0.881821,-313.047,2737.32,7.55812,2524.84,8878.33,1.79427,2.63896,4.5279,-0.947636,2.85299,0.583315,2986.67,30.2266,2774.19,0.511058,0.982597,0.019676,5844.09,-0.00178749,0.479327,8.70706,8.21374,124.839,78.9833,0.404899,8.59938,9.22442,123.872,125.907,0.96658,-46.9234 
20,0.04,0.81,20,7682.12,-0.297883,23.2605,8.62613,124.01,0.423232,395.049,87.0073,0.415829,0.95946,-2.35158,-2.87058,-0.607284,-324.248,5318.31,7.4897,4089.3,11974.6,2.45754,3.00117,1.73183,-0.828872,1.43442,0.777859,5576.59,30.9693,4347.57,0.554631,0.990375,0.012952,10054.6,-0.00165139,0.88681,8.84505,8.33868,124.226,78.7853,0.658654,8.84478,8.86845,123.534,125.62,0.692098,-46.8348 
21,0.18,0.67,21,3588.09,-0.255289,12.7563,8.69057,124.317,0.493032,6.28336,470.545,-0.634154,0.466188,-5.03838,-2.33682,-0.317959,-385.022,2812.86,5.54022,2413.72,3709.68,1.79022,2.89057,-0.189619,0.0875612,2.10642,1.02836,3119.54,33.4206,2720.4,0.526811,0.981597,0.0221298,5921.55,-0.00160107,0.47668,8.90658,8.34608,124.49,78.7457,0.372031,8.91256,9.27905,123.773,125.905,0.717113,-47.1597 
22,0.05,0.8,22,5970.3,-0.296833,19.2046,8.50553,124.374,-0.364066,485.398,499.945,-1.15002,1.21089,-4.94749,-0.490945,-0.700092,-344.755,4150.02,2.32764,3488.96,11070.1,1.0208,3.38171,-0.605834,1.67988,1.47074,1.0872,4424.63,27.2922,3763.57,0.533017,0.989321,0.0131822,8301.11,-0.00161459,0.725255,8.77141,8.02901,124.525,78.9588,0.579792,8.73355,8.78937,123.93,126.034,0.59514,-47.075 
