cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,11,26940,0.243261,43.6966,12.7605,96.9909,0.15987,-22.6364,204.995,1.61431,1.54855,3.33486,-0.932546,-0.857528,-283.249,12099.6,101.712,13582.5,18269.2,3.39786,3.33209,6.90195,0.850999,0.926017,0.552081,12496.9,131.141,13979.8,0.518541,0.981967,0.0169868,24100.1,0.00201301,1.21493,12.151,9.76728,97.0854,72.4961,1.07646,12.7568,11.7881,96.4797,123.294,0.605721,-50.7975 
12,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,12,15028.4,0.203956,22.3208,13.408,96.7435,0.0600579,348.271,3.29907e-09,-0.920515,2.369,4.87204,0.314988,1.52395,-198.663,1052.35,42.2359,12585.6,10423.3,0.330411,3.61992,7.37389,1.56591,2.77488,0.529277,1330.99,62.8761,12864.2,0.110839,0.923642,0.00892326,12008.3,0.00186374,0.10907,10.8666,9.44169,97.5862,70.5182,0.950356,13.0799,12.1221,96.3854,121.781,1.20084,-51.2623 
13,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,13,24231.8,0.258131,39.4319,12.606,96.9504,0.012394,137.127,117.241,2.06678,2.69286,6.83729,3.87362,3.43709,-249.197,10702,80.3292,12342.1,16236.9,3.63591,4.26198,9.97554,5.44275,5.00622,0.647786,11051.5,106.22,12691.6,0.511987,0.983458,0.0151831,21585.5,0.00198711,1.08993,11.9777,9.72758,97.2674,72.2471,1.0095,12.5588,11.5314,96.227,122.925,1.04041,-50.6775 
14,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,14,26389.8,0.268837,43.2781,12.5407,96.8802,-0.0729628,-134.914,382.973,-0.851224,3.02602,9.53202,5.89183,2.73315,-275.368,11849.7,100.961,13309.7,17988.4,0.882692,4.75993,12.9998,7.62575,4.46706,0.577038,12235.9,129.571,13695.9,0.518394,0.981806,0.0171288,23603.6,0.00211966,1.24217,11.9845,9.47742,97.0153,72.4054,1.10463,12.4934,11.3735,96.2935,123.149,0.721842,-50.7439 
15,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,15,13491.5,0.235293,20.5817,12.9422,97.009,1.38665,-1256.57,229.041,0.376952,0.937212,3.96053,2.4542,2.20292,-178.425,-15.4702,20.9744,12211.3,65393,1.50044,2.0607,6.20752,3.57769,3.32641,0.627685,234.788,39.5121,12461.6,0.0221961,0.772496,0.00580687,10577.9,0.00157904,0.0134262,9.22337,7.38735,117.876,55.1049,1.00609,12.5272,11.547,96.7727,123.25,21.1031,-68.1454 
16,97,43.218,43.218,4.4,48.55,-0.2,0.19,0.01,16,24334.2,0.212027,40.1593,12.5631,96.6747,-0.175482,-117.426,492.37,1.77658,2.47332,8.45725,1.36415,-2.48054,-270.066,10858.4,103.48,12426.1,17094.8,3.47712,4.17385,11.8583,3.06469,-0.780006,0.45589,11237.2,131.539,12804.9,0.51393,0.979926,0.0185717,21865.2,0.00183354,1.1119,12.0458,9.64507,96.7707,72.3278,1.03844,12.4561,11.3721,96.1918,122.85,0.578913,-50.522 
17,97,43.278,43.278,4.4,48.55,-0.2,0.19,0.01,17,24809.3,-0.0158833,40.3712,12.7866,97.1065,-0.00270142,-7.90034,6.03756e-12,1.64424,4.47734,6.9445,1.53603,0.204048,-244.623,10887,88.2246,12651.4,16805.1,3.18457,6.01767,10.0252,3.07635,1.74437,0.583121,11230.1,113.64,12994.5,0.510098,0.9826,0.0158542,22015.6,0.00216306,1.12135,12.0898,9.50758,97.2476,73.031,1.03134,12.5421,11.5395,96.6012,124.01,0.646339,-50.9788 
18,75,47.3227,47.3227,2.5,46.05,0.2,-0.19,-0.01,18,15290.3,0.226587,22.6298,13.5411,96.9287,0.2475,-287.464,245.691,-0.149642,-0.325633,1.08136,0.567255,-0.754052,-150.861,1025.84,30.6274,12901.7,12291.5,0.800291,0.6243,2.98122,1.51719,0.195881,0.512783,1237.43,46.3013,13113.3,0.102086,0.938544,0.00646221,12121.4,0.00166304,0.11546,10.9818,9.39741,97.6738,70.9235,0.930235,13.3718,12.5067,96.6339,122.607,1.03994,-51.6835 
19,97,43.248,43.248,4.4,48.55,-0.2,0.19,0.01,19,23868.8,0.231821,39.9796,12.3107,96.6183,-0.461598,45.028,256.04,0.274719,0.915717,3.71497,-0.456933,-1.81213,-282.086,10444.8,70.3912,12397.5,16698.6,2.05094,2.69194,7.26742,1.31929,-0.0359075,0.453318,10840.4,99.6989,12793.2,0.505175,0.98416,0.0141526,21458.8,0.00172327,1.10733,11.7818,9.54719,96.7243,71.2702,1.03608,12.3598,11.5057,96.0593,121.566,0.664943,-50.2958 
20,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,20,26983.9,-0.00412284,43.831,12.8298,97.1219,-0.0322319,-10.4958,3.67098e-11,-0.734259,3.49735,4.90565,-0.106223,1.22923,-281.66,11905,84.9776,13655.7,18317.1,1.03928,5.27089,8.45273,1.66732,3.00277,0.565032,12300.1,114.241,14050.7,0.513312,0.984006,0.0147564,23962.2,0.00220088,1.18883,11.9975,9.90966,97.4305,72.4693,1.08563,12.7127,11.8118,96.4684,123.438,0.962087,-50.9683 
