cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.1,47.3227,2.2,12,9367.8,0.110701,17.668,10.8065,117.486,-0.00134084,-48.5713,1.16738,-0.375864,-0.931548,-2.5735,1.08299,0.599895,39.3917,927.563,42.8109,7942.19,6217.49,-0.623903,-1.17959,-3.06958,0.834949,0.351856,0.167293,896.186,39.9585,7910.82,0.101758,0.92762,0.00921891,8807,0.000532962,0.0850917,-10.6098,12.5059,117.881,87.9807,0.837386,10.9122,10.5183,116.863,134.626,1.01805,-46.6448 
13,-0.008,47.2147,10,13,8952.78,0.118807,17.3992,10.4025,117.619,-0.0912009,-179.078,170.586,-1.13928,-1.91796,-1.4151,-0.217808,-2.38929,25.9833,604.13,62.5434,7888.04,6423.65,-1.30289,-2.08157,-1.74232,-0.381418,-2.5529,0.783861,583.433,60.6619,7867.34,0.069039,0.846056,0.0140048,8450.78,0.000520742,0.0593857,9.84899,13.3089,117.732,90.7738,0.868332,10.3822,10.5047,117.004,135.069,0.727861,-44.2947 
14,0,47.2227,1.3,14,9824.55,0.134326,18.9019,10.4915,117.649,0.0204518,-286.221,59.6057,-0.754372,-5.15697,-2.34013,-3.75828,-0.843204,15.4535,573.865,48.6029,8769.99,6646.15,-0.851678,-5.25428,-2.53474,-3.85558,-0.940511,0.811358,561.556,47.4838,8757.68,0.0602578,0.871099,0.00988906,9319.24,0.000546382,0.0644426,-9.34803,11.9729,117.413,89.3625,0.958616,10.6806,10.3141,117.046,135.066,0.367096,-45.7031 
15,0.15,47.3727,2.8,15,9884.93,0.140522,17.7427,11.2035,117.553,-0.0247116,-139.206,243.103,-2.02559,-2.41753,1.85443,3.14193,-0.586422,-14.4431,1186.08,82.1505,8090.31,6582.93,-1.93465,-2.32658,2.03632,3.23288,-0.495477,-2.97336,1197.59,83.1964,8101.82,0.128781,0.891605,0.0185651,9299.4,0.000614164,0.0749148,13.2063,15.3064,117.886,89.1315,0.78426,11.0485,11.2488,116.935,135.203,0.951772,-46.0719 
16,-0.006,47.2167,9,16,10025.7,0.0322308,20.3025,10.0861,117.523,-0.0115186,-114.078,500,0.561272,-1.43101,-4.3257,-2.8136,-5.67069,8.28524,946.137,55.4926,8612.03,6708.8,0.509102,-1.48318,-4.43004,-2.86577,-5.72286,0.683404,939.538,54.8926,8605.43,0.0984327,0.90724,0.011614,9544.97,0.000622196,0.118084,-9.18431,-10.0994,117.684,87.636,0.969915,10.1721,10.4676,116.951,135.269,0.732971,-47.6335 
17,0.004,47.2267,1.32,17,8835.44,0.119505,17.6026,10.133,117.548,0.00710425,-196.621,43.4779,0.861736,-0.712414,-0.507227,2.21576,-4.7117,14.1933,802.689,27.2056,7599.67,5851.9,0.772364,-0.801786,-0.68597,2.12639,-4.80108,0.797654,791.383,26.1778,7588.37,0.09444,0.94528,0.00631465,8379.75,0.000491657,0.117623,-8.59655,9.37038,117.738,86.9868,0.877336,10.4372,10.0446,116.858,134.604,0.879688,-47.6172 
18,0.2,47.4227,3.5,18,10814.4,0.114679,18.8766,-11.7472,117.52,-0.0998398,128.226,222.983,-2.44449,-1.23366,1.89731,-3.16293,0.710725,17.6254,1043.98,76.1601,9007.59,7635.38,-2.55547,-1.34464,1.67534,-3.27392,0.599742,1.34198,1029.94,74.8838,8993.55,0.102753,0.887125,0.0151064,10023.5,0.000667314,0.0560099,14.0359,18.2248,117.481,89.3252,0.843716,11.4478,11.2789,116.915,134.929,0.565336,-45.6042 
19,-1,46.2227,10,19,11092.7,0.105901,21.0787,10.8613,117.304,0.112435,-77.2341,178.059,0.00437898,-1.53259,-1.69273,-0.875342,-1.14095,21.0407,67.4686,64.3353,10579.4,7735.48,-0.128109,-1.66508,-1.95771,-1.00783,-1.27343,0.675455,50.7089,62.8117,10562.6,0.00477786,0.315689,0.0108356,10613.3,0.000709078,-0.0136717,14.9921,-8.28475,110.272,78.2237,1.10693,10.8902,10.6013,116.709,135.094,-6.43734,-56.8705 
20,0.008,47.2307,1.32,20,10525.1,0.119289,19.8614,10.8297,117.463,-0.112553,69.8664,194.603,2.53648,0.226702,1.06453,0.814895,0.608267,-11.2372,751.744,54.3716,9322.21,7257.97,2.60723,0.297459,1.20605,0.885652,0.679024,0.787496,760.695,55.1853,9331.16,0.0753772,0.887347,0.010777,10091.9,0.000527024,0.0862756,9.60781,11.0025,117.264,88.7231,0.968096,11.0031,10.5658,116.845,135.325,0.418521,-46.602 
21,0.045,47.2677,1.7,21,10139.8,0.119906,18.8376,10.9703,117.599,-0.179918,-1037.37,125.206,-0.507744,0.152798,1.20315,-1.15841,-1.84099,-61.5197,978.05,85.3655,8715.03,12803.1,-0.120371,0.540171,1.97789,-0.771041,-1.45362,-10.431,1027.05,89.8203,8764.03,0.104897,0.867269,0.0185295,9791.08,0.000489473,0.0945762,9.80446,13.11,117.618,89.5161,0.872788,11.1605,10.8114,116.949,135.02,0.668876,-45.5036 
22,-1,46.2227,10,22,9481.29,0.131838,17.9179,10.6596,117.566,-0.0402739,-251.579,85.2639,-1.36546,1.87059,-4.19139,0.316293,-0.277226,30.7128,33.2568,44.431,8912.94,6547.42,-1.55885,1.6772,-4.57817,0.122903,-0.470616,0.0477078,8.79293,42.207,8888.47,0.000988273,0.106381,0.0086714,8897.27,0.000763981,-0.00987664,12.8539,-13.5509,117.187,70.9164,0.993959,10.5585,10.2248,116.986,134.765,0.201327,-63.8489 
23,0.03,47.2527,1.6,23,10776.3,-0.00707146,20.7608,10.7785,117.508,-0.0451988,14.9144,500,0.413272,-5.3347,1.1838,-0.82253,0.395631,-25.0003,1072.85,92.348,9240.94,7306.44,0.570692,-5.17728,1.49864,-0.665109,0.553051,1.46542,1092.77,94.1583,9260.85,0.105544,0.868969,0.018385,10353.6,0.00054048,0.11446,10.0028,11.5424,117.498,88.4159,0.985094,10.8464,10.421,116.845,134.859,0.652781,-46.443 
24,-1,46.2227,10,24,10088.6,-0.00423291,19.2241,10.8431,117.31,0.0121342,18.0405,1.54799e-11,-3.79716,-1.33828,-0.292307,-1.12229,-2.64847,2.62764,73.4895,66.9198,9489.14,6792.85,-3.8137,-1.35483,-0.325398,-1.13884,-2.66501,0.965003,71.3965,66.7296,9487.05,0.00746946,0.379419,0.0127912,9558.45,0.000860172,-0.00921977,19.612,11.3449,114.481,74.7577,1.01782,10.7728,10.3736,116.647,134.642,-2.1668,-59.8841 
25,0.06,47.2827,1.8,25,11021.7,0.123615,21.131,10.6662,117.478,-0.634431,241.493,499.671,-5.4016,-5.30278,1.43549,-2.68292,-3.20113,-24.8855,936.841,81.5221,9589.49,12324.6,-5.2449,-5.14608,1.74888,-2.52623,-3.04444,1.12305,956.664,83.3242,9609.32,0.0905419,0.867737,0.0157221,10566,0.0005619,0.0960408,9.65161,12.6532,117.823,88.9221,1.0194,10.8472,10.449,116.813,134.597,1.01,-45.6753 
26,-1,46.2227,10,26,10847.2,0.00301371,21.0693,10.6285,117.546,-0.00175334,-29.7481,500,0.875706,-4.77467,0.2898,-6.81017,-0.40924,29.5201,112.109,86.7796,10207.2,7291.5,0.689826,-4.96055,-0.0819602,-6.99605,-0.595121,0.993138,88.5947,84.642,10183.7,0.00862466,0.374262,0.0150799,10272.2,0.000911194,-0.0118115,-17.3415,-9.02253,112.156,78.6916,1.09662,10.4873,10.6195,116.885,135.752,-4.72892,-57.06 
27,-0.002,47.2207,2,27,9647.15,0.136045,18.9273,10.2562,117.524,-0.177235,-442.553,457.01,-3.67422,-3.44303,-2.87001,2.4094,-0.921116,7.44478,1709.95,39.8717,7499.46,8872.69,-3.72109,-3.4899,-2.96376,2.36253,-0.967994,0.66245,1704.02,39.3326,7493.53,0.185269,0.961174,0.00957639,9197.56,0.000591792,0.23436,9.23402,9.28458,117.299,86.7033,0.829321,10.5068,10.3193,117.021,135.006,0.278475,-48.3024 
28,0.015,47.2377,1.4,28,10157,0.149069,19.1,10.666,117.431,-0.511004,-722.123,305.881,0.201838,0.815493,4.59638,-2.68738,-1.49047,-28.413,768.135,44.7129,8867.76,18644.2,0.380747,0.994403,4.9542,-2.50847,-1.31156,-0.974319,790.767,46.7704,8890.4,0.081681,0.906204,0.00959789,9681.16,0.000598608,0.102946,9.17709,9.77114,117.971,87.1033,0.945758,10.9179,10.3559,116.8,134.525,1.17098,-47.4216 
29,0.075,47.2977,2,29,9482.1,0.115982,18.2913,10.5257,117.461,-0.177244,-138.617,133.531,-1.77679,-5.35932,-0.571914,0.624974,-2.39019,-31.71,1028.22,31.1952,8049.91,7067.24,-1.57712,-5.15965,-0.172575,0.824644,-2.19052,0.979146,1053.48,33.4914,8075.17,0.115403,0.947297,0.00758211,9128.65,0.000484501,0.120038,10.0174,10.3744,117.485,87.9278,0.857808,10.6947,10.5736,116.91,135.449,0.575684,-47.521 
30,-0.01,47.2127,10,30,9850.16,0.112468,19.2653,10.4439,117.486,0.128285,-313.135,60.8734,-1.69787,-4.65983,-7.76966,1.47568,1.3582,-55.4859,216.841,42.3372,9246.83,7857.6,-1.34849,-4.31046,-7.0709,1.82506,1.70758,0.231191,261.037,46.3551,9291.02,0.0273279,0.762913,0.00910699,9552.06,0.000956817,-0.00638812,35.4027,-15.1047,142.18,55,1.01502,10.5265,10.3715,116.851,135.312,25.3289,-80.3125 
31,-0.004,47.2187,8,31,11221.3,0.116657,21.8585,10.5457,117.46,-0.00288672,-54.9837,4.11921,-4.37452,1.06336,-4.00288,-1.84557,2.11895,4.81084,1708.76,77.3498,9028.8,7509.15,-4.40482,1.03307,-4.06347,-1.87586,2.08866,0.437381,1704.93,77.0015,9024.97,0.158895,0.926752,0.0154737,10729.9,0.00064005,0.215306,9.88378,9.55243,117.54,87.2097,0.956806,10.5702,10.7086,116.817,135.051,0.722862,-47.8415 
32,0.1,47.3227,2.2,32,10278.8,-0.00834324,19.0689,11.1299,117.652,0.00561978,5.05068,0.000792415,-2.3222,-1.54826,-6.33046,-0.886979,-0.418212,0.920777,1218.05,60.6122,8514.6,6909.89,-2.328,-1.55406,-6.34206,-0.892777,-0.424009,0.450471,1217.32,60.5455,8513.87,0.125094,0.91993,0.0129306,9731.18,0.000599798,0.117412,10.8691,11.3055,117.334,87.9489,0.842735,11.1787,10.956,116.944,135.278,0.38935,-47.3293 
33,-0.008,47.2147,10,33,9614.32,0.0050461,19.6448,10.1636,117.598,-0.00968998,-34.1141,0.069077,-1.40792,-4.04219,-2.16693,-0.0321391,0.266203,29.9944,465.283,61.3474,8766.49,6510.4,-1.59679,-4.23105,-2.54466,-0.221006,0.0773364,0.701197,441.391,59.1755,8742.6,0.0480609,0.809969,0.012315,9183.99,0.000396665,0.0525078,-9.0076,15.7136,118.216,92.385,1.02277,10.162,10.0915,117.07,134.689,1.146,-42.3035 
34,0,47.2227,1.3,34,9672.01,0.121154,19.1085,10.2756,117.341,-0.042392,-1267.07,118.45,-2.96171,-2.99641,0.79602,-0.114205,-0.746926,-13.2485,623.698,47.221,8580.07,8140.45,-2.87829,-2.91299,0.962864,-0.0307825,-0.663504,1.17435,634.251,48.1803,8590.62,0.0687545,0.882661,0.0102258,9224.87,0.000599163,0.0762865,-9.3626,10.2702,117.596,87.8513,0.958484,10.3481,10.3722,116.804,135.026,0.792339,-47.1745 
35,0.15,47.3727,2.8,35,11008.8,0.170785,19.7653,11.1185,117.565,0.00667039,19.4776,111.161,-2.66987,-2.5961,-1.03907,1.89277,2.29553,-41.2822,1296.16,84.7096,8984.89,7158.17,-2.40993,-2.33615,-0.519181,2.15272,2.55547,0.0680252,1329.04,87.6989,9017.78,0.128449,0.896478,0.0175994,10346.8,0.000761098,0.0914065,12.0159,14.4747,118.007,88.4243,0.884139,11.0668,11.0836,116.956,135.567,1.05092,-47.1429 
36,-0.006,47.2167,9,36,9874.12,-0.00659563,19.1097,10.5658,117.387,0.00258406,-26.5511,2.46463e-06,2.71162,-0.356936,-0.607518,1.08764,1.29515,-1.76417,1155.71,56.1662,8114.95,6575.06,2.72273,-0.345828,-0.585301,1.09874,1.30626,1.13947,1157.12,56.2939,8116.36,0.124777,0.921542,0.0126154,9273.48,0.000714807,0.155924,-9.44503,9.27752,117.38,86.7956,0.894147,10.5701,10.3077,116.783,134.705,0.597359,-47.9096 
37,0.004,47.2267,1.32,37,9525.39,-0.00690476,18.8247,10.4975,117.529,0.00271752,1.07705,2.1745e-12,-0.973324,-4.16901,-9.86353,0.785846,-1.24134,-25.2131,788.938,33.5203,8327.73,6433.01,-0.814564,-4.01025,-9.54601,0.944606,-1.08258,0.342054,809.021,35.346,8347.82,0.0883516,0.928973,0.00773941,9156.84,0.000507959,0.114485,-9.22044,-9.12025,117.537,87.1826,0.929156,10.5941,10.1644,116.895,134.555,0.6415,-47.3724 
38,0.2,47.4227,3.5,38,10189,0.166232,17.3551,11.6662,117.229,-0.0743624,151.292,3.74702,-3.03792,-1.46155,-2.37896,-1.13677,0.209967,4.05817,957.52,75.4474,8392.98,6957.28,-3.06348,-1.4871,-2.43006,-1.16232,0.184414,0.69466,954.288,75.1535,8389.74,0.102128,0.878875,0.0162333,9344.03,0.000766301,0.0504787,14.2676,17.7854,117.801,89.5066,0.790431,11.4319,11.2236,116.562,134.833,1.23888,-45.3261 
39,-1,46.2227,10,39,9578.2,0.119289,18.504,10.5126,117.442,-0.0833094,-151.96,305.93,0.0344559,-0.502762,-3.29156,0.701511,-1.98804,11.747,-0.833019,41.7559,9158.85,6744.55,-0.039512,-0.57673,-3.4395,0.627543,-2.062,0.373521,-10.19,40.9052,9149.5,-0.00111496,-0.165976,0.00816835,9139.31,0.000494144,0.0104486,-13.4143,-3.17603,147.999,75.7405,1.00133,10.6157,10.3554,116.886,135.175,31.113,-59.4344 
40,0.008,47.2307,1.32,40,10176.9,-0.00378254,19.8596,10.6452,117.608,0.00925453,-2.87329,1.59623e-12,-1.51448,-1.21908,1.71582,-1.37924,-0.680135,-27.6659,565.973,81.41,9156.33,6882.96,-1.34027,-1.04488,2.06423,-1.20503,-0.50593,2.01592,588.01,83.4134,9178.37,0.0602076,0.801122,0.0164655,9766.38,0.00101924,0.0553357,0.147826,11.0227,115.989,88.1541,0.976317,10.6857,10.5654,116.902,134.592,-0.912492,-46.4378 
41,0.045,47.2677,1.7,41,9065.57,-0.0106309,17.4864,10.6131,117.45,-0.0533889,58.2855,0.000142151,-2.87393,0.229383,1.28826,-2.91006,-3.13041,-8.51311,791.442,31.8144,7859.57,6142.71,-2.82032,0.282987,1.39547,-2.85645,-3.0768,1.19724,798.223,32.4308,7866.35,0.0921249,0.933619,0.00753726,8664.58,0.000524165,0.0949197,-9.45791,10.5709,117.511,87.3245,0.851018,10.5829,10.4741,116.802,134.867,0.709161,-47.5421 
42,-1,46.2227,10,42,9351.67,0.108912,18.0753,10.5548,117.673,-0.246936,139.344,162.621,-1.6306,-1.2459,-1.04695,0.812299,0.1045,-28.2801,65.2785,62.7131,8901.44,7330.7,-1.45253,-1.06783,-0.6908,0.990371,0.282572,0.643589,87.8047,64.761,8923.97,0.00974333,0.436543,0.0131917,9011.77,0.00141718,-0.00297053,102.68,51.7046,107.505,55.0002,0.99137,10.7065,10.0958,117.015,134.251,-9.51074,-79.251 
43,0.03,47.2527,1.6,43,9768.51,0.134043,18.7468,10.5077,117.735,-0.0355161,-302.126,372.204,2.31444,-2.09472,4.58636,1.68045,1.09915,-35.7766,1025.57,42.7976,8203.59,6761.86,2.53972,-1.86944,5.03691,1.90572,1.32442,0.436419,1054.07,45.3883,8232.09,0.11351,0.929925,0.0100545,9286.16,0.000572032,0.133814,-9.7,9.44245,117.763,86.7545,0.903529,10.7788,10.2182,117.054,134.346,0.708816,-47.5918 
44,-1,46.2227,10,44,10765.4,0.0973108,20.8705,10.6756,117.483,-0.03121,2.71576,135.81,-4.59275,-0.700156,-6.21456,2.46076,0.535336,-21.9478,48.5212,70.348,10261,7255.82,-4.45455,-0.561957,-5.93816,2.59896,0.673535,0.227021,66.0034,71.9373,10278.5,0.00638052,0.343958,0.0127284,10344.5,0.000725055,-0.0162563,14.2442,-8.95752,108.54,76.8111,1.10169,10.6847,10.5289,116.819,135.346,-8.27929,-58.5351 
45,0.06,47.2827,1.8,45,10464.8,0.0481105,19.5632,10.8697,117.33,-0.0199986,-190.262,499.3,-4.96085,-2.90881,1.11471,0.372099,0.555541,-70.7541,1059.52,35.075,8842.11,7046.18,-4.51533,-2.46329,2.00575,0.817619,1.00106,1.6359,1115.87,40.1985,8898.47,0.111428,0.940696,0.00825296,10014.3,0.000617132,0.11781,10.7515,-9.93161,117.303,87.1867,0.919163,10.9817,10.6101,116.636,134.843,0.666745,-47.6559 
46,-1,46.2227,10,46,9454.14,0.118954,18.2516,10.5124,117.306,-0.0367854,-245.999,12.697,-1.40611,-0.453515,-0.665415,2.41916,-1.87141,15.0729,89.8361,53.9189,8931.43,6540.54,-1.50102,-0.548424,-0.855234,2.32425,-1.96632,0.664185,77.83,52.8274,8919.42,0.00865042,0.457076,0.0107926,8997.25,0.000724252,-0.0123114,-12.6197,-7.4826,108.09,79.2538,0.999968,10.4629,10.224,116.669,134.955,-8.57951,-55.7015 
