cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.2189,1.8,0,3318.81,-0.000298452,-14.4159,8.2044,123.725,-0.0153623,7.2908,500,-4.57481,-5.7331,-10.1583,-1.53102,-2.85128,-727.974,337.523,26.9971,5644.46,3853.85,0.00904513,-1.14924,-0.990622,3.05283,1.73258,1.37317,917.381,79.7114,6224.31,0.152355,0.868012,0.0230471,6021.32 
1,47.2144,1.6,1,3149.83,-0.0483628,-13.7903,8.3572,123.45,0.0155161,24.6613,9.87346e-13,-1.00007,-0.358611,-4.01756,-7.89905,-5.19604,-709.678,82.7103,28.2201,5718.65,3764.17,3.46859,4.11004,4.91975,-3.43039,-0.727389,0.410144,647.995,79.6096,6283.94,0.111707,0.823047,0.022805,5800.82 
2,47,10,2,2987.72,-0.00897321,-13.4265,8.23527,123.161,0.0388752,-96.7888,3.91206e-12,-4.18209,-3.22789,-3.91675,-4.35802,-3.97132,-695.201,-42.2462,41.8711,5635.64,3721.93,0.195411,1.14961,4.83825,0.0194767,0.406181,0.267922,511.507,92.2123,6189.39,0.0915562,0.760177,0.0267114,5586.81 
3,47.2859,7,3,3993.57,-0.0662609,14.4414,8.71235,123.266,-0.0153442,66.9006,500,-1.28082,-4.91635,-10.0907,0.504438,-1.33611,-648.045,506.873,31.4289,5834.12,4129.24,2.79974,-0.83578,-1.92953,4.585,2.74445,1.26203,1023.07,78.3554,6350.31,0.164207,0.88181,0.0222243,6230.32 
4,47.4259,10,4,3399.27,-0.312462,-14.1401,8.71807,123.227,-0.102551,140.431,0.000230931,-3.01559,0.0634506,-6.19993,-5.3919,0.428863,-724.381,53.5132,35.3839,5917.86,4481.8,1.54565,4.62469,2.92254,-0.830662,4.9901,0.77947,630.51,87.8381,6494.86,0.105856,0.803989,0.0243075,5956.29 
5,47.2164,1.5,5,3062.68,-0.485114,-13.7725,8.82469,123.43,0.757326,-703.887,5.76669,-3.67738,-3.15963,-2.98527,-4.07062,-1.38938,-813.225,85.7049,47.5714,5682.98,21309.7,1.44328,1.96103,7.25605,1.05004,3.73128,0.5301,733.468,106.459,6330.74,0.123799,0.797446,0.0300464,5924.68 
6,47.2659,6,6,3916.57,-0.340601,14.9314,9.09982,123.252,0.688478,-108.163,500,-3.53625,-4.34158,-11.503,-8.38959,-3.91595,-696.254,610.538,50.9559,5866.3,6847.29,0.847877,0.0425449,-2.73474,-4.00547,0.46817,0.491837,1165.13,101.373,6420.89,0.181195,0.867859,0.0282613,6430.26 
7,47.2139,1.7,7,3296.72,-0.142916,-13.5829,8.39912,123.301,0.442861,-39.486,500,0.411149,-3.29613,0.201715,-5.60815,-3.04482,-700.215,262.235,37.3229,5397.78,4283.08,4.82022,1.11294,9.01985,-1.19908,1.36425,0.403377,819.982,88.0272,5955.53,0.143768,0.841845,0.026506,5703.52 
8,47.2329,2.5,8,3586.6,-0.0109036,-14.0905,-8.54535,123.363,-0.0663228,12.8631,500,-5.97718,-2.85374,-6.24416,-6.35315,-3.23634,-782.306,332.629,46.938,5731.98,3947.46,-1.0512,2.07223,3.60779,-1.42718,1.68964,0.262403,955.765,103.587,6355.12,0.154981,0.840572,0.0291505,6166.96 
9,47.2134,1.7,9,3626.57,-0.00752264,-14.4446,8.2826,123.612,0.0182557,-10.6242,500,-5.53006,-1.27168,-8.3054,-5.83987,-4.33338,-634.725,266.977,40.0126,5722.85,3900.96,-1.53336,2.72502,-0.312017,-1.84318,-0.336683,0.760028,772.558,85.9745,6228.44,0.13139,0.836995,0.0247971,5879.88 
10,47.2169,1.6,10,3138.95,-0.278738,-13.6484,8.51154,123.103,-1.18315,892.311,488.728,-1.8605,-3.00867,-8.2968,-3.52678,-2.50777,-730.223,97.5094,37.0534,5607.75,38149.4,2.73751,1.58934,0.899231,1.07123,2.09024,0.89279,679.159,89.9306,6189.4,0.118023,0.811869,0.0260677,5754.46 
11,47.2184,1.7,11,3272.69,-0.46582,-14.352,-8.63383,123.383,0.0119713,255.021,3.58506,-6.57143,0.240286,-7.80328,-0.196741,-3.92552,-766.024,184.825,30.1478,5701.4,4133.15,-1.74798,5.06374,1.84362,4.62671,0.897936,0.827441,794.992,85.6175,6311.57,0.133154,0.841419,0.0243793,5970.48 
12,47.2149,1.6,12,3342.79,-0.468882,-14.4759,8.68912,123.223,-0.344605,29.0391,499.771,-0.881763,-0.941759,-9.37677,-0.382572,-0.194054,-688.724,175.522,38.9293,5714.46,4420.4,3.45495,3.39495,-0.703351,3.95414,4.14266,1.04938,724.116,88.8015,6263.06,0.123573,0.823309,0.0254537,5859.82 
13,47.2159,1.5,13,3192.86,0.00391044,-13.0205,8.44217,123.39,-0.0106086,0.684309,500,0.613935,-4.59951,-2.74088,-1.44714,-1.9362,-659.267,-2.8787,42.0481,5522.23,3578.54,4.76516,-0.448282,5.56158,2.70409,2.21503,0.624156,522.252,89.7873,6047.36,0.0952825,0.768719,0.0266222,5481.09 
14,47.2959,8,14,3858.19,0.0037557,14.2556,8.615,123.247,0.0434127,-28.0001,500,-1.79878,-4.14824,-1.94888,-3.885,-2.18202,-694.752,477.194,41.0853,5758.06,4037.51,2.57589,0.226426,6.80046,0.489668,2.19264,0.446446,1030.59,91.394,6311.45,0.166064,0.865657,0.0259818,6205.98 
15,47.2369,2.5,15,3622.93,-0.0119726,-13.8305,8.58144,123.509,-0.00348891,-29.2819,500,-3.36694,-2.54601,-2.83278,-0.797134,-4.88117,-766.585,274.454,35.5533,5768.9,3866.94,1.46005,2.28098,6.82119,4.02985,-0.0541839,0.530799,885.067,91.0636,6379.51,0.144707,0.847418,0.0256212,6116.27 
16,47.3459,10,16,3595.97,-0.022452,-14.0691,8.48862,123.435,-0.0105696,3.45893,3.78684e-12,-1.90429,-3.42252,-0.0107491,-4.1427,-1.7866,-657.056,297.666,27.9945,5778.81,3888.93,2.23302,0.714782,8.26386,-0.00539593,2.3507,0.390434,821.035,75.5735,6302.18,0.137095,0.861266,0.0216125,5988.82 
17,47.5459,10,17,2793.21,-0.452255,-12.853,8.71076,123.419,1.19277,-67.4237,498.387,0.438408,-2.01305,-4.18431,-4.36897,-1.75338,-701.045,-98.8206,19.7265,5456.96,6262.62,4.8527,2.40125,4.64428,0.0453255,2.66092,0.681996,459.588,70.4908,6015.37,0.0852321,0.788387,0.0211305,5392.19 
