cyc,sweep,VVA,drop time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.05,7,0.8,0,7757.16,0.000663951,10.4994,16.0502,96.5822,-0.0117756,17.3231,1.02883e-10,-0.253481,0.562645,4.33785,0.547381,0.512579,-64.5934,1297.99,48.2661,6000.99,5492.43,0.153246,0.969372,5.1513,0.954109,0.919306,0.367732,1388.59,54.9771,6091.59,0.205742,0.935203,0.0163533,6749.19,1146.19,1416.8,26577.9,0.000722706,0.077612,14.4511,12.3475,97.4,70.4578,0.336917,15.4143,13.9735,96.3815,122.017,1.01846,-51.5595 
1,46.05,0,0.8,1,9692.54,0.0168625,13.3688,15.4257,96.6074,-0.0139528,-14.6507,1.32045e-11,0.0578681,1.35575,0.323993,3.14458,0.294319,-67.7945,200.25,42.6791,8785.17,6719.91,0.484752,1.78264,1.17776,3.57147,0.721203,0.847792,295.338,49.7227,8880.26,0.0364167,0.772423,0.0102091,8109.97,2586.36,250.122,64842.7,0.00104909,0.00914535,13.054,9.80601,115.982,57.8661,0.569397,14.4913,12.7325,96.4016,122.735,19.5802,-64.869 
2,45.9,7,0.8,2,7758.72,-0.00784574,10.0334,16.8856,96.1545,-0.00824192,19.5562,11.5693,0.272177,1.02439,1.74983,2.17582,-0.953673,-47.0102,1410.92,55.5543,5813.66,5520.45,0.568188,1.3204,2.34185,2.47183,-0.657662,0.612571,1476.85,60.4385,5879.6,0.222053,0.93317,0.0185838,6650.9,1045.43,1645.26,23681,0.000732861,0.081696,15.0318,12.7794,96.5402,71.593,0.307529,16.2083,14.1682,96.0255,122.486,0.514702,-50.8931 
3,45.9,0,0.8,3,6538.86,0.04575,9.05216,15.1175,96.2866,-0.031853,-1.85374,2.33197,-0.346282,1.71288,3.83246,1.28626,0.771923,-40.7541,129.919,33.4371,5917.05,4456.7,-0.0896646,1.9695,4.34569,1.54288,1.02854,0.506,187.08,37.6713,5974.21,0.0343621,0.739433,0.0114823,5444.38,1251.33,228.049,30446.6,0.000761749,0.00824393,13.4443,7.85275,117.715,55.402,0.398464,14.2655,12.341,96.0815,122.596,21.6334,-67.1935 
4,46.05,7,0.8,4,8354.4,-0.0091183,11.0238,16.5554,96.2486,-0.0102915,4.05388,226.849,0.103892,0.140755,1.26446,3.64488,0.123453,-52.2221,1420.06,56.9742,6386.72,5942.47,0.432721,0.469583,1.92211,3.97371,0.452282,0.734896,1493.31,62.3999,6459.96,0.208038,0.931857,0.0174827,7178.08,1260.69,1624.22,29295.2,0.00072752,0.0802338,15.5782,12.5576,96.7457,70.9882,0.345801,15.8777,14.2033,96.0396,122.828,0.70612,-51.8394 
5,46.05,0,0.8,5,9519.51,0.0391885,13.2801,15.2359,96.7218,0.0196722,3.45288,147.426,2.25791,1.83937,3.8054,-1.2446,2.21819,-61.0471,117.857,42.8205,8797.35,6588.86,2.64231,2.22377,4.57419,-0.860202,2.60259,0.590957,203.481,49.1631,8882.97,0.0253702,0.702831,0.0100923,8020.5,2568.25,254.137,64484.9,0.000852622,0.00926089,12.4488,-9.22126,119.685,53.7388,0.564685,14.5977,12.7862,96.5396,122.572,23.1453,-68.8329 
6,45.9,7,0.8,6,8224.76,0.00367331,10.6544,16.6855,95.9045,0.00316578,3.20009,4.78331e-11,1.92606,0.263041,2.46379,2.30702,1.88674,-64.8131,1323.47,59.2677,6403.16,5787.45,2.33417,0.671152,3.28002,2.71513,2.29485,0.709613,1414.38,66.0015,6494.06,0.198393,0.924502,0.0183779,7129.15,1234.36,1424.86,28829.6,0.000786153,0.0748233,15.462,12.3846,96.3825,71.3794,0.344302,16.0558,13.94,95.678,123.376,0.704521,-51.9971 
7,45.9,0,0.8,7,6714.53,0.011359,9.516,15.0287,96.8617,-0.00359436,5.4179,6.59287e-11,-0.677191,0.6041,2.39504,1.07923,0.352458,-52.3553,131.738,27.4626,6152.12,4656.18,-0.347523,0.933767,3.05437,1.4089,0.682125,0.467103,205.171,32.9021,6225.55,0.0360985,0.780861,0.00964169,5683.66,1314.59,229.602,32106.7,0.000643795,0.00758751,16.7322,8.46257,116.136,52.9856,0.402856,14.3062,12.7547,96.6123,121.197,19.5236,-68.2115 
8,46.05,7,0.8,8,8539.9,-0.0018551,11.5436,16.0877,96.446,-0.0333348,16.2734,258.271,0.449762,-0.665048,0.559229,-0.161905,1.78612,-41.9374,1520.64,45.7749,6500.67,6063.13,0.713831,-0.400979,1.08737,0.102164,2.05019,0.693921,1579.46,50.1321,6559.49,0.214839,0.947378,0.0138832,7351.81,1320.52,1858.09,30617.4,0.000782237,0.0894843,15.1026,12.244,96.7777,70.1547,0.357556,15.4196,14.2836,96.5136,121.619,0.264121,-51.4641 
9,46.05,0,0.8,9,10257.4,0.037478,14.1389,15.4577,96.534,-0.0197005,-27.1325,498.981,0.316293,0.894463,6.34139,4.87876,1.85211,-55.4086,182.493,38.4819,9389.1,7132.1,0.665186,1.24336,7.03917,5.22766,2.20101,0.570163,260.209,44.2386,9466.81,0.0302885,0.770701,0.00853473,8591.01,2909.26,253.81,73342.6,0.0010128,0.0123846,10.1634,8.03018,119.636,56.409,0.602226,14.5921,12.8106,96.3772,123.147,23.2584,-66.7378 
