cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-3.97,43.2527,0,7453.44,-0.126954,23.9143,8.46565,118.924,0.186415,30.1083,0.00130111,-4.56954,0.115957,-12.983,-0.863061,-5.84576,-475.419,4447.05,-13.4877,5263.2,6773.14,-1.57595,3.10954,-6.99579,2.13053,-2.85218,-0.1313,4825.74,20.9386,5641.89,0.501566,0.992464,0.00679013,9621.34 
1,-4.005,43.2177,1,7350.34,-0.00775172,22.5681,8.63038,118.968,0.00381572,-11.5136,500,-1.44228,-3.7934,-5.19843,-2.59243,-7.43697,-544.07,4360.38,1.57579,5116.44,6341.89,1.98359,-0.367533,1.65331,0.833432,-4.0111,-17.0317,4793.75,40.9733,5549.81,0.504017,0.985263,0.0134175,9511.09 
2,-3.975,43.2477,2,7587.86,-0.0483287,23.4639,8.59694,119.2,0.0295635,91.6596,490.528,0.377395,-0.998181,-7.34263,-5.23126,-2.80359,-501.112,4325.42,-13.9121,5443.06,6654.8,3.53276,2.15719,-1.03189,-2.07589,0.351781,1.35171,4724.57,22.3747,5842.21,0.487549,0.99178,0.00700552,9690.45 
3,-3.995,43.2277,3,6099.31,-0.0389511,19.9603,-8.53666,118.939,-0.0116406,4.80436,500,0.938694,0.91813,-7.09668,-4.14599,-8.6311,-611.509,3450.68,-4.19269,4959.02,5548.71,4.7892,4.76864,0.604338,-0.295476,-4.78059,0.881179,3937.77,40.0882,5446.11,0.459646,0.982496,0.0133781,8566.96 
4,-4,43.2227,4,6798.71,-0.0206056,21.6819,8.50502,119.254,-0.0174068,7.85332,500,-3.10179,-0.724245,-10.5389,-3.89118,-5.38507,-556.933,4044.11,-7.71947,4971.94,6007.45,0.405073,2.78261,-3.52516,-0.384322,-1.87821,-0.35583,4487.73,32.6094,5415.56,0.493648,0.987444,0.0109704,9090.95 
5,-3.96,43.2627,5,8222.93,-0.404596,25.8524,8.68379,119.241,0.097434,617.132,448.47,-1.4543,-1.37004,-3.5913,-1.85425,-7.37576,-546.508,4797.9,-9.55434,5666.97,9265.52,1.98691,2.07117,3.29113,1.58697,-3.93455,0.341989,5233.21,30.0196,6102.29,0.50222,0.990061,0.00898068,10420.2 
6,-3.965,43.2577,6,9097.04,-0.0170925,26.5209,8.69343,119.299,-0.00146364,-3.44457,500,-4.83413,-0.577051,-9.37462,-1.87703,-0.566221,-464.325,4991.52,0.838047,6191.05,7505.58,-1.9104,2.34668,-3.52716,1.0467,2.35751,12.2567,5361.38,34.461,6560.91,0.490154,0.988877,0.00958288,10938.1 
7,-4.015,43.2077,7,8237.88,-0.36657,25.6726,8.58923,119.141,2.06603,-99.5235,499.958,-3.36618,-3.2012,-12.3984,-3.5366,-6.75623,-584.756,4784.55,-4.93698,5628,13871.8,0.315875,0.480851,-5.03426,0.145458,-3.07418,0.297505,5250.33,37.4067,6093.78,0.503385,0.987685,0.0111813,10430 
8,-3.945,43.2777,8,7450.67,-0.0188893,23.5706,-8.38797,119.18,0.00205887,-12.1725,500,-2.64299,-0.498113,-5.98546,-4.43941,-7.11712,-545.198,4568.8,-2.66633,5002.76,6436.9,0.789977,2.93485,0.880471,-1.00644,-3.68416,11.3224,5003.07,36.8128,5437.03,0.519824,0.987287,0.0123188,9624.55 
9,-4.025,43.1977,9,8524.81,-0.0154436,24.7888,8.77869,119.073,-0.0566393,21.4538,500,0.945267,-2.67931,-8.07399,-5.04756,-4.49583,-444.326,4794.4,-4.00603,5702.76,7123.6,3.74307,0.118492,-2.47838,-2.24976,-1.69803,0.0336193,5148.32,28.1687,6056.68,0.500007,0.990516,0.00849459,10296.5 
