cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,45.9,0,11,-2496.67,0.000117002,1.90548e-15,126.878,59.1544,0.000359769,5.73419,166.156,-4.16162,-5.70977,-2.35402,-3.81209,-3.39074,-559.345,-766.059,-33.4353,4228.12,0.067157,-0.639578,-2.18772,4.69007,-0.290046,0.131302,-1.75235,18.4769,24.6784,5012.65,0.00417122,0.299637,0.0089876,4429.61,-0.00725151,-0.00401412,83.1418,7.68368,83.1173,62.7358,0.505967,11.4027,10.1339,97.1737,114.777,-14.0564,-52.0412 
12,46.05,3,12,-808.77,-0.00649595,7.36452,-10.7504,97.5392,0.00784184,-10.4713,500,4.33185,-6.39215,-6.76701,5.26636,-9.50598,-357.267,367.102,-12.65,3327.43,2579.97,6.58146,-4.14253,-2.26778,7.51597,-7.25636,6.26457,868.203,24.4686,3828.53,0.204895,0.952998,0.0116361,4237.31,-0.00546931,0.10189,11.3681,9.01945,97.1,65.8666,0.334392,12.4571,10.8216,96.9751,114.887,0.124904,-49.0204 
13,46.05,0,13,119.083,-0.0132554,8.02907,9.95226,98.0367,0.00317805,-14.076,497.063,0.520112,5.62507,-7.82185,1.80176,6.53906,-379.755,-520.983,-9.89962,4212.58,2602.71,2.91133,8.01629,-3.03942,4.19298,8.93028,1.14466,11.6605,29.5555,4745.23,0.00278462,0.18397,0.0113433,4187.46,-0.00455029,0.0121825,2.47236,54.8785,100.917,92.9998,0.467763,11.3144,10.255,97.2824,115.292,3.63454,-22.2923 
14,45.9,3,14,22269.4,2.92395,12.0125,12.6655,97.8082,-4.64524,-1425.93,74.0982,9.48725,7.15426,14.2772,6.46729,8.11325,1049.47,2285.61,130.005,7485.59,220579,2.87904,0.546056,1.06074,-0.14092,1.50504,0.818675,813.629,20.9697,6013.61,0.133259,0.956844,0.0063825,6105.61,0.0159034,0.102369,11.0045,9.21383,97.8344,65.725,0.495542,12.6936,11.4876,97.2012,115.903,0.633183,-50.1777 
15,45.9,0,15,-3468.66,0.000117002,4.44702e-15,126.878,59.1544,0.000359769,5.73419,166.156,5.15511,-10.3536,-1.55644,4.46242,-17.0021,-624.861,-805.749,-53.4518,4575.31,0.067157,9.08969,-6.41899,6.31272,8.397,-13.0675,-0.463667,70.6797,11.4688,5451.74,0.0145186,0.778839,0.00386027,4868.21,-0.00903128,-0.0227279,1.4046,-6.87593,82.1068,51.0879,0.529144,11.996,10.3605,97.0555,115.608,-14.9487,-64.5197 
16,46.05,3,16,2014.29,-0.591576,-8.84889,12.526,97.0833,3.30058,110.69,301,4.10066,5.08103,-3.19419,1.22035,1.64458,-263.318,583.473,11.1691,3859.77,15501.3,5.7587,6.73907,0.121896,2.87839,3.30262,0.993516,952.801,38.5268,4229.1,0.203833,0.933915,0.0165045,4674.41,-0.00293763,0.103681,11.3148,8.65321,97.4753,65.4892,0.367424,12.3812,10.9209,96.6225,115.132,0.852846,-49.6432 
17,46.05,0,17,-2769.95,0.000117002,1.71317e-15,126.878,59.1544,0.000359769,5.73419,166.156,1.15724,-4.03358,-4.21756,-3.63553,-3.65642,-517.356,-783.436,-28.3483,3922.72,0.067157,4.41489,-0.775924,2.29774,-0.377877,-0.398768,0.554707,-57.7947,25.4029,4648.37,-0.0143313,4.33258,0.00996662,4032.77,-0.00723541,-0.00285355,167.611,-9.24201,70.0329,61.4146,0.469413,11.4306,10.2902,96.9706,116.479,-26.9377,-55.0645 
18,45.9,3,18,343.22,-0.549997,10.4167,11.9571,97.1554,0.393966,-1163,499.682,2.34293,-14.033,8.2444,-7.14552,-13.3302,-454.108,246.068,-23.6458,4830.78,18970,5.20233,-11.1737,13.9632,-4.28613,-10.4708,3.06402,882.998,23.5342,5467.71,0.155059,0.955436,0.00786645,5694.58,-0.00586132,0.096861,10.5599,9.52327,96.3786,66.4412,0.44931,12.6916,11.3271,96.7724,115.976,-0.393828,-49.5345 
19,45.9,0,19,22522.8,0.0399998,5.94684,91.5041,98.7563,0.00739536,-10.7612,500,12.6622,5.26668,27.3915,10.362,4.47372,1217.19,1652.03,148.963,6499.22,17716.8,4.99789,-2.39765,12.0628,2.69763,-3.19062,0.148712,-55.2045,22.5011,4791.99,-0.0132647,3.48789,0.00857557,4161.74,0.0182041,0.00251848,-97.0739,1.09175,135,64.2866,0.500836,11.5901,9.9924,96.672,115.378,38.328,-51.0916 
20,46.05,3,20,23632.8,2.95306,9.48346,13.6743,97.3192,-5.66842,160.619,500,11.8046,6.71472,20.6806,7.91571,7.63032,1229.95,2713.57,132.618,5987.72,33859.7,4.05994,-1.02994,5.19126,0.171048,-0.114341,0.372882,988.442,4.83077,4262.59,0.208553,0.99152,0.0020833,4739.52,0.0190236,0.105835,11.2406,9.41199,97.1732,66.1484,0.362581,12.5469,11.1708,96.6824,115.469,0.490813,-49.3201 
