cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,0.75,47.9727,10,11,7217.88,-0.0338863,16.8625,10.8055,117.831,0.0324863,30.886,499.741,-5.07801,-5.37354,-6.5813,-1.68479,-4.97426,-99.9353,97.2854,54.2094,8225.73,5964.16,-4.44874,-4.74427,-5.32277,-1.05552,-4.34499,0.732743,176.888,61.4459,8305.33,0.0208539,0.621928,0.0134453,8482.22,-0.000800462,-0.0111843,16.299,7.41819,107.557,74.0936,0.83331,11.0861,10.9244,117.118,133.903,-9.5612,-59.809 
12,-1,46.2227,10,12,7533.24,-0.193683,18.5196,-10.1929,117.733,-0.185013,574.086,5.27918,-2.62152,-6.70373,-8.00909,-1.67116,-4.19393,-136.088,9.20675,34.4742,8646.25,9602.63,-1.76461,-5.84682,-6.29527,-0.814252,-3.33702,0.651385,117.606,44.3287,8754.65,0.0132555,0.602548,0.00924121,8872.25,-0.000764617,-0.014026,14.4798,-8.92432,112.811,74.3904,1.00922,10.1847,10.1909,117.036,133.787,-4.2253,-59.3971 
13,0.3,47.5227,6,13,6895.76,0.000526336,14.7687,11.4977,117.395,-0.0141198,5.73213,499.868,-5.91345,-2.46169,-0.782297,1.67348,-3.89879,-99.4727,439.405,37.8098,7326.72,5530.41,-5.2871,-1.83534,0.470409,2.29983,-3.27244,1.0617,518.639,45.0128,7405.96,0.0654467,0.868144,0.0110722,7924.6,-0.000887329,0.0296645,-13.7297,16.7375,117.369,93.47,0.695375,11.5753,11.1825,116.764,134.18,0.605735,-40.7102 
14,0.2,47.4227,5,14,7694.58,-0.0205449,15.293,12.3324,117.655,0.00393385,37.8601,500,-5.19929,-4.14747,-13.8827,-5.31195,-0.697039,-119.373,1507.53,71.5189,6961.6,6144.39,-4.44763,-3.39581,-12.3794,-4.56029,0.0546218,0.499387,1602.61,80.163,7056.69,0.185074,0.91951,0.0204971,8659.3,-0.000979248,0.074842,16.4161,18.2174,117.91,86.5073,0.618833,11.9869,11.5276,116.937,133.71,0.97341,-47.2031 
15,0.075,47.2977,2,15,8663.25,-0.0172945,19.6112,10.7445,117.523,-0.0265791,56.0181,500,-4.36378,-3.79624,-3.4935,-4.13529,-1.72519,-159.535,1107.07,47.4227,8683.49,6907.83,-3.35923,-2.79169,-1.4844,-3.13074,-0.720641,0.870772,1234.14,58.9751,8810.56,0.122865,0.922828,0.0121803,10044.7,-0.00100355,0.114653,11.2842,11.0033,116.66,87.084,0.908837,10.8771,10.7092,116.999,133.863,-0.338958,-46.7788 
16,0.4,47.6227,7,16,7020.22,-0.0149271,15.359,11.2606,117.647,-0.00768248,9.10112,500,-7.836,-5.34324,-5.28168,-1.56416,-4.39764,-95.1172,271.55,64.8638,7709.93,5632.4,-7.23707,-4.74432,-4.08382,-0.965233,-3.79871,0.803937,347.314,71.7515,7785.69,0.0427043,0.734467,0.0166931,8133.01,-0.00169311,0.0102895,28.2137,61.1285,125.78,98,0.744871,11.2632,10.9729,116.978,133.493,8.80173,-35.493 
17,0.05,47.2727,1.8,17,9041.21,-0.19332,20.4916,10.6537,117.621,0.082073,350.512,490.982,-2.34826,-2.34453,-0.786247,-2.86011,-4.26338,-101.9,1290.53,53.6596,8593.22,8043.24,-1.70662,-1.70289,0.497032,-2.21847,-3.62174,1.05679,1371.69,61.0384,8674.39,0.13654,0.927753,0.0127963,10046.1,-0.000680194,0.155913,10.4139,9.73416,117.617,86.1469,0.925408,10.5977,10.6492,116.994,133.674,0.622749,-47.5273 
18,-1,46.2227,10,18,8467.71,-0.246863,20.7912,10.1931,117.51,0.533677,-72.2913,253.377,-2.50466,-6.25477,-4.87,-2.61115,-6.16521,-165.424,58.7353,58.4483,9661.52,8154.81,-1.46303,-5.21314,-2.78674,-1.56952,-5.12358,0.82751,190.501,70.427,9793.28,0.0190811,0.607178,0.013074,9983.78,-0.00100812,-0.00524654,0.0339586,35.696,107.843,81.3304,1.12825,10.1874,10.2462,116.895,133.316,-9.05192,-51.9854 
19,0.25,47.4727,5,19,7083.24,-0.282788,16.0235,11.6028,117.85,0.293757,-332.709,406.22,-5.59664,-7.6811,-2.5463,-6.14624,-6.14786,-147.444,603.066,76.4259,7645.54,9233.84,-4.66823,-6.75269,-0.689472,-5.21782,-5.21945,0.969422,720.51,87.1027,7762.98,0.0849308,0.825383,0.0202503,8483.49,-0.00123938,0.0344288,13.2752,25.0922,118.599,94.448,0.724156,11.557,11.0578,117.174,133.382,1.42548,-38.9344 
20,1,48.2227,10,20,7161.48,-0.222656,17.6698,10.4397,117.506,-1.13949,641.634,6.32851e-07,-9.12296,-2.21733,-5.9651,-2.87369,-6.63908,-82.7078,-18.2187,66.4801,8383.43,29805.9,-8.60217,-1.69654,-4.92352,-2.35291,-6.11829,0.792199,47.661,72.4691,8449.31,0.00560918,0.273157,0.0155539,8496.97,-0.000947547,-0.0106795,15.7986,10.7675,116.431,71.9279,0.901592,10.6616,10.6878,116.817,133.588,-0.386863,-61.6597 
