cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,0,6532.54,-0.045044,13.2282,11.113,98.4495,-0.0884002,134.242,354.575,-2.13793,0.661969,-0.237738,-1.23743,-7.22966,-48.4523,532.303,25.0123,6096.86,5171.8,-1.83284,0.96706,0.372444,-0.932336,-6.92457,1.0446,600.262,30.0463,6164.81,0.104995,0.919458,0.00889823,5717.06,0.000220585,0.0808407,9.78945,9.31184,98.0714,68.2706,0.61542,10.5405,10.7985,98.1447,118.233,-0.0733677,-49.9624 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,6103.3,-0.00676473,12.6333,10.6811,98.5628,-0.225116,310.888,0.265838,-1.11491,-0.25247,-5.68773,0.89395,-1.78514,-30.4728,-164.56,29.6689,6101.54,6670.91,-0.923027,-0.0605905,-5.30397,1.08583,-1.59326,0.219432,-121.819,32.8349,6144.28,-0.0244718,1.89283,0.0097482,4977.94,0.000687998,-0.00572899,52.7725,12.6728,70.0002,64.8224,0.684624,10.3075,9.95866,98.2404,117.725,-28.2402,-52.9021 
4,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,4,6251.35,-0.0378125,12.7824,10.998,99.1401,-0.0501834,37.705,500,0.655305,-0.0633365,0.755351,0.31509,-2.27831,-54.2581,465.589,12.7776,5815.85,4637.99,0.996953,0.278312,1.43865,0.656739,-1.93666,-0.00324925,541.692,18.4148,5891.96,0.099722,0.943849,0.00572438,5432.02,0.000209273,0.0870934,9.26428,8.50327,98.1814,68.6047,0.597013,10.8177,10.4123,98.7545,118.376,-0.573121,-49.7715 
5,97,43.248,4.2,48.55,-0.2,0.19,0.01,5,12343.7,-0.0281773,25.9507,10.4551,98.7015,0.00666093,22.0552,160.312,1.20871,-0.327438,0.280161,-2.76688,-3.62703,-156.411,5212.72,50.223,7057.7,8837.09,2.19359,0.657441,2.24992,-1.782,-2.64215,-2.32434,5432.1,66.4735,7277.08,0.473506,0.979034,0.0165485,11472.1,0.000308659,0.780385,10.0129,8.37269,98.5661,68.1169,0.808978,10.2937,9.86573,98.209,117.566,0.357145,-49.4494 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,14082.2,-0.0709069,29.5418,10.6266,99.0183,-0.010836,56.4839,0.198565,0.585677,-5.12174,-4.11202,1.65084,-0.569336,-127.164,6653.61,14.1534,7592.31,10239.3,1.38639,-4.32102,-2.51059,2.45156,0.231381,0.091116,6831.97,27.3653,7770.67,0.514392,0.993039,0.00644536,13281.6,0.000148424,0.965835,10.0913,8.43588,99.0289,67.9677,0.866786,10.5906,9.64966,98.3651,117.08,0.663759,-49.1122 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,5999.9,-0.0522624,12.5783,10.8325,98.6797,-0.0207839,87.3385,485.878,-1.80578,0.476585,1.98925,-2.48679,-6.93684,-42.8412,-205.885,17.6278,6184.57,4494.6,-1.53602,0.746344,2.52877,-2.21703,-6.66708,1.35392,-145.796,22.0788,6244.66,-0.0289434,1.36057,0.00647085,5037.27,0.000359611,-0.0182081,8.90482,12.525,73.9932,66.7735,0.683741,10.3675,10.0523,98.2687,117.796,-24.2755,-51.0222 
8,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,8,5900.04,-0.0530106,12.1267,11.064,98.9347,0.0677622,-57.7807,15.6217,-0.183506,-1.69394,-3.03327,-0.865838,0.847844,-18.4209,490.327,0.00971225,5539.73,4495.11,-0.0675147,-1.57794,-2.80129,-0.749847,0.963836,0.338189,516.164,1.92357,5565.56,0.100507,0.993521,0.000636264,5135.58,7.60668e-05,0.0812862,9.72198,8.79405,98.7349,67.6289,0.582486,10.7188,10.3219,98.4756,117.111,0.259283,-49.4821 
9,97,43.248,4.2,48.55,-0.2,0.19,0.01,9,11220.5,-0.0473409,24.1595,10.3266,98.5013,-0.0330252,39.9127,500,-0.606847,-0.0581485,-2.96267,-2.00457,0.21208,-123.212,4787.01,49.1953,6508.3,8164.52,0.168988,0.717686,-1.411,-1.22873,0.987915,-0.844101,4959.83,61.9966,6681.12,0.472132,0.978594,0.0168063,10505.2,9.60511e-05,0.751719,9.71969,8.27079,98.5576,67.5139,0.767752,10.282,9.61836,97.8518,116.579,0.705792,-49.0648 
10,97,43.248,0,48.55,-0.2,0.19,0.01,10,13958.1,-0.0129437,29.1364,10.5698,98.7181,0.00123432,-8.31113,500,2.59379,-0.820644,-1.3344,-1.32588,2.087,-94.4438,6437.83,10.3683,7615.97,10025.7,3.18848,-0.225957,-0.145026,-0.731195,2.68169,1.03042,6570.3,20.1807,7748.44,0.505349,0.994654,0.00477483,13001.5,0.000284793,0.93633,10.0076,8.3984,98.8113,68.1701,0.867588,10.5765,9.69413,98.0007,117.674,0.810515,-49.5039 
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,5921.83,-0.0595673,13.1889,10.2651,98.3819,0.0451975,1.49531,32.2714,0.867802,-0.706041,-2.34193,-3.98279,-1.69693,-38.3993,-151.246,-2.37795,6149.93,4409.47,1.10959,-0.46425,-1.85835,-3.741,-1.45514,0.710048,-97.3867,1.61159,6203.79,-0.0192778,1.02982,0.000478304,5051.76,0.000111439,0.00628008,4.94851,-6.13019,91.4923,65.6196,0.727715,9.74296,10.0208,98.1304,118.239,-6.63811,-52.6195 
