cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,-4.035,43.1877,17,9034.83,-0.0483477,25.8751,8.73317,119.307,0.00845725,35.4134,500,-4.63526,-3.10897,-4.20736,-2.9682,-5.14066,-470.808,5128.64,-15.6925,5713.67,7365.88,-1.67071,-0.144418,1.72175,-0.00364545,-2.1761,1.75744,5503.65,18.3999,6088.69,0.51537,0.994183,0.00553599,10679 
18,-3.98,43.2427,18,7647.43,-0.357409,23.6554,8.73562,119.196,0.379588,564.775,142.626,-2.86041,-2.35872,-5.85672,-3.309,-2.58487,-471.103,4570.6,-9.25368,5048.95,13705.8,0.105997,0.607694,0.0761062,-0.342592,0.381546,0.908168,4945.86,24.86,5424.2,0.517542,0.99128,0.008372,9556.42 
19,-4.03,43.1927,19,9324.85,-0.0611617,26.9474,8.7496,119.101,0.0777924,129.814,3.0112e-07,-3.13576,-4.01933,-6.73273,-5.00546,-5.54197,-468.564,5350.36,-16.9117,5904.39,8004.14,-0.185337,-1.0689,-0.831886,-2.05504,-2.59155,0.876441,5723.59,17.0182,6277.61,0.517524,0.994824,0.004969,11059.6 
20,-3.99,43.2327,20,7766.65,-0.257734,23.3332,8.8189,119.028,0.320332,385.244,0.114229,-2.26791,-0.362208,-7.67523,-3.69756,-8.08312,-533.05,4343.55,-8.88171,5411.8,10715.9,1.08856,2.99426,-0.962282,-0.341083,-4.72665,0.505809,4768.14,29.7177,5836.4,0.490092,0.989211,0.00929246,9729.08 
21,-3.97,43.2527,21,9759.04,-0.0173024,27.8783,8.70479,119.139,0.00423531,0.354596,3.53719,1.62757,-3.48451,-4.78975,-7.42424,-4.10473,-416.509,5300.7,-3.31111,6392.03,7899.92,4.25021,-0.861862,0.455538,-4.8016,-1.48209,1.18671,5632.46,26.8493,6723.79,0.496353,0.991727,0.00730214,11347.7 
22,-4.005,43.2177,22,7626.35,-0.020179,23.393,8.4542,119.084,-0.00548843,8.73424,500,-4.90821,-1.64323,-3.94275,-3.17183,-0.914597,-510.818,4185.45,-10.2044,5416.19,6439.59,-1.69173,1.57325,2.49022,0.0446561,2.30189,0.472219,4592.34,26.7851,5823.08,0.481278,0.989896,0.00840216,9541.95 
23,-3.975,43.2477,23,8660.48,-0.0185787,25.4885,8.6475,119.249,-0.0137481,5.63918,500,-0.124105,-1.36703,-5.51253,-4.2828,-5.33379,-481.929,4817.07,-13.1663,5865.47,7177.65,2.91047,1.66755,0.556628,-1.24822,-2.29921,0.649305,5200.94,21.7313,6249.35,0.494721,0.992741,0.00636492,10512.9 
24,-3.995,43.2277,24,6772.83,-0.0316803,21.606,8.46477,119.133,0.00472235,4.69919,0.0218572,-0.0742119,-0.71315,-7.95268,-6.86842,-0.224006,-494.641,4080.88,-21.0211,4820.85,5954.38,3.04041,2.40147,-1.72343,-3.7538,2.89062,1.6036,4474.88,14.7971,5214.85,0.502372,0.994247,0.00519977,8907.51 
25,-4,43.2227,25,6763.59,-0.053479,21.866,8.44149,119.253,0.0693952,-1.12483,1.93395e-12,3.21935,-2.4123,1.02809,-4.47719,-2.96581,-436.486,4133.07,-17.6626,4732.53,6011.28,5.96779,0.336136,6.52496,-1.72875,-0.217372,0.400432,4480.75,13.9444,5080.21,0.509238,0.994583,0.00503086,8798.93 
26,-3.96,43.2627,26,9583.18,-0.248655,27.3108,8.87341,119.197,-0.0979962,-115.258,1.74871e-06,-3.36884,-1.44602,-7.83476,-3.91263,-3.85962,-357.471,5459.07,-2.87407,5943.61,8256.64,-1.11794,0.804882,-3.33296,-1.66173,-1.60872,0.518113,5743.81,23.0113,6228.35,0.520371,0.993038,0.00675983,11037.9 
27,-3.965,43.2577,27,7747.87,-0.066598,23.9649,-8.50208,118.998,0.0391997,151.497,499.999,0.559479,-2.73288,-7.27805,-6.53206,-4.24323,-460.399,4862.05,-18.5526,4982.31,6826.1,3.45849,0.166129,-1.48003,-3.63304,-1.34422,0.477516,5228.77,14.786,5349.03,0.534888,0.995076,0.00506622,9775.45 
28,-4.015,43.2077,28,7950.13,-0.053949,23.9665,8.715,119.419,-0.199848,448.898,496.281,-5.62246,-3.28601,-7.73877,-2.6036,-6.63384,-486.486,4861.33,-17.7378,5084.93,9719.74,-2.55919,-0.222738,-1.61223,0.459671,-3.57057,0.78518,5248.84,17.4898,5472.43,0.530164,0.994203,0.00585289,9900.4 
29,-3.945,43.2777,29,8016.46,-0.368493,25.0568,8.61707,119.334,0.407192,1031.2,255.959,-0.0604123,-1.90058,-3.9388,0.717414,-3.51794,-507.454,4758.76,2.15382,5410.78,20697.9,3.13489,1.29473,2.45181,3.91272,-0.322639,0.765859,5162.96,38.8998,5814.99,0.510896,0.986986,0.0121729,10105.7 
30,-4.025,43.1977,30,8808.87,0.0440922,26.3655,-8.57369,119.153,-0.0365675,91.6955,1.19909e-11,-1.44999,-2.59951,-4.22608,-1.78013,-2.17141,-458.538,5167.93,2.66591,5774.61,7467.81,1.4373,0.287784,1.5485,1.10716,0.715885,0.696172,5533.17,35.8698,6139.86,0.514615,0.988783,0.0106472,10752 
31,-3.94,43.2827,31,8100.08,-0.023789,24.6544,8.56059,119.154,0.0284134,25.1508,500,-2.2256,-4.5132,-9.67537,-1.89734,-6.5358,-418.155,4770.74,-0.227165,5367.65,6893.85,0.407407,-1.88019,-4.40935,0.735675,-3.90278,0.512739,5103.82,30.0525,5700.73,0.512976,0.989801,0.00961761,9949.44 
32,-3.955,43.2677,32,7727.84,-0.0180289,24.7956,8.31126,119.252,-0.0890881,64.3214,500,-0.806995,-0.415656,-1.56958,-6.63875,-3.28546,-531.203,4484.27,-4.78918,5535.87,6895.23,2.53785,2.92919,5.12011,-3.2939,0.0593874,0.303636,4907.39,33.6765,5958.99,0.492091,0.988133,0.0103032,9972.54 
33,-3.95,43.2727,33,9157.24,-0.360331,27.6069,8.6852,119.334,0.313779,150.55,37.3727,1.34718,-0.766694,-6.70968,-6.45127,-4.25062,-467.516,5103.93,-13.4386,6102.98,9343.15,4.291,2.17713,-0.822034,-3.50745,-1.3068,1.9882,5476.33,20.4153,6475.38,0.498737,0.993518,0.00577419,10980.4 
34,-4.01,43.2127,34,8283.07,-0.350786,24.8135,8.85408,119.369,0.480259,33.8687,332.911,0.710572,-0.979502,-7.84857,-6.4218,3.76587,-484.18,4814.69,-9.23917,5452.21,7681.48,3.75932,2.06925,-1.75107,-3.37305,6.81462,1.23288,5200.35,25.8215,5837.88,0.511718,0.991386,0.00808195,10162.5 
35,-3.985,43.2377,35,6705.13,-0.0385262,21.1656,-8.5722,119.489,-0.340157,94.4386,500,-0.907171,1.49128,-4.85048,-2.0172,-5.7589,-429.562,4108.21,-21.5688,4684.33,6952.08,1.79767,4.19612,0.559195,0.687637,-3.05406,0.866431,4450.37,9.5368,5026.49,0.510195,0.996264,0.00348287,8722.88 
36,-4.04,43.1827,36,8658.36,-0.342471,26.3291,8.61821,119.147,0.165968,689.645,430.642,0.619137,-1.42549,-8.06673,-3.23127,-8.09962,-512.483,5103.4,-7.48014,5616.43,11112.7,3.84611,1.80148,-1.61279,-0.00430219,-4.87265,-0.915082,5511.61,29.63,6024.64,0.518371,0.99068,0.00897839,10632.6 
37,-4.02,43.2027,37,9166.15,-0.0330162,27.1702,8.68303,119.273,-0.0142705,-27.2322,0.052304,-2.60635,-1.10182,-8.94008,-4.19124,-6.93836,-447.612,5333.77,-6.67885,5964.94,7692.6,0.212142,1.71667,-3.30309,-1.37275,-4.11987,0.518983,5690.31,25.7338,6321.48,0.514329,0.992148,0.00744313,11063.6 
