cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,-3.945,43.2777,17,8339.09,-0.538085,27.4639,8.8173,120.283,1.12093,-104.243,332.565,-3.36286,-0.288756,-9.51467,-4.15295,-3.86989,-764.686,5283.75,17.2105,6040.73,11686.8,1.45216,4.52627,0.115374,0.662073,0.945131,0.985018,5892.85,72.5833,6649.83,0.510415,0.9789,0.0197104,11545.2 
18,-4.035,43.1877,18,10676.4,-0.520694,32.0254,-9.08515,120.255,0.896114,533.26,332.697,0.651291,-4.83002,-7.26506,-4.2123,-6.29366,-690.39,6514.94,13.0513,6981.97,25027.6,4.99849,-0.482818,1.42935,0.134901,-1.94646,0.654201,7064.87,63.0441,7531.89,0.524607,0.984624,0.0151848,13467 
19,-4.015,43.2077,19,7191.02,-0.0326103,25.4213,8.35685,120.362,0.0712916,-56.6688,496.145,-3.78957,-3.25221,-12.0218,-6.43211,-5.29141,-728.783,4883.99,20.757,5579.66,7047.22,0.799376,1.33674,-2.84393,-1.84316,-0.702457,0.125867,5464.49,73.5299,6160.16,0.51067,0.976994,0.0215149,10700.6 
20,-4,43.2227,20,8398.43,-0.0370254,27.5819,8.58018,120.55,0.0439021,-14.7545,500,-4.03998,-8.50367,-7.15259,-8.28499,-6.69728,-810.151,5406.3,17.644,6163.68,7725.06,1.06133,-3.40237,3.05001,-3.18369,-1.59598,1.74926,6051.62,76.309,6808.99,0.511148,0.978409,0.020227,11839.3 
21,-3.985,43.2377,21,7870.93,0.0303611,26.2028,8.47393,120.233,-0.153282,-14.9045,497.534,-3.82685,-1.82977,-5.38943,-0.476446,-5.98031,-840.826,5239.18,31.9582,5696.28,7302.54,1.46761,3.46468,5.19948,4.81801,-0.685855,0.635481,5908.93,92.8444,6366.03,0.521988,0.973239,0.026163,11320 
22,-3.95,43.2727,22,6606.5,-0.0033715,24.0757,8.2009,120.287,0.0283655,-48.8966,0.38856,-5.51309,-1.42442,-9.73637,-5.78152,-3.66122,-699.152,4834.83,5.64769,4823.87,6472.55,-1.11072,2.97795,-0.931619,-1.37915,0.741153,4.13022,5391.73,56.275,5380.77,0.541046,0.982062,0.0189016,9965.39 
23,-3.99,43.2327,23,8987.69,-0.0359542,28.3966,8.62697,120.102,0.0502844,15.6086,500,-0.526088,0.045454,-10.1376,-7.8299,-7.68796,-686.067,5344.65,15.7732,6476.36,8000.34,3.79389,4.36543,-1.49766,-3.50992,-3.36798,-5.92586,5891.13,65.453,7022.84,0.4967,0.980928,0.0168787,11860.5 
24,-3.93,43.2927,24,6571.06,-0.0256271,22.7117,8.45164,120.343,-0.0855753,59.5501,499.934,-8.85515,-3.36278,-7.71305,-1.31048,-7.25736,-728.249,4651.7,9.10673,4718.38,6414.55,-4.26956,1.22281,1.45812,3.27511,-2.67177,2.4799,5231.78,61.841,5298.45,0.537394,0.979734,0.0210476,9735.47 
25,-3.97,43.2527,25,6891.18,-0.196026,23.7049,8.57838,120.139,1.00003,-1068.59,0.0123909,-1.74382,-2.26134,-10.9548,-4.03746,-3.97577,-777.993,4810,15.5024,5097.83,41407,3.15499,2.63747,-1.15719,0.861351,0.923044,1.18026,5429.7,71.8387,5717.53,0.527688,0.97737,0.0226218,10289.6 
26,-4.025,43.1977,26,6324.62,-0.00502296,23.327,8.31529,120.386,-0.000546819,13.4709,6.02618e-12,-5.07569,-4.66561,-7.30281,-6.04119,-6.76523,-887.143,4616.46,15.5603,5053.36,6314.64,0.510414,0.920489,3.86939,-0.455089,-1.17913,-0.0554592,5323.1,79.8005,5760,0.520897,0.974436,0.0248859,10219.1 
