cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.05,3.6,0,13128.8,0.0284617,18.5493,14.268,95.6303,-0.0661121,74.2137,9.42891e-06,-1.98902,-0.160939,-5.25403,-1.82269,5.61244,-218.06,2432.25,51.1944,9439.05,8775.35,-0.615954,1.21213,-2.5079,-0.449622,6.98551,1.54235,2738.1,73.85,9744.9,0.242018,0.954928,0.0137679,11313.6,0.0018538,0.196903,12.9787,10.7459,96.0976,73.4707,0.644306,13.6112,12.686,95.3026,125.065,0.795027,-51.594 
1,46.05,0,1,14541.7,0.297757,21.9768,12.8363,96.138,-0.321533,171.166,371.059,-0.236404,1.13525,2.96875,1.53166,3.93553,-166.442,114.218,32.5485,12939,10974.9,0.811634,2.18328,5.06483,2.5797,4.98357,0.67581,347.669,49.8411,13172.5,0.0291193,0.799439,0.00692178,11939.5,0.00185903,0.0167945,10.9949,8.31967,120.557,58.1398,1.04746,12.5393,11.7577,95.8513,124.475,24.7054,-66.3348 
2,45.9,3.6,2,16320.8,0.279614,22.7574,14.1845,95.6747,-10.3169,-2674.55,114.503,1.77953,-0.471172,-1.48025,-1.13273,-3.43,-211.637,2584.32,47.7842,12136.5,908751,3.11215,0.861451,1.185,0.199897,-2.09738,0.63663,2881.16,69.7724,12433.3,0.20844,0.959344,0.0102316,13822.5,0.00207924,0.213112,13.126,10.4716,96.855,73.52,0.804784,13.9266,13.0125,95.2226,125.45,1.63241,-51.9298 
3,45.9,0,3,15881.3,0.280856,23.0739,13.5702,95.5195,-0.31889,-231.281,481.336,1.78934,2.51183,-2.96326,0.867078,6.39882,-179.75,77.1391,19.5803,14222,12593.9,2.92118,3.64366,-0.699588,1.99891,7.53066,1.04544,329.255,38.2556,14474.2,0.0251984,0.831028,0.00484515,13066.5,0.00177804,0.00886614,4.01951,5091.81,109.555,73.768,1.06934,13.113,12.0942,95.125,125.176,14.4304,-51.4076 
4,46.05,3.6,4,13952.2,-0.00401468,20.0912,13.9707,96.1173,0.00524762,8.21698,2.04609e-11,-2.47004,-5.10172,-0.404719,0.883054,-2.5324,-213.649,2506,48.307,10030.7,9138.7,-1.12475,-3.75643,2.28586,2.22834,-1.18711,2.47087,2805.67,70.5043,10330.4,0.235842,0.957876,0.0124162,11896.4,0.00191852,0.207022,13.3766,10.2462,96.5937,73.3137,0.71111,13.2908,12.6604,95.7677,125.065,0.826015,-51.7513 
5,46.05,0,5,16458.8,0.297574,24.3176,13.2877,96.0064,-3.37089,2158,500,2.4139,-0.505417,0.15595,4.00929,-1.37125,-247.959,59.2707,18.9977,14743.8,247323,3.97523,1.05591,3.27861,5.57062,0.190084,0.766986,407.057,44.7597,15091.6,0.029739,0.838625,0.00543376,13687.7,0.00199739,0.0169124,12.5229,7.12579,119.082,60.1439,1.12384,12.9431,12.12,95.7064,125.498,23.3759,-65.3541 
6,45.9,3.6,6,17853,0.310417,24.0414,14.666,95.5229,3.00622,-4184.72,273.952,-3.38553,0.0298792,-1.54358,-0.694903,-2.83385,-239.855,2493.57,70.4456,13409.5,421004,-1.87522,1.54018,1.47702,0.815401,-1.32354,-1.33027,2829.99,95.3656,13745.9,0.189596,0.944312,0.0126188,14926.4,0.00264443,0.204995,13.1747,10.3334,96.1096,73.4604,0.877449,14.1993,12.7811,95.1641,125.515,0.945491,-52.0542 
7,45.9,0,7,13300.8,0.227584,19.9395,12.7804,95.2354,0.881114,-5190.81,0.0749485,-0.0659792,-0.640965,-4.79832,-2.55652,4.11953,-201.827,-0.914446,23.6543,11769.5,157185,1.20487,0.629886,-2.25662,-1.28567,5.39038,1.61274,282.168,44.6234,12052.6,0.0259144,0.783237,0.00677399,10888.4,0.00197849,0.0089546,16.1021,3.35669,95.8806,72.4262,0.96098,12.3573,11.6922,94.908,127.562,0.972558,-55.1354 
8,46.05,3.6,8,14424.1,0.253679,20.3861,13.9578,96.0327,0.572439,-17.6158,156.61,0.438186,4.32654,0.440725,1.05265,0.46646,-218.86,2686.89,41.4611,10323.9,9591.14,1.81629,5.70464,3.19693,2.43075,1.84456,0.786774,2993.86,64.1997,10630.9,0.242437,0.963831,0.011002,12349.1,0.00198609,0.219228,12.6539,10.8727,96.5221,73.4634,0.70696,13.5936,12.7827,95.5721,125.31,0.949972,-51.8467 
9,46.05,0,9,14584.2,0.414319,21.5195,12.5377,95.8833,0.113041,-569.528,0.379005,-0.2945,4.62312,-0.450682,5.01889,2.3328,-297.585,138.087,46.4437,12443.1,10878.8,1.57931,6.49693,3.29694,6.8927,4.20661,0.85329,555.478,77.3616,12860.5,0.046786,0.804037,0.0109596,11872.7,0.00263787,0.0140669,9.81788,5.15231,96.8272,67.8919,1.04792,12.1507,11.5022,95.6929,125.456,1.13439,-57.5638 
