cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.05,10,0,5087.07,-0.0110954,6.28526,17.7808,96.1181,-0.0109822,12.8194,177.64,-0.688236,0.518083,1.04188,-0.478639,0.290784,-47.555,744.053,55.8419,3809.1,3642.65,-0.388795,0.817525,1.64076,-0.179198,0.590225,0.338541,810.754,60.7827,3875.8,0.192055,0.884018,0.0280779,4221.46,449.711,533.876,8957.96,0.000557126,0.0304155,17.1409,15.6171,96.0562,69.7298,0.16911,16.9589,16.5746,96.1573,119.781,-0.101116,-50.0514 
1,46.05,0,1,6019.49,0.00556947,7.63284,17.0714,96.2804,-0.000920303,8.32199,6.07544e-10,2.80803,-0.872974,0.867611,1.2071,3.15972,-56.6898,285.427,65.3971,5036.59,4242.06,3.16499,-0.516014,1.58153,1.56406,3.51668,0.830148,364.94,71.287,5116.1,0.0749808,0.745243,0.0250253,4867.11,736.153,263.383,16714.6,-0.000303195,0.00807957,27.4988,-146.667,89.4544,93,0.245138,15.7235,14.7308,96.7278,120.756,-7.27334,-27.7559 
2,45.9,10,2,6537.1,0.00407686,7.98192,17.7317,95.8987,-0.00206288,7.54665,83.1039,-0.804083,2.9326,-1.02432,0.716817,2.16008,-49.0008,797.815,69.9042,5058.4,4607.89,-0.495538,3.24115,-0.407226,1.02536,2.46863,1.06982,866.543,74.9952,5127.13,0.161115,0.868467,0.0262377,5378.42,703.837,592.832,15458,0.000718043,0.0323624,17.2579,15.4049,95.1561,69.7479,0.223256,17.0066,16.5712,95.8864,121.872,-0.730212,-52.1237 
3,45.9,0,3,7028.61,0.0250423,8.76998,17.0847,96.3139,-0.00206839,-28.3061,452.61,-0.0356366,1.06922,2.90439,-0.345247,0.168935,-54.3127,330.379,59.0293,5906.83,4879.44,0.306356,1.41121,3.58838,-0.00325411,0.510928,0.382764,406.557,64.6722,5983.01,0.0716829,0.782242,0.0195231,5671.61,976.541,279.856,22869.7,0.00100837,0.0101093,12.9865,16.7278,96.2877,68.267,0.290146,16.1197,15.3676,96.5464,121.332,-0.258679,-53.0647 
4,46.05,10,4,5402.2,-0.00321809,6.74081,17.6681,95.7214,-0.00345115,10.2114,1.74439e-11,0.277396,1.00819,1.00661,0.286153,0.819804,-24.6044,810.155,56.9838,4132.55,3878.15,0.432323,1.16312,1.31646,0.44108,0.974732,0.695806,844.665,59.5401,4167.06,0.187217,0.890189,0.0256455,4511.68,505.405,572.916,10422.5,0.000473148,0.0306846,17.9453,16.3906,96.4471,69.0541,0.182708,16.8936,16.6908,95.5393,121.552,0.907845,-52.4975 
5,46.05,0,5,6570.29,0.0157162,8.18658,17.2153,96.3396,-0.00908558,14.0932,100.335,0.518897,1.13509,3.02604,-0.291619,1.00432,-42.1831,330.917,56.1047,5502.72,4592.05,0.784512,1.4007,3.55727,-0.0260039,1.26993,0.490831,390.083,60.4874,5561.89,0.0738159,0.786559,0.01964,5284.55,857.299,271.387,19785.5,0.000889277,0.00816834,17.1161,19.7126,95.083,66.8591,0.268273,16.1686,15.4746,96.5252,120.705,-1.44226,-53.8459 
6,45.9,10,6,7314.88,-0.00132287,8.82909,18.0132,96.019,-0.00694398,4.67971,55.3766,0.391887,0.4633,2.14464,-0.874996,-0.241837,-43.8927,994.719,62.2919,5458.26,5178.33,0.668268,0.739681,2.6974,-0.598615,0.0345441,0.238298,1056.28,66.8522,5519.83,0.178615,0.900286,0.0218234,5913.73,801.712,743.629,17795,0.00100869,0.0406809,17.2885,14.5911,96.6626,68.083,0.239751,16.9565,16.558,96.0583,120.203,0.604233,-52.1197 
7,45.9,0,7,6101.18,0.0423203,7.7819,16.4134,96.576,0.0248496,-56.6958,57.4263,0.698584,-0.693751,-1.32001,0.298319,2.32651,-59.5439,294.064,43.8056,5081.73,4203.82,1.07352,-0.318819,-0.570141,0.673252,2.70145,1.16019,377.58,49.992,5165.25,0.0766972,0.811885,0.0175166,4923,767.043,261.572,17478.2,0.000935745,0.00834087,14.2904,19.7416,98.2359,67.2831,0.259091,15.737,15.0145,96.5804,120.92,1.65547,-53.6372 
8,46.05,10,8,5781.42,-0.00461911,7.14325,17.6537,96.2801,0.0131573,-0.348324,399.544,-1.16948,0.240181,4.06372,1.11732,2.56878,-35.8771,901.81,54.4713,4242.25,4105.28,-0.94357,0.46609,4.51554,1.34323,2.79469,0.447706,952.131,58.1987,4292.57,0.201314,0.903368,0.0243667,4729.59,527.7,661.694,10859.3,0.000708536,0.03663,17.2894,15.2137,96.7162,69.2851,0.185696,16.7778,16.9277,96.2687,120.884,0.447461,-51.5991 
9,46.05,0,9,6457.92,0.024642,8.06984,17.0364,96.5327,0.00978471,-22.2529,63.1949,0.388505,1.75832,2.53038,0.338259,0.528242,-42.6362,347.008,53.8005,5393.61,4482.56,0.656974,2.02679,3.06732,0.606728,0.796711,0.571275,406.809,58.2303,5453.42,0.0781452,0.799684,0.0192901,5205.82,830.356,295.698,18989.6,0.00101276,0.0118584,10.6289,16.4426,99.1917,71.0748,0.264912,16.0504,15.2759,96.535,121.111,2.65675,-50.0365 
