cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,10345.8,0.0055862,16.3663,12.0353,95.6747,0.0039549,-2.15121,0.0232102,-3.49754,0.228768,1.76032,2.07562,1.57875,-158.99,60.9813,40.4855,8834.1,6412.41,-2.49642,1.22989,3.76256,3.07673,2.57987,0.538485,283.98,57.0039,9057.1,0.0344042,0.740038,0.011461,8254.23,0.00212222,0.0183531,-10.2112,-1.92227,92.7525,73.6382,0.863578,11.1903,10.4553,95.3615,126.127,-2.60899,-52.4883 
12,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,12,10603.9,0.305009,16.1156,12.1462,95.7861,-0.00262016,-67.6655,412.252,-1.13629,-3.03093,-2.27149,4.46033,-0.539657,-159.722,717.778,51.6572,8484.96,6377.88,-0.130561,-2.02521,-0.260035,5.46606,0.466071,1.07395,941.804,68.2517,8708.99,0.109439,0.887452,0.014231,8605.71,0.00214704,0.0820481,10.0991,-8.26497,96.524,74.979,0.766749,11.6747,10.8824,95.4241,126.623,1.09986,-51.6443 
13,97,43.248,4.2,48.55,-0.2,0.19,0.01,13,17085.6,0.339513,30.1821,11.0205,96.2167,0.370685,-1029.66,468.95,-0.00895257,-4.90914,1.58367,0.230765,-2.83157,-230.28,6992.82,46.6563,8729.02,23252.9,1.44106,-3.45913,4.48369,1.68077,-1.38156,-0.621686,7315.81,70.5814,9052.01,0.478734,0.983397,0.0141601,15281.6,0.00223254,0.891332,10.4385,8.81421,96.5156,75.9295,0.871133,10.9313,10.5712,95.4506,127.853,1.06499,-51.9239 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,17815.4,0.356008,31.5203,10.9963,95.8693,4.06244,-2591.14,0.103261,-0.187949,-1.70253,-0.68709,-1.31045,-0.0133085,-286.415,7728.58,52.072,8697.35,353950,1.61553,0.100946,2.91987,0.49303,1.79017,0.578026,8130.3,81.8294,9099.07,0.503815,0.982692,0.0162964,16137.5,0.00239728,1.03004,10.4538,8.38288,96.0816,75.3498,0.887084,10.9688,10.2136,95.0967,126.847,0.984914,-51.4969 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,9480.81,0.120645,15.3432,11.6501,95.519,-0.516673,-267.02,3.32307,-0.216365,-2.92747,-4.2166,-0.736367,1.43906,-178.071,117.498,32.4614,8053.54,10310,0.904898,-1.80621,-1.97408,0.384895,2.56033,29.2693,367.259,50.9623,8303.3,0.0478566,0.804611,0.0111797,7674.16,0.00190512,0.0134165,9.37353,8.00448,118.589,60.3564,0.825257,10.8507,10.317,95.2246,128.293,23.3641,-67.937 
16,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,16,10226.5,0.19827,15.928,-12.0893,95.8787,0.101037,-398.708,5.09385e-05,1.15214,-1.57892,0.00909705,-2.89686,-1.42055,-169.211,648.293,46.8798,8222.07,7579.8,2.21761,-0.513449,2.14005,-1.83138,-0.355079,-0.290935,885.627,64.4602,8459.4,0.106319,0.887018,0.0138424,8329.9,0.00198279,0.0775493,10.4102,-8.39463,96.6723,75.5322,0.755282,11.4895,10.9274,95.511,127.99,1.16132,-52.4583 
17,97,43.248,4.2,48.55,-0.2,0.19,0.01,17,16079.5,0.0189229,29.1995,11.0795,96.0808,-0.0634392,80.0666,499.997,-1.85459,0.221272,-2.27981,-1.94494,-0.783632,-212.922,7110.19,31.3803,7796.61,10696.8,-0.513876,1.56199,0.40162,-0.604227,0.557083,0.713658,7408.83,53.5021,8095.26,0.509806,0.98752,0.0120282,14532.7,0.00194574,0.952787,10.2686,8.50294,96.3842,74.9173,0.797162,10.9892,10.3405,95.2848,126.177,1.09938,-51.2598 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,18299.8,0.252058,33.2055,11.1101,95.7929,-0.293881,254.088,496.028,-3.31795,-1.30929,-1.59509,-4.54999,-0.849672,-258.654,8250.09,36.7685,8997.24,14440.2,-1.68927,0.319391,1.66226,-2.92131,0.779004,1.89856,8612.88,63.6417,9360.02,0.511159,0.987234,0.0123701,16849.7,0.0018666,1.06089,10.6133,8.64216,96.007,75.6979,0.935793,10.9711,10.1909,95.1212,127.312,0.885838,-51.6145 
19,75,46.2227,0,46.05,0.2,-0.19,-0.01,19,9711.83,0.248877,15.7706,11.5869,95.7049,0.0564451,-69.4717,389.675,-0.407036,0.383367,-5.2096,1.81724,-2.22797,-179.822,31.5378,27.9754,8519.99,6076.19,0.725254,1.51566,-2.94502,2.94953,-1.09568,3.56146,283.755,46.6581,8772.21,0.0354548,0.776546,0.00970283,8003.3,0.00862017,-0.00946349,12373.2,120.449,109.428,40,0.847903,11.1333,10.4044,95.3868,126.01,14.0415,-86.0096 
20,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,20,10411.9,0.286927,15.7483,12.3026,95.6301,0.30555,246.919,82.809,1.91518,-0.379817,0.463884,-0.596243,0.184198,-222.927,711.41,49.5714,8304.26,8763.08,3.31889,1.02389,3.27131,0.807467,1.58791,0.673179,1024.09,72.7326,8616.94,0.118983,0.889451,0.0153105,8606.99,0.00204172,0.0829454,10.7616,8.07166,96.0376,74.2362,0.728071,11.8243,11.1471,95.2729,126.258,0.764766,-52.0216 
21,97,43.248,4.2,48.55,-0.2,0.19,0.01,21,16401.6,0.308172,29.1107,11.0378,95.9819,-0.702329,-2618.12,288.597,-0.812908,-1.09612,-6.98403,-2.25241,-0.67166,-265.41,7115.64,32.5649,8128.6,70318.5,0.858306,0.575094,-3.6416,-0.581191,0.999554,-1.0346,7487.9,60.1399,8500.86,0.500239,0.98614,0.0128644,14968.7,0.00206707,0.940647,10.4146,8.47985,96.2025,75.272,0.821092,11.0251,10.2951,95.1912,126.653,1.01132,-51.3806 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,18186,0.334922,32.1196,11.1161,96.0185,-0.0824686,-277.16,1.21794,1.99333,-0.430709,-5.73097,2.22833,0.644441,-240.335,7874.3,31.7564,8937.1,12367.1,3.50665,1.08261,-2.70432,3.74165,2.15776,1.3474,8211.39,56.7262,9274.19,0.50153,0.988055,0.0111418,16372.7,0.00246921,1.0455,10.4258,8.43705,96.2964,75.8157,0.910045,10.9872,10.1374,95.2607,127.468,1.03572,-51.6521 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,9680.06,0.00566162,15.4724,12.1293,95.5047,-0.00826399,3.53854,3.02954e-12,-0.456882,-4.52848,2.06182,-1.74446,-1.24107,-180.586,22.8614,32.1431,8355.72,6110.2,0.680222,-3.39138,4.33603,-0.607351,-0.103969,-3.74632,276.152,50.9053,8609.01,0.0351692,0.756091,0.0107751,7852.08,0.00169665,0.00986464,8.05183,4.47131,119.696,55.8382,0.79655,11.4799,10.7143,95.2576,126.063,24.4383,-70.2252 
24,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,24,9996.04,0.0065158,15.6788,12.3451,95.5087,-0.0246439,2.60915,500,0.725468,2.82918,-0.00999374,0.809719,0.711639,-133.34,685.286,44.9873,7940.35,6302.96,1.56507,3.66879,1.66922,1.64933,1.55124,0.834791,872.308,58.8408,8127.37,0.108707,0.894419,0.013161,8024.39,0.0019274,0.0826084,10.1764,8.47025,95.6896,74.252,0.737041,11.5458,10.8489,95.1108,126.148,0.578744,-51.8964 
25,97,43.248,4.2,48.55,-0.2,0.19,0.01,25,16690.7,0.294757,29.3669,11.2072,95.9251,1.30195,-739.683,31.3327,0.28554,-0.356872,0.88536,1.1834,-3.28182,-216.572,6765.29,23.5509,8661.85,42063.8,1.64924,1.00682,3.61275,2.5471,-1.91812,0.476245,7069.05,46.0519,8965.61,0.472568,0.988728,0.00937329,14958.8,0.00188458,0.866846,10.6268,8.73639,96.2004,75.0212,0.853394,11.2633,10.5617,95.2435,126.723,0.956944,-51.7018 
26,97,43.248,0,48.55,-0.2,0.19,0.01,26,17707.7,0.148684,32.0221,11.1861,96.1266,-0.122809,192.186,499.963,-4.00573,0.970022,4.34743,-1.68744,-3.91521,-218.022,7811.15,35.9618,8735.33,12429,-2.6329,2.34285,7.09309,-0.314617,-2.54238,-0.797524,8116.95,58.6134,9041.13,0.505001,0.987521,0.0118014,16073.1,0.00181274,1.02296,10.5247,8.67487,96.364,74.8895,0.870756,11.1552,10.4931,95.2999,126.459,1.06408,-51.5695 
27,75,46.2227,0,46.05,0.2,-0.19,-0.01,27,9899.69,0.280905,15.6643,11.6942,95.9054,-0.377005,3.82736,107.456,0.728697,-2.495,-6.84872,0.66835,-0.704857,-148.552,30.7405,36.0126,8526.86,6010.11,1.66409,-1.5596,-4.97793,1.60374,0.230538,-0.637931,239.1,51.4466,8735.22,0.0301662,0.726457,0.0107328,7926.09,0.00186653,0.0235737,-4.75504,1.8386,91.3099,67.6774,0.809135,11.2237,10.8774,95.5531,126.424,-4.24321,-58.7466 
