cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,15,2.5,0,5517.72,-0.00760682,13.7903,10.2226,89.6354,-0.00952642,-20.4776,500,-0.972418,-0.393075,-0.575885,0.468097,0.533436,-28.7911,1776.21,12.9585,5067.51,4595.48,-0.791127,-0.211784,-0.213305,0.649388,0.714726,2.44226,1814.35,13.7064,5105.65,0.287658,0.986952,0.00492089,6307.32,1790.67,4770.52,38732.6,-0.00103514,0.214284,9.84857,9.25351,90.4369,73.6625,0.600016,10.2626,9.82119,89.2225,125.258,1.21439,-51.5958 
4,90,2.5,4,4032.76,-0.00289779,10.6001,10.2145,89.2681,-0.0141217,14.4245,500,-1.58095,0.315898,-2.51278,-1.46618,-2.26423,-98.2618,1127.01,9.38324,4240.97,3531.36,-0.962217,0.934626,-1.27532,-0.847449,-1.6455,0.664023,1257.18,11.9355,4371.13,0.246323,0.983657,0.00500474,5103.78,1183.64,2027.1,25644.6,-0.00112535,0.135839,9.82803,9.071,90.0511,73.0986,0.47316,10.5776,10.1452,88.9198,124.718,1.13127,-51.6195 
5,1,2.5,5,5926.93,-0.0471781,15.3706,10.1313,88.9823,-1.48679,-173.46,1.81417e-06,-0.418084,-0.63023,-1.26156,1.38539,0.148311,-79.6199,2010.65,17.3976,5481.63,13464.8,0.0832613,-0.128885,-0.25887,1.88674,0.649656,1.11599,2116.12,19.4657,5587.1,0.300894,0.984157,0.00637704,7032.77,2102.08,6388.4,45056.7,-0.00137351,0.252757,9.76064,9.15763,89.7825,73.551,0.637836,10.4191,10.0028,88.5544,125.478,1.22811,-51.9274 
6,30,2.5,6,5331.62,-0.255834,13.8856,10.4297,89.062,0.735665,-102.857,124.116,0.440412,1.08084,-0.618223,0.116706,2.02467,-71.9642,1767.6,14.1994,4976.86,7177.71,0.893552,1.53398,0.288056,0.569845,2.47781,0.950018,1862.93,16.0686,5072.19,0.294467,0.98513,0.00580188,6326.46,1734.74,4588.28,37494.3,-0.00121569,0.20601,9.93255,9.5396,90.0394,73.4461,0.583198,10.3678,9.98335,88.6181,125.065,1.42133,-51.6188 
11,150,2.5,11,3614.75,-0.0137472,9.48575,10.2919,89.2418,-0.0115916,-1.40166,500,1.32356,0.0706704,-2.03306,-1.5885,0.563447,-58.7754,837.431,9.65464,3961.81,3178.6,1.69365,0.440763,-1.29287,-1.21841,0.93354,3.3225,915.289,11.1813,4039.67,0.204754,0.979069,0.00507284,4470.2,1026.12,1104.35,22768,-0.000972226,0.0881129,10.4221,9.57891,90.0694,73.5353,0.451059,10.3935,10.054,88.9536,124.723,1.11577,-51.1881 
12,105,2.5,12,4067.91,-0.183562,10.5252,10.4926,89.2791,0.0629777,-83.824,2.94064e-06,-0.672833,-0.183023,3.15041,-1.54408,-1.66779,-63.1189,1062.68,10.9816,4164.39,3766.92,-0.27539,0.21442,3.9453,-1.14664,-1.27035,-1.68873,1146.29,12.6211,4248,0.234678,0.981096,0.00544321,4884.54,1155.21,1753.81,25391.2,-0.000953425,0.119429,10.1649,9.54061,90.4286,72.9739,0.477734,10.3068,10.089,88.8266,124.106,1.60201,-51.132 
13,60,2.5,13,4946.61,-0.00428529,13.0024,9.82493,89.5437,-0.00773947,7.46593,0.0385131,-0.439195,3.63808,-1.07594,0.12587,0.647896,-81.8363,1469.62,15.1827,4812.85,4160.49,0.076107,4.15339,-0.0453338,0.641172,1.1632,1.00757,1578.02,17.3083,4921.26,0.267066,0.981167,0.00643708,5908.73,1606.79,3366.62,35382.5,-0.00111924,0.181212,9.62669,9.09605,90.4278,73.5918,0.571309,10.1751,10.0022,89.18,125.39,1.24774,-51.7987 
14,45,2.5,14,4780.88,-0.19699,12.1438,10.3911,89.5312,0.162287,35.8164,488.964,-0.119655,2.82139,-0.701287,-1.395,0.460455,-52.9483,1539.18,16.9023,4522.78,4297.02,0.213746,3.15479,-0.0344841,-1.0616,0.793856,1.01125,1609.32,18.2776,4592.92,0.28478,0.980512,0.00727733,5651.09,1392.97,3441.19,29926.3,-0.000930222,0.178387,10.0885,9.20973,90.5344,72.8457,0.526552,10.0901,10.0029,89.1087,124.096,1.42571,-51.2501 
16,120,2.5,16,3934.12,-0.00197202,9.71329,10.6136,89.2855,0.00365029,4.18716,3.76073e-08,-1.1049,0.458086,-0.255057,1.0245,0.769827,-63.2386,1098.36,16.1047,4047.03,3356.51,-0.706708,0.856283,0.541337,1.4227,1.16802,0.83504,1182.13,17.7472,4130.8,0.245396,0.9744,0.00785213,4817.23,1040.9,1648.9,22607.6,-0.000923487,0.115507,10.1902,9.52026,90.0485,72.5194,0.439407,10.7579,10.166,89.0019,124.035,1.04651,-51.5154 
17,75,2.5,17,4508.81,-0.201549,11.5337,10.4739,88.9192,0.8664,-547.01,0.207118,-0.0652757,-0.609429,-1.59267,-1.27892,-1.47473,-59.5364,1278.22,13.2195,4472.39,19360.5,0.309609,-0.234544,-0.842896,-0.90404,-1.09984,0.695893,1357.08,14.7659,4551.25,0.253084,0.981315,0.00594095,5362.19,1335.91,2504.97,29305.8,-0.000904283,0.153763,9.85707,8.87595,90.3077,73.4716,0.521525,10.2192,9.87361,88.5382,125.105,1.76952,-51.633 
20,15,2.5,20,5935.73,-0.221878,14.6905,10.63,89.5921,0.0764572,-5.39917,1.05561e-06,-0.575896,-0.960966,-0.730968,0.444115,0.013195,-60.8539,1873.38,15.8706,5443.84,5096.98,-0.192716,-0.577785,0.0353935,0.827296,0.396376,0.927556,1953.99,17.4513,5524.45,0.286698,0.984611,0.00578538,6815.51,1971.03,4957,43256.6,-0.00109522,0.216187,10.3156,9.05622,90.7001,72.8171,0.617949,10.5307,10.0885,89.2069,124.32,1.49328,-51.5024 
24,90,2.5,24,4250.56,-0.20773,11.1571,10.3867,89.2951,-0.135603,222.104,225.749,-0.616376,2.08714,2.00314,0.312789,-1.19657,-63.6236,1264.52,8.19201,4182.25,4752.9,-0.215755,2.48776,2.80438,0.71341,-0.795946,0.438433,1348.81,9.84457,4266.53,0.264298,0.987388,0.00423247,5103.35,1173.76,2494.13,25252.1,-0.000973671,0.15358,9.54865,9.26909,90.4926,72.7102,0.470897,10.4311,10.2092,88.8178,124.214,1.67474,-51.5037 
25,1,2.5,25,6255.82,-0.254487,15.7015,10.4923,88.8185,0.321337,104.464,454.384,-0.930485,-1.77277,-0.290398,-1.24456,0.557926,-28.0294,1991.06,8.78615,5664.03,6455.76,-0.753991,-1.59627,0.0625894,-1.06807,0.73442,1.02388,2028.19,9.51418,5701.16,0.287882,0.991858,0.00306471,7045.2,2198.72,5908.04,48220.1,-0.00117104,0.240398,9.79038,9.27478,89.9544,73.7608,0.65851,10.3751,10.077,88.355,125.568,1.59933,-51.8076 
