cyc,freq,VVA,pulsetime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
24,43.008,5,0.01,0.78,24,13617.5,0.00145448,24.3137,12.3124,90.4752,-0.00705839,-0.664489,1.766e-11,-2.65215,-0.762397,-1.34521,1.85298,1.17788,80.0295,6667.12,21.7776,7204.71,9745.29,-3.15607,-1.26632,-2.35306,1.34906,0.673958,0.504873,6561.11,19.6989,7098.7,0.512268,0.994773,0.00508585,12808,4523.04,53152.2,60596.7,0.000260568,0.626634,11.8791,10.5108,91.509,69.3981,0.658339,11.6895,11.1134,89.8003,120.185,1.70871,-50.7865 
27,43.278,5,0.01,0.78,27,11101.5,-0.0427547,20.0741,12.2891,90.2937,-0.143064,-102.063,500,-2.01095,0.368126,-0.250182,-0.147126,0.477576,102.261,5521.56,18.5348,5911,8505.98,-2.65486,-0.275787,-1.53801,-0.791039,-0.166337,0.71655,5386.09,15.8786,5775.54,0.514502,0.994867,0.00503896,10468.6,3187.63,37650.5,41359.2,0.00015119,0.539636,11.7571,10.1197,91.0541,68.5611,0.546153,11.6291,11.0271,89.7532,118.954,1.30094,-50.3926 
28,43.128,5,0.01,0.78,28,13523.4,-0.0393879,24.4182,12.2128,90.7382,-0.0783999,72.0396,69.2672,-2.66205,-3.01032,-2.68081,-1.00799,-3.25385,51.1424,6997.77,11.4351,6792.2,9891.75,-2.98408,-3.33235,-3.32487,-1.33002,-3.57588,0.771443,6930.02,10.1067,6724.45,0.539405,0.997454,0.00276101,12847.5,4667.53,61632.9,55705.9,0.000168794,0.689982,11.7613,10.1826,91.6995,68.9874,0.637754,11.5427,11.0139,89.9598,119.519,1.73971,-50.5317 
29,42.948,5,0.01,0.78,29,13586.5,-0.0529445,24.5033,12.2891,90.7499,0.13254,-136.973,495.86,-1.1475,-1.15738,-2.27192,-2.24052,1.453,75.1302,6923.14,19.9497,6918.05,10393.5,-1.62057,-1.63045,-3.21807,-2.7136,0.979923,0.607685,6823.62,17.9983,6818.53,0.532101,0.995405,0.00483892,12823.9,4623.13,59731.7,56627.7,0.00016455,0.676816,11.9055,10.144,91.6172,69.3381,0.635348,11.6823,11.1549,90.0423,120.048,1.57495,-50.7095 
32,42.858,5,0.01,0.78,32,12404.5,-0.0119132,22.3033,12.1765,90.7469,-0.0105465,-2.41673,0.966727,-3.18763,-1.48355,-1.02026,1.01874,-0.610008,81.395,6184.18,17.5302,6397.52,8841.55,-3.70015,-1.99607,-2.04531,0.506213,-1.12253,0.755283,6076.36,15.416,6289.7,0.523314,0.99558,0.0044947,11611.3,3917.48,48840,49142.9,0.000317677,0.625938,11.5642,9.95421,91.4142,69.5988,0.597767,11.6113,10.9733,90.1958,120.477,1.21845,-50.8786 
33,43.518,5,0.01,0.78,33,13813.7,-0.047477,26.0328,11.7943,90.6322,0.0559496,84.259,264.509,-2.84814,0.722397,-3.21032,-1.19807,1.89415,64.3232,7203.88,18.192,6912.39,10148.6,-3.25317,0.317371,-4.02037,-1.6031,1.48912,0.43136,7118.67,16.5212,6827.18,0.542309,0.995955,0.00443797,13126.6,5021.83,66843.1,59867.1,-3.75672e-05,0.725495,11.5531,10.2134,91.3505,69.0144,0.662034,11.4037,11.1437,90.1032,119.76,1.24732,-50.7452 
34,42.918,5,0.01,0.78,34,12071,-0.0181792,21.5919,-12.2752,90.5127,-0.0529994,-65.595,500,-3.3679,1.44689,-1.55655,0.504167,1.05013,50.599,6119.02,14.1564,6235.67,8741.22,-3.6865,1.12829,-2.19376,0.185558,0.731526,0.427947,6051.99,12.8421,6168.64,0.527159,0.9963,0.00382033,11480.4,3653.41,45717.3,45429.8,0.000244741,0.590008,11.7307,10.3283,91.265,69.076,0.572119,11.5735,11.103,89.8033,119.29,1.46171,-50.2135 
36,43.428,5,0.01,0.78,36,13890.7,-0.0394454,25.3939,12.058,90.7645,-0.0754408,11.1825,499.508,-2.75943,-0.301255,-1.76191,0.895696,0.921937,53.8171,7226.07,21.3872,6907.77,9995.31,-3.0983,-0.640127,-2.43966,0.556824,0.583065,0.515768,7154.78,19.9893,6836.48,0.543227,0.995135,0.00535732,13170.9,4930.9,65649.7,58630.2,9.6467e-05,0.709714,11.7787,10.2595,91.6255,69.6479,0.655025,11.5457,11.0163,90.0127,120.425,1.61283,-50.7773 
37,42.888,5,0.01,0.78,37,13610.4,-0.020772,25.1038,11.8705,90.8115,0.0305789,-32.4178,104.401,-2.34859,-3.11219,-1.90069,2.13637,0.48275,23.0689,6936.54,20.8917,6907.58,9732.99,-2.49385,-3.25745,-2.19121,1.99111,0.337491,0.609682,6905.98,20.2925,6877.02,0.532961,0.994884,0.00540625,12957.8,4745.13,61159.5,58324.5,0.000238625,0.695269,11.5257,10.1508,91.4984,68.7964,0.655549,11.3941,11.0583,90.2456,119.337,1.25283,-50.541 
39,43.098,5,0.01,0.78,39,12556.6,-0.0253535,22.7193,12.1317,90.7459,0.0548341,13.5595,156.421,-2.49625,-1.93311,-1.34384,0.699915,1.92872,68.2631,6313.71,19.6892,6427.8,8996.64,-2.92609,-2.36295,-2.20351,0.270081,1.49888,0.615012,6223.28,17.9161,6337.38,0.527389,0.994987,0.00518076,11800.2,3993.31,49409.2,50595.6,0.00023435,0.619591,11.7396,10.1269,91.5378,68.7455,0.606087,11.5473,11.0616,90.2911,119.124,1.24672,-50.3781 
